t;vds;corrente;vg
0.000499;-0.00921448;-0.012234;-0.0489986
0.000998;-0.00871908;-0.0123945;-0.0479014
0.001497;-0.00818024;-0.0120757;-0.0487606
0.001996;-0.00775392;-0.0115044;-0.0486971
0.002495;-0.00720818;-0.0106268;-0.0476467
0.002994;-0.00665452;-0.0104157;-0.0484743
0.003493;-0.0061769;-0.0103246;-0.048156
0.003992;-0.00571009;-0.010337;-0.049238
0.004491;-0.00516828;-0.00974092;-0.0489516
0.00499;-0.00470545;-0.00979062;-0.0477422
0.005489;-0.00424061;-0.00960847;-0.0486334
0.005988;-0.00370672;-0.00931867;-0.0479332
0.006487;-0.00312645;-0.00914483;-0.0479014
0.006986;-0.00274055;-0.00886746;-0.0481878
0.007485;-0.00226785;-0.00859836;-0.0481878
0.007984;-0.00173297;-0.0081885;-0.0493018
0.008483;-0.00124149;-0.00800221;-0.0482514
0.008982;-0.000844766;-0.00772898;-0.0485061
0.009481;-0.000345407;-0.00728187;-0.0500974
0.00998;0.000174678;-0.00702521;-0.0515933
0.010479;0.000637522;-0.00630489;-0.0488244
0.010978;0.00100267;-0.00619726;-0.0478377
0.011477;0.00150795;-0.00632559;-0.0486334
0.011976;0.0020083;-0.00637527;-0.0511159
0.012475;0.00243267;-0.0061807;-0.0523254
0.012974;0.00303269;-0.00612688;-0.0531529
0.013473;0.00360211;-0.00585367;-0.0522937
0.013972;0.0039998;-0.0057957;-0.0538214
0.014471;0.00458207;-0.00521201;-0.0507659
0.01497;0.00511896;-0.00484356;-0.0523254
0.015469;0.0055601;-0.00433437;-0.0524209
0.015968;0.00602687;-0.00421017;-0.0535666
0.016467;0.00655487;-0.00419775;-0.0521345
0.016966;0.00696839;-0.00412323;-0.0513388
0.017465;0.00737203;-0.00407769;-0.0527073
0.017964;0.007896;-0.00411081;-0.059964
0.018463;0.00844475;-0.00327872;-0.0506067
0.018962;0.00890953;-0.00321662;-0.0535666
0.019461;0.00951351;-0.00262049;-0.0525799
0.01996;0.0100454;-0.00216925;-0.0520707
0.020459;0.0104658;-0.00223135;-0.0510522
0.020958;0.0109267;-0.00207818;-0.0493654
0.021457;0.0115673;-0.00210301;-0.0505749
0.021956;0.0120418;-0.0016435;-0.051466
0.022455;0.0124613;-0.0011343;-0.0504794
0.022954;0.0129291;-0.000902475;-0.049811
0.023453;0.0134058;-0.000732744;-0.04927
0.023952;0.0138124;-0.000260807;-0.0490472
0.024451;0.0142743;-0.00021113;-0.0508931
0.02495;0.0148397;-4.55378e-05;-0.0487607
0.025449;0.0152768;-0.000124194;-0.0496836
0.025948;0.0157634;0.00021113;-0.0493973
0.026447;0.0163299;0.000339464;-0.0502248
0.026946;0.0168076;0.000451239;-0.0498746
0.027445;0.0172487;0.00186704;-0.0494291
0.027944;0.0176749;0.00139511;-0.050543
0.028443;0.018126;0.00173043;-0.048697
0.028942;0.0185879;0.0020699;-0.0486334
0.029441;0.0189609;0.0019871;-0.0485379
0.02994;0.0194968;0.00243421;-0.0492063
0.030439;0.0199637;0.00283163;-0.050193
0.030938;0.020383;0.00336565;-0.0501293
0.031437;0.020911;0.00329528;-0.0487925
0.031936;0.0214705;0.00399075;-0.0506384
0.032435;0.0219481;0.00414393;-0.0486652
0.032934;0.0224862;0.00409425;-0.050925
0.033433;0.0229656;0.00413151;-0.0493655
0.033932;0.0234217;0.00445857;-0.0489517
0.034431;0.0238686;0.00463242;-0.0476467
0.03493;0.0243906;0.00452067;-0.0478059
0.035429;0.0249109;0.00476076;-0.0485698
0.035928;0.0252385;0.00548522;-0.0480286
0.036427;0.0257981;0.0060027;-0.0478377
0.036926;0.0262372;0.00619726;-0.0481242
0.037425;0.0267179;0.0060772;-0.0490154
0.037924;0.0272764;0.00618898;-0.0486652
0.038423;0.0278161;0.00617242;-0.0491426
0.038922;0.0282614;0.00608962;-0.0487606
0.039421;0.0287507;0.00651603;-0.0480605
0.03992;0.0292957;0.00679753;-0.0483788
0.040419;0.0297505;0.0070542;-0.0487607
0.040918;0.0301827;0.00743091;-0.0482833
0.041417;0.0308006;0.00789872;-0.0493972
0.041916;0.031289;0.00826302;-0.0484424
0.042415;0.0316888;0.00826716;-0.0480923
0.042914;0.0322325;0.0082713;-0.0500656
0.043413;0.0327633;0.00832512;-0.0489199
0.043912;0.0331226;0.00849486;-0.04927
0.044411;0.0336309;0.00894197;-0.0485379
0.04491;0.0342763;0.00919446;-0.0485698
0.045409;0.0348191;0.0100307;-0.0476467
0.045908;0.0351634;0.0100887;-0.0489198
0.046407;0.0356914;0.0103743;-0.0490789
0.046906;0.0362214;0.0103743;-0.0484743
0.047405;0.036711;0.01078;-0.0500338
0.047904;0.0371581;0.0108504;-0.0493972
0.048403;0.0376386;0.0113306;-0.0497156
0.048902;0.0380779;0.0113761;-0.0507977
0.049401;0.0384864;0.0119847;-0.0489835
0.0499;0.0390507;0.0124773;-0.0479332
0.050399;0.039496;0.012763;-0.0499702
