t;vds;corrente;vg
0.000499;-0.00933194;-0.0122332;-0.141941
0.000998;-0.00871119;-0.0124607;-0.142303
0.001497;-0.00823552;-0.0122745;-0.142876
0.001996;-0.00782989;-0.0120219;-0.142813
0.002495;-0.00730195;-0.0119847;-0.142749
0.002994;-0.00676407;-0.0114299;-0.142749
0.003493;-0.00630025;-0.0110491;-0.14294
0.003992;-0.00576831;-0.0105399;-0.142781
0.004491;-0.00528078;-0.0104116;-0.14294
0.00499;-0.00482587;-0.0102956;-0.142844
0.005489;-0.00435014;-0.0104281;-0.142526
0.005988;-0.00375507;-0.0102749;-0.141985
0.006487;-0.00331692;-0.0100639;-0.142781
0.006986;-0.00289649;-0.00967882;-0.14294
0.007485;-0.00231819;-0.00933114;-0.142081
0.007984;-0.0017981;-0.00850314;-0.13998
0.008483;-0.00137374;-0.00830856;-0.142685
0.008982;-0.000921742;-0.00832098;-0.142144
0.009481;-0.000370079;-0.00820506;-0.140935
0.00998;0.000104609;-0.00787801;-0.142526
0.010479;0.000515149;-0.00709146;-0.14294
0.010978;0.000997731;-0.00676027;-0.142049
0.011477;0.00152966;-0.00685134;-0.141285
0.011976;0.00195697;-0.00718667;-0.141826
0.012475;0.00235075;-0.00690516;-0.140298
0.012974;0.00295472;-0.00661951;-0.138643
0.013473;0.00344224;-0.00631317;-0.142717
0.013972;0.00394257;-0.00619726;-0.141826
0.014471;0.00445279;-0.00615172;-0.142844
0.01497;0.00495414;-0.00595717;-0.142176
0.015469;0.00543969;-0.0060565;-0.142781
0.015968;0.00592327;-0.00502984;-0.142494
0.016467;0.00640386;-0.00457862;-0.14294
0.016966;0.00691015;-0.00432195;-0.14259
0.017465;0.0073069;-0.00422259;-0.142781
0.017964;0.0078052;-0.00413151;-0.14294
0.018463;0.00836778;-0.00407355;-0.14294
0.018962;0.00878517;-0.00406113;-0.14294
0.019461;0.00924708;-0.00385829;-0.14294
0.01996;0.00982538;-0.00374651;-0.14294
0.020459;0.0103681;-0.00327872;-0.14294
0.020958;0.0107807;-0.00315453;-0.14294
0.021457;0.0113521;-0.00235555;-0.142876
0.021956;0.0118564;-0.00222721;-0.14294
0.022455;0.0122659;-0.00225205;-0.142717
0.022954;0.0127258;-0.00204092;-0.142463
0.023453;0.0132538;-0.00206576;-0.14294
0.023952;0.0137483;-0.00183393;-0.139343
0.024451;0.0141489;-0.00161866;-0.142112
0.02495;0.0146848;-0.00152758;-0.14259
0.025449;0.0152857;-0.00043054;-0.14224
0.025948;0.0157328;-5.79572e-05;-0.142558
0.026447;0.0161384;-0.000351883;-0.142144
0.026946;0.0166684;0;-0.142272
0.027445;0.0171698;0.000463658;-0.142367
0.027944;0.0175605;0.000790701;-0.142813
0.028443;0.0179967;0.00021113;-0.142845
0.028942;0.0184705;0.000964572;-0.142335
0.029441;0.0189293;0.00187118;-0.140298
0.02994;0.0193418;0.00201608;-0.14033
0.030439;0.0198236;0.00207818;-0.141253
0.030938;0.0203475;0.00208645;-0.141253
0.031437;0.0208617;0.00255425;-0.136065
0.031936;0.0214182;0.00221479;-0.140107
0.032435;0.0219165;0.00354366;-0.140425
0.032934;0.0223322;0.0040363;-0.140521
0.033433;0.0228502;0.00394936;-0.139821
0.033932;0.023391;0.00411081;-0.142781
0.034431;0.0237996;0.00423087;-0.140394
0.03493;0.0242672;0.00461173;-0.141985
0.035429;0.0247361;0.00469039;-0.142845
0.035928;0.0252217;0.00547696;-0.142813
0.036427;0.0256797;0.00578328;-0.142654
0.036926;0.0261878;0.0060565;-0.142908
0.037425;0.0267633;0.00548108;-0.142908
0.037924;0.0272232;0.00618484;-0.14138
0.038423;0.0277431;0.00625935;-0.141189
0.038922;0.0282347;0.00619726;-0.142526
0.039421;0.0286669;0.00632144;-0.142431
0.03992;0.0291278;0.00623451;-0.14294
0.040419;0.0296578;0.00631317;-0.14294
0.040918;0.0301225;0.00652016;-0.142463
0.041417;0.0305537;0.00711215;-0.142526
0.041916;0.0310483;0.00732328;-0.142112
0.042415;0.0316354;0.0077828;-0.14294
0.042914;0.0321654;0.00823818;-0.141953
0.043413;0.0325966;0.00825889;-0.140967
0.043912;0.0331118;0.00826302;-0.14294
0.044411;0.0335717;0.00826302;-0.142813
0.04491;0.0340226;0.00863561;-0.14294
0.045409;0.0344629;0.00974506;-0.14294
0.045908;0.0351032;0.00981543;-0.142463
0.046407;0.0355848;0.0103453;-0.142749
0.046906;0.0359984;0.00992723;-0.14294
0.047405;0.0366094;0.0103991;-0.14294
