t;vds;corrente;vg
0.000499;-0.00913651;-0.0122796;-0.0176796
0.000998;-0.00869046;-0.0123448;-0.0158821
0.001497;-0.00825822;-0.0119681;-0.0158821
0.001996;-0.0076819;-0.0120302;-0.0158821
0.002495;-0.00716377;-0.0112312;-0.0158821
0.002994;-0.00673347;-0.0111112;-0.0158821
0.003493;-0.00614237;-0.0106641;-0.0158821
0.003992;-0.00557093;-0.0104033;-0.0158821
0.004491;-0.00508243;-0.0103205;-0.0158503
0.00499;-0.00462451;-0.0102584;-0.0158821
0.005489;-0.00407185;-0.00982371;-0.0158821
0.005988;-0.00365639;-0.0101342;-0.0158821
0.006487;-0.00317974;-0.00973268;-0.0158185
0.006986;-0.00272477;-0.00914894;-0.0158821
0.007485;-0.00228265;-0.00864387;-0.0158821
0.007984;-0.00180007;-0.0082713;-0.0155957
0.008483;-0.00132538;-0.008292;-0.0157548
0.008982;-0.000753974;-0.00825888;-0.0157867
0.009481;-0.000289155;-0.00807258;-0.0158821
0.00998;0.000205271;-0.00792355;-0.0158821
0.010479;0.000722393;-0.0081057;-0.0158821
0.010978;0.00112899;-0.00791941;-0.0158821
0.011477;0.00153756;-0.00689688;-0.0158821
0.011976;0.00214251;-0.00681406;-0.0158821
0.012475;0.00265768;-0.00628005;-0.0158821
0.012974;0.00306525;-0.00629247;-0.0158821
0.013473;0.00353994;-0.00620139;-0.0158821
0.013972;0.00410244;-0.00610619;-0.0158821
0.014471;0.00453865;-0.00532378;-0.0158503
0.01497;0.00503014;-0.0059406;-0.0158821
0.015469;0.00554332;-0.0058992;-0.0158821
0.015968;0.00608607;-0.00491395;-0.0158821
0.016467;0.00650947;-0.0047732;-0.0158821
0.016966;0.00710854;-0.00425571;-0.0158821
0.017465;0.00754469;-0.00413979;-0.0158821
0.017964;0.00796805;-0.00405286;-0.0158821
0.018463;0.0084556;-0.00411909;-0.0158821
0.018962;0.00901613;-0.00398662;-0.0158821
0.019461;0.00949178;-0.00329943;-0.0158821
0.01996;0.00993887;-0.00315453;-0.0158821
0.020459;0.0104619;-0.00306345;-0.0158821
0.020958;0.0109425;-0.00259566;-0.0158821
0.021457;0.0114715;-0.00230173;-0.0158821
0.021956;0.0119955;-0.00216511;-0.0158821
0.022455;0.012483;-0.00223135;-0.0158821
0.022954;0.0129163;-0.00199952;-0.0158821
0.023453;0.0134383;-0.00175113;-0.0158821
0.023952;0.0139486;-0.00132473;-0.0158821
0.024451;0.0143957;-0.00112188;-0.0158821
