t;vds;corrente;vg
0.000499;-0.00914342;-0.0122267;0.477466
0.000998;-0.00861054;-0.0120592;0.485885
0.001497;-0.00810621;-0.0117073;0.48859
0.001996;-0.00760592;-0.0120551;0.483879
0.002495;-0.00703647;-0.0114092;0.487699
0.002994;-0.00663281;-0.0104447;0.490564
0.003493;-0.00608414;-0.0103288;0.487317
0.003992;-0.00559363;-0.0102667;0.488463
0.004491;-0.00518406;-0.0101673;0.48929
0.00499;-0.00472716;-0.0101301;0.489099
0.005489;-0.00410639;-0.00977818;0.490086
0.005988;-0.00365639;-0.00959194;0.484675
0.006487;-0.00322613;-0.0096085;0.487221
0.006986;-0.00267543;-0.00908683;0.48407
0.007485;-0.00222245;-0.00855282;0.480442
0.007984;-0.00174777;-0.00826302;0.482925
0.008483;-0.00122175;-0.00819678;0.486012
0.008982;-0.000654299;-0.00812641;0.48929
0.009481;-0.000257575;-0.00717838;0.487699
0.00998;0.000216126;-0.0066816;0.490436
0.010479;0.000697721;-0.0064829;0.488208
0.010978;0.00113688;-0.00621795;0.485439
0.011477;0.00155434;-0.00619726;0.487349
0.011976;0.0020379;-0.00619726;0.489354
0.012475;0.00255011;-0.00619726;0.48528
0.012974;0.00304157;-0.00617242;0.484516
0.013473;0.00359717;-0.00602753;0.486203
0.013972;0.00415178;-0.00585367;0.48337
0.014471;0.00463339;-0.00557631;0.482129
0.01497;0.00516139;-0.00500918;0.484038
0.015469;0.00570418;-0.00430125;0.483879
0.015968;0.00613048;-0.00427641;0.482956
0.016467;0.0065756;-0.0038914;0.483275
0.016966;0.00709965;-0.00406113;0.482033
0.017465;0.00757331;-0.00399076;0.484611
0.017964;0.00793449;-0.00360163;0.482511
0.018463;0.00845362;-0.00372582;0.477768
0.018962;0.00904179;-0.0026412;0.482192
0.019461;0.00948981;-0.002724;0.480219
0.01996;0.0100415;-0.00213613;0.485789
0.020459;0.0106139;-0.00221065;0.481078
0.020958;0.0110639;-0.0020699;0.480856
0.021457;0.0115317;-0.00204092;0.483975
0.021956;0.0120635;-0.00175941;0.480505
0.022455;0.0124948;-0.00151516;0.4785
0.022954;0.0129567;-0.00120882;0.478755
0.023453;0.0134206;-0.000277367;0.481238
0.023952;0.0139496;-0.000240108;0.480665
0.024451;0.0143364;-7.86562e-05;0.480474
0.02495;0.0147658;2.89786e-05;0.480346
0.025449;0.0153499;2.48388e-05;0.479869
0.025948;0.0158532;2.89786e-05;0.482161
0.026447;0.01632;0.00041398;0.4792
0.026946;0.0167632;0.000190431;0.481015
0.027445;0.0172517;0.000637529;0.477959
0.027944;0.0177095;0.00148618;0.482097
0.028443;0.0181595;0.00206162;0.482161
0.028942;0.0187004;0.00219409;0.483434
0.029441;0.0190646;0.00217339;0.48337
0.02994;0.019479;0.00205333;0.481779
0.030439;0.020018;0.0025584;0.481556
0.030938;0.0204875;0.00344431;0.485025
0.031437;0.0209525;0.00375066;0.481206
0.031936;0.0214547;0.00408183;0.479296
0.032435;0.022036;0.00407769;0.480314
0.032934;0.0224546;0.0039535;0.480505
0.033433;0.0229448;0.00415635;0.483561
0.033932;0.0234957;0.00420603;0.482829
0.034431;0.0239762;0.00431367;0.485503
0.03493;0.0244123;0.00464487;0.484707
0.035429;0.0248931;0.00551836;0.489004
0.035928;0.0253894;0.00577914;0.483306
0.036427;0.0258297;0.0060027;0.483147
0.036926;0.0263052;0.00589919;0.482192
0.037425;0.02679;0.00616828;0.479646
0.037924;0.0272311;0.00617656;0.48302
0.038423;0.0277905;0.00622209;0.488717
0.038922;0.0283403;0.00619726;0.489863
0.039421;0.0288928;0.00623037;0.48719
0.03992;0.0292858;0.00633387;0.484962
0.040419;0.0298018;0.00627591;0.481747
0.040918;0.0303839;0.00701279;0.482925
0.041417;0.0307839;0.00767104;0.48684
0.041916;0.0313107;0.00784905;0.483179
0.042415;0.0318547;0.0082506;0.483625
0.042914;0.0323075;0.00826302;0.479551
0.043413;0.032784;0.00846174;0.482033
0.043912;0.0332836;0.00892953;0.479964
0.044411;0.0337345;0.00888402;0.480378
0.04491;0.0341974;0.00892542;0.481556
0.045409;0.0347569;0.0100555;0.484007
0.045908;0.0352907;0.0103288;0.485885
0.046407;0.0357813;0.0105068;0.48493
0.046906;0.036252;0.0107055;0.486585
0.047405;0.0368315;0.0114092;0.484134
0.047904;0.0373159;0.0116452;0.482224
0.048403;0.0378164;0.0123407;0.48719
