t,vds,corrente
0,0.00298512,0
0.02,0.0099504,0.00394656
0.04,-0.00199008,-0.00147996
0.06,0.0388066,0.0192395
0.08,0.0368165,0.0182528
0.1,0.0567173,0.0281192
0.12,0.0547272,0.0266393
0.14,0.073633,0.0360124
0.16,0.0696528,0.0345324
0.18,0.0865685,0.0424255
0.2,0.0825883,0.0404522
0.22,0.0935338,0.0463721
0.24,0.0905486,0.0453854
0.26,0.099504,0.0488387
0.28,0.100499,0.0468654
0.3,0.0945288,0.049332
0.32,0.098509,0.0488387
0.34,0.0905486,0.0448921
0.36,0.0945288,0.0463721
0.38,0.0815933,0.0404522
0.4,0.0845784,0.0419322
0.42,0.0696528,0.0345324
0.44,0.0726379,0.035519
0.46,0.0537322,0.0266393
0.48,0.0567173,0.0276259
0.5,0.0368165,0.0177595
0.52,0.0388066,0.0187462
0.54,0.0179107,0.00789312
0.56,0.0208958,0.0098664
0.58,0,-0.00049332
0.6,0.00298512,0.00049332
0.62,-0.0169157,-0.00887976
0.64,-0.0139306,-0.00789312
0.66,-0.0318413,-0.0162796
0.68,-0.0288562,-0.0147996
0.7,-0.0417917,-0.0212128
0.72,-0.0378115,-0.0202261
0.74,-0.048757,-0.024666
0.76,-0.0447768,-0.023186
0.78,-0.0517421,-0.026146
0.8,-0.0537322,-0.0256526
0.82,-0.0447768,-0.023186
0.84,-0.048757,-0.024666
0.86,-0.0378115,-0.0197328
0.88,-0.0417917,-0.0212128
0.9,-0.0268661,-0.0143063
0.92,-0.0308462,-0.0157862
0.94,-0.0129355,-0.0073998
0.96,-0.0179107,-0.00838644
0.98,0.00298512,0.00098664
1,0.00099504,0
1.02,0.0218909,0.0103597
1.04,0.0189058,0.00887976
1.06,0.0398016,0.0192395
1.08,0.0378115,0.0182528
1.1,0.0577123,0.0281192
1.12,0.0547272,0.0271326
1.14,0.0726379,0.0360124
1.16,0.0676627,0.0345324
1.18,0.0855734,0.0424255
1.2,0.0825883,0.0409456
1.22,0.0945288,0.0463721
1.24,0.0905486,0.0453854
1.26,0.099504,0.0488387
1.28,0.099504,0.049332
1.3,0.0945288,0.0468654
1.32,0.098509,0.0488387
1.34,0.0905486,0.0448921
1.36,0.0935338,0.0463721
1.38,0.0815933,0.0404522
1.4,0.0855734,0.0419322
1.42,0.0696528,0.0340391
1.44,0.0726379,0.035519
1.46,0.0537322,0.0266393
1.48,0.0567173,0.0276259
1.5,0.0368165,0.0177595
1.52,0.0398016,0.0187462
1.54,0.0179107,0.00838644
1.56,0.0208958,0.0098664
1.58,0,-0.00049332
1.6,0.00298512,0.00049332
1.62,-0.0169157,-0.00887976
1.64,-0.0129355,-0.00789312
1.66,-0.0318413,-0.0157862
1.68,-0.0278611,-0.0147996
1.7,-0.0417917,-0.0212128
1.72,-0.0378115,-0.0202261
1.74,-0.049752,-0.024666
1.76,-0.0437818,-0.023186
1.78,-0.050747,-0.026146
1.8,-0.0537322,-0.026146
