t,vds,corrente
0,0,-0.00049332
0.02,0.0099504,-0.00197328
0.04,-0.00099504,-0.00147996
0.06,0.0427867,0.0207194
0.08,0.0388066,0.0197328
0.1,0.0597024,0.0295992
0.12,0.0567173,0.0281192
0.14,0.074628,0.0374923
0.16,0.0716429,0.0360124
0.18,0.0885586,0.0429188
0.2,0.0845784,0.0414389
0.22,0.0965189,0.047852
0.24,0.0915437,0.0458788
0.26,0.100499,0.049332
0.28,0.0925387,0.049332
0.3,0.103484,0.0468654
0.32,0.099504,0.0488387
0.34,0.0895536,0.0443988
0.36,0.0935338,0.0458788
0.38,0.0786082,0.0394656
0.4,0.0835834,0.0409456
0.42,0.0656726,0.0330524
0.44,0.0726379,0.0340391
0.46,0.050747,0.0251593
0.48,0.0527371,0.026146
0.5,0.0308462,0.0157862
0.52,0.0378115,0.0172662
0.54,0.0159206,0.00690648
0.56,0.0218909,0.00838644
0.58,-0.00298512,-0.00197328
0.6,0,-0.00049332
0.62,-0.0189058,-0.0098664
0.64,-0.0169157,-0.00887976
0.66,-0.0338314,-0.0167729
0.68,-0.0308462,-0.0157862
0.7,-0.0437818,-0.0226927
0.72,-0.0398016,-0.0207194
0.74,-0.050747,-0.0251593
0.76,-0.0437818,-0.0236794
0.78,-0.0527371,-0.0256526
0.8,-0.0527371,-0.026146
0.82,-0.0437818,-0.0226927
0.84,-0.0477619,-0.0241727
0.86,-0.0358214,-0.0187462
0.88,-0.0398016,-0.0202261
0.9,-0.025871,-0.0133196
0.92,-0.0278611,-0.0147996
0.94,-0.0109454,-0.00591984
0.96,-0.0139306,-0.00690648
0.98,0.0099504,0.00295992
1,0.00298512,0.00098664
1.02,0.025871,0.0118397
1.04,0.0218909,0.0103597
1.06,0.0427867,0.0207194
1.08,0.0407966,0.0197328
1.1,0.0597024,0.0295992
1.12,0.0567173,0.0281192
1.14,0.0776131,0.036999
1.16,0.0726379,0.0360124
1.18,0.0875635,0.0429188
1.2,0.0815933,0.0419322
1.22,0.0945288,0.0473587
1.24,0.0905486,0.0458788
1.26,0.100499,0.049332
1.28,0.101494,0.0468654
1.3,0.0925387,0.049332
1.32,0.098509,0.0488387
1.34,0.0875635,0.0443988
1.36,0.0935338,0.0458788
1.38,0.0796032,0.0394656
1.4,0.0825883,0.0409456
1.42,0.0636826,0.0325591
1.44,0.0716429,0.0345324
1.46,0.0517421,0.0251593
1.48,0.0537322,0.026146
1.5,0.0328363,0.0162796
1.52,0.0358214,0.0172662
1.54,0.0149256,0.00690648
1.56,0.0179107,0.00789312
1.58,-0.00298512,-0.00197328
1.6,0,-0.00098664
1.62,-0.0199008,-0.0098664
1.64,-0.0169157,-0.00887976
1.66,-0.0328363,-0.0172662
1.68,-0.0288562,-0.0157862
1.7,-0.0427867,-0.0221994
1.72,-0.0378115,-0.0207194
1.74,-0.049752,-0.0251593
1.76,-0.0457718,-0.023186
1.78,-0.0537322,-0.026146
1.8,-0.0517421,-0.0256526
1.82,-0.0417917,-0.0226927
1.84,-0.0477619,-0.0241727
1.86,-0.0368165,-0.0192395
1.88,-0.0398016,-0.0202261
1.9,-0.025871,-0.0133196
1.92,-0.0308462,-0.0147996
1.94,-0.0109454,-0.00591984
1.96,-0.0129355,-0.00690648
1.98,0.00597024,0.00197328
2,0.00398016,0.00098664
2.02,0.024876,0.0118397
2.04,0.0228859,0.0103597
2.06,0.0427867,0.0207194
2.08,0.0407966,0.0197328
2.1,0.0597024,0.0295992
2.12,0.0557222,0.0281192
2.14,0.074628,0.0374923
2.16,0.0726379,0.0360124
2.18,0.0865685,0.0434122
2.2,0.0845784,0.0419322
2.22,0.0955238,0.0473587
2.24,0.0915437,0.0458788
2.26,0.099504,0.0488387
2.28,0.103484,0.049332
2.3,0.0935338,0.0468654
2.32,0.100499,0.0483454
2.34,0.0885586,0.0443988
2.36,0.0945288,0.0458788
2.38,0.0805982,0.0394656
2.4,0.0825883,0.0409456
2.42,0.0666677,0.0330524
2.44,0.0696528,0.0345324
2.46,0.050747,0.0251593
2.48,0.0527371,0.026146
2.5,0.0328363,0.0162796
2.52,0.0358214,0.0172662
2.54,0.0149256,0.00690648
2.56,0.0169157,0.00838644
2.58,-0.00298512,-0.00197328
2.6,0.00199008,-0.00098664
2.62,-0.0199008,-0.0098664
2.64,-0.0159206,-0.00887976
