t;vds;corrente;vg
0.000499;0.0563726;-0.00307638;-0.202413
0.000998;0.0576375;-0.00268047;-0.20379
0.001497;0.0577452;-0.00160648;-0.203693
0.001996;0.0579128;-0.00148981;-0.203693
0.002495;0.0596209;-0.000481647;-0.203693
0.002994;0.0597366;3.29076e-05;-0.203693
0.003493;0.0597885;0.00142101;-0.203693
0.003992;0.0609815;0.00246508;-0.203693
0.004491;0.0617277;0.00298561;-0.203669
0.00499;0.0617516;0.00354205;-0.203693
0.005489;0.0626016;0.00435877;-0.203693
0.005988;0.0637189;0.00444253;-0.203693
0.006487;0.0637189;0.00447843;-0.203693
0.006986;0.0638146;0.00479255;-0.203693
0.007485;0.0652192;0.00534002;-0.203693
0.007984;0.06571;0.00500796;-0.203693
0.008483;0.065722;0.00447843;-0.203693
0.008982;0.0660372;0.00376939;-0.203693
0.009481;0.0676333;0.00297663;-0.203693
0.00998;0.0677011;0.00260569;-0.203605
0.010479;0.0678807;0.00157956;-0.203693
0.010978;0.0695885;0.000523529;-0.203693
0.011477;0.0696922;-0.000284202;-0.203693
0.011976;0.0700673;-0.0016364;-0.203693
0.012475;0.0715477;-0.00288389;-0.203693
0.012974;0.0716834;-0.00306937;-0.203693
0.013473;0.0716834;-0.00398481;-0.203693
0.013972;0.071843;-0.00431688;-0.203693
0.014471;0.0735069;-0.00444852;-0.203693
0.01497;0.0736745;-0.00446048;-0.203693
0.015469;0.0736745;-0.00447843;-0.203693
0.015968;0.0743688;-0.00447843;-0.203693
0.016467;0.0756299;-0.00441561;-0.203677
0.016966;0.0756658;-0.003201;-0.203693
0.017465;0.0764997;-0.00293176;-0.203669
0.017964;0.077617;-0.00199838;-0.203693
0.018463;0.0776609;-0.0014928;-0.203693
0.018962;0.0784709;-0.00103809;-0.203693
0.019461;0.079648;0;-0.203693
0.01996;0.079648;0.000978255;-0.203693
0.020459;0.0802745;0.00182188;-0.203693
0.020958;0.0816232;0.00298561;-0.203693
0.021457;0.0816391;0.00310228;-0.203677
0.021956;0.0825489;0.00411046;-0.203693
0.022455;0.0836302;0.00446647;-0.203693
0.022954;0.0836302;0.00446647;-0.203693
0.023453;0.0836502;0.00450237;-0.203693
0.023952;0.0848717;0.00505281;-0.203693
0.024451;0.085622;0.00527718;-0.203693
0.02495;0.0856978;0.00464597;-0.203693
0.025449;0.0868949;0.00411643;-0.203693
0.025948;0.0876131;0.00298561;-0.203693
0.026447;0.0876211;0.00279714;-0.203693
0.026946;0.0886745;0.00178299;-0.203693
0.027445;0.0896042;0.00113082;-0.203693
0.027944;0.0896042;1.4958e-05;-0.203693
0.028443;0.0896282;-0.0011398;-0.203693
0.028942;0.0906297;-0.00227661;-0.203693
0.029441;0.0915953;-0.00298561;-0.203693
0.02994;0.0915953;-0.00382924;-0.203693
0.030439;0.0919026;-0.00447544;-0.203693
0.030938;0.0934309;-0.00443057;-0.203693
0.031437;0.0935866;-0.00440065;-0.203693
0.031936;0.0935906;-0.00440962;-0.203693
0.032435;0.0947716;-0.00438868;-0.203693
0.032934;0.0955776;-0.00447843;-0.203717
0.033433;0.0955776;-0.00379932;-0.203693
0.033932;0.0965752;-0.00297962;-0.203693
0.034431;0.0975688;-0.00209411;-0.203693
0.03493;0.0975688;-0.00154067;-0.203693
0.035429;0.0979478;-0.00135519;-0.203693
0.035928;0.0992686;-0.00016753;-0.203693
0.036427;0.0995599;0.000499596;-0.203693
0.036926;0.0995838;0.00159751;-0.203693
0.037425;0.101161;0.00288988;-0.203693
0.037924;0.101552;0.00303646;-0.203693
0.038423;0.101552;0.00400874;-0.203693
0.038922;0.102322;0.00446647;-0.203693
0.039421;0.103488;0.00447843;-0.203693
0.03992;0.103559;0.00449339;-0.203693
0.040419;0.104565;0.00499297;-0.203693
0.040918;0.105535;0.00563317;-0.203693
0.041417;0.105535;0.00501993;-0.203693
0.041916;0.106381;0.00447843;-0.203693
0.042415;0.107526;0.00335058;-0.203693
0.042914;0.107526;0.00287492;-0.203517
0.043413;0.107538;0.00254586;-0.203693
0.043912;0.108779;0.00154964;-0.203693
0.044411;0.109517;0.000311126;-0.203693
0.04491;0.109521;-0.000613278;-0.203693
0.045409;0.110251;-0.0017082;-0.203693
0.045908;0.111488;-0.00298561;-0.203693
0.046407;0.111508;-0.00303946;-0.203693
0.046906;0.111508;-0.00412841;-0.203693
0.047405;0.112701;-0.00437373;-0.203693
0.047904;0.113499;-0.00443356;-0.203693
0.048403;0.113499;-0.0044186;-0.203693
0.048902;0.113819;-0.00447843;-0.203693
0.049401;0.115075;-0.00446946;-0.203693
0.0499;0.11549;-0.00423012;-0.203693
0.050399;0.115734;-0.0030245;-0.203693
0.050898;0.117422;-0.00276723;-0.203693
0.051397;0.117482;-0.00156759;-0.203693
0.051896;0.117658;-0.0014928;-0.203693
0.052395;0.119106;-0.000714993;-0.203693
0.052894;0.119473;9.27396e-05;-0.203685
0.053393;0.119473;0.00133724;-0.203693
0.053892;0.120303;0.00224071;-0.203693
0.054391;0.121448;0.00299159;-0.203693
0.05489;0.121464;0.00355402;-0.203693
0.055389;0.122031;0.00445151;-0.203693
0.055888;0.1234;0.00447245;-0.203693
0.056387;0.123455;0.00447843;-0.203693
0.056886;0.123946;0.00456219;-0.203693
0.057385;0.125395;0.00501095;-0.203693
0.057884;0.125447;0.00502889;-0.203693
0.058383;0.125586;0.00457118;-0.203693
0.058882;0.127146;0.00410746;-0.203693
0.059381;0.127438;0.00303347;-0.203693
0.05988;0.127438;0.00271039;-0.203693
0.060379;0.128435;0.00162742;-0.203693
0.060878;0.129429;0.00102911;-0.203693
0.061377;0.129429;-7.17984e-05;-0.203693
0.061876;0.129449;-0.00135519;-0.203693
0.062375;0.13069;-0.00265055;-0.203693
0.062874;0.13142;-0.00298561;-0.203693
0.063373;0.1315;-0.00396087;-0.203693
0.063872;0.132697;-0.00446048;-0.203693
0.064371;0.133411;-0.00434381;-0.203693
0.06487;0.133443;-0.00442758;-0.203693
0.065369;0.134433;-0.00447843;-0.203693
0.065868;0.135402;-0.00447843;-0.203693
0.066367;0.135402;-0.00447843;-0.203693
0.066866;0.135402;-0.00350913;-0.203693
0.067365;0.13628;-0.00297065;-0.203693
0.067864;0.13731;-0.00189965;-0.203693
0.068363;0.137394;-0.00148981;-0.203693
0.068862;0.137573;-0.00120262;-0.203693
0.069361;0.139073;-4.78656e-05;-0.203693
0.06986;0.139384;0.000634219;-0.203693
0.070359;0.139863;0.00191762;-0.203693
0.070858;0.14122;0.00294372;-0.203693
0.071357;0.141376;0.00304544;-0.203693
0.071856;0.141743;0.00426004;-0.203693
0.072355;0.143307;0.00440962;-0.203693
0.072854;0.143367;0.00447843;-0.203693
0.073353;0.143934;0.00458015;-0.203693
0.073852;0.145278;0.00516948;-0.203693
0.074351;0.145358;0.00569003;-0.203653
0.07485;0.145996;0.00471179;-0.203693
0.075349;0.147309;0.00436475;-0.203693
0.075848;0.147349;0.00322194;-0.203693
0.076347;0.147349;0.00298561;-0.203693
0.076846;0.148826;0.00222276;-0.203693
0.077345;0.149341;0.00140306;-0.203693
0.077844;0.149349;0.000218387;-0.203693
0.078343;0.150521;-0.000822691;-0.203693
0.078842;0.151304;-0.00201933;-0.203693
0.079341;0.151344;-0.00298561;-0.203693
0.07984;0.152649;-0.00315015;-0.203693
0.080339;0.152796;-0.00426303;-0.203693
0.080838;0.151459;-0.00430491;-0.203693
0.081337;0.151332;-0.00439466;-0.203693
0.081836;0.151136;-0.00442159;-0.203693
0.082335;0.14972;-0.00447843;-0.203653
0.082834;0.149341;-0.00446647;-0.203685
0.083333;0.149093;-0.00402668;-0.203693
0.083832;0.147552;-0.0029886;-0.203693
0.084331;0.147349;-0.00263261;-0.203693
0.08483;0.147349;-0.00154665;-0.203549
0.085329;0.146591;-0.00143596;-0.203573
0.085828;0.145374;-0.000347025;-0.203422
0.086327;0.145358;0.000209412;-0.203509
0.086826;0.144688;0.00146588;-0.203573
0.087325;0.143371;0.00250696;-0.203557
0.087824;0.143367;0.00298561;-0.203685
0.088323;0.142366;0.00381728;-0.203693
0.088822;0.141376;0.00446946;-0.203693
0.089321;0.141336;0.00447843;-0.203685
0.08982;0.140326;0.0044904;-0.203693
0.090319;0.139396;0.00466391;-0.203693
0.090818;0.139321;0.00544171;-0.203693
0.091317;0.138323;0.00489427;-0.203693
0.091816;0.137402;0.00449638;-0.203693
0.092315;0.137394;0.0037694;-0.203645
0.092814;0.13711;0.00298561;-0.203693
0.093313;0.135658;0.00258773;-0.203693
0.093812;0.135402;0.0015287;-0.203693
0.094311;0.135402;0.000789783;-0.203693
0.09481;0.13525;-0.000152572;-0.203661
0.095309;0.133906;-0.00150776;-0.203677
0.095808;0.133411;-0.00278816;-0.203693
0.096307;0.133319;-0.00313519;-0.203693
0.096806;0.132062;-0.00408353;-0.203693
0.097305;0.131432;-0.00435577;-0.203693
0.097804;0.131364;-0.00429295;-0.203661
0.098303;0.130003;-0.00445749;-0.203693
0.098802;0.129429;-0.00447245;-0.203693
0.099301;0.129429;-0.00447843;-0.203725
0.0998;0.129078;-0.00446946;-0.203693
0.100299;0.127593;-0.00336852;-0.203693
0.100798;0.127438;-0.00285697;-0.203693
0.101297;0.127438;-0.00179495;-0.203693
0.101796;0.126233;-0.0014569;-0.203693
0.102295;0.125447;-0.000918423;-0.203693
0.102794;0.125379;0;-0.203693
0.103293;0.124565;0.00103809;-0.203693
0.103792;0.123487;0.00192659;-0.203693
0.104291;0.123455;0.00298561;-0.203717
0.10479;0.122753;0.0031322;-0.203693
0.105289;0.121468;0.00427201;-0.203693
0.105788;0.12146;0.00447843;-0.203693
0.106287;0.121021;0.00447843;-0.203693
0.106786;0.119525;0.00458014;-0.203693
0.107285;0.119473;0.0054417;-0.203693
0.107784;0.119377;0.00525325;-0.203765
0.108283;0.117825;0.00459511;-0.203693
0.108782;0.117482;0.0043827;-0.203693
0.109281;0.117482;0.00300056;-0.203693
0.10978;0.116129;0.00290783;-0.203693
0.110279;0.11549;0.00190564;-0.203709
0.110778;0.115458;0.0012445;-0.203693
0.111277;0.114249;1.19664e-05;-0.203693
0.111776;0.113499;-0.00118168;-0.203693
0.112275;0.113499;-0.0022078;-0.203693
0.112774;0.113252;-0.00298561;-0.203693
0.113273;0.111744;-0.00346427;-0.203693
0.113772;0.111508;-0.00443655;-0.203693
0.114271;0.111508;-0.00446946;-0.203693
0.11477;0.11083;-0.00440364;-0.203693
0.115269;0.109593;-0.00447843;-0.203693
0.115768;0.109517;-0.00447843;-0.203693
0.116267;0.109234;-0.00447843;-0.203693
0.116766;0.107721;-0.00399078;-0.203693
0.117265;0.107526;-0.00298561;-0.203693
0.117764;0.107526;-0.00248603;-0.203693
0.118263;0.107147;-0.00149879;-0.203693
0.118762;0.10571;-0.00134323;-0.203693
0.119261;0.105535;-0.000236337;-0.203693
0.11976;0.105152;0.000388908;-0.203693
0.120259;0.103691;0.00155563;-0.203693
0.120758;0.103543;0.00257576;-0.203693
0.121257;0.103124;0.00298561;-0.203693
0.121756;0.10164;0.00374548;-0.203693
0.122255;0.101552;0.0044186;-0.203693
0.122754;0.101412;0.00446647;-0.203693
0.123253;0.0997514;0.00447843;-0.203693
0.123752;0.0995599;0.00472074;-0.203693
0.124251;0.0995599;0.00528018;-0.203693
0.12475;0.0987379;0.00509173;-0.203693
0.125249;0.0976206;0.00447843;-0.203693
0.125748;0.0975688;0.00345827;-0.203693
0.126247;0.09705;0.00290783;-0.203693
0.126746;0.0957253;0.00209411;-0.203693
0.127245;0.0955776;0.00148682;-0.203693
0.127744;0.0952185;0.000418823;-0.203693
0.128243;0.0937541;-0.000463697;-0.203693
0.128742;0.0935866;-0.00184283;-0.203693
0.129241;0.0935866;-0.00297663;-0.203693
0.12974;0.0928324;-0.00323691;-0.203653
0.130239;0.0916432;-0.00420918;-0.203693
0.130738;0.0915953;-0.00441262;-0.203693
0.131237;0.0911923;-0.00442458;-0.203693
0.131736;0.0898516;-0.00447245;-0.203693
0.132235;0.0896042;-0.00447843;-0.203693
0.132734;0.0896042;-0.00447843;-0.203693
0.133233;0.0895085;-0.00442458;-0.203693
0.133732;0.0877687;-0.00313518;-0.203693
0.134231;0.0876131;-0.00279415;-0.203693
0.13473;0.0875652;-0.00171717;-0.203693
0.135229;0.0859971;-0.0014928;-0.203693
0.135728;0.085622;-0.000939364;-0.203693
0.136227;0.0855223;0;-0.203693
0.136726;0.0842807;0.00119066;-0.203693
0.137225;0.0836302;0.00206121;-0.203693
0.137724;0.0836302;0.00298561;-0.203693
0.138223;0.0832073;0.0032399;-0.203693
0.138722;0.0817509;0.00439467;-0.203597
0.139221;0.0816391;0.0044186;-0.203693
0.13972;0.0812042;0.00447843;-0.203693
0.140219;0.0797757;0.00462503;-0.203693
0.140718;0.079648;0.00510667;-0.203693
0.141217;0.0790535;0.00513359;-0.203693
0.141716;0.0777487;0.00451733;-0.203693
0.142215;0.0776569;0.00405361;-0.203693
0.142714;0.0773257;0.00298561;-0.203693
0.143213;0.0758015;0.00281808;-0.203693
0.143712;0.0756538;0.00157058;-0.203693
