t;vds;corrente;vg
0.000499;-0.0339184;-0.00143424;-0.00596429
0.000998;-0.0337069;-0.00191762;-0.00393795
0.001497;-0.032438;-0.00298261;-0.00396997
0.001996;-0.0318594;-0.00303347;-0.00368983
0.002495;-0.0318076;-0.00309031;-0.00399398
0.002994;-0.0303791;-0.00303347;-0.00355376
0.003493;-0.0298723;-0.0030574;-0.00331364
0.003992;-0.0297965;-0.003557;-0.00372184
0.004491;-0.0289066;-0.00432287;-0.0038259
0.00499;-0.027877;-0.00411644;-0.00347372
0.005489;-0.027877;-0.00335955;-0.00314556
0.005988;-0.0276536;-0.00297364;-0.0038419
0.006487;-0.0260375;-0.00199239;-0.00369783
0.006986;-0.0258859;-0.00144195;-0.00398597
0.007485;-0.0258779;-0.0014928;-0.00352975
0.007984;-0.0248561;-0.000347025;-0.00360178
0.008483;-0.0239064;0.000179496;-0.00356977
0.008982;-0.0237029;0.00144494;-0.00379388
0.009481;-0.02245;0.00227362;-0.00360979
0.00998;-0.0219033;0.00297364;-0.00379388
0.010479;-0.0217836;0.00307536;-0.00377787
0.010978;-0.0206782;0.0033775;-0.00316957
0.011477;-0.019912;0.00386813;-0.00307352
0.011976;-0.019912;0.00443954;-0.00314556
0.012475;-0.0193933;0.00447843;-0.00288143
0.012974;-0.0180206;0.00447843;-0.00394595
0.013473;-0.0179208;0.00446647;-0.00345771
0.013972;-0.0171827;0.00414336;-0.00344171
0.014471;-0.0160335;0.00306937;-0.00325761
0.01497;-0.0159297;0.00292279;-0.00294546
0.015469;-0.0158539;0.0019565;-0.00253726
0.015968;-0.0144373;0.00151374;-0.00316957
0.016467;-0.0139385;0.000158555;-0.00333765
0.016966;-0.0139345;-0.000302152;-0.00231315
0.017465;-0.013723;-0.00147186;-0.00320159
0.017964;-0.0122984;-0.00262363;-0.00353775
0.018463;-0.0119472;-0.00298561;-0.00357777
0.018962;-0.0116838;-0.00310826;-0.0036258
0.019461;-0.0102074;-0.00339545;-0.00349773
0.01996;-0.009956;-0.00336853;-0.00360178
0.020459;-0.00981635;-0.00347324;-0.00326562
0.020958;-0.00826813;-0.00407156;-0.00310554
0.021457;-0.00796486;-0.00391599;-0.00312155
0.021956;-0.00796087;-0.00349717;-0.00284941
0.022455;-0.00735429;-0.00301253;-0.0032336
0.022954;-0.00600952;-0.0027433;-0.00367382
0.023453;-0.0059736;-0.00158255;-0.00356977
0.023952;-0.00529925;-0.00148682;-0.00313756
0.024451;-0.00404229;-0.0007479;-0.00230514
0.02495;-0.00398243;0;-0.00337767
0.025449;-0.00360334;0.000993213;-0.00338568
0.025948;-0.00222665;0.00163341;-0.00300149
0.026447;-0.00199121;0.00278816;-0.00349773
0.026946;-0.00177972;0.00301253;-0.00265732
0.027445;-0.000351155;0.0036647;-0.00366582
0.027944;0;0.00403267;-0.00324961
0.028443;0;0.00438868;-0.00320959
0.028942;0.00113727;0.00447843;-0.00372985
0.029441;0.00199121;0.00447843;-0.00338568
0.02994;0.00199121;0.00447843;-0.00394595
0.030439;0.00206304;0.00445749;-0.00366582
0.030938;0.00326815;0.0035899;-0.00328963
0.031437;0.00398243;0.00298561;-0.00387392
0.031936;0.0040343;0.00211207;-0.00397797
0.032435;0.00500794;0.00151674;-0.00378588
0.032934;0.0059736;0.000918423;-0.00399398
0.033433;0.0059736;0;-0.00389793
0.033932;0.00671186;-0.00103809;-0.0038419
0.034431;0.00782519;-0.00222575;-0.00397797
0.03493;0.00796486;-0.00298561;-0.00399398
0.035429;0.00796486;-0.0030245;-0.00387392
0.035928;0.00830801;-0.00320399;-0.00376987
0.036427;0.00972456;-0.00326382;-0.0032336
0.036926;0.009956;-0.00313519;-0.00371384
0.037425;0.009956;-0.00375744;-0.00396196
0.037924;0.0111332;-0.00417029;-0.00398597
0.038423;0.0119432;-0.00385018;-0.00398597
0.038922;0.0119472;-0.00315014;-0.00393795
0.039421;0.0129728;-0.00282706;-0.0038259
0.03992;0.0139385;-0.00172914;-0.00399398
0.040419;0.0140024;-0.0014928;-0.00399398
0.040918;0.0147685;-0.00123553;-0.00396997
0.041417;0.0159297;-5.68404e-05;-0.00399398
0.041916;0.0160095;0.000604303;-0.00381789
0.042415;0.0169432;0.00151075;-0.00399398
0.042914;0.0179169;0.00265653;-0.00397797
0.043413;0.0179208;0.00298561;-0.00399398
0.043912;0.0187309;0.00309331;-0.00399398
0.044411;0.019912;0.00326383;-0.00399398
0.04491;0.019912;0.00406558;-0.00396196
0.045409;0.0199599;0.00447843;-0.00388993
0.045908;0.0209855;0.00447843;-0.00399398
0.046407;0.0219033;0.00451134;-0.00373785
0.046906;0.0219033;0.00447843;-0.0038419
0.047405;0.0226494;0.00397582;-0.00388192
0.047904;0.0238904;0.00299757;-0.00399398
0.048403;0.0238944;0.00285398;-0.00319358
0.048902;0.0239942;0.00175606;-0.00378588
0.049401;0.0255267;0.001424;-0.00388192
0.0499;0.0258859;0.000227362;-0.00364981
0.050399;0.0258859;-0.00041284;-0.00334566
0.050898;0.0260774;-0.00166931;-0.00368983
0.051397;0.0277853;-0.00278218;-0.00358578
0.051896;0.027877;-0.0029886;-0.00375386
0.052395;0.0280167;-0.00308732;-0.00357777
0.052894;0.0295969;-0.00317707;-0.00392194
0.053393;0.0298683;-0.00316809;-0.00388993
0.053892;0.0298683;-0.00349119;-0.00373785
0.054391;0.0313207;-0.0037724;-0.00386592
0.05489;0.0318594;-0.0036976;-0.00379388
0.055389;0.0318594;-0.00324288;-0.00319358
0.055888;0.032849;-0.00298561;-0.00389793
0.056387;0.0338505;-0.00240226;-0.00387392
0.056886;0.0338505;-0.00158854;-0.00340169
0.057385;0.034485;-0.00140007;-0.00373785
0.057884;0.0357938;-0.000418823;-0.0038259
0.058383;0.0358417;5.38488e-05;-0.00325761
0.058882;0.0359295;0.0013163;-0.00328963
0.059381;0.0373101;0.00201634;-0.00392194
0.05988;0.0378329;0.00286295;-0.00391394
0.060379;0.0378329;0.00300655;-0.00381789
0.060878;0.0383037;0.00384719;-0.00393795
0.061377;0.0397761;0.00400874;-0.00381789
0.061876;0.039824;0.00445151;-0.00372985
0.062375;0.0408056;0.00447843;-0.00399398
0.062874;0.0418151;0.00449638;-0.00399398
0.063373;0.041859;0.00450536;-0.00368182
0.063872;0.0423618;0.00443057;-0.00380188
0.064371;0.0438066;0.00333562;-0.00392995
0.06487;0.0438066;0.00289586;-0.00397797
0.065369;0.0438744;0.00216592;-0.00366582
0.065868;0.045263;0.00152272;-0.00344171
0.066367;0.0457977;0.000798758;-0.00392194
0.066866;0.0457977;-2.9916e-06;-0.00396196
0.067365;0.0467593;-0.00121758;-0.00399398
0.067864;0.0477489;-0.00220182;-0.00381789
0.068363;0.0477888;-0.00298561;-0.00388993
0.068862;0.0480681;-0.00306339;-0.00398597
0.069361;0.0496123;-0.00315014;-0.00393795
0.06986;0.0497799;-0.00317706;-0.0034257
0.070359;0.0497799;-0.00339845;-0.00392194
0.070858;0.0507302;-0.00402369;-0.00378588
0.071357;0.0517717;-0.00424807;-0.00398597
0.071856;0.0519313;-0.0037694;-0.00399398
0.072355;0.053308;-0.00298561;-0.00398597
0.072854;0.0537469;-0.00278219;-0.00358578
0.073353;0.0538706;-0.00164238;-0.00391394
0.073852;0.0549999;-0.00148383;-0.00399398
0.074351;0.0557541;-0.00120262;-0.00392995
0.07485;0.0557541;0;-0.00399398
0.075349;0.0564204;0.000837649;-0.00380989
0.075848;0.0576774;0.00165435;-0.00361779
0.076347;0.0577452;0.00262961;-0.00388192
0.076846;0.0581762;0.00298561;-0.00360979
0.077345;0.0596568;0.00312023;-0.00388993
0.077844;0.0597366;0.00320998;-0.00374586
0.078343;0.0598802;0.00429295;-0.00384991
0.078842;0.0615042;0.00447843;-0.00348973
0.079341;0.0617277;0.00447843;-0.00354576
0.07984;0.0618594;0.00449339;-0.00353775
0.080339;0.0631722;0.00446347;-0.00368983
0.080838;0.0637189;0.00378735;-0.0032176
0.081337;0.0637189;0.00298561;-0.00231315
0.081836;0.0641937;0.00260568;-0.00289744
0.082335;0.0653628;0.00180393;-0.00345771
0.082834;0.06571;0.00118168;-0.00326562
0.083333;0.06571;1.19664e-05;-0.00384991
0.083832;0.0667075;-0.000795766;-0.00327362
0.084331;0.0676851;-0.00178898;-0.00385791
0.08483;0.0677011;-0.00291979;-0.0038259
0.085329;0.0684672;-0.0029886;-0.00372985
0.085828;0.0696683;-0.00335657;-0.00387392
0.086327;0.0697321;-0.00329973;-0.00324161
0.086826;0.070993;-0.00319801;-0.00387392
0.087325;0.0716195;-0.0035959;-0.00366582
0.087824;0.0716834;-0.00393394;-0.00296947
0.088323;0.0716834;-0.00356298;-0.00243321
0.088822;0.07223;-0.00339545;-0.00329763
0.089321;0.0736027;-0.00297663;-0.00369783
0.08982;0.0736745;-0.00215096;-0.00379388
0.090319;0.0738221;-0.0014928;-0.00248924
0.090818;0.075119;-0.0012445;-0.00283341
0.091317;0.0756658;-0.000140605;-0.00208103
0.091816;0.0758374;0.000257278;-0.00267333
0.092315;0.0772898;0.00148084;-0.00298548
0.092814;0.0776569;0.00221977;-0.00260929
0.093313;0.0777526;0.00297663;-0.00369783
0.093812;0.0791572;0.00332665;-0.00369783
0.094311;0.079648;0.0039489;-0.00370584
0.09481;0.0797318;0.00414935;-0.00300949
0.095309;0.0813279;0.00443057;-0.0032176
0.095808;0.0816391;0.00447843;-0.00310554
0.096307;0.0816391;0.00452929;-0.00352975
0.096806;0.082924;0.00447843;-0.00212906
0.097305;0.0836302;0.00439167;-0.0034257
0.097804;0.0836302;0.0030574;-0.00328963
0.098303;0.0840373;0.00296167;-0.00324161
0.098802;0.0855702;0.00196547;-0.00359378
0.099301;0.085622;0.00147186;-0.0038259
0.0998;0.0859293;0.000439764;-0.00316957
0.100299;0.0871981;-0.000140605;-0.00358578
0.100798;0.0876131;-0.00144494;-0.0038419
0.101297;0.0877607;-0.00268346;-0.00379388
0.101796;0.089297;-0.00298561;-0.00376186
0.102295;0.0896042;-0.00303945;-0.0036338
0.102794;0.0896042;-0.00307835;-0.00388192
0.103293;0.0898676;-0.00306937;-0.00390593
0.103792;0.0912242;-0.00321895;-0.0038259
0.104291;0.0915953;-0.00374847;-0.00390593
0.10479;0.0915953;-0.00396386;-0.00368983
0.105289;0.0926248;-0.00339246;-0.00348973
0.105788;0.0935467;-0.00299458;-0.00315356
0.106287;0.0935866;-0.00239927;-0.00386592
0.106786;0.093806;-0.0014928;-0.00381789
0.107285;0.0953742;-0.00157657;-0.00339368
0.107784;0.0955776;-0.000652169;-0.00341769
0.108283;0.0955896;1.19664e-05;-0.00340969
0.108782;0.0969982;0.00116074;-0.00339368
0.109281;0.0975688;0.00177103;-0.00239319
0.10978;0.0976087;0.00292578;-0.00227313
0.110279;0.0985464;0.00301253;-0.00337767
0.110778;0.0995599;0.00350914;-0.00300949
0.111277;0.0995599;0.00381428;-0.00333765
0.111776;0.0999235;0.00441262;-0.00297748
0.112275;0.101245;0.00447843;-0.00356977
0.112774;0.101552;0.00454125;-0.0030255
0.113273;0.1016;0.00447843;-0.00308153
0.113772;0.102678;0.0044904;-0.00304951
0.114271;0.103543;0.00355999;-0.00344171
0.11477;0.103671;0.00297663;-0.0034257
0.115269;0.105096;0.00258175;-0.00352175
0.115768;0.105535;0.00157058;-0.00365781
0.116267;0.105583;0.000882523;-0.00329763
0.116766;0.106883;0;-0.00316957
0.117265;0.107526;-0.000948339;-0.00297748
0.117764;0.107526;-0.00199241;-0.00355376
0.118263;0.107725;-0.00283902;-0.00286542
0.118762;0.109341;-0.00299159;-0.00312155
0.119261;0.109517;-0.00316211;-0.00370584
0.11976;0.109529;-0.00328776;-0.00376987
0.120259;0.110914;-0.00319502;-0.00308153
0.120758;0.111508;-0.00337152;-0.00298548
0.121257;0.111508;-0.00400275;-0.00352175
0.121756;0.111771;-0.0036288;-0.0030335
0.122255;0.113012;-0.00313219;-0.00364981
0.122754;0.113499;-0.00289885;-0.00368983
0.123253;0.113499;-0.00188171;-0.00372985
0.123752;0.114198;-0.00147186;-0.00389793
0.124251;0.11549;-0.00102014;-0.00330564
0.12475;0.11549;0;-0.00364981
0.125249;0.116305;0.000400874;-0.00306552
0.125748;0.117446;0.00148682;-0.00388192
0.126247;0.117482;0.00256978;-0.00388192
0.126746;0.117865;0.00299159;-0.00396196
0.127245;0.119437;0.00336854;-0.00372985
0.127744;0.119473;0.00376342;-0.00316957
0.128243;0.119613;0.00425107;-0.00381789
0.128742;0.120866;0.00445749;-0.00326562
0.129241;0.121456;0.00448142;-0.00348173
0.12974;0.121552;0.00448442;-0.0038339
0.130239;0.122853;0.00447843;-0.0032256
0.130738;0.123455;0.00406857;-0.00341769
0.131237;0.123455;0.00304544;-0.00374586
0.131736;0.124122;0.00277321;-0.00309754
0.132235;0.125375;0.00175905;-0.00284941
0.132734;0.125447;0.00142699;-0.00292145
0.133233;0.126053;0.000358992;-0.00257728
0.133732;0.12743;-0.000448739;-0.0032256
0.134231;0.127438;-0.00158555;-0.00264131
0.13473;0.12751;-0.00288988;-0.00325761
0.135229;0.128954;-0.00298561;-0.00327362
0.135728;0.129429;-0.00305142;-0.00348973
0.136227;0.129429;-0.0030574;-0.00292945
0.136726;0.129664;-0.00311424;-0.00340169
0.137225;0.131252;-0.00329673;-0.00324161
0.137724;0.13142;-0.0040955;-0.00392194
0.138223;0.131771;-0.00395189;-0.00387392
0.138722;0.132976;-0.00346724;-0.00392194
0.139221;0.133411;-0.00298561;-0.00385791
0.13972;0.133511;-0.00223472;-0.00337767
0.140219;0.135043;-0.00150178;-0.00370584
0.140718;0.135402;-0.00143596;-0.00356176
0.141217;0.135402;-0.000490621;-0.00376186
0.141716;0.135494;1.19664e-05;-0.00371384
0.142215;0.136919;0.00127442;-0.00390593
0.142714;0.137394;0.00213601;-0.00398597
0.143213;0.137394;0.00296467;-0.00381789
0.143712;0.137908;0.00300356;-0.00399398
0.144211;0.139349;0.00336255;-0.00392194
0.14471;0.139384;0.00394292;-0.00399398
0.145209;0.140075;0.00444253;-0.00394595
0.145708;0.141376;0.00447843;-0.00388993
0.146207;0.141384;0.0044904;-0.00391394
0.146706;0.142122;0.00447843;-0.00399398
0.147205;0.143367;0.00443655;-0.00399398
0.147704;0.143375;0.00344331;-0.00387392
0.148203;0.144301;0.00298262;-0.00398597
0.148702;0.145274;0.00252192;-0.00366582
0.149201;0.145378;0.00154964;-0.00397797
0.1497;0.146742;0.000717984;-0.00396997
0.150199;0.147313;-1.79496e-05;-0.00399398
0.150698;0.147349;-0.00111288;-0.00399398
0.151197;0.147429;-0.00205822;-0.00399398
0.151696;0.149145;-0.00297962;-0.00399398
0.152195;0.149341;-0.00302151;-0.00399398
0.152694;0.149751;-0.00322493;-0.00399398
0.153193;0.151104;-0.00317707;-0.00399398
0.153692;0.151332;-0.00318006;-0.00399398
0.154191;0.151455;-0.00340144;-0.00396997
0.15469;0.153012;-0.00379932;-0.00394595
0.155189;0.152154;-0.00350016;-0.00399398
0.155688;0.151359;-0.00308134;-0.00390593
0.156187;0.151332;-0.00271039;-0.00396196
0.156686;0.150283;-0.00163939;-0.00394595
0.157185;0.149345;-0.00136117;-0.00394595
0.157684;0.149341;-0.000637211;-0.00399398
0.158183;0.148658;0;-0.00399398
0.158682;0.147425;0.000945347;-0.00398597
0.159181;0.147349;0.00153768;-0.00398597
0.15968;0.147134;0.00280611;-0.00399398
0.160179;0.145921;0.00300056;-0.00393795
0.160678;0.145358;0.00354205;-0.00384991
0.161177;0.145254;0.00398181;-0.00391394
0.161676;0.143622;0.00423311;-0.00399398
0.162175;0.143367;0.00447843;-0.00355376
0.162674;0.143056;0.00448143;-0.00368182
0.163173;0.141539;0.00457118;-0.00370584
0.163672;0.141376;0.00443356;-0.00399398
0.164171;0.141212;0.00405959;-0.00399398
0.16467;0.139652;0.0029886;-0.0038339
0.165169;0.139384;0.00262064;-0.00399398
0.165668;0.138814;0.00168725;-0.00399398
0.166167;0.137585;0.00139707;-0.00399398
0.166666;0.137394;4.18824e-05;-0.00399398
0.167165;0.137394;-0.000622253;-0.00399398
0.167664;0.1361;-0.00175009;-0.00399398
0.168163;0.135402;-0.00296467;-0.00399398
0.168662;0.135402;-0.00298561;-0.00399398
0.169161;0.135382;-0.00318604;-0.00399398
0.16966;0.134373;-0.00303945;-0.00399398
0.170159;0.133411;-0.00318305;-0.00399398
0.170658;0.133411;-0.003557;-0.00396196
0.171157;0.132533;-0.00406558;-0.00390593
0.171656;0.131488;-0.00382026;-0.00371384
0.172155;0.13142;-0.00324587;-0.00384991
0.172654;0.130646;-0.0029527;-0.00398597
0.173153;0.129469;-0.00195649;-0.0038259
0.173652;0.129429;-0.00149579;-0.00396196
0.174151;0.129373;-0.0012475;-0.00399398
0.17465;0.128367;-0.000143597;-0.00399398
0.175149;0.127462;0.000254286;-0.00399398
0.175648;0.127438;0.00147186;-0.00392194
0.176147;0.127198;0.00224968;-0.00367382
0.176646;0.125646;0.00298561;-0.00368983
0.177145;0.125447;0.00309031;-0.00396997
0.177644;0.125251;0.0037365;-0.00328163
0.178143;0.123699;0.00409251;-0.00385791
0.178642;0.123455;0.0044545;-0.00385791
0.179141;0.123404;0.00447843;-0.00368182
0.17964;0.122031;0.00448143;-0.0034257
0.180139;0.121464;0.00447843;-0.00366582
0.180638;0.121412;0.00443954;-0.00294546
0.181137;0.120259;0.00331767;-0.00308153
0.181636;0.119473;0.00297364;-0.00364981
0.182135;0.119473;0.00221378;-0.0032336
0.182634;0.118611;0.00156759;-0.00381789
