t;vds;corrente;vg
0.000499;-0.0354506;0.00153169;0.191481
0.000998;-0.0339623;0.000418823;0.19577
0.001497;-0.0338505;-0.00016753;0.195706
0.001996;-0.0338226;-0.00119963;0.195706
0.002495;-0.0325537;-0.00251593;0.195818
0.002994;-0.0318834;-0.00298561;0.195778
0.003493;-0.0318554;-0.00332665;0.19573
0.003992;-0.0310135;-0.00350914;0.19581
0.004491;-0.0299202;-0.00336254;0.195754
0.00499;-0.0298683;-0.00349418;0.195706
0.005489;-0.029158;-0.00385916;0.195706
0.005988;-0.027877;-0.00430491;0.195738
0.006487;-0.027877;-0.00406259;0.195738
0.006986;-0.027873;-0.00306937;0.195754
0.007485;-0.0265044;-0.00284501;0.195706
0.007984;-0.0258859;-0.0016364;0.195706
0.008483;-0.0258859;-0.0014599;0.195706
0.008982;-0.0254188;-0.00069106;0.195706
0.009481;-0.0239543;0;0.195706
0.00998;-0.0238944;0.000780808;0.195706
0.010479;-0.0230246;0.00157956;0.195706
0.010978;-0.0219512;0.00276124;0.195706
0.011477;-0.0219033;0.00298561;0.195706
0.011976;-0.0211092;0.0036288;0.195706
0.012475;-0.019928;0.00371556;0.195706
0.012974;-0.019912;0.00437073;0.195706
0.013473;-0.0194531;0.00447843;0.195706
0.013972;-0.0182082;0.00455322;0.195706
0.014471;-0.0179208;0.00449638;0.195706
0.01497;-0.0177612;0.00447245;0.195706
0.015469;-0.016241;0.00354802;0.195706
0.015968;-0.0159297;0.00299458;0.195706
0.016467;-0.0159257;0.00271338;0.195706
0.016966;-0.0148044;0.00160349;0.195706
0.017465;-0.0139385;0.000954322;0.195706
0.017964;-0.0139385;2.9916e-06;0.195706
0.018463;-0.0138188;-0.000903465;0.195706
0.018962;-0.0123821;-0.00183685;0.19573
0.019461;-0.0119472;-0.00298561;0.195706
0.01996;-0.0117836;-0.00301851;0.195706
0.020459;-0.0101715;-0.00340144;0.195706
0.020958;-0.009956;-0.00332665;0.195706
0.021457;-0.00973255;-0.00364974;0.195706
0.021956;-0.0083639;-0.00383523;0.195706
0.022455;-0.00796486;-0.00420619;0.195706
0.022954;-0.00796486;-0.00399677;0.195826
0.023453;-0.00749397;-0.00318604;0.195714
0.023952;-0.00601351;-0.00299159;0.195794
0.024451;-0.0059736;-0.00232448;0.195818
0.02495;-0.00569828;-0.00151374;0.195922
0.025449;-0.00407421;-0.00123852;0.195946
0.025948;-0.00398243;-5.38488e-05;0.19581
0.026447;-0.00379887;0.000317109;0.19605
0.026946;-0.0022865;0.0014569;0.195962
0.027445;-0.00199121;0.00229755;0.196162
0.027944;-0.00192338;0.00297065;0.195746
0.028443;-0.000602551;0.00322494;0.196755
0.028942;0;0.00403865;0.196138
0.029441;0;0.00428697;0.196194
0.02994;0.000810053;0.00447843;0.196243
0.030439;0.00191141;0.00447843;0.196162
0.030938;0.00199121;0.00450237;0.196106
0.031437;0.00199121;0.00447843;0.196731
0.031936;0.00263367;0.00429893;0.196226
0.032435;0.00398243;0.0030933;0.196323
0.032934;0.00398243;0.00295569;0.197171
0.033433;0.00474458;0.00172315;0.196563
0.033932;0.00591774;0.00140306;0.196138
0.034431;0.0059736;9.57312e-05;0.196451
0.03493;0.00620506;-0.000125647;0.196186
0.035429;0.00790899;-0.00148084;0.19589
0.035928;0.00796486;-0.00270141;0.19577
0.036427;0.00796486;-0.00299458;0.195906
0.036926;0.00845166;-0.00357794;0.19585
0.037425;0.00973653;-0.00336853;0.195874
0.037924;0.009956;-0.00350914;0.195906
0.038423;0.009956;-0.00343136;0.195922
0.038922;0.0108538;-0.00421816;0.195762
0.039421;0.0119153;-0.00428397;0.19573
0.03992;0.0119472;-0.00380829;0.195802
0.040419;0.0130846;-0.00298561;0.19589
0.040918;0.0138946;-0.00260868;0.195994
0.041417;0.0139385;-0.00154067;0.195746
0.041916;0.0146647;-0.00147186;0.195706
0.042415;0.0159177;-0.000652169;0.195722
0.042914;0.0159297;5.38488e-05;0.195706
0.043413;0.0165761;0.00111288;0.195802
0.043912;0.0178969;0.00166632;0.195706
0.044411;0.0179208;0.00297962;0.195834
0.04491;0.0184555;0.00303347;0.195706
0.045409;0.0198601;0.00371855;0.195762
0.045908;0.019912;0.00395788;0.195826
0.046407;0.019912;0.00446048;0.19581
0.046906;0.0208698;0.00447843;0.195754
0.047405;0.0218554;0.00450237;0.195706
0.047904;0.0219033;0.00465195;0.195762
0.048403;0.0223981;0.00438868;0.195794
0.048902;0.0238505;0.00338348;0.195986
0.049401;0.0238944;0.00298561;0.195778
0.0499;0.02409;0.00240824;0.196242
0.050399;0.025419;0.00157956;0.195898
0.050898;0.0258859;0.000825682;0.195738
0.051397;0.0258859;0;0.195834
0.051896;0.0261692;-0.00119664;0.19573
0.052395;0.0276895;-0.00202532;0.195722
0.052894;0.027877;-0.00298561;0.195706
0.053393;0.0280167;-0.0030604;0.195738
0.053892;0.0293934;-0.00331169;0.19581
0.054391;0.0298683;-0.00343734;0.196314
0.05489;0.0298683;-0.00343435;0.195938
0.055389;0.030802;-0.00418226;0.195874
0.055888;0.0318355;-0.00429295;0.195714
0.056387;0.0318594;-0.00364376;0.195794
0.056886;0.0326535;-0.0030245;0.195778
0.057385;0.0338146;-0.00298561;0.195818
0.057884;0.0338505;-0.00205223;0.19609
0.058383;0.0342137;-0.0014928;0.195962
0.058882;0.0356541;-0.00096928;0.195738
0.059381;0.0358417;0;0.195722
0.05988;0.0358656;0.000496605;0.195706
0.060379;0.0369749;0.00142998;0.195706
0.060878;0.0378329;0.00244114;0.195898
0.061377;0.0378329;0.00300655;0.195706
0.061876;0.038192;0.00359889;0.195882
0.062375;0.0395208;0.0040925;0.195706
0.062874;0.039824;0.00433782;0.196555
0.063373;0.0403108;0.00447843;0.196275
0.063872;0.0417712;0.00447843;0.196923
0.064371;0.0418151;0.00454724;0.196419
0.06487;0.0424257;0.00448441;0.196379
0.065369;0.0435631;0.00417926;0.196242
0.065868;0.0438066;0.00304245;0.196811
0.066367;0.0438145;0.00277022;0.196771
0.066866;0.0451991;0.00158255;0.197235
0.067365;0.0457857;0.00131929;0.196018
0.067864;0.0457977;7.77816e-05;0.196387
0.068363;0.0465837;-0.000535496;0.195962
0.068862;0.0477888;-0.00157059;0.196419
0.069361;0.0477888;-0.00289885;0.196267
0.06986;0.0479125;-0.00302151;0.196707
0.070359;0.0494687;-0.00360786;0.196426
0.070858;0.0497799;-0.00336255;0.195842
0.071357;0.0497799;-0.00321596;0.195714
0.071856;0.0506664;-0.00368265;0.195818
0.072355;0.0517398;-0.0041673;0.19577
0.072854;0.0518116;-0.00431688;0.195706
0.073353;0.0528371;-0.00353007;0.195762
0.073852;0.0537629;-0.00298561;0.195858
0.074351;0.0537629;-0.00237234;0.195722
0.07485;0.0546687;-0.00153469;0.19581
0.075349;0.0557541;-0.00133724;0.195706
0.075848;0.0557541;-0.000326084;0.195706
0.076347;0.0566559;4.18824e-05;0.19597
0.076846;0.0577452;0.00131929;0.196026
0.077345;0.0577452;0.00192958;0.195866
0.077844;0.0579926;0.00297962;0.195762
0.078343;0.0596967;0.00308732;0.195754
0.078842;0.0597366;0.00378137;0.19593
0.079341;0.0598483;0.00406259;0.195826
0.07984;0.0613327;0.00447843;0.195802
0.080339;0.0617277;0.00448143;0.195914
0.080838;0.0617357;0.00452331;0.195778
0.081337;0.0628968;0.00452032;0.196106
0.081836;0.0637189;0.00440663;0.196042
0.082335;0.0637268;0.00335955;0.196162
0.082834;0.0641658;0.00298561;0.195706
0.083333;0.0656102;0.00231849;0.195706
0.083832;0.06571;0.00153169;0.195938
0.084331;0.06571;0.000574387;0.195834
0.08483;0.0667434;-9.57312e-05;0.195714
0.085329;0.0676891;-0.0013522;0.195706
0.085828;0.0677011;-0.00230652;0.195818
0.086327;0.0682916;-0.00298561;0.196146
0.086826;0.0696842;-0.00309929;0.195906
0.087325;0.0696922;-0.00320399;0.195898
0.087824;0.0703147;-0.00347025;0.195922
0.088323;0.0716714;-0.00360487;0.195802
0.088822;0.0716834;-0.00400276;0.195754
0.089321;0.0716834;-0.00403267;0.195722
0.08982;0.0720704;-0.00350016;0.195794
0.090319;0.0733912;-0.00298561;0.195818
0.090818;0.0736745;-0.00288689;0.195706
0.091317;0.0736745;-0.00171717;0.195786
0.091816;0.0750393;-0.00141801;0.196042
0.092315;0.0756658;-0.000613278;0.195746
0.092814;0.0758773;5.9832e-06;0.196091
0.093313;0.0772898;0.000939364;0.196931
0.093812;0.0776569;0.00154067;0.196467
0.094311;0.0777287;0.00283902;0.195874
0.09481;0.0787981;0.00298561;0.196378
0.095309;0.079648;0.00390702;0.196538
0.095808;0.07966;0.00422414;0.19613
0.096307;0.0809448;0.00446946;0.196347
0.096806;0.0816391;0.00447843;0.19597
0.097305;0.0816391;0.00446347;0.196627
0.097804;0.0826367;0.00451733;0.196194
0.098303;0.0836302;0.00447843;0.195978
0.098802;0.0836302;0.00404164;0.195706
0.099301;0.0838696;0.00299159;0.196002
0.0998;0.0853586;0.00258175;0.195898
0.100299;0.085622;0.00167529;0.195706
0.100798;0.0859452;0.00102911;0.195786
0.101297;0.0874974;1.79496e-05;0.195706
0.101796;0.0876131;-0.000709009;0.19585
0.102295;0.0876969;-0.00179795;0.196307
0.102794;0.0890496;-0.00298561;0.196395
0.103293;0.0896042;-0.00312023;0.195898
0.103792;0.0896042;-0.00335656;0.195978
0.104291;0.0897678;-0.00328178;0.195898
0.10479;0.0912881;-0.00328477;0.196643
0.105289;0.0915953;-0.00359889;0.196459
0.105788;0.0915953;-0.00434381;0.19573
0.106287;0.092537;-0.00397881;0.195842
0.106786;0.0935866;-0.00318305;0.19585
0.107285;0.0935866;-0.00297962;0.196307
0.107784;0.0936823;-0.00200436;0.195802
0.108283;0.0949871;-0.00148682;0.196122
0.108782;0.0955776;-0.0012116;0.195738
0.109281;0.0956056;-3.88908e-05;0.195794
0.10978;0.0966949;0.000302152;0.195722
0.110279;0.0975049;0.00148981;0.195706
0.110778;0.0975688;0.00228558;0.195778
0.111277;0.0982471;0.00298561;0.195738
0.111776;0.0995199;0.0033805;0.195898
0.112275;0.0995599;0.00391898;0.19577
0.112774;0.0996278;0.00427201;0.195938
0.113273;0.101117;0.00446946;0.195898
0.113772;0.101552;0.00447245;0.195706
0.114271;0.101552;0.00458015;0.195706
0.11477;0.102378;0.00447843;0.195722
0.115269;0.103543;0.00430491;0.195962
0.115768;0.103543;0.00318604;0.195874
0.116267;0.105152;0.00298561;0.195922
0.116766;0.105535;0.00210907;0.19585
0.117265;0.105535;0.00144494;0.195842
0.117764;0.106696;0.000361983;0.195842
0.118263;0.107526;-0.000347025;0.195706
0.118762;0.107526;-0.00136117;0.195794
0.119261;0.10755;-0.00253987;0.195754
0.11976;0.109158;-0.00298561;0.19581
0.120259;0.109517;-0.00324587;0.195706
0.120758;0.109585;-0.0032369;0.195922
0.121257;0.110267;-0.00319202;0.195882
0.121756;0.111508;-0.00339546;0.195706
0.122255;0.111508;-0.00400874;0.195802
0.122754;0.111536;-0.00401471;0.195738
0.123253;0.112761;-0.00333562;0.195706
0.123752;0.113499;-0.00298561;0.195706
0.124251;0.113499;-0.00269244;0.19573
0.12475;0.113667;-0.00157657;0.195706
0.125249;0.115171;-0.00135818;0.195722
0.125748;0.11549;-0.000361983;0.195746
0.126247;0.115854;5.9832e-05;0.195706
0.126746;0.117402;0.00106501;0.195706
0.127245;0.117482;0.0017082;0.195706
0.127744;0.117765;0.00297962;0.195706
0.128243;0.11909;0.00312622;0.195706
0.128742;0.119473;0.00418525;0.195746
0.129241;0.119473;0.00424807;0.195738
0.12974;0.120634;0.00443954;0.195706
0.130239;0.121404;0.00447843;0.195706
0.130738;0.121464;0.00448741;0.195706
0.131237;0.122522;0.00450835;0.195842
0.131736;0.123455;0.00447843;0.196059
0.132235;0.123455;0.00393693;0.195762
0.132734;0.123942;0.00300356;0.195706
0.133233;0.125271;0.00244714;0.195794
0.133732;0.125447;0.00155563;0.195986
0.134231;0.125961;0.000945347;0.195938
0.13473;0.12733;-4.78656e-05;0.195922
0.135229;0.127438;-0.000816708;0.195786
0.135728;0.12751;-0.00182488;0.195818
0.136227;0.128591;-0.00297663;0.195722
0.136726;0.129405;-0.00305142;0.195706
0.137225;0.129429;-0.00341041;0.195706
0.137724;0.129596;-0.00329374;0.196034
0.138223;0.131173;-0.00314416;0.195706
0.138722;0.13142;-0.0033446;0.196243
0.139221;0.131524;-0.00393095;0.195906
0.13972;0.133195;-0.00377538;0.19581
0.140219;0.133411;-0.003201;0.195866
0.140718;0.133582;-0.00285697;0.195986
0.141217;0.134943;-0.00179794;0.195762
0.141716;0.135402;-0.0014928;0.19573
0.142215;0.135402;-0.000981247;0.195874
0.142714;0.135462;0;0.195818
0.143213;0.136975;0.000394891;0.195834
0.143712;0.137382;0.00155264;0.196018
0.144211;0.137394;0.00262662;0.196042
0.14471;0.137776;0.00298561;0.195962
0.145209;0.139141;0.00331468;0.195706
0.145708;0.139388;0.00385317;0.195746
0.146207;0.139923;0.00430193;0.195786
0.146706;0.141312;0.00446348;0.195762
0.147205;0.141376;0.0044904;0.195898
0.147704;0.141779;0.00455323;0.196163
0.148203;0.143287;0.00447843;0.195858
0.148702;0.143367;0.00427799;0.195706
0.149201;0.144133;0.0030245;0.195778
0.1497;0.145354;0.00293176;0.195722
0.150199;0.145358;0.00191761;0.19601
0.150698;0.146084;0.00138511;0.195746
0.151197;0.147185;0.000176504;0.195898
0.151696;0.147349;-0.000394891;0.195706
0.152195;0.147557;-0.00150776;0.195706
0.152694;0.149001;-0.00278816;0.195706
0.153193;0.149341;-0.00298561;0.195706
0.153692;0.149436;-0.00317707;0.195706
0.154191;0.150849;-0.00332665;0.195706
0.15469;0.151332;-0.00344631;0.195706
0.155189;0.151387;-0.00358991;0.195706
0.155688;0.152773;-0.00407455;0.195706
0.156187;0.152756;-0.00395488;0.195706
0.156686;0.151375;-0.00347024;0.195706
0.157185;0.151332;-0.00298561;0.195706
0.157684;0.150869;-0.00273732;0.195706
0.158183;0.149353;-0.0014928;0.195706
0.158682;0.149341;-0.001424;0.195706
0.159181;0.148797;-0.000323093;0.195706
0.15968;0.147381;0.000146588;0.195706
0.160179;0.147349;0.00129536;0.195898
0.160678;0.147341;0.0018877;0.195786
0.161177;0.146284;0.00294672;0.195706
0.161676;0.145362;0.00312921;0.195706
0.162175;0.145334;0.00390104;0.195706
0.162674;0.144169;0.00437372;0.195754
0.163173;0.143367;0.00447843;0.195738
0.163672;0.143363;0.00447843;0.195706
0.164171;0.141835;0.00454126;0.195746
0.16467;0.141376;0.00450237;0.195738
0.165169;0.14134;0.00446647;0.19585
0.165668;0.139851;0.00372452;0.195906
0.166167;0.139388;0.00297962;0.19597
0.166666;0.139273;0.00232448;0.19589
0.167165;0.137753;0.00157358;0.195706
0.167664;0.137394;0.000640202;0.19581
0.168163;0.137394;0;0.195706
0.168662;0.136731;-0.00110988;0.195706
0.169161;0.135418;-0.0022078;0.195706
0.16966;0.135402;-0.00298561;0.195706
0.170159;0.135402;-0.00319502;0.195706
0.170658;0.135103;-0.00324588;0.195706
0.171157;0.133475;-0.00318305;0.195706
0.171656;0.133411;-0.00318006;0.195706
0.172155;0.13318;-0.0038083;0.195706
0.172654;0.131584;-0.00381727;0.195706
0.173153;0.13142;-0.00381129;0.195706
0.173652;0.131208;-0.0029886;0.195706
0.174151;0.129489;-0.0027792;0.195754
0.17465;0.129429;-0.00165136;0.19573
0.175149;0.129429;-0.00147186;0.195722
0.175648;0.12895;-0.000780808;0.19573
0.176147;0.127585;0;0.195714
0.176646;0.127438;0.00089449;0.195706
0.177145;0.127362;0.00154366;0.195706
0.177644;0.126057;0.00285996;0.195938
0.178143;0.125447;0.0029886;0.195754
0.178642;0.125435;0.00376043;0.195842
0.179141;0.124114;0.00404164;0.195818
0.17964;0.123455;0.00437073;0.19585
0.180139;0.123455;0.00447843;0.195778
0.180638;0.12247;0.00449937;0.195866
0.181137;0.121476;0.00451134;0.195778
0.181636;0.12144;0.00447843;0.195882
0.182135;0.120443;0.00414635;0.195738
0.182634;0.119473;0.00299458;0.196042
0.183133;0.119473;0.00269244;0.196234
