t,vds,corrente
0,-0.00099504,-0.00049332
0.02,0.0179107,0.00789312
0.04,0.0159206,0.0073998
0.06,0.0447768,0.0221994
0.08,0.0417917,0.0207194
0.1,0.0616925,0.0305858
0.12,0.0597024,0.0291059
0.14,0.0766181,0.0379856
0.16,0.074628,0.036999
0.18,0.0885586,0.0439055
0.2,0.0855734,0.0424255
0.22,0.0965189,0.0473587
0.24,0.0935338,0.0458788
0.26,0.099504,0.049332
0.28,0.099504,0.049332
0.3,0.0945288,0.0468654
0.32,0.098509,0.0483454
0.34,0.0895536,0.0439055
0.36,0.0915437,0.0453854
0.38,0.0786082,0.0389723
0.4,0.0825883,0.0404522
0.42,0.0646776,0.0325591
0.44,0.0686578,0.0335458
0.46,0.0477619,0.0241727
0.48,0.0517421,0.0251593
0.5,0.0308462,0.0147996
0.52,0.0348264,0.0162796
0.54,0.0129355,0.00542652
0.56,0.0159206,0.00690648
0.58,-0.0049752,-0.00295992
0.6,-0.00298512,-0.00197328
0.62,-0.0208958,-0.010853
0.64,-0.0189058,-0.0098664
0.66,-0.0348264,-0.0177595
0.68,-0.0318413,-0.0162796
0.7,-0.0437818,-0.0221994
0.72,-0.0407966,-0.0212128
0.74,-0.048757,-0.0256526
0.76,-0.0447768,-0.0236794
0.78,-0.0517421,-0.026146
0.8,-0.050747,-0.0256526
0.82,-0.0437818,-0.0226927
0.84,-0.0477619,-0.0241727
0.86,-0.0358214,-0.0187462
0.88,-0.0378115,-0.0197328
0.9,-0.0228859,-0.012333
0.92,-0.0268661,-0.013813
0.94,-0.00895536,-0.0049332
0.96,-0.0109454,-0.00591984
0.98,0.00796032,0.00345324
1,0.00597024,0.0024666
1.02,0.0268661,0.0128263
1.04,0.024876,0.0118397
1.06,0.0447768,0.0221994
1.08,0.0417917,0.0207194
1.1,0.0626875,0.0305858
1.12,0.0597024,0.0291059
1.14,0.0766181,0.0379856
1.16,0.073633,0.036999
1.18,0.0885586,0.0439055
1.2,0.0855734,0.0424255
1.22,0.0955238,0.0473587
1.24,0.0925387,0.0463721
1.26,0.098509,0.049332
1.28,0.100499,0.049332
1.3,0.0945288,0.0468654
1.32,0.0975139,0.0483454
1.34,0.0875635,0.0443988
1.36,0.0915437,0.0453854
1.38,0.0786082,0.0389723
1.4,0.0815933,0.0399589
1.42,0.0646776,0.0320658
1.44,0.0686578,0.0335458
1.46,0.048757,0.0241727
1.48,0.050747,0.0251593
1.5,0.0308462,0.0152929
1.52,0.0338314,0.0162796
1.54,0.0129355,0.00591984
1.56,0.0149256,0.00690648
1.58,-0.00597024,-0.00295992
1.6,-0.00199008,-0.00147996
1.62,-0.0208958,-0.010853
1.64,-0.0189058,-0.00937308
1.66,-0.0348264,-0.0177595
1.68,-0.0308462,-0.0162796
1.7,-0.0437818,-0.0226927
1.72,-0.0417917,-0.0212128
1.74,-0.048757,-0.0251593
1.76,-0.0457718,-0.0236794
1.78,-0.0517421,-0.026146
1.8,-0.049752,-0.0256526
1.82,-0.0427867,-0.0221994
1.84,-0.0467669,-0.0236794
1.86,-0.0358214,-0.0187462
1.88,-0.0378115,-0.0197328
1.9,-0.023881,-0.0128263
1.92,-0.0268661,-0.013813
1.94,-0.00895536,-0.0049332
1.96,-0.0109454,-0.00641316
1.98,0.0099504,0.00394656
2,0.00597024,0.0024666
2.02,0.0268661,0.0128263
2.04,0.023881,0.0118397
2.06,0.0447768,0.0221994
2.08,0.0417917,0.0207194
2.1,0.0616925,0.0305858
2.12,0.0587074,0.0295992
2.14,0.0766181,0.0379856
2.16,0.073633,0.0365057
2.18,0.0885586,0.0439055
2.2,0.0855734,0.0424255
2.22,0.0955238,0.0473587
2.24,0.0925387,0.0458788
2.26,0.098509,0.049332
2.28,0.100499,0.0498253
2.3,0.0925387,0.0468654
2.32,0.0975139,0.0483454
2.34,0.0885586,0.0439055
2.36,0.0915437,0.0453854
2.38,0.0786082,0.0389723
2.4,0.0815933,0.0399589
2.42,0.0646776,0.0320658
2.44,0.0676627,0.0335458
2.46,0.048757,0.0236794
2.48,0.0517421,0.0251593
2.5,0.0308462,0.0152929
2.52,0.0338314,0.0162796
2.54,0.0129355,0.00591984
2.56,0.0159206,0.00690648
2.58,-0.00398016,-0.00295992
2.6,-0.00298512,-0.00147996
2.62,-0.0208958,-0.0113464
2.64,-0.0189058,-0.0098664
2.66,-0.0338314,-0.0177595
2.68,-0.0318413,-0.0162796
2.7,-0.0437818,-0.0226927
2.72,-0.0407966,-0.0212128
2.74,-0.049752,-0.0256526
2.76,-0.0467669,-0.0236794
2.78,-0.0517421,-0.026146
2.8,-0.0517421,-0.0256526
2.82,-0.0437818,-0.0226927
2.84,-0.0467669,-0.0236794
2.86,-0.0358214,-0.0182528
2.88,-0.0388066,-0.0197328
2.9,-0.023881,-0.012333
2.92,-0.025871,-0.013813
2.94,-0.00895536,-0.0049332
2.96,-0.0129355,-0.00641316
2.98,0.00895536,0.00345324
3,0.00597024,0.0024666
3.02,0.0268661,0.0128263
3.04,0.024876,0.0118397
3.06,0.0447768,0.0221994
3.08,0.0427867,0.0207194
3.1,0.0616925,0.0305858
3.12,0.0577123,0.0295992
3.14,0.0776131,0.0379856
3.16,0.074628,0.036999
3.18,0.0885586,0.0439055
3.2,0.0865685,0.0424255
3.22,0.0965189,0.0473587
3.24,0.0925387,0.0458788
3.26,0.100499,0.049332
3.28,0.100499,0.049332
3.3,0.0935338,0.0468654
3.32,0.0975139,0.0483454
3.34,0.0895536,0.0443988
3.36,0.0915437,0.0458788
3.38,0.0786082,0.0389723
3.4,0.0815933,0.0399589
3.42,0.0646776,0.0315725
3.44,0.0676627,0.0335458
3.46,0.048757,0.0241727
3.48,0.0517421,0.0251593
3.5,0.0308462,0.0152929
3.52,0.0338314,0.0162796
3.54,0.0129355,0.00591984
3.56,0.0149256,0.00690648
3.58,-0.0049752,-0.00295992
3.6,-0.00199008,-0.00197328
3.62,-0.0208958,-0.0113464
3.64,-0.0189058,-0.00937308
3.66,-0.0348264,-0.0177595
3.68,-0.0308462,-0.0167729
3.7,-0.0437818,-0.0226927
3.72,-0.0398016,-0.0212128
3.74,-0.049752,-0.0251593
3.76,-0.0457718,-0.0236794
3.78,-0.050747,-0.026146
3.8,-0.050747,-0.0256526
3.82,-0.0437818,-0.0221994
3.84,-0.0467669,-0.0236794
3.86,-0.0358214,-0.0182528
3.88,-0.0388066,-0.0197328
3.9,-0.023881,-0.0128263
3.92,-0.0268661,-0.013813
3.94,-0.00796032,-0.0049332
3.96,-0.0109454,-0.00591984
3.98,0.00796032,0.00345324
4,0.00597024,0.0024666
4.02,0.0278611,0.0128263
4.04,0.024876,0.0118397
4.06,0.0447768,0.0217061
4.08,0.0427867,0.0207194
4.1,0.0636826,0.0305858
4.12,0.0587074,0.0295992
4.14,0.0776131,0.0379856
4.16,0.073633,0.0365057
4.18,0.0875635,0.0439055
4.2,0.0855734,0.0424255
4.22,0.0955238,0.047852
4.24,0.0925387,0.0463721
4.26,0.100499,0.049332
4.28,0.099504,0.0498253
4.3,0.0935338,0.0468654
4.32,0.0975139,0.0483454
4.34,0.0885586,0.0439055
4.36,0.0915437,0.0453854
4.38,0.0776131,0.0389723
4.4,0.0815933,0.0399589
4.42,0.0646776,0.0325591
4.44,0.0676627,0.0335458
4.46,0.048757,0.0236794
4.48,0.050747,0.0251593
4.5,0.0318413,0.0152929
4.52,0.0338314,0.0162796
4.54,0.0129355,0.00591984
4.56,0.0179107,0.00690648
4.58,-0.0049752,-0.00295992
4.6,-0.00298512,-0.00147996
4.62,-0.0208958,-0.0113464
4.64,-0.0179107,-0.0098664
4.66,-0.0348264,-0.0177595
4.68,-0.0318413,-0.0162796
4.7,-0.0437818,-0.0226927
4.72,-0.0407966,-0.0212128
4.74,-0.049752,-0.0251593
4.76,-0.0457718,-0.0236794
4.78,-0.0517421,-0.026146
4.8,-0.049752,-0.0256526
4.82,-0.0427867,-0.0221994
4.84,-0.0467669,-0.0241727
4.86,-0.0358214,-0.0187462
4.88,-0.0388066,-0.0197328
4.9,-0.024876,-0.012333
4.92,-0.0268661,-0.013813
4.94,-0.00796032,-0.0049332
4.96,-0.0109454,-0.00641316
4.98,0.00895536,0.00394656
5,0.00597024,0.0024666
5.02,0.0278611,0.0133196
5.04,0.024876,0.0118397
5.06,0.0457718,0.0221994
5.08,0.0417917,0.0207194
5.1,0.0616925,0.0305858
5.12,0.0597024,0.0291059
5.14,0.0766181,0.0379856
5.16,0.074628,0.0365057
5.18,0.0885586,0.0439055
5.2,0.0855734,0.0424255
5.22,0.0975139,0.0473587
5.24,0.0925387,0.0458788
5.26,0.100499,0.049332
5.28,0.099504,0.0468654
5.3,0.0945288,0.0498253
5.32,0.098509,0.0483454
5.34,0.0885586,0.0439055
5.36,0.0915437,0.0453854
5.38,0.0786082,0.0389723
5.4,0.0835834,0.0404522
5.42,0.0656726,0.0320658
5.44,0.0676627,0.0330524
5.46,0.0477619,0.0241727
5.48,0.050747,0.0251593
5.5,0.0298512,0.0152929
5.52,0.0338314,0.0162796
5.54,0.0129355,0.00591984
5.56,0.0159206,0.00690648
5.58,-0.0049752,-0.00295992
5.6,-0.00199008,-0.00197328
5.62,-0.0218909,-0.0113464
5.64,-0.0189058,-0.0098664
5.66,-0.0348264,-0.0172662
5.68,-0.0318413,-0.0162796
5.7,-0.0447768,-0.0226927
5.72,-0.0417917,-0.0212128
5.74,-0.049752,-0.0251593
5.76,-0.0467669,-0.0236794
5.78,-0.050747,-0.026146
5.8,-0.050747,-0.026146
5.82,-0.0437818,-0.0221994
5.84,-0.0477619,-0.0236794
5.86,-0.0358214,-0.0182528
5.88,-0.0378115,-0.0197328
5.9,-0.023881,-0.0128263
5.92,-0.0268661,-0.013813
5.94,-0.00895536,-0.0049332
5.96,-0.0109454,-0.00641316
5.98,0.00796032,0.00345324
6,0.00597024,0.0024666
6.02,0.0268661,0.0128263
6.04,0.024876,0.0118397
6.06,0.0447768,0.0221994
6.08,0.0427867,0.0207194
6.1,0.0616925,0.0305858
6.12,0.0597024,0.0291059
6.14,0.0766181,0.0379856
6.16,0.074628,0.0365057
6.18,0.0885586,0.0439055
6.2,0.0855734,0.0424255
6.22,0.0955238,0.047852
6.24,0.0925387,0.0463721
6.26,0.099504,0.049332
6.28,0.100499,0.049332
6.3,0.0935338,0.0468654
6.32,0.0975139,0.0483454
6.34,0.0885586,0.0439055
6.36,0.0915437,0.0458788
6.38,0.0786082,0.0389723
6.4,0.0815933,0.0404522
6.42,0.0646776,0.0320658
6.44,0.0676627,0.0330524
6.46,0.048757,0.0241727
6.48,0.050747,0.0251593
6.5,0.0318413,0.0147996
6.52,0.0338314,0.0162796
6.54,0.0129355,0.00591984
6.56,0.0149256,0.0073998
6.58,-0.0049752,-0.00295992
6.6,-0.00298512,-0.00197328
6.62,-0.0208958,-0.0113464
6.64,-0.0189058,-0.0098664
6.66,-0.0358214,-0.0177595
6.68,-0.0318413,-0.0162796
6.7,-0.0437818,-0.0226927
6.72,-0.0407966,-0.0212128
6.74,-0.049752,-0.0256526
6.76,-0.0457718,-0.0236794
6.78,-0.050747,-0.026146
6.8,-0.050747,-0.0256526
6.82,-0.0437818,-0.0221994
6.84,-0.0467669,-0.0236794
6.86,-0.0348264,-0.0182528
6.88,-0.0378115,-0.0197328
6.9,-0.023881,-0.0128263
6.92,-0.0268661,-0.0133196
6.94,-0.00895536,-0.0049332
6.96,-0.0109454,-0.00591984
6.98,0.00796032,0.00345324
7,0.00696528,0.0024666
7.02,0.0268661,0.0128263
7.04,0.024876,0.0118397
7.06,0.0447768,0.0217061
7.08,0.0427867,0.0212128
7.1,0.0616925,0.0305858
7.12,0.0597024,0.0295992
7.14,0.0766181,0.0374923
7.16,0.073633,0.0365057
7.18,0.0885586,0.0434122
7.2,0.0845784,0.0424255
7.22,0.0955238,0.0473587
7.24,0.0915437,0.0463721
7.26,0.099504,0.049332
7.28,0.099504,0.049332
7.3,0.0945288,0.0468654
7.32,0.0975139,0.0488387
7.34,0.0875635,0.0443988
7.36,0.0925387,0.0453854
7.38,0.0786082,0.0389723
7.4,0.0825883,0.0404522
7.42,0.0656726,0.0320658
7.44,0.0676627,0.0335458
7.46,0.048757,0.0241727
7.48,0.050747,0.0251593
7.5,0.0308462,0.0152929
7.52,0.0338314,0.0162796
7.54,0.0129355,0.00591984
7.56,0.0149256,0.00690648
7.58,-0.0049752,-0.00295992
7.6,-0.00199008,-0.00197328
7.62,-0.0208958,-0.010853
7.64,-0.0179107,-0.0098664
7.66,-0.0348264,-0.0177595
7.68,-0.0318413,-0.0162796
7.7,-0.0447768,-0.0226927
7.72,-0.0417917,-0.0212128
7.74,-0.049752,-0.0251593
7.76,-0.0457718,-0.0236794
7.78,-0.050747,-0.026146
7.8,-0.049752,-0.0256526
7.82,-0.0417917,-0.0221994
7.84,-0.0467669,-0.0236794
7.86,-0.0358214,-0.0182528
7.88,-0.0388066,-0.0197328
7.9,-0.023881,-0.0128263
7.92,-0.0268661,-0.0143063
7.94,-0.00895536,-0.00542652
7.96,-0.0109454,-0.00641316
7.98,0.00796032,0.00345324
8,0.00597024,0.0024666
8.02,0.0268661,0.0128263
8.04,0.024876,0.0118397
8.06,0.0447768,0.0217061
8.08,0.0407966,0.0207194
8.1,0.0616925,0.0310792
8.12,0.0587074,0.0295992
8.14,0.0766181,0.0374923
8.16,0.074628,0.0365057
8.18,0.0875635,0.0439055
8.2,0.0855734,0.0424255
8.22,0.0965189,0.047852
8.24,0.0925387,0.0458788
8.26,0.099504,0.049332
8.28,0.099504,0.049332
8.3,0.0945288,0.0468654
8.32,0.0975139,0.0483454
8.34,0.0885586,0.0443988
8.36,0.0915437,0.0453854
8.38,0.0786082,0.038479
8.4,0.0815933,0.0399589
8.42,0.0646776,0.0320658
8.44,0.0676627,0.0335458
8.46,0.0477619,0.0241727
8.48,0.050747,0.0251593
8.5,0.0308462,0.0152929
8.52,0.0328363,0.0162796
8.54,0.0129355,0.00591984
8.56,0.0149256,0.00690648
8.58,-0.0049752,-0.00295992
8.6,-0.00298512,-0.00197328
8.62,-0.0208958,-0.010853
8.64,-0.0179107,-0.0098664
8.66,-0.0338314,-0.0177595
8.68,-0.0318413,-0.0167729
8.7,-0.0437818,-0.0226927
8.72,-0.0407966,-0.0212128
8.74,-0.048757,-0.0251593
8.76,-0.0457718,-0.0236794
8.78,-0.0517421,-0.0256526
8.8,-0.050747,-0.0256526
8.82,-0.0427867,-0.0221994
8.84,-0.0477619,-0.0241727
8.86,-0.0358214,-0.0187462
8.88,-0.0388066,-0.0197328
8.9,-0.023881,-0.0128263
8.92,-0.025871,-0.013813
8.94,-0.00796032,-0.00443988
8.96,-0.0119405,-0.00641316
8.98,0.00895536,0.00394656
9,0.0049752,0.0024666
9.02,0.0278611,0.0128263
9.04,0.024876,0.0118397
9.06,0.0447768,0.0217061
9.08,0.0417917,0.0207194
9.1,0.0616925,0.0305858
9.12,0.0597024,0.0291059
9.14,0.0766181,0.0379856
9.16,0.074628,0.0365057
9.18,0.0885586,0.0434122
9.2,0.0845784,0.0424255
9.22,0.0965189,0.047852
9.24,0.0925387,0.0463721
9.26,0.098509,0.049332
9.28,0.100499,0.049332
9.3,0.0945288,0.0468654
9.32,0.098509,0.0483454
9.34,0.0895536,0.0443988
9.36,0.0925387,0.0458788
9.38,0.0786082,0.0389723
9.4,0.0805982,0.0399589
9.42,0.0646776,0.0320658
9.44,0.0676627,0.0335458
9.46,0.048757,0.0241727
9.48,0.0517421,0.0256526
9.5,0.0318413,0.0152929
9.52,0.0338314,0.0162796
9.54,0.0129355,0.00591984
9.56,0.0149256,0.0073998
9.58,-0.0049752,-0.00295992
9.6,-0.00199008,-0.00197328
9.62,-0.0218909,-0.010853
9.64,-0.0189058,-0.0098664
9.66,-0.0348264,-0.0177595
9.68,-0.0318413,-0.0162796
9.7,-0.0437818,-0.0226927
9.72,-0.0407966,-0.0212128
9.74,-0.049752,-0.0251593
9.76,-0.050747,-0.0236794
9.78,-0.0447768,-0.026146
9.8,-0.050747,-0.0256526
9.82,-0.0427867,-0.0221994
9.84,-0.0457718,-0.0236794
9.86,-0.0358214,-0.0182528
9.88,-0.0378115,-0.0197328
9.9,-0.023881,-0.012333
9.92,-0.0278611,-0.013813
9.94,-0.00895536,-0.00542652
9.96,-0.0119405,-0.00641316
9.98,0.00796032,0.00345324
10,0.00597024,0.00197328
10.02,0.0278611,0.0133196
10.04,0.023881,0.0118397
10.06,0.0447768,0.0221994
10.08,0.0427867,0.0207194
10.1,0.0616925,0.0305858
10.12,0.0597024,0.0295992
10.14,0.0766181,0.0379856
10.16,0.074628,0.0365057
10.18,0.0885586,0.0439055
10.2,0.0855734,0.0419322
10.22,0.0955238,0.0473587
10.24,0.0925387,0.0463721
10.26,0.100499,0.049332
10.28,0.100499,0.049332
10.3,0.0945288,0.0468654
10.32,0.0975139,0.0488387
10.34,0.0885586,0.0439055
10.36,0.0925387,0.0453854
10.38,0.0786082,0.0389723
10.4,0.0805982,0.0399589
10.42,0.0646776,0.0320658
10.44,0.0676627,0.0335458
10.46,0.048757,0.0241727
10.48,0.050747,0.0251593
10.5,0.0308462,0.0152929
10.52,0.0338314,0.0162796
10.54,0.0129355,0.00591984
10.56,0.0149256,0.0073998
10.58,-0.0049752,-0.00345324
10.6,-0.00099504,-0.00197328
10.62,-0.0208958,-0.0113464
10.64,-0.0189058,-0.0103597
10.66,-0.0348264,-0.0177595
10.68,-0.0318413,-0.0167729
10.7,-0.0437818,-0.0226927
10.72,-0.0407966,-0.0212128
10.74,-0.048757,-0.0251593
10.76,-0.050747,-0.0236794
10.78,-0.0447768,-0.026146
10.8,-0.050747,-0.0256526
10.82,-0.0437818,-0.0226927
10.84,-0.0467669,-0.0241727
10.86,-0.0358214,-0.0187462
10.88,-0.0388066,-0.0197328
10.9,-0.024876,-0.012333
10.92,-0.025871,-0.013813
10.94,-0.00796032,-0.00443988
10.96,-0.0109454,-0.00591984
10.98,0.00796032,0.00345324
11,0.00597024,0.0024666
11.02,0.0268661,0.0133196
11.04,0.024876,0.0118397
11.06,0.0447768,0.0221994
11.08,0.0417917,0.0212128
11.1,0.0616925,0.0305858
