t;vds;corrente;vg
0.000499;0.00518001;0.00773222;-0.201439
0.000998;0.00598803;0.00866673;-0.202931
0.001497;0.00598803;0.00903174;-0.203059
0.001996;0.00598803;0.00956868;-0.203218
0.002495;0.00598803;0.010537;-0.202931
0.002994;0.00598803;0.0107512;-0.202931
0.003493;0.00598803;0.0119457;-0.203043
0.003992;0.00619602;0.0120694;-0.203123
0.004491;0.00745997;0.0132398;-0.202931
0.00499;0.00797595;0.0135475;-0.202931
0.005489;0.00798395;0.0136138;-0.203083
0.005988;0.00798395;0.0147813;-0.203991
0.006487;0.00798395;0.0150528;-0.203513
0.006986;0.00798395;0.0158552;-0.203354
0.007485;0.00830797;0.016558;-0.203513
0.007984;0.00926801;0.0169835;-0.203003
0.008483;0.00993604;0.0180424;-0.203035
0.008982;0.00998004;0.018154;-0.203617
0.009481;0.00998004;0.0190528;-0.20443
0.00998;0.00998004;0.0195686;-0.203585
0.010479;0.010056;0.0197889;-0.203075
0.010978;0.010504;0.0210077;-0.203721
0.011477;0.0115;0.021074;-0.203936
0.011976;0.0119281;0.0215899;-0.203968
0.012475;0.0119761;0.0225553;-0.202995
0.012974;0.0119761;0.0225884;-0.20341
0.013473;0.0119801;0.0237165;-0.203171
0.013972;0.012372;0.0240845;-0.203393
0.014471;0.013428;0.0242504;-0.203186
0.01497;0.013932;0.0255356;-0.203625
0.015469;0.013972;0.0255899;-0.203816
0.015968;0.013972;0.0260724;-0.205625
0.016467;0.013972;0.0270889;-0.204095
0.016966;0.014028;0.0271614;-0.20435
0.017465;0.0149479;0.0282747;-0.203585
0.017964;0.0156999;0.0286005;-0.203497
0.018463;0.0159519;0.029451;-0.203434
0.018962;0.0159679;0.0301055;-0.203442
0.019461;0.0159679;0.0301689;-0.20329
0.01996;0.0159679;0.0314511;-0.203019
0.020459;0.0159759;0.031611;-0.203003
0.020958;0.01698;0.0318402;-0.203075
0.021457;0.017908;0.0330466;-0.203059
0.021956;0.017964;0.0331703;-0.202987
0.022455;0.017964;0.0340936;-0.203003
