t;vds;corrente;vg
0.000499;0.00593603;0.00876017;-0.00530783
0.000998;0.00598803;0.00903174;-0.00397901
0.001497;0.00598803;0.00958074;-0.00397901
0.001996;0.00598803;0.010534;-0.00397901
0.002495;0.00598803;0.0108598;-0.00397901
0.002994;0.00598803;0.0118281;-0.00397901
0.003493;0.00626402;0.0120935;-0.00400293
0.003992;0.00747198;0.0130739;-0.00397901
0.004491;0.00793196;0.0135475;-0.00397901
0.00499;0.00798395;0.0137134;-0.00400293
0.005489;0.00798395;0.014739;-0.00397901
0.005988;0.00798395;0.0150558;-0.00397901
0.006487;0.00798395;0.0159487;-0.00397901
0.006986;0.00821596;0.016558;-0.00397901
0.007485;0.009116;0.0170378;-0.00397901
0.007984;0.00986803;0.0180635;-0.00397901
0.008483;0.00998004;0.0180755;-0.00397901
0.008982;0.00998004;0.0190015;-0.00405875
0.009481;0.00998004;0.0195385;-0.00397901
0.00998;0.00998004;0.019801;-0.00397901
0.010479;0.0106201;0.0209745;-0.00397901
0.010978;0.011532;0.021077;-0.00397901
0.011477;0.0119481;0.0216865;-0.00397901
0.011976;0.0119761;0.0225794;-0.00397901
0.012475;0.0119761;0.0227211;-0.00397901
0.012974;0.012012;0.0237406;-0.00397901
0.013473;0.012436;0.0240845;-0.00397901
0.013972;0.01324;0.024353;-0.00397901
0.014471;0.013944;0.0255416;-0.00399496
0.01497;0.013972;0.0255899;-0.00397901
0.015469;0.013972;0.0262142;-0.00397901
0.015968;0.013972;0.0270407;-0.00397901
0.016467;0.014184;0.0271312;-0.00397901
0.016966;0.0151279;0.0284376;-0.00397901
0.017465;0.0158359;0.0286005;-0.00397901
0.017964;0.0159679;0.0296229;-0.00397901
0.018463;0.0159679;0.0301055;-0.00397901
0.018962;0.0159679;0.0304525;-0.00397901
0.019461;0.0159679;0.03143;-0.00397901
0.01996;0.0160399;0.031611;-0.00397901
0.020459;0.016716;0.0320061;-0.00397901
0.020958;0.017872;0.0330798;-0.00397901
0.021457;0.017964;0.0332548;-0.00397901
0.021956;0.017964;0.0343952;-0.00397901
0.022455;0.017964;0.0346215;-0.00397901
0.022954;0.017964;0.0349202;-0.00397901
0.023453;0.018592;0.0360847;-0.00397901
0.023952;0.0195761;0.036127;-0.00397901
0.024451;0.0199401;0.0368659;-0.00397901
0.02495;0.0199601;0.0376321;-0.00397901
0.025449;0.0199601;0.037994;-0.00397901
0.025948;0.0200121;0.0391162;-0.00397901
0.026447;0.0202281;0.0391373;-0.00397901
0.026946;0.021212;0.0401176;-0.00397901
0.027445;0.021896;0.0406425;-0.00397901
0.027944;0.021956;0.0407722;-0.00397901
0.028443;0.021956;0.0420093;-0.00397901
0.028942;0.021956;0.0421571;-0.00397901
0.029441;0.02196;0.042872;-0.00397901
0.02994;0.022192;0.0436472;-0.00397901
0.030439;0.022968;0.0437679;-0.00397901
0.030938;0.0237841;0.0448541;-0.00397901
0.031437;0.0239521;0.0451588;-0.00397901
0.031936;0.0239521;0.0456954;-0.00397901
0.032435;0.0239521;0.0466637;-0.00397901
0.032934;0.0239521;0.0466637;-0.00390724
0.033433;0.0240841;0.0476109;-0.00397901
0.033932;0.0248281;0.048169;-0.00397901
0.034431;0.025896;0.0483349;-0.00397901
0.03493;0.025948;0.0496262;-0.00397901
0.035429;0.025948;0.0497439;-0.00397901
0.035928;0.025948;0.0509174;-0.00397901
0.036427;0.025952;0.0511798;-0.00397901
0.036926;0.0263;0.0514179;-0.00397901
0.037425;0.027112;0.052564;-0.00397901
0.037924;0.0278359;0.0526847;-0.00397901
0.038423;0.0279439;0.0536108;-0.00397901
0.038922;0.0279439;0.0541899;-0.00397901
0.039421;0.0279439;0.0542141;-0.00397901
0.03992;0.0279439;0.0554059;-0.00397901
0.040419;0.0280879;0.0556955;-0.00397901
0.040918;0.0290559;0.0561059;-0.00397901
0.041417;0.0298359;0.0571076;-0.00397901
0.041916;0.0299399;0.0572222;-0.00397901
0.042415;0.0299399;0.0579764;-0.00397901
0.042914;0.0299399;0.0586853;-0.00397901
0.043413;0.0300119;0.0587908;-0.00397901
0.043912;0.0302319;0.0600723;-0.00397901
0.044411;0.0314838;0.0602141;-0.00397901
0.04491;0.0318918;0.0610649;-0.00397901
0.045409;0.0319358;0.0617165;-0.00397901
0.045908;0.0319358;0.0617376;-0.00397901
0.046407;0.0319358;0.0628057;-0.00397901
0.046906;0.0319358;0.0632311;-0.00397901
0.047405;0.0321439;0.0636595;-0.00397901
0.047904;0.0333201;0.0647274;-0.00397901
0.048403;0.0338882;0.0648359;-0.00397901
0.048902;0.0339322;0.066057;-0.00397901
0.049401;0.0339322;0.066232;-0.00397901
0.0499;0.0339322;0.0666485;-0.00397901
0.050399;0.0339482;0.0675989;-0.00397901
0.050898;0.0342001;0.0677377;-0.00397901
0.051397;0.0349881;0.0683984;-0.00397901
0.051896;0.035836;0.069243;-0.00397901
0.052395;0.035928;0.0693395;-0.00397901
0.052894;0.035928;0.0705372;-0.00397901
0.053393;0.035928;0.0707876;-0.00397901
0.053892;0.035968;0.0717442;-0.00397901
0.054391;0.0366241;0.0722539;-0.00397901
0.05489;0.0376521;0.0724559;-0.00397901
0.055389;0.0379241;0.0736922;-0.00397901
0.055888;0.0379241;0.0737585;-0.00397901
0.056387;0.0379241;0.0739427;-0.00397901
0.056886;0.0380281;0.0750983;-0.00397901
0.057385;0.0384721;0.0752732;-0.00397901
0.057884;0.0395762;0.0761933;-0.00397901
0.058383;0.0399122;0.0767695;-0.00397901
0.058882;0.0399202;0.0769987;-0.00397901
0.059381;0.0399202;0.0782474;-0.00397901
0.05988;0.0399242;0.0783168;-0.00397901
