t;vds;corrente;vg
0.000499;0.00596803;0.00892988;0.190963
0.000998;0.00598803;0.00903174;0.195092
0.001497;0.00598803;0.00958979;0.194973
0.001996;0.00598803;0.010537;0.194973
0.002495;0.00598803;0.010724;0.195037
0.002994;0.00599203;0.0118522;0.195108
0.003493;0.00644;0.0121056;0.194973
0.003992;0.00771596;0.0133062;0.195403
0.004491;0.00798395;0.0135475;0.19526
0.00499;0.00798395;0.0137255;0.195069
0.005489;0.00798395;0.0149985;0.195244
0.005988;0.00798395;0.0151704;0.195411
0.006487;0.00798395;0.0159155;0.195021
0.006986;0.00849597;0.016558;0.195419
0.007485;0.00946002;0.0172097;0.19518
0.007984;0.00992004;0.0180484;0.195068
0.008483;0.00998004;0.0180695;0.195292
0.008982;0.00998004;0.0191554;0.19514
0.009481;0.00998004;0.0195686;0.194989
0.00998;0.010108;0.0196893;0.195252
0.010479;0.010556;0.0209383;0.195108
0.010978;0.0117601;0.021074;0.195124
0.011477;0.0119681;0.0218614;0.195052
0.011976;0.0119761;0.0225794;0.1951
0.012475;0.0119761;0.0227995;0.195005
0.012974;0.012004;0.0240151;0.195076
0.013473;0.012208;0.0240845;0.194989
0.013972;0.01344;0.0245582;0.195204
0.014471;0.013924;0.0255899;0.194989
0.01497;0.013972;0.0255899;0.194973
0.015469;0.013972;0.0262624;0.194973
0.015968;0.013976;0.027095;0.194973
0.016467;0.014264;0.0271704;0.195061
0.016966;0.0155199;0.0283109;0.195204
0.017465;0.0157919;0.0286005;0.194973
0.017964;0.0159679;0.0293725;0.194973
0.018463;0.0159679;0.0301055;0.194973
0.018962;0.0159679;0.0304948;0.194973
0.019461;0.0159799;0.0315386;0.194973
0.01996;0.0162599;0.031611;0.194973
0.020459;0.01708;0.0320845;0.194973
0.020958;0.01788;0.0330798;0.194973
0.021457;0.017964;0.0332337;0.194997
0.021956;0.017964;0.0345219;0.194973
0.022455;0.017964;0.0346215;0.194973
0.022954;0.01804;0.0351043;0.194973
0.023453;0.0186601;0.0360938;0.194973
0.023952;0.0197161;0.036127;0.194973
0.024451;0.0199601;0.0371374;0.194973
0.02495;0.0199601;0.0376321;0.194973
0.025449;0.0199601;0.0380965;0.194973
0.025948;0.0199601;0.03908;0.194973
0.026447;0.0202481;0.0391856;0.194973
0.026946;0.021348;0.0402322;0.194973
0.027445;0.021944;0.0406425;0.194973
0.027944;0.021956;0.041068;0.194973
0.028443;0.021956;0.0420756;0.194973
0.028942;0.021956;0.0421873;0.194973
0.029441;0.021956;0.0429565;0.194973
0.02994;0.022296;0.0436351;0.194973
0.030439;0.0233561;0.0437045;0.194973
0.030938;0.0238001;0.045023;0.194973
0.031437;0.0239521;0.0451588;0.194973
0.031936;0.0239521;0.0454361;0.195037
0.032435;0.0239521;0.0466577;0.194973
0.032934;0.0239521;0.0466667;0.195037
0.033433;0.0240441;0.0477074;0.195029
0.033932;0.025236;0.048169;0.194973
0.034431;0.025844;0.0485099;0.195084
0.03493;0.025948;0.0495931;0.194973
0.035429;0.025948;0.0497107;0.194973
0.035928;0.025948;0.0507847;0.194973
0.036427;0.025948;0.0511798;0.194973
0.036926;0.025988;0.0514873;0.194981
0.037425;0.027204;0.0526726;0.194973
0.037924;0.0279359;0.0526847;0.194973
0.038423;0.0279439;0.0535776;0.195013
0.038922;0.0279439;0.0541899;0.194981
0.039421;0.0279439;0.0541899;0.194989
0.03992;0.0279439;0.0551042;0.194973
0.040419;0.0280199;0.0556955;0.194973
0.040918;0.0288799;0.0560334;0.194973
0.041417;0.0297079;0.0571799;0.194933
0.041916;0.0299399;0.0572011;0.194973
0.042415;0.0299399;0.0580217;0.194973
0.042914;0.0299399;0.0587064;0.194973
0.043413;0.0299439;0.0589836;0.194973
0.043912;0.0303919;0.0601357;0.194973
0.044411;0.0313038;0.0602443;0.194973
0.04491;0.0319358;0.0611705;0.194973
0.045409;0.0319358;0.0617165;0.195077
0.045908;0.0319358;0.0617466;0.194973
0.046407;0.0319358;0.0628027;0.194981
0.046906;0.0319358;0.063222;0.194973
0.047405;0.032352;0.0636264;0.194973
0.047904;0.0336801;0.0647033;0.194981
0.048403;0.0339082;0.0647485;0.195076
0.048902;0.0339322;0.0657886;0.19518
0.049401;0.0339322;0.066232;0.19514
0.0499;0.0339322;0.0666877;0.195037
0.050399;0.0339322;0.0676593;0.195053
0.050898;0.0346121;0.0677377;0.195005
0.051397;0.035624;0.0687845;0.195005
0.051896;0.035916;0.069243;0.194973
0.052395;0.035928;0.0695053;0.195005
0.052894;0.035928;0.070682;0.194981
0.053393;0.035928;0.0707484;0.195084
0.053892;0.036056;0.0716748;0.19534
0.054391;0.036492;0.0722509;0.194981
0.05489;0.0377041;0.0724167;0.194973
0.055389;0.0379241;0.0735594;0.194973
0.055888;0.0379241;0.0737585;0.194973
0.056387;0.0379241;0.0737797;0.195045
0.056886;0.0379601;0.0751224;0.194973
0.057385;0.0386801;0.0753064;0.195021
0.057884;0.0396922;0.0760877;0.195029
0.058383;0.0399202;0.0767695;0.194973
0.058882;0.0399202;0.0771042;0.194973
0.059381;0.0399202;0.0781871;0.194973
0.05988;0.0399202;0.0782836;0.194973
0.060379;0.0399841;0.0793069;0.194973
0.060878;0.040884;0.0797805;0.194973
0.061377;0.0418599;0.0797926;0.194973
0.061876;0.0419159;0.0811281;0.194973
0.062375;0.0419159;0.081285;0.194973
0.062874;0.0419159;0.0818858;0.194973
0.063373;0.0419159;0.0827909;0.194973
0.063872;0.0420199;0.0829326;0.194973
0.064371;0.042528;0.0841633;0.194973
0.06487;0.0436961;0.0842961;0.195451
0.065369;0.0438601;0.0847966;0.195196
0.065868;0.0439121;0.0857286;0.195068
0.066367;0.0439121;0.0859581;0.195029
0.066866;0.0439121;0.0871134;0.195021
0.067365;0.0439561;0.0873064;0.194973
0.067864;0.0451318;0.0879909;0.194973
0.068363;0.0457117;0.0888084;0.195005
0.068862;0.0459077;0.0890077;0.194973
0.069361;0.0459077;0.0900641;0.194973
0.06986;0.0459077;0.0903175;0.195084
0.070359;0.0459077;0.0910472;0.194973
0.070858;0.0462518;0.0918226;0.194973
0.071357;0.0474721;0.0918256;0.194973
0.071856;0.0478922;0.0928358;0.194989
0.072355;0.0479042;0.0933275;0.195029
0.072854;0.0479042;0.0934451;0.194981
0.073353;0.0479082;0.0946068;0.194973
0.073852;0.0479322;0.094833;0.194973
0.074351;0.0488519;0.0953847;0.194973
0.07485;0.0497238;0.0962565;0.194997
0.075349;0.0498998;0.096347;0.194973
0.075848;0.0498998;0.097505;0.194973
0.076347;0.0498998;0.0978429;0.195005
0.076846;0.0498998;0.0981539;0.194973
0.077345;0.0499038;0.09934;0.195116
0.077844;0.0501119;0.099349;0.194973
0.078343;0.051148;0.100196;0.195108
0.078842;0.05166;0.100841;0.194973
0.079341;0.051896;0.100917;0.194981
0.07984;0.051896;0.102158;0.195045
0.080339;0.051896;0.10236;0.194973
0.080838;0.051896;0.102565;0.194981
0.081337;0.0520921;0.103677;0.194973
0.081836;0.0531282;0.103877;0.194973
0.082335;0.0538323;0.104959;0.194973
0.082834;0.0538923;0.105369;0.194973
0.083333;0.0538923;0.105647;0.194973
0.083832;0.0538923;0.1068;0.194973
0.084331;0.0539643;0.106888;0.194973
0.08483;0.0545681;0.107918;0.194973
0.085329;0.055372;0.108392;0.194973
0.085828;0.0558879;0.108972;0.194973
0.086327;0.0558879;0.109829;0.194973
0.086826;0.0558879;0.10991;0.195021
0.087325;0.0558879;0.110875;0.194989
0.087824;0.0559559;0.111391;0.194973
0.088323;0.0562999;0.111716;0.194973
0.088822;0.0576321;0.11273;0.194973
0.089321;0.0578522;0.112896;0.194973
0.08982;0.0578842;0.113756;0.194973
0.090319;0.0578842;0.114402;0.194973
0.090818;0.0578842;0.114511;0.194973
0.091317;0.0578842;0.115762;0.195108
0.091816;0.0580041;0.115906;0.195076
0.092315;0.058756;0.116175;0.194973
0.092814;0.0598238;0.117337;0.194997
0.093313;0.0598798;0.117413;0.194973
0.093812;0.0598798;0.1182;0.194997
0.094311;0.0598798;0.118881;0.194973
0.09481;0.0598798;0.119138;0.194989
0.095309;0.0600319;0.120374;0.195108
0.095808;0.0608881;0.120422;0.194973
0.096307;0.0618442;0.121129;0.194973
0.096806;0.0618762;0.121907;0.194973
0.097305;0.0618762;0.121928;0.194973
0.097804;0.0618762;0.122643;0.194973
0.098303;0.0619002;0.123433;0.194973
0.098802;0.0620521;0.123518;0.194997
0.099301;0.0630917;0.124789;0.194973
0.0998;0.0638556;0.125027;0.194973
0.100299;0.0638716;0.125986;0.194973
0.100798;0.0638716;0.126444;0.195077
0.101297;0.0638716;0.126956;0.195299
0.101796;0.0638996;0.127949;0.195045
0.102295;0.0643838;0.127949;0.194973
0.102794;0.065436;0.128836;0.195005
0.103293;0.065868;0.129455;0.194981
0.103792;0.065868;0.129877;0.195021
0.104291;0.065868;0.130821;0.194973
0.10479;0.065868;0.131014;0.195076
0.105289;0.065884;0.131897;0.194973
0.105788;0.0663841;0.132464;0.194989
0.106287;0.0674324;0.132503;0.194981
0.106786;0.0678564;0.133648;0.194973
0.107285;0.0678644;0.133971;0.194973
0.107784;0.0678644;0.134522;0.195005
0.108283;0.0678644;0.135475;0.195268
0.108782;0.0678804;0.135515;0.194973
0.109281;0.0683081;0.136616;0.195116
0.10978;0.0696998;0.136981;0.194973
0.110279;0.0698598;0.137506;0.194973
0.110778;0.0698598;0.138462;0.194973
0.111277;0.0698598;0.138507;0.195029
0.111776;0.0698598;0.139629;0.195132
0.112275;0.0698598;0.139991;0.195132
0.112774;0.0698998;0.140102;0.195483
0.113273;0.0703278;0.141237;0.195084
0.113772;0.071556;0.141497;0.1951
0.114271;0.071856;0.142021;0.195061
0.11477;0.071856;0.142974;0.194973
0.115269;0.071856;0.143001;0.194973
0.115768;0.071856;0.143672;0.194973
0.116267;0.071856;0.144508;0.195005
0.116766;0.0722799;0.144517;0.19514
0.117265;0.0732759;0.145654;0.195021
0.117764;0.07382;0.146013;0.195045
0.118263;0.073392;0.145768;0.194973
0.118762;0.0721639;0.144559;0.194973
0.119261;0.071856;0.144508;0.194973
0.11976;0.071856;0.143726;0.194973
0.120259;0.071856;0.143001;0.194973
0.120758;0.071856;0.142983;0.194973
0.121257;0.071832;0.141831;0.195252
0.121756;0.071592;0.141497;0.195069
0.122255;0.0705239;0.141262;0.194981
0.122754;0.0700278;0.140072;0.19514
0.123253;0.0698598;0.139991;0.194973
0.123752;0.0698598;0.139523;0.195108
0.124251;0.0698598;0.138486;0.195156
0.12475;0.0698598;0.138486;0.194981
0.125249;0.0698598;0.137539;0.195204
0.125748;0.0695479;0.136981;0.195029
0.126247;0.0684162;0.136692;0.194973
0.126746;0.0678644;0.135515;0.194973
0.127245;0.0678644;0.135433;0.1951
0.127744;0.0678644;0.134547;0.1951
0.128243;0.0678164;0.133971;0.194989
0.128742;0.0677643;0.133354;0.195005
0.129241;0.0673043;0.132476;0.194973
0.12974;0.066124;0.132446;0.194973
0.130239;0.065868;0.131385;0.194973
0.130738;0.065868;0.130959;0.194973
0.131237;0.065868;0.130646;0.194973
0.131736;0.065868;0.1295;0.194973
0.132235;0.065836;0.129452;0.194973
0.132734;0.0653199;0.128492;0.194981
0.133233;0.0643397;0.127949;0.194981
0.133732;0.0638756;0.127949;0.195116
0.134231;0.0638716;0.126966;0.195045
0.13473;0.0638716;0.126444;0.194973
0.135229;0.0638716;0.126049;0.194973
0.135728;0.0637037;0.124939;0.194973
0.136227;0.0632158;0.124764;0.194973
0.136726;0.0621522;0.123635;0.194973
0.137225;0.0618962;0.123421;0.194973
0.137724;0.0618762;0.12255;0.194997
0.138223;0.0618762;0.121928;0.194973
0.138722;0.0618762;0.121904;0.194973
0.139221;0.0618762;0.120917;0.194973
0.13972;0.0612121;0.120422;0.194973
0.140219;0.0602439;0.120338;0.194973
0.140718;0.0598798;0.119358;0.194989
0.141217;0.0598798;0.118918;0.194973
0.141716;0.0598798;0.118523;0.194973
0.142215;0.0598718;0.117431;0.194973
0.142714;0.059536;0.117407;0.194973
0.143213;0.0585722;0.116302;0.194973
0.143712;0.0579082;0.115906;0.194973
0.144211;0.0578842;0.115509;0.194973
0.14471;0.0578842;0.11445;0.194973
0.145209;0.0578842;0.114402;0.194973
0.145708;0.0578321;0.113569;0.194973
0.146207;0.0578161;0.112896;0.194973
0.146706;0.0569319;0.112775;0.194973
0.147205;0.0562119;0.111478;0.195076
0.147704;0.0559199;0.111379;0.194973
