t;vds;corrente;vg
0.02495;0.183875;0.189806;0.342784
0.0499;0.180584;0.191449;0.349728
0.07485;0.177965;0.191449;0.342777
0.0998;0.174921;0.191449;0.335158
0.12475;0.172084;0.191449;0.329853
0.1497;0.168999;0.191449;0.325428
0.17465;0.166288;0.191449;0.319134
0.1996;0.163029;0.191449;0.311975
0.22455;0.160577;0.191449;0.306896
0.2495;0.157432;0.191449;0.300568
0.27445;0.154652;0.191449;0.294434
0.2994;0.1518;0.191449;0.289466
0.32435;0.148964;0.191449;0.284255
0.3493;0.14602;0.191449;0.279029
0.37425;0.142931;0.191449;0.272208
0.3992;0.140268;0.191449;0.266728
0.42415;0.136865;0.191449;0.262878
0.4491;0.134388;0.191449;0.256024
0.47405;0.131488;0.191449;0.253723
0.499;0.128503;0.191449;0.247141
0.52395;0.125448;0.191449;0.241134
0.5489;0.122449;0.191449;0.234568
0.57385;0.119324;0.191449;0.229694
0.5988;0.11662;0.191449;0.223224
0.62375;0.11382;0.191449;0.216514
0.6487;0.110852;0.191449;0.211626
0.67365;0.107764;0.191449;0.205666
0.6986;0.104936;0.191449;0.199084
0.72355;0.102148;0.191449;0.191767
0.7485;0.099092;0.191449;0.187358
0.77345;0.0964724;0.191449;0.182533
0.7984;0.0934439;0.191449;0.175759
0.82335;0.0908319;0.191449;0.170391
0.8483;0.0879598;0.191449;0.166125
0.87325;0.084948;0.191449;0.159447
0.8982;0.0816566;0.191449;0.153216
0.92315;0.0789556;0.191449;0.149031
0.9481;0.0765242;0.191449;0.143631
0.97305;0.0734637;0.191449;0.13719
0.998;0.0707677;0.191449;0.132414
1.02295;0.0683484;0.191449;0.125623
1.0479;0.0651117;0.191449;0.119585
1.07285;0.0625442;0.191449;0.112682
1.0978;0.0593842;0.191449;0.109727
1.12275;0.0566758;0.191449;0.10364
1.1477;0.0539202;0.191449;0.0970418
1.17265;0.0509797;0.191449;0.0934631
1.1976;0.0481961;0.191449;0.0873443
1.22255;0.045048;0.191449;0.080059
1.2475;0.0423119;0.191449;0.0750585
1.27245;0.039296;0.191449;0.0700577
1.2974;0.0364081;0.191449;0.0633629
