t;vds;corrente;vg
0.000499;0.001304;0.00892282;-0.00545347
0.000998;0.001268;0.0100543;-0.00397901
0.001497;0.001048;0.01054;-0.00387535
0.001996;0.001196;0.0113877;-0.00381156
0.002495;0.001148;0.0120422;-0.00391522
0.002994;0.0012;0.0124374;-0.00394711
0.003493;0.00138;0.0135384;-0.00397901
0.003992;0.001104;0.0135656;-0.00397901
0.004491;0.001316;0.0145309;-0.00397901
0.00499;0.000980001;0.0150528;-0.00397901
0.005489;0.001196;0.0155505;-0.00397901
0.005988;0.001064;0.0165248;-0.00393117
0.006487;0.001196;0.0168446;-0.00397901
0.006986;0.00128;0.0179579;-0.00393117
0.007485;0.000888001;0.0180665;-0.00397103
0.007984;0.001108;0.0187753;-0.00397103
0.008483;0.001268;0.0195656;-0.00342084
0.008982;0.000972001;0.0196561;-0.00396306
0.009481;0.001256;0.0207603;-0.00384345
0.00998;0.001336;0.021074;-0.00397103
0.010479;0.000976001;0.0216714;-0.00396306
0.010978;0.001292;0.0225794;-0.00397901
0.011477;0.001464;0.0226367;-0.00393914
0.011976;0.001236;0.0239427;-0.00388332
0.012475;0.001296;0.0240845;-0.00397901
0.012974;0.00157599;0.0245793;-0.00386737
0.013473;0.000940001;0.0255809;-0.00365208
0.013972;0.00163999;0.0255899;-0.00397901
0.014471;0.001172;0.0261991;-0.00397901
0.01497;0.001396;0.027095;-0.00389927
0.015469;0.000860001;0.0272428;-0.00391522
0.015968;0.001284;0.0283924;-0.00397901
0.016467;0.001128;0.0286247;-0.00397901
0.016966;0.000820001;0.0297526;-0.00397901
0.017465;0.001216;0.0301055;-0.00396306
0.017964;0.001268;0.0308116;-0.00397901
0.018463;0.001132;0.031611;-0.00397901
0.018962;0.00112;0.0316261;-0.00397901
0.019461;0.001128;0.0326696;-0.00397901
0.01996;0.001296;0.033116;-0.00397901
0.020459;0.000944001;0.0336802;-0.00397901
0.020958;0.001196;0.0346215;-0.00397901
0.021457;0.001372;0.034709;-0.00393117
0.021956;0.001268;0.0358012;-0.00397103
0.022455;0.0014;0.036127;-0.00397901
0.022954;0.00138;0.036317;-0.00397901
0.023453;0.001324;0.0375657;-0.00397901
0.023952;0.001316;0.0377165;-0.00397901
0.024451;0.0011;0.0388537;-0.00397901
0.02495;0.001348;0.0391373;-0.00397901
0.025449;0.00106;0.0398582;-0.00397901
0.025948;0.00149199;0.0406425;-0.00397901
0.026447;0.001104;0.0407572;-0.00396306
0.026946;0.001348;0.0419097;-0.00397901
0.027445;0.001196;0.042148;-0.00397103
0.027944;0.001356;0.0427514;-0.00397103
0.028443;0.001356;0.0436502;-0.003676
0.028942;0.001184;0.0436562;-0.00392319
0.029441;0.000880001;0.0447998;-0.00397901
0.02994;0.001072;0.0451588;-0.00397901
0.030439;0.001172;0.0455567;-0.00397901
0.030938;0.001;0.0466336;-0.00397901
0.031437;0.001024;0.0466909;-0.00397901
0.031936;0.000956001;0.0476894;-0.00396306
0.032435;0.000948001;0.048169;-0.00397901
0.032934;0.000992001;0.0486065;-0.00397901
0.033433;0.001336;0.0496715;-0.00397901
0.033932;0.001128;0.0497982;-0.00397901
0.034431;0.00146;0.0510742;-0.00392319
0.03493;0.001256;0.0511798;-0.00397901
0.035429;0.001324;0.0519064;-0.00397901
0.035928;0.001048;0.0526847;-0.00397901
0.036427;0.001108;0.0527148;-0.00397901
0.036926;0.000928001;0.0538521;-0.00393914
0.037425;0.000948001;0.0541899;-0.00397901
0.037924;0.000976001;0.0543981;-0.00397901
0.038423;0.001216;0.0555085;-0.00397901
0.038922;0.001144;0.0557015;-0.00387535
0.039421;0.000836001;0.056836;-0.00397901
