t;vds;corrente;vg
0.000499;0.097032;0.00891377;0.186688
0.000998;0.0971079;0.0104465;0.190961
0.001497;0.097132;0.01054;0.190977
0.001996;0.096928;0.011632;0.190993
0.002495;0.0970959;0.0120543;0.190993
0.002994;0.096956;0.0129532;0.190993
0.003493;0.0974078;0.0135475;0.190993
0.003992;0.0970079;0.0137224;0.190993
0.004491;0.0971519;0.0149442;0.190993
0.00499;0.0974598;0.0151704;0.190993
0.005489;0.0973638;0.0161085;0.190993
0.005988;0.0972638;0.016558;0.190993
0.006487;0.0972879;0.0169442;0.190993
0.006986;0.0972958;0.0180484;0.190993
0.007485;0.0970919;0.0181238;0.191001
0.007984;0.0973158;0.0193364;0.190993
0.008483;0.0971959;0.0195686;0.190993
0.008982;0.0973958;0.0200755;0.191001
0.009481;0.0972478;0.0209503;0.190993
0.00998;0.0972239;0.021074;0.190993
0.010479;0.0973598;0.0220123;0.190993
0.010978;0.0974038;0.0225794;0.190993
0.011477;0.0972839;0.0228538;0.190993
0.011976;0.0973878;0.0238552;0.190993
0.012475;0.0974158;0.0241418;0.190993
0.012974;0.0973438;0.0247754;0.191025
0.013473;0.0972558;0.0255899;0.191001
0.013972;0.0972079;0.025605;0.190993
0.014471;0.0972439;0.0267873;0.190993
0.01497;0.0972518;0.027095;0.190993
0.015469;0.0970519;0.0275566;0.190993
0.015968;0.097148;0.0286005;0.191001
0.016467;0.0971919;0.028881;0.190969
0.016966;0.0972639;0.0300935;0.190977
0.017465;0.0975277;0.0301176;0.190993
0.017964;0.0972838;0.0311072;0.190993
0.018463;0.0975877;0.031611;0.190993
0.018962;0.0975358;0.0317075;0.190985
0.019461;0.0972999;0.032932;0.190738
0.01996;0.0973158;0.0331341;0.190993
0.020459;0.0973678;0.0342414;0.190993
0.020958;0.097072;0.0346215;0.190993
0.021457;0.0972159;0.0348357;0.190993
0.021956;0.0972479;0.0360184;0.190969
0.022455;0.0972759;0.036127;0.190993
0.022954;0.0974198;0.0368117;0.191065
0.023453;0.0974917;0.0375778;0.190993
0.023952;0.0972838;0.0378402;0.190993
0.024451;0.0973759;0.039077;0.190993
0.02495;0.0975517;0.0391494;0.190993
0.025449;0.0973918;0.0400663;0.190905
0.025948;0.0973598;0.0406425;0.190993
0.026447;0.0971439;0.0408839;0.190993
0.026946;0.0971439;0.0421058;0.190826
0.027445;0.0972918;0.042148;0.190929
0.027944;0.0974238;0.0431224;0.190977
0.028443;0.0973318;0.0436532;0.190873
0.028942;0.0973998;0.0438192;0.190897
0.029441;0.0971119;0.0450834;0.190961
0.02994;0.0974518;0.0451588;0.190897
0.030439;0.0972519;0.0458161;0.190738
0.030938;0.0973717;0.0466577;0.190323
0.031437;0.0973918;0.0467361;0.190706
0.031936;0.0972718;0.0479156;0.19053
0.032435;0.0976317;0.048169;0.19022
0.032934;0.0972479;0.0489052;0.19069
0.033433;0.0974478;0.0496745;0.190881
0.033932;0.0971399;0.0499521;0.190738
0.034431;0.0971759;0.0511768;0.19069
0.03493;0.0976197;0.0511829;0.190993
0.035429;0.0972239;0.0521447;0.190929
0.035928;0.0974438;0.0526847;0.190993
0.036427;0.0974838;0.0528234;0.190961
0.036926;0.096956;0.0541236;0.190993
0.037425;0.0972639;0.0541899;0.190993
0.037924;0.097048;0.0546214;0.190993
0.038423;0.0969359;0.0556895;0.190985
0.038922;0.0972079;0.0558071;0.190993
0.039421;0.097084;0.057011;0.190993
0.03992;0.0972518;0.0572011;0.190977
0.040419;0.0971359;0.0577412;0.190993
0.040918;0.0972518;0.0586883;0.190738
0.041417;0.0971639;0.0587124;0.190849
0.041916;0.0976757;0.0599004;0.190977
0.042415;0.0973518;0.0602111;0.190921
0.042914;0.0971039;0.0609804;0.190993
0.043413;0.0972878;0.0616863;0.190682
0.043912;0.097124;0.0617195;0.190682
0.044411;0.0972359;0.062498;0.190977
0.04491;0.0970119;0.063222;0.190993
0.045409;0.0970679;0.0636958;0.190666
0.045908;0.0971919;0.064646;0.190714
0.046407;0.0973079;0.0647756;0.190722
0.046906;0.0974078;0.0659394;0.190929
0.047405;0.0975997;0.066232;0.190993
0.047904;0.0976357;0.0666968;0.190993
