t;vds;corrente;vg
0.02495;0.184403;0.190158;0.344046
0.0499;0.180864;0.191449;0.348944
0.07485;0.178429;0.191449;0.342761
0.0998;0.175385;0.191449;0.335318
0.12475;0.172471;0.191449;0.329725
0.1497;0.169483;0.191449;0.326609
0.17465;0.1667;0.191473;0.319246
0.1996;0.163693;0.191449;0.313589
0.22455;0.160985;0.191449;0.308398
0.2495;0.158104;0.191449;0.302022
0.27445;0.155095;0.191481;0.295232
0.2994;0.152484;0.191593;0.290073
0.32435;0.149377;0.191449;0.285374
0.3493;0.146508;0.191449;0.279029
0.37425;0.143444;0.191449;0.272592
0.3992;0.140656;0.191449;0.267463
0.42415;0.137229;0.191449;0.263085
0.4491;0.13458;0.191449;0.256072
0.47405;0.131996;0.191449;0.253052
0.499;0.128895;0.191449;0.247141
0.52395;0.126044;0.191449;0.240623
0.5489;0.122797;0.191449;0.235335
0.57385;0.120016;0.191449;0.230717
0.5988;0.116824;0.191449;0.2234
0.62375;0.114275;0.191449;0.217776
0.6487;0.111196;0.191449;0.211322
0.67365;0.108389;0.191449;0.205826
0.6986;0.105036;0.191449;0.198637
0.72355;0.102616;0.191449;0.192486
0.7485;0.09928;0.191449;0.187789
0.77345;0.0967442;0.191449;0.183268
0.7984;0.09382;0.191449;0.176254
0.82335;0.0910998;0.191449;0.172164
0.8483;0.0885322;0.191473;0.167004
0.87325;0.0853761;0.191449;0.16031
0.8982;0.0822845;0.191449;0.154031
0.92315;0.0792837;0.191449;0.150181
0.9481;0.0768121;0.191449;0.143742
0.97305;0.0739438;0.191449;0.137238
0.998;0.0710479;0.191449;0.13227
1.02295;0.0686004;0.191449;0.125288
1.0479;0.0655198;0.191449;0.119585
1.07285;0.0627962;0.191449;0.113449
1.0978;0.059976;0.191449;0.109759
1.12275;0.0570478;0.191449;0.10364
1.1477;0.0543443;0.191449;0.0974891
1.17265;0.0512798;0.191449;0.0946933
1.1976;0.0487722;0.191449;0.0876957
1.22255;0.04552;0.191449;0.0806661
1.2475;0.0427959;0.191449;0.0752023
1.27245;0.03992;0.191449;0.0704572
1.2974;0.036784;0.191449;0.0637783
1.32235;0.033648;0.191449;0.0563492
1.3473;0.0308679;0.191449;0.0500387
1.37225;0.0279039;0.191449;0.0446547
1.3972;0.0251201;0.191449;0.0398777
1.42215;0.022384;0.191449;0.0332312
1.4471;0.019088;0.191449;0.0281827
1.47205;0.0163599;0.191449;0.0233578
1.497;0.013232;0.191449;0.0164718
1.52195;0.010144;0.191449;0.0100812
1.5469;0.00720001;0.191449;0.00634269
1.57185;0.00463597;0.191449;0
1.5968;0.00173999;0.191449;-0.00373853
1.62175;-0.001148;0.191449;-0.00896285
1.6467;-0.00397599;0.191449;-0.0159446
1.67165;-0.00682797;0.191449;-0.0217761
1.6966;-0.00948002;0.191449;-0.025882
1.72155;-0.012612;0.191449;-0.0321288
1.7465;-0.0151479;0.191449;-0.0392227
1.77145;-0.0183761;0.191449;-0.0453735
1.7964;-0.021268;0.191449;-0.0506776
1.82135;-0.0244401;0.191449;-0.0576752
1.8463;-0.0274199;0.191449;-0.0637304
1.87125;-0.0305719;0.191449;-0.0679489
1.8962;-0.0331322;0.191449;-0.0728857
1.92115;-0.03622;0.191449;-0.0797235
1.9461;-0.0391682;0.191449;-0.0855549
1.97105;-0.04194;0.191449;-0.0907471
1.996;-0.0451237;0.191449;-0.0957637
2.02095;-0.04806;0.191449;-0.103097
2.0459;-0.0509121;0.191449;-0.107874
2.07085;-0.0540041;0.191449;-0.113066
2.0958;-0.0568522;0.191449;-0.11968
2.12075;-0.0594159;0.191449;-0.127461
2.1457;-0.0625718;0.191449;-0.13302
2.17065;-0.0652801;0.191449;-0.13831
2.1956;-0.0683201;0.191449;-0.143679
2.22055;-0.070856;0.191449;-0.151443
2.2455;-0.0735159;0.191449;-0.153152
2.27045;-0.0765278;0.191449;-0.159399
2.2954;-0.0790403;0.191449;-0.165119
2.32035;-0.0820201;0.191449;-0.170758
2.3453;-0.0849677;0.191449;-0.176302
2.37025;-0.087584;0.191449;-0.183156
2.3952;-0.0908156;0.191449;-0.187422
2.42015;-0.0934764;0.191449;-0.194467
2.4451;-0.0964401;0.191449;-0.200698
2.47005;-0.0990675;0.191449;-0.207583
2.495;-0.101936;0.191449;-0.215044
2.51995;-0.10488;0.191385;-0.218735
2.5449;-0.107748;0.191345;-0.22439
2.56985;-0.110832;0.191449;-0.230925
2.5948;-0.113636;0.191449;-0.236501
2.61975;-0.116752;0.191449;-0.242013
2.6447;-0.119528;0.191449;-0.247141
2.66965;-0.12242;0.191449;-0.252621
2.6946;-0.124908;0.191449;-0.255784
2.71955;-0.128132;0.191449;-0.262686
2.7445;-0.131096;0.191449;-0.268038
2.76945;-0.13418;0.191449;-0.273326
2.7944;-0.13674;0.191449;-0.279333
2.81935;-0.139847;0.191449;-0.286095
2.8443;-0.142524;0.191449;-0.292165
2.86925;-0.14566;0.191449;-0.298173
2.8942;-0.148661;0.191449;-0.303716
2.91915;-0.151252;0.191449;-0.310921
2.9441;-0.154399;0.191449;-0.317919
2.96905;-0.157024;0.191449;-0.321832
2.994;-0.160092;0.191449;-0.326864
3.01895;-0.162781;0.191449;-0.333129
3.0439;-0.165704;0.191449;-0.337186
3.06885;-0.168611;0.191449;-0.342809
3.0938;-0.171853;0.191449;-0.349169
3.11875;-0.175072;0.191449;-0.352076
3.1437;-0.177885;0.191449;-0.358753
3.16865;-0.180672;0.191449;-0.364283
3.1936;-0.183495;0.191449;-0.368547
3.21855;-0.186533;0.191449;-0.374985
3.2435;-0.189068;0.191449;-0.381761
3.26845;-0.191841;0.191449;-0.388281
3.2934;-0.190444;0.191449;-0.383854
3.31835;-0.187488;0.191449;-0.378483
3.3433;-0.184727;0.191449;-0.373388
3.36825;-0.182131;0.191449;-0.366727
3.3932;-0.178893;0.191449;-0.360462
