t;vds;corrente;vg
0.000499;0.00592002;0.00784716;-0.201766
0.000998;0.00598803;0.00899253;-0.202963
0.001497;0.00598803;0.00904381;-0.203131
0.001996;0.00598803;0.00998496;-0.203107
0.002495;0.00598803;0.010537;-0.203258
0.002994;0.00598803;0.0111222;-0.203736
0.003493;0.00628801;0.0120422;-0.204254
0.003992;0.00729598;0.0124555;-0.203505
0.004491;0.00783996;0.0135173;-0.203705
0.00499;0.00798395;0.0135475;-0.20388
0.005489;0.00798395;0.0143288;-0.203729
0.005988;0.00798395;0.0150528;-0.204549
0.006487;0.00799995;0.0152126;-0.203944
0.006986;0.00810396;0.0163529;-0.203569
0.007485;0.009044;0.016558;-0.204103
0.007984;0.00982403;0.0176593;-0.203258
0.008483;0.00998004;0.0180665;-0.204231
0.008982;0.00998004;0.0183138;-0.203545
0.009481;0.00998004;0.0194721;-0.204661
0.00998;0.01002;0.0195777;-0.204684
0.010479;0.010252;0.0200393;-0.205402
0.010978;0.011336;0.0210348;-0.204358
0.011477;0.0119761;0.021252;-0.203466
0.011976;0.0119761;0.0224346;-0.203585
0.012475;0.0119761;0.0225854;-0.203282
0.012974;0.012016;0.0232097;-0.203976
0.013473;0.012148;0.0240724;-0.203856
0.013972;0.01356;0.0240845;-0.203147
0.014471;0.013808;0.0248538;-0.203242
0.01497;0.013972;0.0255899;-0.203043
0.015469;0.013972;0.025599;-0.203354
0.015968;0.013972;0.0265973;-0.203043
0.016467;0.014036;0.027095;-0.203393
0.016966;0.0150319;0.0276381;-0.203458
0.017465;0.0158359;0.0286005;-0.203729
0.017964;0.0159679;0.0287151;-0.20341
0.018463;0.0159679;0.029822;-0.203912
0.018962;0.0159679;0.0301055;-0.203593
0.019461;0.0159679;0.0308297;-0.204494
0.01996;0.0159919;0.031602;-0.204047
0.020459;0.016688;0.0316442;-0.203593
0.020958;0.017788;0.0327842;-0.203729
0.021457;0.017948;0.033116;-0.203705
0.021956;0.017964;0.0334328;-0.205466
0.022455;0.017964;0.0346215;-0.20537
0.022954;0.017972;0.0346999;-0.205944
0.023453;0.018476;0.0357951;-0.205545
0.023952;0.0195521;0.036127;-0.205896
0.024451;0.0199321;0.0362718;-0.205339
0.02495;0.0199601;0.0374813;-0.205378
0.025449;0.0199601;0.0376472;-0.204589
0.025948;0.0199601;0.0386396;-0.205242
0.026447;0.0200481;0.0391373;-0.205243
0.026946;0.0207681;0.0393877;-0.205537
0.027445;0.021784;0.0405701;-0.205195
0.027944;0.021956;0.0406425;-0.205019
0.028443;0.021956;0.0414391;-0.205099
0.028942;0.021956;0.042148;-0.203856
0.029441;0.021956;0.0423954;-0.203091
0.02994;0.021976;0.0435778;-0.203585
0.030439;0.022676;0.0436532;-0.203473
0.030938;0.0234521;0.0442114;-0.203896
0.031437;0.0239521;0.0451588;-0.204231
0.031936;0.0239521;0.0451678;-0.204055
0.032435;0.0239521;0.0462837;-0.20376
0.032934;0.0239521;0.0466637;-0.204087
0.033433;0.0239641;0.0469533;-0.204382
0.033932;0.0245441;0.0481328;-0.203912
0.034431;0.025668;0.048175;-0.203226
0.03493;0.025948;0.0489082;-0.204087
0.035429;0.025948;0.0496745;-0.203202
0.035928;0.025948;0.0500426;-0.203673
0.036427;0.025948;0.0511738;-0.204254
0.036926;0.02602;0.051216;-0.204071
0.037425;0.02684;0.0521387;-0.204326
0.037924;0.0276119;0.0526847;-0.203226
0.038423;0.0279439;0.052745;-0.203569
0.038922;0.0279439;0.0538793;-0.203553
0.039421;0.0279439;0.0541899;-0.20341
0.03992;0.0279439;0.0543076;-0.20329
0.040419;0.0279679;0.0556623;-0.203601
0.040918;0.0286439;0.0558403;-0.203673
0.041417;0.0296839;0.0566369;-0.203202
0.041916;0.0298959;0.0572011;-0.203115
0.042415;0.0299399;0.0573157;-0.203131
0.042914;0.0299399;0.0585043;-0.203346
0.043413;0.0299399;0.0587064;-0.203059
0.043912;0.0301519;0.0593906;-0.203768
0.044411;0.0308639;0.0601779;-0.203745
0.04491;0.0317918;0.0603861;-0.203322
0.045409;0.0319358;0.0616079;-0.203609
0.045908;0.0319358;0.0617165;-0.203872
0.046407;0.0319358;0.062154;-0.203314
0.046906;0.0319358;0.0631889;-0.203226
0.047405;0.0320639;0.0633126;-0.203641
0.047904;0.032892;0.0643684;-0.203641
0.048403;0.0336962;0.0647274;-0.204007
0.048902;0.0339082;0.0654236;-0.203178
0.049401;0.0339322;0.066232;-0.203489
0.0499;0.0339322;0.0663196;-0.203497
0.050399;0.0339442;0.0673425;-0.203418
0.050898;0.0340761;0.0677377;-0.204007
0.051397;0.0350561;0.0679428;-0.203154
0.051896;0.035836;0.0690469;-0.203704
0.052395;0.035928;0.069243;-0.203856
0.052894;0.035928;0.0700575;-0.204167
0.053393;0.035928;0.0707484;-0.2049
0.053892;0.035928;0.0709174;-0.204414
0.054391;0.036544;0.0721423;-0.204453
0.05489;0.0374161;0.0722539;-0.204749
0.055389;0.0378481;0.0728929;-0.204007
0.055888;0.0379241;0.0737525;-0.205354
0.056387;0.0379241;0.0737706;-0.204629
0.056886;0.0379441;0.0744527;-0.205809
0.057385;0.0384561;0.0752642;-0.204868
0.057884;0.0394082;0.07543;-0.204374
0.058383;0.0399202;0.0766308;-0.204294
0.058882;0.0399202;0.0767966;-0.204198
0.059381;0.0399202;0.0776803;-0.203625
0.05988;0.0399202;0.0782746;-0.20474
0.060379;0.0399362;0.0784195;-0.203919
0.060878;0.0405081;0.0796388;-0.204198
0.061377;0.0414239;0.0797805;-0.204637
0.061876;0.0418919;0.0804044;-0.204812
0.062375;0.0419159;0.0812548;-0.203864
0.062874;0.0419159;0.081439;-0.203609
0.063373;0.0419159;0.0825133;-0.203633
0.063872;0.0419239;0.0827909;-0.203274
0.064371;0.0420839;0.0834633;-0.204007
0.06487;0.043476;0.084287;-0.204247
0.065369;0.0438561;0.0843051;-0.204198
0.065868;0.0439121;0.0852158;-0.203999
0.066367;0.0439121;0.085801;-0.204294
0.066866;0.0439121;0.0862358;-0.204286
0.067365;0.0439121;0.0872431;-0.204493
0.067864;0.0444879;0.08743;-0.204223
0.068363;0.0454117;0.0885459;-0.203856
0.068862;0.0458957;0.0888114;-0.204422
0.069361;0.0459077;0.0894183;-0.204533
0.06986;0.0459077;0.0902542;-0.204255
0.070359;0.0459077;0.0903386;-0.20376
0.070858;0.0459877;0.0916114;-0.204071
0.071357;0.047004;0.0918226;-0.204549
0.071856;0.0477482;0.0919402;-0.203553
0.072355;0.0479042;0.0931193;-0.203657
0.072854;0.0479042;0.0933275;-0.203473
0.073353;0.0479042;0.0936747;-0.204199
0.073852;0.0479642;0.094818;-0.203099
0.074351;0.04868;0.094833;-0.204238
0.07485;0.0496078;0.0957919;-0.20368
0.075349;0.0498918;0.0963379;-0.203577
0.075848;0.0498998;0.0965851;-0.204613
0.076347;0.0498998;0.0977071;-0.203194
0.076846;0.0498998;0.0978429;-0.204199
0.077345;0.0498998;0.0988241;-0.203888
0.077844;0.0500879;0.099349;-0.204573
0.078343;0.051024;0.0994274;-0.203593
0.078842;0.051596;0.100594;-0.20384
0.079341;0.051896;0.100853;-0.203465
0.07984;0.051896;0.101367;-0.204214
0.080339;0.051896;0.10236;-0.204095
0.080838;0.051896;0.10239;-0.204805
0.081337;0.0519961;0.103044;-0.205004
0.081836;0.0527242;0.103864;-0.20498
0.082335;0.0537283;0.104148;-0.205298
0.082834;0.0538923;0.105369;-0.20549
0.083333;0.0538923;0.105409;-0.20553
0.083832;0.0538923;0.106317;-0.205737
0.084331;0.0538923;0.106876;-0.205004
0.08483;0.0541082;0.10715;-0.204964
0.085329;0.0552639;0.108307;-0.205952
0.085828;0.0556639;0.10838;-0.204964
0.086327;0.0558879;0.109618;-0.204398
0.086826;0.0558879;0.109886;-0.203664
0.087325;0.0558879;0.109901;-0.204597
0.087824;0.0558999;0.111138;-0.203609
0.088323;0.0560119;0.111391;-0.203904
0.088822;0.056764;0.112024;-0.20439
0.089321;0.0576442;0.112896;-0.204462
0.08982;0.0578562;0.113125;-0.204055
0.090319;0.0578842;0.114272;-0.205585
