t;vds;corrente;vg
0.000499;0.00548801;0.00778985;-0.00545263
0.000998;0.00598803;0.00888091;-0.00397901
0.001497;0.00598803;0.00903174;-0.00397901
0.001996;0.00598803;0.00958979;-0.00397901
0.002495;0.00598803;0.0104827;-0.00397901
0.002994;0.00598803;0.0108175;-0.00397901
0.003493;0.00606402;0.0120091;-0.00397901
0.003992;0.00682799;0.012175;-0.00397901
0.004491;0.00769596;0.0133122;-0.00397901
0.00499;0.00798395;0.0135475;-0.00397901
0.005489;0.00798395;0.0139607;-0.00397901
0.005988;0.00798395;0.0149562;-0.00397901
0.006487;0.00798395;0.0150618;-0.00397901
0.006986;0.00804396;0.0161447;-0.00397901
0.007485;0.00857198;0.016558;-0.00397901
0.007984;0.00952001;0.0174481;-0.0040109
0.008483;0.00994804;0.0180605;-0.00397901
0.008982;0.00998004;0.01816;-0.00397901
0.009481;0.00998004;0.0193153;-0.00397901
0.00998;0.00998004;0.0195686;-0.00397901
0.010479;0.010144;0.0198824;-0.00397901
0.010978;0.010776;0.021074;-0.00397901
0.011477;0.011748;0.0211012;-0.00397901
0.011976;0.0119681;0.0219972;-0.00397901
0.012475;0.0119761;0.0225794;-0.00397901
0.012974;0.0119761;0.02308;-0.00397901
0.013473;0.012056;0.0240392;-0.00397901
0.013972;0.01258;0.0240845;-0.00397901
0.014471;0.013776;0.0250047;-0.00397901
0.01497;0.013972;0.0255899;-0.00397901
0.015469;0.013972;0.0255899;-0.00397901
0.015968;0.013972;0.0263559;-0.00397901
0.016467;0.013972;0.0270829;-0.00397901
0.016966;0.0148239;0.0273846;-0.00397901
0.017465;0.0152799;0.0283713;-0.00397901
0.017964;0.0159399;0.0286035;-0.00397901
0.018463;0.0159679;0.0295898;-0.00397901
0.018962;0.0159679;0.0301055;-0.00397901
0.019461;0.0159679;0.0307;-0.00397901
0.01996;0.0159839;0.031602;-0.00397901
0.020459;0.0162159;0.031611;-0.00397901
0.020958;0.017304;0.0325338;-0.00397901
0.021457;0.017924;0.03311;-0.00397901
0.021956;0.017964;0.0333121;-0.00397901
0.022455;0.017964;0.0344405;-0.00397901
0.022954;0.017964;0.0346215;-0.00397901
0.023453;0.018036;0.0352129;-0.00397901
0.023952;0.0191321;0.036127;-0.00397901
0.024451;0.0197881;0.0361692;-0.00397901
0.02495;0.0199601;0.0371947;-0.00397901
0.025449;0.0199601;0.0376803;-0.00397901
0.025948;0.0199601;0.0384344;-0.00397901
0.026447;0.0199841;0.0391282;-0.00397901
0.026946;0.0205761;0.0393364;-0.00397901
0.027445;0.021404;0.0405641;-0.00397901
0.027944;0.021956;0.0406425;-0.00397901
0.028443;0.021956;0.0413455;-0.00397901
0.028942;0.021956;0.042148;-0.00397901
0.029441;0.021956;0.0423683;-0.00397901
0.02994;0.021964;0.0434632;-0.00397901
0.030439;0.022288;0.0436532;-0.00397901
0.030938;0.0234761;0.0440455;-0.00397901
0.031437;0.0238561;0.0450592;-0.00397901
0.031936;0.0239521;0.0451979;-0.00397901
0.032435;0.0239521;0.0461056;-0.00397901
0.032934;0.0239521;0.0466366;-0.00397901
0.033433;0.0240001;0.0469172;-0.00390724
0.033932;0.0246441;0.0478794;-0.00397901
0.034431;0.02538;0.048169;-0.00397901
0.03493;0.025948;0.0488237;-0.00397901
0.035429;0.025908;0.0496745;-0.00397901
0.035928;0.025948;0.0500547;-0.00397901
0.036427;0.025948;0.0511286;-0.00397901
0.036926;0.025984;0.0511798;-0.00397901
0.037425;0.026452;0.05203;-0.00397901
0.037924;0.0274559;0.0526847;-0.00397901
0.038423;0.0279279;0.0527993;-0.00397901
0.038922;0.0279439;0.0539909;-0.00397901
0.039421;0.0279439;0.0541899;-0.00397901
0.03992;0.0279439;0.0543981;-0.00397901
0.040419;0.0279479;0.0555748;-0.00397901
0.040918;0.0281919;0.0556985;-0.00397901
0.041417;0.0289719;0.0566279;-0.00397901
0.041916;0.0298199;0.0572011;-0.00397901
0.042415;0.0299399;0.0574062;-0.00397901
0.042914;0.0299399;0.0584138;-0.00397901
0.043413;0.0299399;0.0587064;-0.00397901
0.043912;0.0300639;0.0592458;-0.00397901
0.044411;0.0307079;0.0602111;-0.00397901
0.04491;0.0317558;0.0603348;-0.00409862
0.045409;0.0319238;0.0614631;-0.00397901
0.045908;0.0319358;0.0617165;-0.00397901
0.046407;0.0319358;0.0618824;-0.00397901
0.046906;0.0319358;0.0630199;-0.00397901
0.047405;0.0319518;0.0632251;-0.00397901
0.047904;0.0327921;0.0638948;-0.00397901
0.048403;0.0336282;0.0647274;-0.00397901
0.048902;0.0339322;0.0648238;-0.00403483
0.049401;0.0339322;0.0660933;-0.00397901
0.0499;0.0339322;0.0662381;-0.00397901
0.050399;0.0339322;0.0669744;-0.00397901
0.050898;0.0340042;0.0677377;-0.00397901
0.051397;0.0347641;0.0678342;-0.00397901
0.051896;0.035864;0.068881;-0.00397901
0.052395;0.035928;0.069243;-0.00397901
0.052894;0.035928;0.0695838;-0.00401888
0.053393;0.035928;0.0707454;-0.00397901
0.053892;0.035928;0.0707635;-0.00399496
0.054391;0.035996;0.0720519;-0.00397901
0.05489;0.036928;0.0722539;-0.00397901
0.055389;0.0378481;0.0727332;-0.00397901
0.055888;0.0379241;0.0737585;-0.00397901
0.056387;0.0379241;0.0737585;-0.00397901
0.056886;0.0379241;0.0741811;-0.00397901
0.057385;0.0382721;0.0752642;-0.00397901
0.057884;0.0390281;0.075424;-0.00397901
0.058383;0.0396882;0.0764316;-0.00402685
0.058882;0.0399202;0.0767695;-0.00397901
0.059381;0.0399202;0.0773727;-0.00397901
0.05988;0.0399202;0.0782746;-0.00397901
0.060379;0.0399202;0.0783259;-0.00397901
0.060878;0.0401801;0.0794517;-0.00403483
0.061377;0.0414519;0.0797805;-0.00397901
0.061876;0.0419159;0.0800096;-0.00397901
0.062375;0.0419159;0.0812518;-0.00397901
0.062874;0.0419159;0.0813968;-0.00397901
0.063373;0.0419159;0.0825043;-0.00397901
0.063872;0.0419159;0.0827909;-0.00397901
0.064371;0.0420519;0.0833004;-0.00397901
0.06487;0.042764;0.0842961;-0.00397901
0.065369;0.04374;0.0842991;-0.00397901
0.065868;0.0439121;0.0852128;-0.00397901
0.066367;0.0439121;0.085801;-0.00397901
0.066866;0.0439121;0.0862418;-0.00397901
0.067365;0.0439241;0.0872944;-0.00397901
0.067864;0.044336;0.0873275;-0.00397901
0.068363;0.0453877;0.0885067;-0.00397901
0.068862;0.0459077;0.0888114;-0.00397901
0.069361;0.0459077;0.0891677;-0.00397901
0.06986;0.0459077;0.0902874;-0.00397901
0.070359;0.0459077;0.0903748;-0.00397901
0.070858;0.0459077;0.0910653;-0.00397901
0.071357;0.0465879;0.0918226;-0.00397103
0.071856;0.0476802;0.0918467;-0.00397901
0.072355;0.0477922;0.0928388;-0.00397901
0.072854;0.0479042;0.0933275;-0.00397901
0.073353;0.0479042;0.0934784;-0.00397901
0.073852;0.0479682;0.0947818;-0.00397901
0.074351;0.0482881;0.094833;-0.00397901
0.07485;0.0494479;0.0954993;-0.00397901
0.075349;0.0498518;0.0962987;-0.00397901
0.075848;0.0498998;0.09635;-0.00397901
0.076347;0.0498998;0.0974024;-0.00397901
0.076846;0.0498998;0.0978429;-0.00397901
0.077345;0.0498998;0.0984831;-0.00399496
0.077844;0.0499878;0.099349;-0.00397901
0.078343;0.0506479;0.0994635;-0.00397901
0.078842;0.0516281;0.100452;-0.00397901
0.079341;0.051852;0.100853;-0.00397901
0.07984;0.051896;0.101059;-0.00397901
0.080339;0.051896;0.102251;-0.00397901
0.080838;0.051896;0.102372;-0.00397901
0.081337;0.051908;0.102971;-0.00397901
0.081836;0.0523762;0.103864;-0.00397901
0.082335;0.0533843;0.104051;-0.00397901
0.082834;0.0538363;0.10527;-0.00397901
0.083333;0.0538923;0.105372;-0.00397901
0.083832;0.0538923;0.106031;-0.00397901
0.084331;0.0538923;0.106867;-0.00397901
0.08483;0.0540122;0.107129;-0.00397901
0.085329;0.054804;0.108256;-0.00397901
0.085828;0.0557759;0.108413;-0.00397901
0.086327;0.0558879;0.109364;-0.00397901
0.086826;0.0558879;0.109886;-0.00397901
0.087325;0.0558879;0.109949;-0.00397901
0.087824;0.0558879;0.111041;-0.00397901
0.088323;0.0559599;0.111391;-0.00397901
0.088822;0.056372;0.111916;-0.00397901
0.089321;0.0575841;0.112857;-0.00397901
0.08982;0.0578122;0.113011;-0.00397901
0.090319;0.0578842;0.114067;-0.00397901
0.090818;0.0578842;0.114402;-0.00397901
0.091317;0.0578842;0.114767;-0.00397901
0.091816;0.0578842;0.115635;-0.00397901
0.092315;0.0579761;0.115922;-0.00397901
0.092814;0.0590759;0.116628;-0.00397901
0.093313;0.0597559;0.117401;-0.00397901
0.093812;0.0598798;0.117536;-0.00397901
0.094311;0.0598798;0.118712;-0.00397901
0.09481;0.0598798;0.118918;-0.00397901
0.095309;0.0598798;0.119677;-0.00397901
0.095808;0.0606081;0.120422;-0.00397901
0.096307;0.0617322;0.120471;-0.00397901
0.096806;0.0618762;0.121569;-0.00397901
0.097305;0.0618762;0.121928;-0.00397901
0.097804;0.0618762;0.121931;-0.00397901
0.098303;0.0618762;0.12318;-0.00397901
0.098802;0.0618882;0.123433;-0.00397901
0.099301;0.062592;0.123916;-0.00397103
0.0998;0.0635637;0.124939;-0.00397901
0.100299;0.0638476;0.125259;-0.00397901
0.100798;0.0638716;0.126402;-0.00397901
0.101297;0.0638716;0.126519;-0.00397901
0.101796;0.0638716;0.127403;-0.00397901
0.102295;0.0640597;0.127949;-0.00397901
0.102794;0.06514;0.128024;-0.00397901
0.103293;0.065744;0.129201;-0.00397901
0.103792;0.065868;0.1295;-0.00396306
0.104291;0.065868;0.130166;-0.00394711
0.10479;0.065868;0.130899;-0.00397901
0.105289;0.065868;0.130999;-0.00397901
0.105788;0.0659081;0.132033;-0.00397901
0.106287;0.0665242;0.132464;-0.00397901
0.106786;0.0675123;0.132712;-0.00397901
0.107285;0.0678524;0.133814;-0.00397103
0.107784;0.0678644;0.133971;-0.00397901
0.108283;0.0678644;0.134742;-0.00397901
0.108782;0.0678644;0.135475;-0.00397901
0.109281;0.0679923;0.135669;-0.00397901
0.10978;0.068608;0.136936;-0.00397901
0.110279;0.0696838;0.137008;-0.00397901
0.110778;0.0698598;0.137874;-0.00397901
0.111277;0.0698598;0.138486;-0.00397901
0.111776;0.0698598;0.138591;-0.00397901
0.112275;0.0698598;0.13984;-0.00397901
0.112774;0.0698598;0.139991;-0.00397901
0.113273;0.0698878;0.140537;-0.00397901
0.113772;0.0710279;0.141482;-0.00397901
