t;vds;corrente;vg
0.000499;0.00600003;0.00825443;0.191681
0.000998;0.00596003;0.00903174;0.195658
0.001497;0.00598803;0.00935752;0.196041
0.001996;0.00598803;0.0105219;0.196049
0.002495;0.00598803;0.0106124;0.195802
0.002994;0.00602802;0.0115988;0.195443
0.003493;0.00625202;0.0120453;0.195084
0.003992;0.00738397;0.0128989;0.194989
0.004491;0.00798395;0.0135445;0.195196
0.00499;0.00798395;0.0135565;0.195459
0.005489;0.00798395;0.014558;0.195196
0.005988;0.00798395;0.0150528;0.195554
0.006487;0.00798395;0.0157073;0.195555
0.006986;0.00813196;0.016558;0.195507
0.007485;0.008904;0.016902;0.195651
0.007984;0.00993204;0.0179881;0.195108
0.008483;0.00998004;0.0180665;0.195204
0.008982;0.00998004;0.0187301;0.1953
0.009481;0.00998004;0.0195686;0.195037
0.00998;0.00998004;0.0195898;0.195284
0.010479;0.010468;0.0208538;0.195276
0.010978;0.0113521;0.021074;0.194981
0.011477;0.01192;0.0212882;0.194973
0.011976;0.0119761;0.0224527;0.194981
0.012475;0.0119761;0.0225945;0.195053
0.012974;0.0119761;0.0234269;0.195172
0.013473;0.012088;0.0240845;0.195324
0.013972;0.01328;0.0242323;0.195021
0.014471;0.01386;0.0253214;0.195068
0.01497;0.013972;0.0255899;0.195228
0.015469;0.013972;0.0258131;0.195108
0.015968;0.013972;0.0270377;0.194989
0.016467;0.013988;0.027095;0.195076
0.016966;0.0150319;0.0279821;0.194973
0.017465;0.0157559;0.0286005;0.195029
0.017964;0.0159679;0.0289564;0.194973
0.018463;0.0159679;0.0299849;0.194973
0.018962;0.0159679;0.0301659;0.194973
0.019461;0.0159679;0.0312098;0.194973
0.01996;0.0160599;0.031611;0.194973
0.020459;0.01648;0.0316653;0.194973
0.020958;0.017724;0.0327872;0.195164
0.021457;0.017964;0.033116;0.195013
0.021956;0.017964;0.0339397;0.195172
0.022455;0.017964;0.0345973;0.194989
0.022954;0.017964;0.0347724;0.195092
0.023453;0.018412;0.0359942;0.195108
0.023952;0.019588;0.036127;0.194973
0.024451;0.0199481;0.0364467;0.194981
0.02495;0.0199601;0.0375748;0.194973
0.025449;0.0199601;0.0378069;0.194989
0.025948;0.0199601;0.0388688;0.194973
0.026447;0.0199601;0.0391373;0.194973
0.026946;0.021096;0.0397466;0.194973
0.027445;0.021892;0.0406425;0.194973
0.027944;0.02192;0.0406998;0.194973
0.028443;0.021956;0.0419248;0.194973
0.028942;0.021956;0.042148;0.194973
0.029441;0.021956;0.0427122;0.194973
0.02994;0.022;0.0436532;0.194989
0.030439;0.0228561;0.0436532;0.195116
0.030938;0.0238681;0.0446519;0.195069
0.031437;0.0239401;0.0451588;0.195108
0.031936;0.0239521;0.0454663;0.195268
0.032435;0.0239521;0.0465672;0.195013
0.032934;0.0239521;0.0466637;0.195052
