t;vds;corrente;vg
0.000499;-0.0960004;0.00929056;-0.198943
0.000998;-0.0958084;0.0104073;-0.1997
0.001497;-0.0958084;0.0105551;-0.199477
0.001996;-0.0958084;0.0116079;-0.199429
0.002495;-0.0958084;0.0120422;-0.199445
0.002994;-0.0958084;0.0130166;-0.199166
0.003493;-0.0958084;0.0135475;-0.199166
0.003992;-0.0958084;0.0136319;-0.199644
0.004491;-0.0958084;0.0149381;-0.199573
0.00499;-0.0958084;0.0150528;-0.199373
0.005489;-0.0958084;0.0158521;-0.199094
0.005988;-0.0958084;0.0165429;-0.199549
0.006487;-0.0958084;0.0169472;-0.199206
0.006986;-0.0958084;0.0180243;-0.199062
0.007485;-0.0958084;0.0180936;-0.19919
0.007984;-0.0958084;0.0192791;-0.19899
0.008483;-0.0958084;0.0195686;-0.199572
0.008982;-0.0958084;0.019807;-0.199908
0.009481;-0.0958084;0.0209835;-0.199254
0.00998;-0.0958084;0.0210891;-0.199222
0.010479;-0.0958084;0.0219248;-0.199222
0.010978;-0.0958084;0.0225794;-0.199094
0.011477;-0.0958084;0.0230378;-0.19978
0.011976;-0.0958084;0.0240181;-0.20041
0.012475;-0.0958084;0.0241147;-0.199509
0.012974;-0.0958084;0.0250228;-0.199078
0.013473;-0.0958084;0.0255899;-0.199389
0.013972;-0.0958084;0.0255929;-0.199501
0.014471;-0.0958084;0.0265852;-0.199206
0.01497;-0.0958084;0.027095;-0.199963
0.015469;-0.0958084;0.0276472;-0.19923
0.015968;-0.0958084;0.0285885;-0.199126
0.016467;-0.0958004;0.028691;-0.199493
0.016966;-0.0958084;0.0299034;-0.199014
0.017465;-0.0958084;0.0301749;-0.199142
0.017964;-0.0958084;0.0312309;-0.19923
0.018463;-0.0958084;0.031611;-0.19895
0.018962;-0.0958084;0.0318523;-0.19895
0.019461;-0.0958084;0.0328325;-0.19915
0.01996;-0.0957924;0.033116;-0.199014
0.020459;-0.0958084;0.0342233;-0.199469
0.020958;-0.0958084;0.0346215;-0.198958
0.021457;-0.0957844;0.0350499;-0.19895
0.021956;-0.0958004;0.036127;-0.199517
0.022455;-0.0958084;0.036127;-0.19895
0.022954;-0.0957924;0.0368659;-0.19895
0.023453;-0.0958084;0.0376321;-0.19915
0.023952;-0.0958084;0.0380664;-0.199022
0.024451;-0.0958084;0.0390951;-0.19903
0.02495;-0.0958084;0.0392459;-0.199102
0.025449;-0.0958084;0.0403016;-0.198966
0.025948;-0.0958084;0.0406425;-0.199014
0.026447;-0.0958084;0.0410498;-0.199014
0.026946;-0.0957844;0.042148;-0.19899
0.027445;-0.0958084;0.0421601;-0.19895
0.027944;-0.0958084;0.0433305;-0.198958
0.028443;-0.0958084;0.0436532;-0.198958
0.028942;-0.0958084;0.0438403;-0.199365
0.029441;-0.0958084;0.0451407;-0.199198
0.02994;-0.0958084;0.0451738;-0.199253
0.030439;-0.0958084;0.0460755;-0.199238
0.030938;-0.0958084;0.0466637;-0.199437
0.031437;-0.0957844;0.046887;-0.199054
0.031936;-0.0958084;0.0480453;-0.19895
0.032435;-0.0957964;0.048169;-0.199014
0.032934;-0.0958084;0.0491164;-0.199078
0.033433;-0.0958084;0.0496594;-0.199062
0.033932;-0.0958084;0.050299;-0.199166
0.034431;-0.0958084;0.0511798;-0.19895
0.03493;-0.0958084;0.0511949;-0.198966
0.035429;-0.0958084;0.0524916;-0.19907
0.035928;-0.0958084;0.0526847;-0.199038
0.036427;-0.0958084;0.0530889;-0.198974
0.036926;-0.0958084;0.0541447;-0.199222
0.037425;-0.0958084;0.0541899;-0.199485
0.037924;-0.0958084;0.0549986;-0.199636
0.038423;-0.0958084;0.0556955;-0.199676
0.038922;-0.0958004;0.0558977;-0.19899
0.039421;-0.0958084;0.0571437;-0.199246
0.03992;-0.0958084;0.0572011;-0.199142
0.040419;-0.0958084;0.0578829;-0.19899
0.040918;-0.0958084;0.0587064;-0.198958
0.041417;-0.0958084;0.0587998;-0.19899
0.041916;-0.0957964;0.0601477;-0.19895
0.042415;-0.0958004;0.0602111;-0.199357
0.042914;-0.0958084;0.0610891;-0.199589
0.043413;-0.0958084;0.0617165;-0.200044
0.043912;-0.0958084;0.0617949;-0.199182
0.044411;-0.0958084;0.0629777;-0.199182
0.04491;-0.0958084;0.063222;-0.199852
0.045409;-0.0957804;0.063928;-0.200099
0.045908;-0.0958084;0.0647274;-0.199581
0.046407;-0.0958044;0.0649896;-0.199596
0.046906;-0.0957444;0.0661234;-0.198958
0.047405;-0.0958084;0.066232;-0.199605
0.047904;-0.0958084;0.0671102;-0.199054
0.048403;-0.0958084;0.0677377;-0.199062
0.048902;-0.0958084;0.0679308;-0.19907
0.049401;-0.0958004;0.069065;-0.19895
0.0499;-0.0958084;0.069252;-0.199317
0.050399;-0.0957684;0.070151;-0.199277
0.050898;-0.0958004;0.0707484;-0.19895
0.051397;-0.0958084;0.0710563;-0.199493
0.051896;-0.0958084;0.0721122;-0.199469
0.052395;-0.0958084;0.0722539;-0.199708
0.052894;-0.0958084;0.0730497;-0.199692
0.053393;-0.0958084;0.0737585;-0.199126
0.053892;-0.0958084;0.0737585;-0.199118
0.054391;-0.0958084;0.074685;-0.19915
0.05489;-0.0958084;0.0752642;-0.199062
0.055389;-0.0958084;0.0757105;-0.198974
0.055888;-0.0958084;0.0767303;-0.199126
0.056387;-0.0958084;0.0768509;-0.198982
0.056886;-0.0958084;0.0778794;-0.19895
0.057385;-0.0958084;0.0782987;-0.19895
0.057884;-0.0958084;0.0790172;-0.19895
0.058383;-0.0958084;0.0797805;-0.199126
0.058882;-0.0958084;0.0797835;-0.199254
0.059381;-0.0958084;0.0808899;-0.199006
0.05988;-0.0958084;0.081285;-0.198966
0.060379;-0.0958084;0.0819884;-0.199078
0.060878;-0.0958084;0.0827909;-0.198966
0.061377;-0.0958084;0.0828843;-0.199198
0.061876;-0.0958084;0.0841844;-0.199915
0.062375;-0.0958084;0.0842961;-0.199964
0.062874;-0.0958084;0.0847483;-0.1997
0.063373;-0.0958044;0.085801;-0.199126
0.063872;-0.0958084;0.0860093;-0.199365
0.064371;-0.0958084;0.0872702;-0.19903
0.06487;-0.0958084;0.0873064;-0.199421
0.065369;-0.0958084;0.0882322;-0.19915
0.065868;-0.0957764;0.0888053;-0.19903
0.066367;-0.0957964;0.0892221;-0.199261
0.066866;-0.0958084;0.0903055;-0.199142
0.067365;-0.0957924;0.0903718;-0.199158
0.067864;-0.0958084;0.091533;-0.19919
0.068363;-0.0958004;0.0918226;-0.198966
0.068862;-0.0958084;0.0920245;-0.19895
0.069361;-0.0958084;0.093234;-0.19895
0.06986;-0.0958084;0.0933275;-0.198998
0.070359;-0.0957844;0.0938889;-0.19895
0.070858;-0.0958084;0.0947878;-0.19895
0.071357;-0.0958084;0.0948722;-0.199054
0.071856;-0.0958084;0.0957647;-0.19895
0.072355;-0.0958044;0.0963379;-0.19895
0.072854;-0.0958044;0.0964946;-0.19895
0.073353;-0.0958084;0.0978127;-0.199094
0.073852;-0.0958044;0.097867;-0.19895
0.074351;-0.0958084;0.0989147;-0.199022
0.07485;-0.0958004;0.099349;-0.199006
0.075349;-0.0958084;0.09978;-0.19907
0.075848;-0.0958084;0.100763;-0.19895
0.076347;-0.0958044;0.100944;-0.19895
0.076846;-0.0957964;0.101838;-0.19895
0.077345;-0.0958084;0.10236;-0.198998
0.077844;-0.0957964;0.102426;-0.199006
0.078343;-0.0957924;0.103717;-0.19899
0.078842;-0.0957724;0.103867;-0.19895
0.079341;-0.0958044;0.104872;-0.198998
0.07984;-0.0958044;0.105369;-0.198974
0.080339;-0.0958004;0.105584;-0.199716
0.080838;-0.0958044;0.106818;-0.199206
0.081337;-0.0957684;0.106882;-0.199357
0.081836;-0.0958084;0.107894;-0.199062
0.082335;-0.0958044;0.10838;-0.199357
0.082834;-0.0957844;0.109244;-0.19895
0.083333;-0.0958084;0.109886;-0.19895
0.083832;-0.0958084;0.109886;-0.19895
0.084331;-0.0957884;0.110875;-0.198998
0.08483;-0.0957964;0.111391;-0.198982
0.085329;-0.0958044;0.111813;-0.198966
0.085828;-0.0958084;0.112854;-0.198958
0.086327;-0.0958084;0.112965;-0.199142
0.086826;-0.0958084;0.114064;-0.199014
0.087325;-0.0957604;0.114402;-0.198958
0.087824;-0.0958044;0.114848;-0.19895
0.088323;-0.0957524;0.115864;-0.19895
0.088822;-0.0957804;0.115979;-0.19895
0.089321;-0.0957884;0.117039;-0.19899
0.08982;-0.0957924;0.117413;-0.19899
0.090319;-0.0957764;0.117847;-0.19907
0.090818;-0.0958044;0.118915;-0.19895
0.091317;-0.0958004;0.118978;-0.19895
0.091816;-0.0957844;0.120199;-0.19895
0.092315;-0.0958084;0.120422;-0.19895
0.092814;-0.0957924;0.120736;-0.19895
0.093313;-0.0958084;0.121871;-0.199134
0.093812;-0.0958084;0.121928;-0.19895
0.094311;-0.0958084;0.122486;-0.199078
0.09481;-0.0958084;0.123415;-0.19895
0.095309;-0.0958084;0.123653;-0.19895
0.095808;-0.0957644;0.124858;-0.199142
0.096307;-0.0958084;0.124985;-0.19899
0.096806;-0.0958084;0.12597;-0.199006
0.097305;-0.0957444;0.126447;-0.19895
0.097804;-0.0958084;0.127098;-0.19927
0.098303;-0.0958084;0.127931;-0.19919
0.098802;-0.0957844;0.127949;-0.19899
0.099301;-0.0957884;0.12887;-0.199046
0.0998;-0.0958084;0.129455;-0.199245
0.100299;-0.0958084;0.129801;-0.199381
0.100798;-0.0958084;0.130941;-0.19899
0.101297;-0.0958084;0.130959;-0.199158
0.101796;-0.0958084;0.131933;-0.199166
0.102295;-0.0958084;0.132464;-0.199006
0.102794;-0.0958004;0.132627;-0.199102
0.103293;-0.0957764;0.133744;-0.199078
0.103792;-0.0958084;0.133971;-0.19911
0.104291;-0.0958044;0.135128;-0.199301
0.10479;-0.0958044;0.135475;-0.199325
0.105289;-0.0958084;0.135892;-0.199054
0.105788;-0.0957964;0.136972;-0.199317
0.106287;-0.0957524;0.137051;-0.19919
0.106786;-0.0957764;0.138193;-0.199102
0.107285;-0.0958084;0.138486;-0.199405
0.107784;-0.0957924;0.138974;-0.199054
0.108283;-0.0958004;0.139979;-0.19895
0.108782;-0.0958084;0.139991;-0.19895
0.109281;-0.0957924;0.140951;-0.199661
0.10978;-0.0957724;0.141497;-0.199078
0.110279;-0.0957724;0.141633;-0.199046
0.110778;-0.0958004;0.142694;-0.198958
0.111277;-0.0957764;0.143001;-0.198974
0.111776;-0.0957044;0.143421;-0.19927
0.112275;-0.0957484;0.144475;-0.199166
0.112774;-0.0957764;0.144508;-0.199301
0.113273;-0.0958084;0.14563;-0.199102
0.113772;-0.0956804;0.146013;-0.199022
0.114271;-0.0957164;0.1467;-0.199301
0.11477;-0.0957924;0.147517;-0.199118
0.115269;-0.0958084;0.147562;-0.199214
0.115768;-0.0958004;0.148634;-0.199158
0.116267;-0.0958044;0.149024;-0.199078
0.116766;-0.0957924;0.149446;-0.19895
0.117265;-0.0958084;0.149883;-0.198974
0.117764;-0.0957844;0.149045;-0.199054
0.118263;-0.0957644;0.148906;-0.199182
0.118762;-0.0958084;0.147764;-0.199062
0.119261;-0.0958084;0.147517;-0.19907
0.11976;-0.0958084;0.146885;-0.19899
0.120259;-0.0958084;0.146013;-0.199333
0.120758;-0.0958044;0.145699;-0.198966
0.121257;-0.0958084;0.144662;-0.19895
0.121756;-0.0958084;0.144508;-0.199022
0.122255;-0.0957924;0.143593;-0.19895
0.122754;-0.0957684;0.143001;-0.19895
0.123253;-0.0957844;0.142896;-0.199166
0.123752;-0.0957964;0.141729;-0.19915
0.124251;-0.0958044;0.141497;-0.198966
0.12475;-0.0958084;0.141271;-0.198982
0.125249;-0.0957844;0.140268;-0.19911
0.125748;-0.0958084;0.139991;-0.199301
0.126247;-0.0958084;0.139608;-0.199238
0.126746;-0.0957844;0.13861;-0.199134
0.127245;-0.0957884;0.138477;-0.19903
0.127744;-0.0958084;0.137379;-0.19903
0.128243;-0.0957924;0.136963;-0.199278
0.128742;-0.0957044;0.136344;-0.199158
0.129241;-0.0957045;0.135494;-0.19895
0.12974;-0.0957604;0.135379;-0.198958
0.130239;-0.0958004;0.134076;-0.199118
0.130738;-0.0957524;0.133913;-0.198966
0.131237;-0.0958044;0.132808;-0.19895
0.131736;-0.0957964;0.132464;-0.19895
0.132235;-0.0958004;0.132398;-0.199086
0.132734;-0.0957804;0.131086;-0.199022
0.133233;-0.0957404;0.130947;-0.19895
0.133732;-0.0958004;0.130323;-0.199094
0.134231;-0.0957804;0.129497;-0.198982
0.13473;-0.0957524;0.129331;-0.19895
0.135229;-0.0958004;0.127994;-0.198958
0.135728;-0.0957804;0.127949;-0.198974
0.136227;-0.0958084;0.127503;-0.199317
0.136726;-0.0958084;0.126468;-0.19895
0.137225;-0.0957564;0.126278;-0.199038
0.137724;-0.0957884;0.125048;-0.19907
0.138223;-0.0957484;0.124891;-0.19899
0.138722;-0.0958004;0.123889;-0.199389
0.139221;-0.0958084;0.123433;-0.199094
0.13972;-0.0958084;0.122836;-0.199277
0.140219;-0.0957724;0.121928;-0.19907
0.140718;-0.0958084;0.121928;-0.19895
0.141217;-0.0957924;0.121517;-0.199182
0.141716;-0.0957604;0.120422;-0.19927
0.142215;-0.0958044;0.120323;-0.199206
0.142714;-0.0958084;0.119249;-0.199182
0.143213;-0.0958084;0.118918;-0.200338
0.143712;-0.0958084;0.118215;-0.199285
0.144211;-0.0957964;0.117413;-0.199054
0.14471;-0.0957644;0.117331;-0.199245
0.145209;-0.0958084;0.116136;-0.19895
0.145708;-0.0958044;0.115906;-0.19895
0.146207;-0.0958084;0.115376;-0.19911
0.146706;-0.0958084;0.114417;-0.198982
0.147205;-0.0958084;0.11439;-0.199453
0.147704;-0.0958084;0.113394;-0.199389
0.148203;-0.0958044;0.112896;-0.199198
0.148702;-0.0958084;0.112341;-0.199182
0.149201;-0.0957964;0.111391;-0.199158
0.1497;-0.0957884;0.111261;-0.198998
0.150199;-0.0957964;0.110049;-0.199062
0.150698;-0.0957964;0.109886;-0.199006
0.151197;-0.0957964;0.109802;-0.19895
0.151696;-0.0958084;0.108591;-0.19915
0.152195;-0.0957804;0.108347;-0.198998
0.152694;-0.0958084;0.107147;-0.199094
0.153193;-0.0958084;0.106876;-0.19895
0.153692;-0.0958084;0.106287;-0.198966
0.154191;-0.0958084;0.105369;-0.19923
0.15469;-0.0958004;0.105258;-0.199254
0.155189;-0.0958084;0.103934;-0.19899
0.155688;-0.0958044;0.103837;-0.199182
0.156187;-0.0958044;0.102888;-0.199086
0.156686;-0.0958044;0.10236;-0.198958
0.157185;-0.0957244;0.102191;-0.19895
0.157684;-0.0958084;0.100938;-0.19915
0.158183;-0.0958084;0.100814;-0.199238
0.158682;-0.0958084;0.100223;-0.199341
0.159181;-0.0957684;0.099355;-0.199086
0.15968;-0.0957724;0.0991889;-0.199796
0.160179;-0.0957924;0.0979907;-0.199158
0.160678;-0.0958084;0.0978278;-0.199509
0.161177;-0.0957844;0.0967844;-0.199182
0.161676;-0.0957844;0.0963379;-0.199222
0.162175;-0.0958084;0.0960787;-0.199477
0.162674;-0.0958084;0.0949446;-0.199246
0.163173;-0.0958044;0.094833;-0.199788
0.163672;-0.0957844;0.0943318;-0.199222
0.164171;-0.0958044;0.0933667;-0.199357
0.16467;-0.0958084;0.0932973;-0.199317
0.165169;-0.0957724;0.09245;-0.19895
0.165668;-0.0957844;0.0918226;-0.19895
0.166167;-0.0958084;0.09169;-0.19895
0.166666;-0.0957884;0.0905227;-0.199046
0.167165;-0.0958084;0.0903175;-0.199038
0.167664;-0.0958084;0.0895355;-0.199014
0.168163;-0.0958084;0.0888114;-0.199134
0.168662;-0.0957964;0.0886788;-0.199134
0.169161;-0.0957724;0.087403;-0.199174
0.16966;-0.0958084;0.0873064;-0.199333
0.170159;-0.0958084;0.0862565;-0.199572
0.170658;-0.0957924;0.085801;-0.199086
0.171157;-0.0958084;0.0851828;-0.199277
0.171656;-0.0957764;0.0842961;-0.19895
0.172155;-0.0958084;0.0842961;-0.199501
0.172654;-0.0958004;0.0834275;-0.199118
0.173153;-0.0958084;0.0827909;-0.199038
0.173652;-0.0958004;0.0823954;-0.198998
0.174151;-0.0958084;0.0813001;-0.19895
0.17465;-0.0958084;0.0812127;-0.199078
0.175149;-0.0958084;0.0800189;-0.199014
0.175648;-0.0957804;0.0797805;-0.19895
0.176147;-0.0957964;0.0794151;-0.199166
0.176646;-0.0958044;0.0784013;-0.19923
0.177145;-0.0958084;0.0782203;-0.199238
0.177644;-0.0958004;0.0771646;-0.199086
0.178143;-0.0958084;0.0767695;-0.198998
0.178642;-0.0958084;0.0760908;-0.19903
0.179141;-0.0958004;0.0752642;-0.199014
0.17964;-0.0958084;0.0750891;-0.199214
0.180139;-0.0957924;0.0739305;-0.199764
0.180638;-0.0958084;0.0737585;-0.199078
0.181137;-0.0958084;0.0734602;-0.198966
0.181636;-0.0958084;0.0724018;-0.199142
0.182135;-0.0958084;0.0722539;-0.198958
0.182634;-0.0958084;0.0713094;-0.19923
0.183133;-0.0958044;0.0707484;-0.199301
0.183632;-0.0958084;0.0703924;-0.199772
0.184131;-0.0958084;0.069243;-0.200003
0.18463;-0.0958084;0.0691525;-0.199277
0.185129;-0.0958084;0.0680695;-0.198958
0.185628;-0.0958084;0.0677377;-0.19919
0.186127;-0.0958084;0.0674781;-0.199637
0.186626;-0.0958084;0.0662381;-0.199413
0.187125;-0.0957964;0.066232;-0.199437
0.187624;-0.0957844;0.0655147;-0.200075
0.188123;-0.0958084;0.0647274;-0.199987
0.188622;-0.0958084;0.0644166;-0.199445
0.189121;-0.0957884;0.0632854;-0.199365
0.18962;-0.0958084;0.0631466;-0.198974
0.190119;-0.0958084;0.0621388;-0.199078
0.190618;-0.0958084;0.0617165;-0.19895
0.191117;-0.0958084;0.0616048;-0.199134
0.191616;-0.0957724;0.0604554;-0.199038
0.192115;-0.0958084;0.0602111;-0.198966
