t;vds;corrente;vg
0.000499;0.000816001;0.00889023;-0.00549185
0.000998;0.001192;0.00918257;-0.00397901
0.001497;0.001348;0.0104887;-0.00397901
0.001996;0.001392;0.0105853;-0.00397901
0.002495;0.001068;0.0116018;-0.00397901
0.002994;0.001232;0.0120573;-0.00397901
0.003493;0.001068;0.0130256;-0.00397901
0.003992;0.001396;0.0135475;-0.00397901
0.004491;0.001248;0.01365;-0.00397901
0.00499;0.00126;0.0148597;-0.00397901
0.005489;0.001332;0.015089;-0.00397901
0.005988;0.001404;0.0160723;-0.00397901
0.006487;0.001452;0.016564;-0.00397901
0.006986;0.00132;0.0173395;-0.00397901
0.007485;0.001304;0.0180605;-0.00397901
0.007984;0.001088;0.0180997;-0.00397901
0.008483;0.00150399;0.0191071;-0.00397901
0.008982;0.001376;0.0195686;-0.00397901
0.009481;0.001468;0.0198824;-0.00397901
0.00998;0.001468;0.021074;-0.00397901
0.010479;0.00173199;0.021074;-0.00397901
0.010978;0.00158799;0.0219972;-0.00397901
0.011477;0.00153599;0.0225794;-0.00397901
0.011976;0.001288;0.022694;-0.00397901
0.012475;0.001476;0.0240422;-0.00397901
0.012974;0.00161999;0.0240965;-0.00397901
0.013473;0.001272;0.0248568;-0.00397901
0.013972;0.00136;0.0255899;-0.00397901
0.014471;0.001456;0.025611;-0.00397901
0.01497;0.001316;0.0264645;-0.0040109
0.015469;0.00146;0.027095;-0.00397901
0.015968;0.001184;0.0276834;-0.00405875
0.016467;0.001416;0.0285673;-0.00397901
0.016966;0.001376;0.0287483;-0.00397901
0.017465;0.001372;0.0299638;-0.00397901
0.017964;0.001164;0.0301055;-0.00397901
0.018463;0.001408;0.0311555;-0.00397901
0.018962;0.001448;0.031611;-0.00397901
0.019461;0.00149199;0.0316382;-0.00397901
0.01996;0.00104;0.0329863;-0.00397901
0.020459;0.00159199;0.0331552;-0.00397901
0.020958;0.001436;0.0341419;-0.00403483
0.021457;0.00159999;0.0346215;-0.0040428
0.021956;0.00146;0.0349112;-0.00397901
0.022455;0.00155999;0.0360244;-0.00397901
0.022954;0.00170799;0.036127;-0.00397901
0.023453;0.00160399;0.0366458;-0.00397901
0.023952;0.001396;0.0376321;-0.00397901
0.024451;0.00153999;0.0380784;-0.00397901
0.02495;0.001488;0.0391373;-0.00397901
0.025449;0.001428;0.0391373;-0.00397901
0.025948;0.001276;0.0403227;-0.00405077
0.026447;0.001428;0.0406425;-0.00397901
0.026946;0.001372;0.0411494;-0.00397901
0.027445;0.001348;0.042145;-0.00397901
0.027944;0.00159199;0.0422114;-0.00397901
0.028443;0.001456;0.0431857;-0.00397901
0.028942;0.00155199;0.0436532;-0.00397901
0.029441;0.001364;0.0439369;-0.00397901
0.02994;0.001456;0.0451165;-0.00397901
0.030439;0.00151199;0.0451588;-0.00397901
0.030938;0.00166399;0.046;-0.00403483
0.031437;0.001356;0.0466637;-0.00397901
0.031936;0.001296;0.0468085;-0.00397901
0.032435;0.00153199;0.048;-0.00397901
0.032934;0.001484;0.048169;-0.00397901
0.033433;0.00138;0.0490048;-0.00397901
0.033932;0.00163599;0.0496745;-0.00397901
0.034431;0.00161199;0.0500969;-0.00397901
0.03493;0.001408;0.0511436;-0.00397901
0.035429;0.001444;0.0511889;-0.00399496
0.035928;0.00151599;0.0523076;-0.00397901
0.036427;0.00174799;0.0526847;-0.00397901
0.036926;0.001316;0.0530829;-0.00397901
0.037425;0.001452;0.0540542;-0.00397901
0.037924;0.001352;0.0541899;-0.00397901
0.038423;0.00164799;0.05489;-0.00397901
0.038922;0.001364;0.0556955;-0.00397901
0.039421;0.001488;0.0557739;-0.0040109
0.03992;0.00134;0.057005;-0.00410659
0.040419;0.001368;0.0572011;-0.00397901
0.040918;0.00136;0.0577109;-0.00397901
0.041417;0.00153999;0.0587003;-0.00397901
0.041916;0.001216;0.0588209;-0.00397901
0.042415;0.00162399;0.0599667;-0.00397901
0.042914;0.001448;0.0602111;-0.00397901
0.043413;0.00150399;0.061276;-0.00397901
0.043912;0.00157599;0.0617165;-0.00397901
0.044411;0.00161599;0.0617165;-0.00397901
0.04491;0.001424;0.0629083;-0.00397901
0.045409;0.00165199;0.063222;-0.00397901
0.045908;0.001424;0.0636324;-0.00397901
0.046407;0.00156399;0.0646791;-0.00397901
0.046906;0.001392;0.0648148;-0.00397901
0.047405;0.00161599;0.0660842;-0.00397901
0.047904;0.001476;0.066232;-0.00397901
0.048403;0.001284;0.0669744;-0.00397901
0.048902;0.00152399;0.0677286;-0.00397901
0.049401;0.001056;0.0678524;-0.00397901
0.0499;0.001316;0.0689413;-0.00397901
0.050399;0.001332;0.069243;-0.00397901
0.050898;0.001212;0.0698161;-0.00397901
0.051397;0.00149999;0.0707484;-0.00397901
0.051896;0.001248;0.0709326;-0.00397901
0.052395;0.001248;0.0721997;-0.00397901
0.052894;0.001488;0.0722539;-0.00397901
0.053393;0.00153599;0.0729652;-0.00397901
0.053892;0.00156799;0.0737585;-0.00397901
0.054391;0.001476;0.0737585;-0.00397901
0.05489;0.001248;0.0747483;-0.00397901
0.055389;0.00151199;0.0752642;-0.00397901
0.055888;0.00151999;0.0754602;-0.00397901
0.056387;0.00151599;0.0767243;-0.00397901
0.056886;0.001332;0.0767756;-0.00397901
0.057385;0.00124;0.0780092;-0.00397901
0.057884;0.001032;0.0782746;-0.00397901
0.058383;0.00149999;0.078824;-0.00397901
0.058882;0.00165999;0.0797685;-0.00397901
0.059381;0.001392;0.0797805;-0.00397901
0.05988;0.001404;0.0808115;-0.00397901
0.060379;0.001344;0.081285;-0.00397901
0.060878;0.001488;0.081747;-0.00397901
0.061377;0.00170799;0.0827878;-0.00397901
0.061876;0.00134;0.0829144;-0.00397901
0.062375;0.00150399;0.0840879;-0.00397901
0.062874;0.001488;0.0842961;-0.00397901
0.063373;0.00169599;0.0845553;-0.00397901
0.063872;0.00138;0.0857136;-0.00397901
0.064371;0.00170799;0.0859158;-0.00397901
0.06487;0.00153599;0.0870832;-0.00397901
0.065369;0.001408;0.0873064;-0.00397901
0.065868;0.00154399;0.0880693;-0.00398698
0.066367;0.00154799;0.0888114;-0.00397901
0.066866;0.00157599;0.0889111;-0.00397901
0.067365;0.00160799;0.090218;-0.00400293
0.067864;0.001464;0.0903386;-0.00397901
0.068363;0.00161599;0.0910564;-0.00397901
0.068862;0.001472;0.0918226;-0.00397901
0.069361;0.00149999;0.0918527;-0.00397901
0.06986;0.00151199;0.0929534;-0.00397901
0.070359;0.00169199;0.0933275;-0.00397901
0.070858;0.00157199;0.0935751;-0.00397901
0.071357;0.001424;0.0947697;-0.00401888
0.071856;0.00153599;0.094833;-0.00399496
0.072355;0.00175599;0.0954088;-0.00397901
0.072854;0.00173999;0.0963379;-0.00397901
0.073353;0.00149199;0.0964042;-0.00397901
0.073852;0.00156399;0.0977373;-0.00397901
0.074351;0.00169599;0.0978429;-0.00397901
0.07485;0.00148;0.0987819;-0.00397901
0.075349;0.00146;0.099349;-0.00397901
0.075848;0.001316;0.0996082;-0.00397901
0.076347;0.00161199;0.100814;-0.00397901
0.076846;0.00152399;0.100853;-0.00397901
0.077345;0.00161999;0.101605;-0.00397901
0.077844;0.001308;0.10236;-0.00397901
0.078343;0.001428;0.102405;-0.00397901
0.078842;0.00163199;0.103584;-0.00397901
0.079341;0.00175599;0.103901;-0.00397901
0.07984;0.001416;0.104703;-0.00397901
0.080339;0.00155999;0.105369;-0.00398698
0.080838;0.00153999;0.105617;-0.00397901
0.081337;0.00157999;0.106713;-0.00397901
0.081836;0.00164799;0.106924;-0.00397901
0.082335;0.00178399;0.107876;-0.00397901
0.082834;0.00177599;0.10838;-0.00397901
0.083333;0.00162399;0.10909;-0.00397901
0.083832;0.00153199;0.109886;-0.00400293
0.084331;0.001304;0.109886;-0.00397901
0.08483;0.001456;0.110504;-0.00418634
0.085329;0.00149999;0.111391;-0.00397901
0.085828;0.00177599;0.111599;-0.00397901
0.086327;0.00169199;0.112745;-0.00397901
0.086826;0.00166399;0.112899;-0.00397901
0.087325;0.00150799;0.113965;-0.00411457
0.087824;0.00158799;0.114402;-0.00397901
0.088323;0.00161599;0.114788;-0.00397901
0.088822;0.001468;0.115894;-0.00397901
0.089321;0.00166399;0.115946;-0.00397901
0.08982;0.00172399;0.116894;-0.00397901
0.090319;0.00177199;0.11741;-0.00397901
0.090818;0.001432;0.117606;-0.00397901
0.091317;0.00185199;0.11889;-0.00397901
0.091816;0.00156799;0.118942;-0.00397901
0.092315;0.00152399;0.119807;-0.00397901
0.092814;0.00151999;0.120422;-0.00397901
0.093313;0.00151999;0.120461;-0.00397901
0.093812;0.00152399;0.121711;-0.00397901
0.094311;0.00177599;0.121928;-0.00397901
0.09481;0.00176399;0.122175;-0.00397901
0.095309;0.00169599;0.123318;-0.00397901
0.095808;0.00157599;0.123469;-0.00397901
0.096307;0.00158399;0.124629;-0.00397901
0.096806;0.00132;0.124939;-0.00397901
0.097305;0.001404;0.125645;-0.00397901
0.097804;0.001232;0.126423;-0.00397901
0.098303;0.00156799;0.126947;-0.00397901
0.098802;0.00156799;0.127925;-0.00397901
0.099301;0.001408;0.127949;-0.00397901
0.0998;0.00154799;0.128664;-0.00397901
0.100299;0.001336;0.129455;-0.00397901
0.100798;0.00175999;0.129584;-0.00397901
0.101297;0.00165199;0.130818;-0.00397901
0.101796;0.00165199;0.130959;-0.00408268
0.102295;0.00175999;0.13139;-0.00397901
0.102794;0.001316;0.132464;-0.00397901
0.103293;0.00162399;0.132524;-0.00397901
0.103792;0.00159599;0.133723;-0.00397901
0.104291;0.001456;0.133971;-0.00397901
0.10479;0.00154399;0.134782;-0.00397901
0.105289;0.00170799;0.135475;-0.00397901
0.105788;0.00171599;0.13581;-0.00397901
0.106287;0.00190399;0.136909;-0.00397901
0.106786;0.00173999;0.136981;-0.00397901
0.107285;0.00181999;0.137807;-0.00397901
0.107784;0.00171199;0.138486;-0.00397901
