t;vds;corrente;vg
0.000499;0.0976757;0.00949745;0.186679
0.000998;0.0972318;0.00980698;0.190921
0.001497;0.0974118;0.010537;0.190754
0.001996;0.0976077;0.0112187;0.190714
0.002495;0.0975678;0.0120272;0.190722
0.002994;0.0974078;0.012546;0.190897
0.003493;0.0972518;0.0135203;0.190897
0.003992;0.0973758;0.0135475;0.190849
0.004491;0.0974558;0.0142805;0.190969
0.00499;0.0975557;0.0150528;0.190778
0.005489;0.0975877;0.0154509;0.190658
0.005988;0.0975477;0.0165399;0.190897
0.006487;0.0976397;0.0166727;0.190323
0.006986;0.0976637;0.0178795;0.190586
0.007485;0.0976477;0.0180786;0.190865
0.007984;0.0976277;0.0187994;0.19073
0.008483;0.0976317;0.0195686;0.190714
0.008982;0.0975158;0.0195717;0.190865
0.009481;0.0974078;0.0208357;0.190825
0.00998;0.0975317;0.021074;0.190786
0.010479;0.0971839;0.0214451;0.190323
0.010978;0.0975998;0.0225583;0.190746
0.011477;0.0974678;0.0226518;0.19002
0.011976;0.0974558;0.0237466;0.19053
0.012475;0.0975117;0.0240845;0.190172
0.012974;0.0974997;0.0243349;0.190531
0.013473;0.0973198;0.0254723;0.190698
0.013972;0.0975838;0.0255899;0.190682
0.014471;0.0975757;0.0262202;0.190945
0.01497;0.0974957;0.027092;0.189948
0.015469;0.0976557;0.0271161;0.190252
0.015968;0.0974598;0.0283652;0.190259
0.016467;0.0977037;0.0286005;0.19061
0.016966;0.0976277;0.0294751;0.190897
0.017465;0.0975518;0.0300995;0.190586
0.017964;0.0975718;0.0304254;0.190913
0.018463;0.0976038;0.0315899;0.190068
0.018962;0.0971959;0.031611;0.190291
0.019461;0.0974198;0.0323016;0.189868
0.01996;0.0974758;0.033116;0.190371
0.020459;0.0976117;0.0335053;0.189789
0.020958;0.0975358;0.0346064;0.190379
0.021457;0.0975638;0.0346818;0.190523
0.021956;0.0976117;0.0356051;0.189765
0.022455;0.0975318;0.036127;0.189837
0.022954;0.0975477;0.0361511;0.190411
0.023453;0.0974158;0.0374481;0.190195
0.023952;0.0975997;0.0377497;0.190299
0.024451;0.0975478;0.0388145;0.190172
0.02495;0.0973958;0.0391373;0.190475
0.025449;0.0976557;0.0397194;0.190849
0.025948;0.0976517;0.0406033;0.190267
0.026447;0.0974758;0.0407119;0.190762
0.026946;0.0972878;0.0418192;0.190738
0.027445;0.0974798;0.042148;0.190546
0.027944;0.0974558;0.0427423;0.190395
0.028443;0.0973798;0.0436532;0.190809
0.028942;0.0974398;0.0436593;0.19061
0.029441;0.0973958;0.0446851;0.190299
0.02994;0.0975917;0.0451588;0.190953
0.030439;0.0975797;0.045421;0.190634
0.030938;0.0976837;0.0466637;0.190738
0.031437;0.0975118;0.0466758;0.190913
0.031936;0.0976957;0.0476562;0.190307
