t;vds;corrente;vg
0.02495;0.183935;0.190818;0.34594
0.0499;0.180756;0.191449;0.348145
0.07485;0.178093;0.191449;0.341915
0.0998;0.175173;0.191449;0.335206
0.12475;0.17226;0.191449;0.329261
0.1497;0.169155;0.191481;0.326354
0.17465;0.166572;0.191449;0.318926
0.1996;0.163369;0.191449;0.312406
0.22455;0.160669;0.191449;0.306481
0.2495;0.157932;0.191449;0.301287
0.27445;0.154792;0.191449;0.294929
0.2994;0.152076;0.191449;0.288699
0.32435;0.14908;0.191449;0.284239
0.3493;0.146232;0.191449;0.278726
0.37425;0.143108;0.191449;0.272112
0.3992;0.140472;0.191449;0.267
0.42415;0.137093;0.191449;0.262974
0.4491;0.134456;0.191449;0.255273
0.47405;0.13166;0.191449;0.252845
0.499;0.128715;0.191449;0.247093
0.52395;0.125552;0.191449;0.239648
0.5489;0.122541;0.191449;0.234504
0.57385;0.119536;0.191449;0.229838
0.5988;0.116837;0.191449;0.223096
0.62375;0.113983;0.191425;0.215572
0.6487;0.1107;0.191449;0.210443
0.67365;0.108;0.191369;0.204372
0.6986;0.104972;0.191449;0.198844
0.72355;0.102452;0.191449;0.191927
0.7485;0.0990879;0.191425;0.187661
0.77345;0.0966323;0.191449;0.182884
0.7984;0.093696;0.191449;0.175599
0.82335;0.0908999;0.191449;0.170439
0.8483;0.0883;0.191449;0.165806
0.87325;0.0850921;0.191449;0.159447
0.8982;0.0819526;0.191449;0.153728
0.92315;0.0792277;0.191449;0.14967
0.9481;0.0765922;0.191449;0.143503
0.97305;0.0734637;0.191449;0.136519
0.998;0.0709038;0.191449;0.130736
1.02295;0.0683964;0.191449;0.125512
1.0479;0.0652718;0.191449;0.119441
1.07285;0.0626002;0.191449;0.112906
1.0978;0.0594481;0.191449;0.109359
1.12275;0.0568278;0.191449;0.10364
1.1477;0.0540642;0.191449;0.0977288
1.17265;0.0509478;0.191449;0.0932075
1.1976;0.0484722;0.191449;0.0876478
1.22255;0.04534;0.191449;0.0804744
1.2475;0.0425119;0.191449;0.0744674
1.27245;0.039528;0.191449;0.0695304
1.2974;0.036496;0.191449;0.063331
1.32235;0.0333839;0.191377;0.0566208
1.3473;0.0305759;0.191449;0.0501346
1.37225;0.027636;0.191449;0.0443991
1.3972;0.0248001;0.191361;0.0393985
1.42215;0.0220201;0.191449;0.0327679
1.4471;0.019;0.191449;0.0276395
1.47205;0.0161279;0.191449;0.0227986
1.497;0.01288;0.191401;0.0159446
1.52195;0.00965997;0.191449;0.00936227
1.5469;0.00692003;0.191449;0.00583145
1.57185;0.00455997;0.191449;0
1.5968;0.00136;0.191449;-0.00432966
1.62175;-0.001248;0.191449;-0.00845159
1.6467;-0.004364;0.191409;-0.0159446
1.67165;-0.00698397;0.191417;-0.0225909
1.6966;-0.00979201;0.191449;-0.0263293
1.72155;-0.012848;0.191449;-0.0321288
1.7465;-0.0154519;0.191449;-0.03967
1.77145;-0.018848;0.191449;-0.0445587
1.7964;-0.021648;0.191305;-0.0515723
1.82135;-0.02462;0.191337;-0.0568125
1.8463;-0.0276599;0.191377;-0.0636665
1.87125;-0.0307679;0.191449;-0.0697223
1.8962;-0.0334122;0.191313;-0.0731732
1.92115;-0.036428;0.191449;-0.0797235
1.9461;-0.0392282;0.191449;-0.0857625
1.97105;-0.042172;0.191449;-0.0912903
1.996;-0.0451677;0.191449;-0.0958915
2.02095;-0.0482519;0.191449;-0.103672
2.0459;-0.0511361;0.191449;-0.109168
2.07085;-0.054252;0.191401;-0.114216
2.0958;-0.0569842;0.191233;-0.119936
2.12075;-0.059672;0.191417;-0.127876
2.1457;-0.0628157;0.191369;-0.133755
2.17065;-0.06558;0.191313;-0.139093
2.1956;-0.068608;0.191066;-0.144302
2.22055;-0.070944;0.191449;-0.150836
2.2455;-0.0739239;0.191337;-0.154143
2.27045;-0.0768197;0.191449;-0.159447
2.2954;-0.0791923;0.191369;-0.165614
2.32035;-0.08252;0.191433;-0.171286
2.3453;-0.0851598;0.191449;-0.176318
2.37025;-0.087964;0.191449;-0.182868
2.3952;-0.0909675;0.191449;-0.187933
2.42015;-0.0938443;0.191449;-0.194355
2.4451;-0.096616;0.191449;-0.200298
2.47005;-0.0993076;0.191425;-0.20736
2.495;-0.102444;0.191449;-0.213878
2.51995;-0.105136;0.191145;-0.219534
2.5449;-0.10806;0.191449;-0.22471
2.56985;-0.111024;0.191449;-0.231196
2.5948;-0.113884;0.191209;-0.237124
2.61975;-0.11688;0.191313;-0.243594
2.6447;-0.119904;0.191385;-0.247141
