t;vds;corrente;vg
0.000499;0.00580003;0.00881961;-0.00505142
0.000998;0.00598803;0.00901063;-0.00397901
0.001497;0.00598803;0.00921575;-0.00397901
0.001996;0.00598803;0.0102806;-0.00397901
0.002495;0.00598803;0.0105883;-0.00397901
0.002994;0.00598803;0.0113303;-0.00397901
0.003493;0.00600802;0.0120392;-0.00397901
0.003992;0.00686799;0.0126003;-0.00397901
0.004491;0.00789196;0.0134992;-0.00405875
0.00499;0.00798395;0.0136561;-0.00398698
0.005489;0.00798395;0.0144887;-0.00397901
0.005988;0.00798395;0.0150498;-0.00397901
0.006487;0.00798395;0.0155988;-0.00397901
0.006986;0.00810796;0.016558;-0.00402685
0.007485;0.00881998;0.016558;-0.00405078
0.007984;0.00973203;0.0176955;-0.00397901
0.008483;0.00998004;0.0180635;-0.00413849
0.008982;0.00998004;0.0184134;-0.00399496
0.009481;0.00998004;0.0195204;-0.00416242
0.00998;0.00998004;0.0195686;-0.00402685
0.010479;0.010016;0.020353;-0.00413052
0.010978;0.0111561;0.021074;-0.00397901
0.011477;0.0118881;0.0212158;-0.00397901
0.011976;0.0119761;0.0224195;-0.00397901
0.012475;0.0119761;0.0225824;-0.00397901
0.012974;0.0119801;0.0234721;-0.00397901
0.013473;0.012116;0.0240845;-0.00397901
0.013972;0.012964;0.0240875;-0.00397901
0.014471;0.013888;0.0251193;-0.00397901
0.01497;0.013972;0.0255899;-0.00397901
0.015469;0.013972;0.0256502;-0.00397901
0.015968;0.013972;0.026736;-0.00397901
0.016467;0.014008;0.027095;-0.00397901
0.016966;0.0147119;0.0275174;-0.00397901
0.017465;0.0153839;0.0285493;-0.00397901
0.017964;0.0159679;0.0288388;-0.00397901
0.018463;0.0159679;0.0300271;-0.00397901
0.018962;0.0159679;0.0301689;-0.00397901
0.019461;0.0159679;0.0309594;-0.00397901
0.01996;0.0159679;0.031608;-0.00397901
0.020459;0.0163479;0.0317075;-0.00397901
0.020958;0.01756;0.032926;-0.00397901
0.021457;0.017952;0.0331251;-0.00397901
0.021956;0.017964;0.0338522;-0.00397901
0.022455;0.017964;0.0346215;-0.00397901
0.022954;0.017964;0.0347663;-0.00397901
0.023453;0.018232;0.0358042;-0.00408267
0.023952;0.019324;0.036127;-0.00400293
0.024451;0.0199601;0.0364859;-0.00397901
0.02495;0.0199601;0.0375688;-0.00397901
0.025449;0.0199601;0.0377949;-0.00399496
0.025948;0.0199601;0.038721;-0.00397901
0.026447;0.0200521;0.0391373;-0.00397901
0.026946;0.02098;0.0397677;-0.00405077
0.027445;0.02176;0.0406425;-0.00399496
0.027944;0.021956;0.0407391;-0.00398698
0.028443;0.021956;0.0417015;-0.00399496
0.028942;0.021956;0.042148;-0.00397901
0.029441;0.021956;0.0425221;-0.00397901
0.02994;0.021972;0.0436472;-0.00397901
0.030439;0.0224841;0.0436532;-0.00397901
0.030938;0.0237641;0.044305;-0.00397901
0.031437;0.0239361;0.0451588;-0.00397901
0.031936;0.0239521;0.0453517;-0.00400293
0.032435;0.0239521;0.0465038;-0.00397901
0.032934;0.0239521;0.0466637;-0.00397901
0.033433;0.0239521;0.0471253;-0.0041385
0.033932;0.0247721;0.048169;-0.00397901
0.034431;0.025788;0.0482052;-0.00401888
0.03493;0.025948;0.049397;-0.00397901
0.035429;0.025948;0.0496745;-0.00397901
0.035928;0.025948;0.0504257;-0.00397901
0.036427;0.025948;0.0511798;-0.00397901
0.036926;0.025948;0.0513335;-0.00424215
0.037425;0.026808;0.0524735;-0.00397901
0.037924;0.0273559;0.0526847;-0.00409862
0.038423;0.0278959;0.0529954;-0.00412254
0.038922;0.0279439;0.0540753;-0.00397901
0.039421;0.0279439;0.0541899;-0.00403483
0.03992;0.0279439;0.0547029;-0.00413052
0.040419;0.0279839;0.0556955;-0.00397901
0.040918;0.0285719;0.0558041;-0.00397901
0.041417;0.0294079;0.057008;-0.0040109
0.041916;0.0299279;0.0572011;-0.00426608
0.042415;0.0299399;0.0574636;-0.00451329
0.042914;0.0299399;0.0587064;-0.00405875
0.043413;0.0299399;0.0587335;-0.00401888
0.043912;0.0301759;0.0595173;-0.0040747
0.044411;0.0309719;0.0602111;-0.00397901
0.04491;0.0318278;0.0604585;-0.0040109
0.045409;0.0319278;0.0616199;-0.0040109
0.045908;0.0319358;0.0617165;-0.00397901
0.046407;0.0319358;0.0622928;-0.00397901
0.046906;0.0319358;0.063222;-0.00397901
0.047405;0.0321199;0.0632371;-0.00397901
0.047904;0.0330281;0.0644951;-0.0040428
0.048403;0.0336122;0.0647274;-0.00408267
0.048902;0.0339322;0.0654778;-0.00397901
0.049401;0.0339322;0.066229;-0.00397901
0.0499;0.0339322;0.0662531;-0.00402685
0.050399;0.0339402;0.0675326;-0.00398698
0.050898;0.0342361;0.0677377;-0.00417039
0.051397;0.0349001;0.0680998;-0.00401888
0.051896;0.035856;0.0690921;-0.00397901
0.052395;0.035928;0.069258;-0.00397901
0.052894;0.035928;0.0702174;-0.00397901
0.053393;0.035928;0.0707484;-0.00397901
0.053892;0.035928;0.0712977;-0.00402685
0.054391;0.036172;0.0722087;-0.00397901
0.05489;0.0374961;0.072269;-0.00397901
0.055389;0.0379241;0.0733603;-0.00397901
0.055888;0.0379241;0.0737585;-0.00397901
0.056387;0.0379241;0.0737615;-0.00397901
0.056886;0.0379241;0.0747302;-0.00397901
0.057385;0.0382481;0.0752642;-0.00397901
0.057884;0.0391642;0.0758523;-0.00397901
0.058383;0.0399202;0.0767363;-0.00397901
0.058882;0.0399202;0.0769263;-0.00397901
0.059381;0.0399202;0.0778282;-0.00397901
0.05988;0.0399202;0.0782746;-0.00397901
0.060379;0.0400561;0.0791198;-0.00397901
0.060878;0.040348;0.0797805;-0.00397901
0.061377;0.0415399;0.0797805;-0.00397901
0.061876;0.0418959;0.0807271;-0.00397901
0.062375;0.0419159;0.081285;-0.00397901
0.062874;0.0419159;0.0816957;-0.00397901
0.063373;0.0419159;0.0827848;-0.00397901
0.063872;0.0419279;0.0827999;-0.00397901
0.064371;0.0422999;0.083931;-0.00397901
0.06487;0.043324;0.0842961;-0.00397901
0.065369;0.0438721;0.0842961;-0.00397901
0.065868;0.0439121;0.0856532;-0.00397901
0.066367;0.0439121;0.085801;-0.00397901
0.066866;0.0439121;0.086661;-0.00397901
0.067365;0.0439441;0.0873064;-0.00397901
0.067864;0.044232;0.0875084;-0.00397901
0.068363;0.0455877;0.0887691;-0.00412254
0.068862;0.0458717;0.0888114;-0.00397901
0.069361;0.0459077;0.0898167;-0.00397901
0.06986;0.0459077;0.0903175;-0.00397901
0.070359;0.0459077;0.0905014;-0.00397901
0.070858;0.0460357;0.0916356;-0.00397901
0.071357;0.046964;0.0918226;-0.00397901
0.071856;0.0476562;0.0922477;-0.00397901
0.072355;0.0478602;0.0932551;-0.00397901
0.072854;0.0479042;0.0933275;-0.00397901
0.073353;0.0479042;0.0941844;-0.00397901
0.073852;0.0479122;0.0947968;-0.0040428
0.074351;0.0482601;0.0948752;-0.00405078
0.07485;0.0497278;0.0961479;-0.00397901
0.075349;0.0498918;0.0963379;-0.00400293
0.075848;0.0498998;0.0967237;-0.00397901
0.076347;0.0498998;0.0978338;-0.00397901
0.076846;0.0498998;0.0979063;-0.00397901
0.077345;0.0498998;0.0988272;-0.00397901
0.077844;0.0500839;0.0993369;-0.00397901
0.078343;0.05074;0.0996775;-0.00397901
0.078842;0.051704;0.100684;-0.00397901
0.079341;0.051896;0.100853;-0.00397901
0.07984;0.051896;0.10165;-0.00397901
0.080339;0.051896;0.102299;-0.00397901
0.080838;0.051896;0.102369;-0.00397901
0.081337;0.051912;0.103545;-0.00397901
0.081836;0.0528563;0.103864;-0.00397901
0.082335;0.0537083;0.104488;-0.00397901
0.082834;0.0538323;0.105342;-0.00397901
0.083333;0.0538923;0.105369;-0.00397901
0.083832;0.0538923;0.10648;-0.00397901
0.084331;0.0538923;0.106876;-0.00397901
0.08483;0.0541122;0.107385;-0.00397901
0.085329;0.055224;0.10838;-0.00397901
0.085828;0.0556879;0.108483;-0.00397901
0.086327;0.0558879;0.109793;-0.00397901
0.086826;0.0558879;0.109886;-0.00409862
0.087325;0.0558879;0.110064;-0.00397901
0.087824;0.0558879;0.111249;-0.00397901
0.088323;0.0559519;0.111391;-0.00397901
0.088822;0.0570041;0.112404;-0.0040747
0.089321;0.0578482;0.112896;-0.00397901
0.08982;0.0578842;0.11315;-0.00397901
0.090319;0.0578842;0.114387;-0.00397901
0.090818;0.0578842;0.114471;-0.00397901
0.091317;0.0578842;0.115294;-0.00397901
0.091816;0.0579281;0.115906;-0.00397901
0.092315;0.058508;0.115946;-0.00397901
0.092814;0.0596079;0.117193;-0.00402685
0.093313;0.0598798;0.117413;-0.00397901
0.093812;0.0598798;0.117762;-0.00418634
0.094311;0.0598798;0.118869;-0.00397901
0.09481;0.0598798;0.118972;-0.00397901
0.095309;0.0600039;0.119994;-0.00397901
0.095808;0.0608641;0.120422;-0.00397901
0.096307;0.0617522;0.121029;-0.00397901
0.096806;0.0618762;0.121892;-0.00403483
0.097305;0.0618762;0.121928;-0.00397901
0.097804;0.0618762;0.122293;-0.00397901
0.098303;0.0618962;0.123351;-0.00397901
0.098802;0.0619681;0.123469;-0.00397901
0.099301;0.0628918;0.12471;-0.00397901
0.0998;0.0637876;0.124939;-0.00397901
0.100299;0.0638716;0.125343;-0.00397901
0.100798;0.0638716;0.126444;-0.00397901
0.101297;0.0638716;0.12683;-0.0040747
0.101796;0.0639036;0.127816;-0.00397901
0.102295;0.0642438;0.127949;-0.00397901
0.102794;0.065412;0.128323;-0.00397901
0.103293;0.065796;0.129419;-0.00397901
0.103792;0.065868;0.129461;-0.00397901
0.104291;0.065868;0.130607;-0.00397901
0.10479;0.065868;0.130959;-0.00397901
0.105289;0.0658801;0.131152;-0.00397901
0.105788;0.0661842;0.132431;-0.00397901
0.106287;0.0668403;0.132464;-0.00397901
0.106786;0.0678564;0.133041;-0.00397901
0.107285;0.0678644;0.133971;-0.00397901
0.107784;0.0678644;0.134073;-0.00397901
0.108283;0.0678644;0.135216;-0.00397901
0.108782;0.0678684;0.135475;-0.00397901
0.109281;0.0680003;0.136333;-0.00397901
0.10978;0.068908;0.136981;-0.00397901
0.110279;0.0698078;0.137096;-0.00397901
0.110778;0.0698598;0.138239;-0.00397901
0.111277;0.0698598;0.138495;-0.00397901
0.111776;0.0698598;0.139219;-0.00397901
0.112275;0.0698598;0.139991;-0.00397901
0.112774;0.0699158;0.140045;-0.00403483
0.113273;0.0703119;0.141099;-0.00413849
0.113772;0.0713359;0.141497;-0.0040428
0.114271;0.071856;0.141714;-0.0041066
0.11477;0.071856;0.142917;-0.00405078
0.115269;0.071856;0.143001;-0.00397901
0.115768;0.071856;0.143424;-0.00406672
0.116267;0.071856;0.144345;-0.00412254
0.116766;0.072036;0.144508;-0.00397901
0.117265;0.073224;0.145404;-0.00397901
0.117764;0.073852;0.146013;-0.00397901
0.118263;0.073596;0.146013;-0.00417837
0.118762;0.072616;0.14515;-0.00441759
0.119261;0.071968;0.144508;-0.00480833
0.11976;0.071856;0.144318;-0.00409065
0.120259;0.071856;0.143101;-0.00428203
0.120758;0.071856;0.143001;-0.00417039
0.121257;0.071852;0.142603;-0.00443355
0.121756;0.07178;0.141548;-0.00414647
0.122255;0.0708478;0.141497;-0.00421026
0.122754;0.0701238;0.140498;-0.00428203
0.123253;0.0698598;0.139991;-0.00405875
0.123752;0.0698598;0.139937;-0.00397901
0.124251;0.0698598;0.1388;-0.0040428
0.12475;0.0698598;0.138486;-0.00398698
0.125249;0.0698598;0.13794;-0.00403483
0.125748;0.0696599;0.136996;-0.00399496
0.126247;0.0687722;0.136975;-0.00401091
0.126746;0.0679324;0.136236;-0.00397901
0.127245;0.0678644;0.135475;-0.00399496
0.127744;0.0678644;0.135234;-0.00397901
0.128243;0.0678644;0.134076;-0.00397901
0.128742;0.0678644;0.133931;-0.00397901
0.129241;0.0677283;0.132769;-0.00397901
0.12974;0.0668802;0.132464;-0.00397901
0.130239;0.065948;0.132154;-0.00397901
0.130738;0.065876;0.131041;-0.00397901
0.131237;0.065868;0.130956;-0.00414647
0.131736;0.065868;0.13013;-0.00406672
0.132235;0.06586;0.129455;-0.00397901
0.132734;0.065804;0.129207;-0.00397901
0.133233;0.0649077;0.128063;-0.00397901
0.133732;0.0639836;0.127949;-0.00399496
0.134231;0.0638716;0.127668;-0.00397901
0.13473;0.0638716;0.126523;-0.00397901
0.135229;0.0638716;0.126354;-0.00397901
0.135728;0.0638676;0.125428;-0.00397901
0.136227;0.0635838;0.124921;-0.00397901
0.136726;0.0625761;0.124139;-0.00397901
0.137225;0.0618762;0.123442;-0.00397901
0.137724;0.0618762;0.123219;-0.00397901
0.138223;0.0618762;0.121934;-0.00397901
0.138722;0.0618762;0.121928;-0.00397901
0.139221;0.0618762;0.12165;-0.00397901
0.13972;0.0617202;0.120495;-0.00397901
0.140219;0.0602678;0.120422;-0.00397901
0.140718;0.0598959;0.11978;-0.00397901
0.141217;0.0598798;0.11896;-0.00397901
0.141716;0.0598798;0.11886;-0.00397901
0.142215;0.0598798;0.117669;-0.00397901
0.142714;0.0598479;0.117389;-0.00397901
0.143213;0.0594319;0.116643;-0.00397901
0.143712;0.0583482;0.11597;-0.00397901
0.144211;0.0578842;0.115906;-0.00397901
0.14471;0.0578842;0.114915;-0.00397901
0.145209;0.0578842;0.114402;-0.00397901
0.145708;0.0578842;0.114182;-0.00397901
0.146207;0.0578842;0.113038;-0.00397901
0.146706;0.0577641;0.112896;-0.00397901
0.147205;0.0564239;0.112009;-0.00397901
0.147704;0.0559999;0.111391;-0.00397901
0.148203;0.0558879;0.111228;-0.00397901
0.148702;0.0558879;0.110052;-0.00397901
0.149201;0.0558879;0.109886;-0.00397901
0.1497;0.0558879;0.109744;-0.00397901
0.150199;0.0558639;0.108476;-0.00397901
0.150698;0.0551081;0.108377;-0.00397901
0.151197;0.0540603;0.107186;-0.00397901
0.151696;0.0538923;0.106876;-0.00397901
0.152195;0.0538923;0.106326;-0.00397901
0.152694;0.0538923;0.105369;-0.00397901
0.153193;0.0538883;0.105279;-0.00397901
0.153692;0.0536362;0.104233;-0.00397901
0.154191;0.052232;0.103864;-0.00397901
0.15469;0.051912;0.103132;-0.00397901
0.155189;0.051896;0.10236;-0.00397901
0.155688;0.051896;0.102336;-0.00397901
0.156187;0.051896;0.101342;-0.00397901
