t;vds;corrente;vg
0.000499;-0.0959964;0.00915227;-0.197674
0.000998;-0.0958084;0.0103319;-0.19895
0.001497;-0.0958084;0.010537;-0.19895
0.001996;-0.0958084;0.0115174;-0.19895
0.002495;-0.0958084;0.0120513;-0.199086
0.002994;-0.0958084;0.0128295;-0.19895
0.003493;-0.0958084;0.0135475;-0.19895
0.003992;-0.0958084;0.0135957;-0.19895
0.004491;-0.0958084;0.0146606;-0.19895
0.00499;-0.0958084;0.0150528;-0.198974
0.005489;-0.0958084;0.0157888;-0.19895
0.005988;-0.0958084;0.016558;-0.19895
0.006487;-0.0958084;0.0170317;-0.199046
0.006986;-0.0958084;0.0179639;-0.198974
0.007485;-0.0958084;0.0180665;-0.19899
0.007984;-0.0958084;0.0190347;-0.19899
0.008483;-0.0958084;0.0195686;-0.19895
0.008982;-0.0958084;0.0196441;-0.19895
0.009481;-0.0958084;0.0209534;-0.19895
0.00998;-0.0958084;0.021074;-0.19895
0.010479;-0.0958084;0.0218584;-0.199078
0.010978;-0.0958084;0.0225764;-0.19895
0.011477;-0.0958084;0.0226789;-0.198958
0.011976;-0.0958084;0.0239789;-0.19895
0.012475;-0.0958084;0.0240845;-0.198998
0.012974;-0.0958084;0.0246065;-0.19895
0.013473;-0.0958084;0.0255899;-0.19895
0.013972;-0.0958084;0.0255899;-0.19895
0.014471;-0.0958084;0.0264374;-0.19895
0.01497;-0.0958084;0.027095;-0.19895
0.015469;-0.0958084;0.0274601;-0.198998
0.015968;-0.0958084;0.0285824;-0.19895
0.016467;-0.0957924;0.0286035;-0.19895
0.016966;-0.0958084;0.0298793;-0.19895
0.017465;-0.0958084;0.0301055;-0.199006
0.017964;-0.0958084;0.0306728;-0.199014
0.018463;-0.0958084;0.031611;-0.19895
0.018962;-0.0958084;0.031611;-0.19895
0.019461;-0.0958084;0.0325821;-0.19895
0.01996;-0.0958084;0.033116;-0.199102
0.020459;-0.0958084;0.0339156;-0.198958
0.020958;-0.0958084;0.0346215;-0.198982
0.021457;-0.0957764;0.034706;-0.19895
0.021956;-0.0958084;0.0359158;-0.19895
0.022455;-0.0957884;0.036127;-0.19895
