t;vds;corrente;vg
0.000499;0.0972239;0.00924446;0.186103
0.000998;0.0973199;0.00992161;0.189701
0.001497;0.0972918;0.010537;0.189541
0.001996;0.0973199;0.0111433;0.190164
0.002495;0.0971199;0.0120422;0.189861
0.002994;0.0975877;0.0123258;0.190499
0.003493;0.0972079;0.0135384;0.189119
0.003992;0.0974678;0.0135475;0.189685
0.004491;0.0973518;0.0143167;0.188896
0.00499;0.0973038;0.0150528;0.189829
0.005489;0.097048;0.0152307;0.190443
0.005988;0.0973558;0.0165369;0.190068
0.006487;0.0972958;0.0166002;0.189916
0.006986;0.0974358;0.0177498;0.190132
0.007485;0.0975198;0.0180635;0.19049
0.007984;0.0975437;0.0188447;0.190618
0.008483;0.0974878;0.0195536;0.190849
0.008982;0.0973158;0.019626;0.190419
0.009481;0.0974558;0.0209262;0.190602
0.00998;0.0970879;0.021074;0.190411
0.010479;0.0974278;0.0215206;0.190778
0.010978;0.0972159;0.0225492;0.189901
0.011477;0.0973438;0.0226065;0.190762
0.011976;0.0974518;0.0236803;0.190411
0.012475;0.0973718;0.0240845;0.19061
0.012974;0.0971959;0.0244013;0.190849
0.013473;0.0973758;0.0254904;0.190084
0.013972;0.0973918;0.0255899;0.190993
0.014471;0.0975558;0.02619;0.190738
0.01497;0.0975837;0.0270708;0.190602
0.015469;0.0976717;0.0273122;0.190459
0.015968;0.0975317;0.0283351;0.190666
0.016467;0.0974158;0.0286005;0.190363
0.016966;0.0974079;0.0294751;0.189334
0.017465;0.0975437;0.0301055;0.189542
0.017964;0.0973917;0.0305793;0.190929
0.018463;0.0976317;0.0315899;0.190235
0.018962;0.0975157;0.031611;0.190834
0.019461;0.0975957;0.0324615;0.190881
0.01996;0.0975557;0.033116;0.190993
0.020459;0.0975637;0.033635;0.190921
0.020958;0.0976957;0.0346094;0.190897
0.021457;0.0975758;0.0346215;0.190977
0.021956;0.0975118;0.0358132;0.190977
0.022455;0.0972959;0.036127;0.190642
0.022954;0.0975438;0.0362476;0.190857
0.023453;0.0975637;0.0374964;0.190578
0.023952;0.0975757;0.0376653;0.190586
0.024451;0.0974158;0.0389533;0.190977
0.02495;0.0973359;0.0391373;0.190825
0.025449;0.0974958;0.0395234;0.190953
