t;vds;corrente;vg
0.000499;-0.0960004;0.0083895;-0.198144
0.000998;-0.0958084;0.0100332;-0.19895
0.001497;-0.0958084;0.010537;-0.19895
0.001996;-0.0958084;0.0110528;-0.19899
0.002495;-0.0958084;0.0120422;-0.19895
0.002994;-0.0958084;0.0125279;-0.19895
0.003493;-0.0958084;0.0135445;-0.199062
0.003992;-0.0957684;0.0135596;-0.198958
0.004491;-0.0958044;0.0143831;-0.19899
0.00499;-0.0958044;0.0150528;-0.19895
0.005489;-0.0957924;0.0155595;-0.19895
0.005988;-0.0958084;0.016558;-0.19907
0.006487;-0.0958084;0.0166002;-0.19895
0.006986;-0.0958084;0.0179308;-0.19895
0.007485;-0.0957964;0.0180635;-0.19895
0.007984;-0.0958084;0.0185913;-0.19923
0.008483;-0.0958084;0.0195686;-0.19895
0.008982;-0.0958084;0.0195747;-0.19895
0.009481;-0.0958084;0.0206668;-0.199086
0.00998;-0.0958084;0.021074;-0.198974
0.010479;-0.0957924;0.021602;-0.19899
0.010978;-0.0957964;0.0225553;-0.198982
0.011477;-0.0958084;0.0226095;-0.199301
0.011976;-0.0958084;0.0238914;-0.19895
0.012475;-0.0958084;0.0240845;-0.199118
0.012974;-0.0957884;0.0245944;-0.199365
0.013473;-0.0957564;0.0255779;-0.198998
0.013972;-0.0957964;0.0255899;-0.198998
0.014471;-0.0958084;0.0263409;-0.199022
0.01497;-0.0958084;0.0270889;-0.199182
0.015469;-0.0958044;0.0273967;-0.198958
0.015968;-0.0958084;0.0285673;-0.199262
0.016467;-0.0958084;0.0286337;-0.199477
0.016966;-0.0958084;0.0295445;-0.199094
0.017465;-0.0958084;0.0300965;-0.199246
0.017964;-0.0958044;0.0306396;-0.199214
0.018463;-0.0958084;0.031608;-0.199214
0.018962;-0.0958084;0.031611;-0.199118
0.019461;-0.0958084;0.0324886;-0.199102
0.01996;-0.0958084;0.033116;-0.199014
0.020459;-0.0958084;0.0334268;-0.199349
0.020958;-0.0958084;0.0344737;-0.199421
0.021457;-0.0958044;0.0346788;-0.199501
0.021956;-0.0958084;0.0356503;-0.199637
0.022455;-0.0958084;0.036127;-0.199206
0.022954;-0.0958044;0.0362808;-0.199214
0.023453;-0.0958084;0.0375537;-0.199325
0.023952;-0.0957964;0.0376442;-0.199349
0.024451;-0.0958084;0.0387059;-0.19899
0.02495;-0.0958044;0.0391373;-0.199621
0.025449;-0.0958084;0.0394631;-0.199293
0.025948;-0.0958084;0.0406154;-0.199613
0.026447;-0.0958084;0.0407873;-0.19911
0.026946;-0.0957724;0.041961;-0.199182
0.027445;-0.0958084;0.0421511;-0.19895
0.027944;-0.0958084;0.0427514;-0.199278
0.028443;-0.0958084;0.0436261;-0.199142
0.028942;-0.0958084;0.0436713;-0.198998
0.029441;-0.0957724;0.0448179;-0.199094
0.02994;-0.0958084;0.0451588;-0.198958
0.030439;-0.0958084;0.0455628;-0.199166
0.030938;-0.0958044;0.0466426;-0.199022
0.031437;-0.0958084;0.0466637;-0.19927
0.031936;-0.0958084;0.0476351;-0.199278
0.032435;-0.0958084;0.048169;-0.199182
0.032934;-0.0958084;0.0486035;-0.199022
0.033433;-0.0958044;0.0496413;-0.199293
0.033932;-0.0958084;0.0497469;-0.20033
0.034431;-0.0958084;0.0510531;-0.199461
0.03493;-0.0957884;0.0511798;-0.199006
0.035429;-0.0957964;0.0518069;-0.199126
0.035928;-0.0958084;0.0526847;-0.198998
0.036427;-0.0958044;0.0527299;-0.199078
0.036926;-0.0958084;0.0539064;-0.199206
0.037425;-0.0958084;0.0541899;-0.198966
0.037924;-0.0958084;0.0543619;-0.198974
0.038423;-0.0958044;0.0556231;-0.199038
0.038922;-0.0958004;0.0557287;-0.198966
0.039421;-0.0958084;0.0565675;-0.19895
0.03992;-0.0958084;0.0572011;-0.19895
0.040419;-0.0958084;0.0573489;-0.19895
0.040918;-0.0958084;0.0584681;-0.19903
0.041417;-0.0958044;0.0587064;-0.19915
0.041916;-0.0958084;0.0597586;-0.199062
0.042415;-0.0958084;0.0602111;-0.198958
0.042914;-0.0958084;0.0605521;-0.19895
0.043413;-0.0958084;0.061635;-0.19895
0.043912;-0.0958084;0.0617165;-0.19895
0.044411;-0.0958084;0.0624376;-0.19895
0.04491;-0.0958084;0.0632009;-0.19895
0.045409;-0.0958084;0.0634091;-0.19895
0.045908;-0.0957924;0.0646671;-0.19895
0.046407;-0.0958004;0.0647304;-0.19895
0.046906;-0.0958084;0.0657524;-0.19895
0.047405;-0.0958084;0.066232;-0.19895
0.047904;-0.0958084;0.0664976;-0.19895
0.048403;-0.0958084;0.0677136;-0.198982
0.048902;-0.0957924;0.0677377;-0.19895
0.049401;-0.0958084;0.0685583;-0.19895
0.0499;-0.0957964;0.069243;-0.19895
0.050399;-0.0958044;0.0695084;-0.19895
0.050898;-0.0957844;0.0707031;-0.198966
0.051397;-0.0957964;0.0707816;-0.19895
0.051896;-0.0958004;0.071892;-0.19895
0.052395;-0.0958084;0.0722539;-0.19895
0.052894;-0.0958084;0.0723805;-0.19895
0.053393;-0.0958084;0.0736952;-0.19895
0.053892;-0.0957964;0.0737585;-0.19895
0.054391;-0.0958084;0.0742053;-0.198958
0.05489;-0.0957804;0.075225;-0.19895
0.055389;-0.0958084;0.0753698;-0.19895
0.055888;-0.0958084;0.0764467;-0.199054
0.056387;-0.0958084;0.0767695;-0.199126
0.056886;-0.0958044;0.0775808;-0.19895
0.057385;-0.0957804;0.0782746;-0.19895
0.057884;-0.0958044;0.0785463;-0.19895
0.058383;-0.0958084;0.0797172;-0.19895
0.058882;-0.0958084;0.0797835;-0.19895
0.059381;-0.0958004;0.0802959;-0.19895
0.05988;-0.0958044;0.0812729;-0.19895
0.060379;-0.0957684;0.0815448;-0.19895
0.060878;-0.0958084;0.0827909;-0.19895
0.061377;-0.0958084;0.08283;-0.19895
0.061876;-0.0957804;0.08394;-0.19895
0.062375;-0.0958084;0.0842961;-0.19895
0.062874;-0.0958084;0.0844046;-0.198982
0.063373;-0.0958084;0.0856773;-0.19895
0.063872;-0.0958084;0.085801;-0.19895
0.064371;-0.0958084;0.0868569;-0.198966
0.06487;-0.0958084;0.0873064;-0.19895
0.065369;-0.0957804;0.0876773;-0.19895
0.065868;-0.0957404;0.0888023;-0.19895
0.066367;-0.0958084;0.0888567;-0.19895
0.066866;-0.0957924;0.0899585;-0.198974
0.067365;-0.0958084;0.0903175;-0.19895
0.067864;-0.0957884;0.0907396;-0.19895
0.068363;-0.0958044;0.091723;-0.199014
0.068862;-0.0957844;0.0918226;-0.19895
0.069361;-0.0957844;0.0925975;-0.19907
0.06986;-0.0957884;0.0933275;-0.19895
0.070359;-0.0956764;0.0934301;-0.19895
0.070858;-0.0958044;0.0946731;-0.19895
0.071357;-0.0957325;0.094833;-0.19895
0.071856;-0.0957404;0.0953364;-0.19895
0.072355;-0.0958084;0.0963198;-0.19895
0.072854;-0.0958084;0.0963439;-0.19895
0.073353;-0.0957484;0.0973994;-0.19895
0.073852;-0.0957484;0.0978429;-0.19895
0.074351;-0.0958004;0.0985766;-0.19895
0.07485;-0.0957724;0.099349;-0.19895
0.075349;-0.0957165;0.0994274;-0.19895
0.075848;-0.0958044;0.100546;-0.19895
0.076347;-0.0957604;0.100853;-0.199054
0.076846;-0.0957844;0.101409;-0.199046
0.077345;-0.0957684;0.10236;-0.19895
0.077844;-0.0958084;0.102363;-0.198958
0.078343;-0.0957924;0.102996;-0.19895
0.078842;-0.0958044;0.103864;-0.19895
0.079341;-0.0957604;0.10425;-0.19895
0.07984;-0.0958044;0.105288;-0.19895
0.080339;-0.0958084;0.105406;-0.19895
0.080838;-0.0957804;0.106492;-0.19895
0.081337;-0.0958084;0.106876;-0.19895
0.081836;-0.0958084;0.107433;-0.19895
0.082335;-0.0958004;0.10838;-0.199014
0.082834;-0.0957924;0.108821;-0.19895
0.083333;-0.0957684;0.10982;-0.19895
0.083832;-0.0958084;0.109886;-0.19895
0.084331;-0.0957724;0.110311;-0.19903
0.08483;-0.0957484;0.111391;-0.19895
0.085329;-0.0957884;0.111506;-0.19895
0.085828;-0.0958084;0.112648;-0.19895
0.086327;-0.0957924;0.112896;-0.19895
0.086826;-0.0958084;0.113418;-0.19895
0.087325;-0.0958084;0.114387;-0.19895
0.087824;-0.0957764;0.114429;-0.19895
0.088323;-0.0958084;0.115626;-0.19895
0.088822;-0.0957564;0.115906;-0.19895
0.089321;-0.0957764;0.116181;-0.19895
0.08982;-0.0957924;0.117395;-0.19895
0.090319;-0.0957844;0.117458;-0.198926
0.090818;-0.0957365;0.118459;-0.19895
0.091317;-0.0957764;0.118918;-0.19895
0.091816;-0.0958004;0.119551;-0.19895
0.092315;-0.0958044;0.120422;-0.19895
0.092814;-0.0958044;0.120431;-0.19895
0.093313;-0.0957764;0.121572;-0.19895
0.093812;-0.0957804;0.121928;-0.19895
0.094311;-0.0957524;0.121967;-0.19895
0.09481;-0.0957604;0.123044;-0.19895
0.095309;-0.0958044;0.12346;-0.19895
0.095808;-0.0958084;0.124185;-0.19895
0.096307;-0.0958084;0.124939;-0.19895
0.096806;-0.0957964;0.125364;-0.19895
0.097305;-0.0957764;0.126444;-0.19895
0.097804;-0.0957924;0.126565;-0.19895
0.098303;-0.0958004;0.127716;-0.19895
0.098802;-0.0957324;0.127949;-0.19895
0.099301;-0.0957844;0.128221;-0.19895
0.0998;-0.0957844;0.129391;-0.19895
0.100299;-0.0957484;0.129461;-0.19895
0.100798;-0.0956564;0.130697;-0.19895
0.101297;-0.0957164;0.130959;-0.19895
0.101796;-0.0957684;0.1313;-0.19895
0.102295;-0.0955805;0.132407;-0.198966
0.102794;-0.0958084;0.132476;-0.19895
0.103293;-0.0957964;0.133243;-0.19895
0.103792;-0.0957844;0.133971;-0.19895
0.104291;-0.0957724;0.134375;-0.19895
0.10479;-0.0957524;0.135397;-0.19895
0.105289;-0.0956284;0.135593;-0.19895
0.105788;-0.0957524;0.136658;-0.19895
0.106287;-0.0957604;0.136981;-0.198958
0.106786;-0.0957684;0.137488;-0.19895
0.107285;-0.0957164;0.138486;-0.19895
0.107784;-0.0957564;0.138631;-0.198966
0.108283;-0.0957364;0.139602;-0.19895
0.108782;-0.0957484;0.139991;-0.19895
0.109281;-0.0957684;0.140259;-0.19895
0.10978;-0.0957484;0.14147;-0.19895
0.110279;-0.0957524;0.141497;-0.19895
0.110778;-0.0957484;0.142229;-0.19895
0.111277;-0.0957844;0.142989;-0.19895
0.111776;-0.0958084;0.143065;-0.19895
0.112275;-0.0957444;0.144155;-0.19895
0.112774;-0.0957684;0.144508;-0.19895
0.113273;-0.0957044;0.144834;-0.19895
0.113772;-0.0958004;0.145986;-0.19895
0.114271;-0.0956884;0.146203;-0.19895
0.11477;-0.0957604;0.147336;-0.19895
0.115269;-0.0956484;0.147517;-0.19895
0.115768;-0.0957484;0.148185;-0.19907
0.116267;-0.0958044;0.149024;-0.19895
0.116766;-0.0958044;0.149048;-0.19895
0.117265;-0.0958044;0.150239;-0.19895
0.117764;-0.0957804;0.149316;-0.19895
0.118263;-0.0957604;0.149024;-0.19895
0.118762;-0.0957844;0.148571;-0.19895
0.119261;-0.0958004;0.147592;-0.19895
0.11976;-0.0957604;0.147433;-0.19895
0.120259;-0.0957884;0.146366;-0.19895
0.120758;-0.0958044;0.146013;-0.19895
