t;vds;corrente;vg
0.000499;0.001248;0.00838649;-0.00590814
0.000998;0.000984001;0.00984318;-0.00397901
0.001497;0.001228;0.010537;-0.00397901
0.001996;0.000836001;0.0112398;-0.00397901
0.002495;0.00116;0.0120422;-0.00397901
0.002994;0.001076;0.0123922;-0.00397901
0.003493;0.000740001;0.0135173;-0.00397901
0.003992;0.001184;0.0135807;-0.00397901
0.004491;0.0014;0.0140995;-0.00397901
0.00499;0.001352;0.0150528;-0.00397901
0.005489;0.001336;0.01527;-0.00401888
0.005988;0.001448;0.0165309;-0.00397901
0.006487;0.001324;0.0166817;-0.00397901
0.006986;0.001256;0.0176894;-0.0040109
0.007485;0.00132;0.0180635;-0.00397901
0.007984;0.001448;0.0185973;-0.00397901
0.008483;0.00150799;0.0195686;-0.00401888
0.008982;0.001148;0.0195686;-0.00397901
0.009481;0.00153599;0.0206969;-0.00397901
0.00998;0.00136;0.021074;-0.00397901
0.010479;0.001464;0.0213848;-0.00397901
0.010978;0.001376;0.0225583;-0.00408267
0.011477;0.001248;0.0226306;-0.00397901
0.011976;0.00142;0.0237376;-0.00397901
0.012475;0.00118;0.0240845;-0.00397901
0.012974;0.00159199;0.0243741;-0.00397901
0.013473;0.000936001;0.0255326;-0.00397901
0.013972;0.001296;0.0255899;-0.00397901
0.014471;0.001316;0.0258794;-0.00397901
0.01497;0.00138;0.0270859;-0.00397901
0.015469;0.00151199;0.0271945;-0.00397901
0.015968;0.00170799;0.0284587;-0.00397901
0.016467;0.001464;0.0286005;-0.00397901
0.016966;0.00171999;0.0292218;-0.00397901
0.017465;0.00164399;0.0301055;-0.00401888
0.017964;0.00163599;0.0305068;-0.00399496
0.018463;0.00175999;0.0315356;-0.00400293
0.018962;0.00171599;0.031611;-0.0040109
0.019461;0.00150399;0.0323469;-0.00398698
0.01996;0.00149199;0.033116;-0.00397901
0.020459;0.0012;0.0334117;-0.00397901
0.020958;0.001456;0.034531;-0.00397901
0.021457;0.00151199;0.0346335;-0.00397901
0.021956;0.00151999;0.0355025;-0.00397901
0.022455;0.00171599;0.036127;-0.00397901
0.022954;0.00161599;0.0362778;-0.00397901
0.023453;0.00180399;0.0372942;-0.00397901
0.023952;0.001488;0.0376592;-0.00397901
0.024451;0.00152799;0.038712;-0.00405078
0.02495;0.00150799;0.0391373;-0.00397901
0.025449;0.00112;0.0395686;-0.00397901
0.025948;0.00156799;0.0406425;-0.00397901
0.026447;0.001324;0.0406727;-0.00397901
0.026946;0.001392;0.0417348;-0.00397901
0.027445;0.00155999;0.042148;-0.00397901
0.027944;0.00153599;0.04251;-0.00397901
0.028443;0.001128;0.0435838;-0.00397901
0.028942;0.00163999;0.0436743;-0.00397901
0.029441;0.00155599;0.0445946;-0.00397901
0.02994;0.001288;0.0451588;-0.00400293
0.030439;0.001264;0.0453999;-0.00397901
0.030938;0.001452;0.0465732;-0.00397901
0.031437;0.00151999;0.0466667;-0.00397901
0.031936;0.001444;0.0474963;-0.00397901
0.032435;0.001372;0.048169;-0.00397901
0.032934;0.001316;0.0483832;-0.00394711
0.033433;0.001284;0.0495448;-0.00397901
0.033932;0.00159999;0.0497379;-0.00397901
0.034431;0.00154399;0.050845;-0.00397901
0.03493;0.001348;0.0511798;-0.00397901
0.035429;0.00149599;0.0515958;-0.00391522
0.035928;0.00172799;0.0526816;-0.00397901
0.036427;0.00163599;0.0527028;-0.00397901
0.036926;0.00160799;0.0538099;-0.00397901
0.037425;0.001412;0.0541899;-0.00396306
0.037924;0.001412;0.0543831;-0.00397901
0.038423;0.001312;0.0554873;-0.00397901
0.038922;0.001404;0.0557408;-0.00393914
0.039421;0.00162399;0.0566942;-0.00397901
0.03992;0.00156799;0.0572011;-0.00397901
0.040419;0.001468;0.0572614;-0.00397901
0.040918;0.00136;0.0585164;-0.00397103
0.041417;0.00149599;0.0587064;-0.00397901
0.041916;0.00172799;0.0594812;-0.00397901
0.042415;0.001328;0.0602111;-0.00397901
0.042914;0.001452;0.0605581;-0.00397901
0.043413;0.00167599;0.0616954;-0.00397901
0.043912;0.00158799;0.0617165;-0.00397901
0.044411;0.00166799;0.0622807;-0.00397901
0.04491;0.00173199;0.063213;-0.00397901
0.045409;0.001368;0.063379;-0.00396306
0.045908;0.00166399;0.064649;-0.00397901
0.046407;0.00173999;0.0647395;-0.00397901
0.046906;0.001428;0.0656589;-0.00397901
0.047405;0.00157999;0.066232;-0.00397901
0.047904;0.00172399;0.0664735;-0.00397901
0.048403;0.00189999;0.0675929;-0.00397901
0.048902;0.00165999;0.0677528;-0.00397901
0.049401;0.00184399;0.0685402;-0.00397901
0.0499;0.00175199;0.069243;-0.00397901
0.050399;0.00159599;0.0694812;-0.00397901
0.050898;0.00171599;0.0705583;-0.00397901
0.051397;0.00159999;0.0707484;-0.00397901
0.051896;0.00159599;0.0716265;-0.00397901
0.052395;0.001488;0.0722539;-0.00397901
0.052894;0.00152399;0.0724981;-0.00397901
0.053393;0.00152799;0.073668;-0.00397901
0.053892;0.00160399;0.0737585;-0.00397901
0.054391;0.00157599;0.0740454;-0.00413052
0.05489;0.001396;0.075225;-0.00399496
0.055389;0.001376;0.0752793;-0.00409065
0.055888;0.00151199;0.0764528;-0.00403483
0.056387;0.001176;0.0767725;-0.00397901
0.056886;0.00169999;0.0774994;-0.00397901
0.057385;0.00158799;0.0782655;-0.00397901
0.057884;0.00168799;0.0784286;-0.00397901
0.058383;0.00184399;0.0796206;-0.00397901
0.058882;0.001392;0.0797805;-0.00397901
0.059381;0.00164799;0.080326;-0.00397901
0.05988;0.00155599;0.081285;-0.00397901
0.060379;0.00160799;0.0814149;-0.00397901
0.060878;0.00178799;0.082634;-0.00397901
