t;vds;corrente;vg
0.000499;0.0976997;0.00844682;0.18597
0.000998;0.0974038;0.0101841;0.189988
0.001497;0.0974958;0.010537;0.189925
0.001996;0.0974918;0.0113213;0.190467
0.002495;0.0974358;0.0120422;0.190211
0.002994;0.0973638;0.0124977;0.189231
0.003493;0.0973558;0.0135294;0.190164
0.003992;0.0973958;0.0135686;0.190714
0.004491;0.0974398;0.0145611;0.189988
0.00499;0.0974638;0.0150528;0.189764
0.005489;0.0975158;0.0158491;0.189166
0.005988;0.0975198;0.016558;0.190164
0.006487;0.0972519;0.016736;0.19006
0.006986;0.0974318;0.0180605;0.189445
0.007485;0.0976997;0.0180635;0.190204
0.007984;0.0973798;0.018902;0.189629
0.008483;0.0975798;0.0195686;0.18919
0.008982;0.0973039;0.0197859;0.189207
0.009481;0.0974478;0.0209926;0.190044
0.00998;0.0975237;0.021074;0.189813
0.010479;0.0974078;0.0216171;0.189725
0.010978;0.0976117;0.0225794;0.190578
0.011477;0.0974477;0.0228176;0.190291
0.011976;0.0976038;0.0240332;0.190762
0.012475;0.0975998;0.0240845;0.190347
0.012974;0.0974039;0.024706;0.190658
0.013473;0.0974038;0.0255899;0.190802
0.013972;0.0975677;0.0255899;0.189924
0.014471;0.0974838;0.0263982;0.189518
0.01497;0.0973758;0.027095;0.190092
0.015469;0.0976477;0.0274993;0.190754
0.015968;0.0974278;0.0285885;0.190618
0.016467;0.0973918;0.0286186;0.190419
0.016966;0.0974478;0.0299849;0.190929
0.017465;0.0972878;0.0301055;0.190794
0.017964;0.0974918;0.031056;0.190993
0.018463;0.0971639;0.031611;0.190682
0.018962;0.0974038;0.0316713;0.190897
0.019461;0.0974478;0.0327993;0.190626
0.01996;0.0972278;0.033116;0.190897
0.020459;0.0972798;0.0337919;0.190905
0.020958;0.0974758;0.0346215;0.190977
0.021457;0.0974558;0.0347331;0.190961
0.021956;0.0975437;0.0359973;0.190762
0.022455;0.0974997;0.036127;0.190794
0.022954;0.0975797;0.0365432;0.190993
0.023453;0.0973917;0.0376321;0.190634
0.023952;0.0971679;0.0378431;0.190993
0.024451;0.0974318;0.0390498;0.190945
0.02495;0.0975517;0.0391373;0.190682
0.025449;0.0971719;0.0401779;0.190889
0.025948;0.0975717;0.0406425;0.190993
0.026447;0.0974318;0.0409533;0.190993
0.026946;0.0976797;0.0420636;0.190554
0.027445;0.0974238;0.042148;0.19069
0.027944;0.0976877;0.043065;0.19081
0.028443;0.0974677;0.0436532;0.190913
0.028942;0.0975517;0.0437136;0.190945
0.029441;0.0975197;0.0448933;0.190993
0.02994;0.0974158;0.0451588;0.190953
0.030439;0.0975078;0.0457436;0.190905
0.030938;0.0976557;0.0466637;0.190993
0.031437;0.0974118;0.0466909;0.190993
0.031936;0.0975318;0.0478009;0.190993
0.032435;0.0972119;0.048169;0.190929
0.032934;0.0976637;0.048703;0.190977
0.033433;0.0976157;0.0496534;0.190993
0.033932;0.0976917;0.049925;0.190865
0.034431;0.0976238;0.0511617;0.190993
0.03493;0.0975557;0.0511829;0.190961
0.035429;0.0975078;0.0521356;0.190953
0.035928;0.0971839;0.0526847;0.190865
0.036427;0.0975718;0.0528838;0.190993
0.036926;0.0972399;0.0541296;0.190833
0.037425;0.0972479;0.0541899;0.190961
0.037924;0.0974278;0.0546546;0.190802
0.038423;0.0974678;0.0556321;0.190459
0.038922;0.0976317;0.0559278;0.190977
0.039421;0.0972038;0.057014;0.190985
0.03992;0.0974797;0.0572011;0.190993
0.040419;0.0976917;0.0576748;0.190993
0.040918;0.0976797;0.0586551;0.190993
0.041417;0.0974878;0.0587124;0.190993
0.041916;0.0975478;0.0598491;0.190945
0.042415;0.0977197;0.0602111;0.190913
0.042914;0.0976797;0.0609714;0.190961
0.043413;0.0976037;0.0617165;0.190818
0.043912;0.0975797;0.0617225;0.190945
0.044411;0.0976717;0.0626458;0.190905
0.04491;0.0975517;0.063222;0.190953
0.045409;0.0976357;0.0634242;0.190993
0.045908;0.0975637;0.0646852;0.190921
0.046407;0.0975717;0.0647304;0.190857
0.046906;0.0977077;0.0658972;0.190834
0.047405;0.0974718;0.066232;0.190897
0.047904;0.0975597;0.0665489;0.190985
0.048403;0.0976197;0.0675899;0.190834
0.048902;0.0977317;0.0677377;0.190945
0.049401;0.0977477;0.0684678;0.190993
0.0499;0.0975838;0.069243;0.190969
0.050399;0.0976997;0.0696351;0.190802
0.050898;0.0974878;0.0707393;0.190985
0.051397;0.0977037;0.0708179;0.190897
0.051896;0.0975277;0.0719915;0.190945
0.052395;0.0975917;0.0722539;0.190889
0.052894;0.0976557;0.0729051;0.190993
0.053393;0.0977837;0.0737434;0.190993
0.053892;0.0974598;0.0737585;0.190993
0.054391;0.0976717;0.0744769;0.190985
0.05489;0.0975317;0.0752521;0.190993
0.055389;0.0977237;0.07562;0.190993
0.055888;0.0977157;0.0767062;0.190993
0.056387;0.0977757;0.0767695;0.190993
0.056886;0.0976757;0.0778342;0.190993
0.057385;0.0975717;0.0782746;0.190993
