Sub_Vg;Sub_Res;Des_Vg;Des_Res
-0.37794032;-9796.446655438875;-0.37806044;-9800.565163568364
-0.363748;-9426.265058741861;-0.36367744;-9431.095062929899
-0.35066204;-9047.074443693065;-0.35056952;-9052.144063599808
-0.33744611999999996;-8647.28293235396;-0.33758567999999994;-8650.771252025319
-0.32440759999999996;-8270.64335671641;-0.32441871999999994;-8275.711638018529
-0.31099160000000003;-7894.565445990912;-0.31057767999999997;-7899.2576316571585
-0.29470364;-7513.043695293096;-0.29458155999999996;-7515.902407429654
-0.27946788;-7141.926648135377;-0.27936628;-7145.007132674489
-0.2648396;-6757.371174004005;-0.26481336;-6763.865200775434
-0.25195819999999997;-6377.349581350647;-0.25185912;-6381.813837241269
-0.2388188;-6002.353257237086;-0.23870175999999999;-6007.36380855496
-0.22449771999999996;-5618.062062429857;-0.22422292000000002;-5620.313685335294
-0.20985652;-5238.168493959227;-0.20989608;-5244.458464567093
-0.193755;-4872.370703618902;-0.19369171999999998;-4876.524666632366
-0.17937731999999998;-4497.264775931432;-0.17906484;-4500.568088285021
-0.16451356;-4121.475768396843;-0.16463740000000002;-4124.647783732911
-0.15129024000000002;-3758.5083823382047;-0.15114519999999998;-3762.1767273352125
-0.13842512;-3400.4365213746614;-0.1383626;-3402.758229556809
-0.12310636000000001;-3028.954503983367;-0.12287688;-3031.787979507981
-0.10782892000000001;-2649.967773005998;-0.10773551999999999;-2653.4859936588855
-0.093339808;-2259.452781445278;-0.09339856399999999;-2262.9310872846363
-0.079232776;-1873.9935794906926;-0.07907293199999998;-1878.4610294707597
-0.06560434799999999;-1498.70103112836;-0.06527146;-1500.6693166326281
-0.050590148;-1102.4742881916331;-0.050370255999999995;-1106.9717469740458
-0.035182403999999994;-716.0634947166086;-0.035039892;-720.27622591614
-0.020604056000000003;-343.710690575558;-0.020523499999999997;-346.66138762803666
-0.006314589016;31.18841862140411;-0.006202094231999999;27.17778625116872
0.005758592032;390.5039148807254;0.005848709848;389.6597213879415
0.019781543999999998;781.4554447305877;0.01991576;777.515812911543
0.034524796;1173.1131977426658;0.034489644;1171.816201703848
0.04849081200000001;1548.7165772607848;0.04852986799999999;1543.9349382864364
0.06413965999999999;1933.1351360590531;0.06445014799999998;1928.7379928858336
0.07879687199999999;2322.224285238866;0.07879632;2315.8620559346623
0.09376151999999999;2696.9012590781495;0.09369256399999999;2694.6349158261464
0.10704092000000001;3065.063385026822;0.10708116000000001;3063.6599825541007
0.120051;3443.0042574179915;0.12020892;3439.2843789796043
0.13538752;3802.6096659340146;0.13543332000000002;3796.7949688951103
0.14950028;4161.438269521321;0.14955724;4159.743189248605
0.163429;4551.134140162654;0.16353712;4546.028028352198
0.17735204;4920.707655824789;0.17747028;4918.576539966258
0.19071716000000002;5288.903689609306;0.19086912;5287.658645383366
0.20588988;5669.257077675204;0.20602283999999998;5665.78877545214
0.22113444000000002;6049.037244547042;0.22123547999999996;6047.077565938526
0.23596775999999997;6431.741019045076;0.23599536000000002;6430.796295060668
0.25044884;6824.518188260817;0.25049096;6822.2421657705345
0.26267124;7196.3691682879335;0.26256584;7194.276499093181
0.27629424;7584.702524945747;0.27637444;7584.052301216107
0.29028776000000006;7966.932449352225;0.29062396;7966.719074009266
0.30458636;8339.297457110533;0.30457500000000004;8337.389069673907
0.32014004;8719.636315025566;0.32039876;8716.55930013677
0.33384468;9094.187692216017;0.33404236000000004;9094.061604042703
0.34885264;9469.557106172953;0.34813864;9477.107157460183
0.362685;9830.21274595323;0.36420691999999993;9871.04817339865
0.37697124000000004;10205.485404762227;0.3819969200000001;10319.823439858968
0.39307744;10579.111947174375;0.39777232000000007;10704.688977221087
0.40742556;10972.310280968399;0.41194484000000003;11098.839882878503
0.4211000399999999;11358.899385239249;0.42571356;11479.279292918647
0.43443468;11730.194571738579;0.43859628;11848.431189820047
0.44734028000000003;12109.463778922192;0.45151920000000006;12233.484227043062
0.46202672;12491.966166746064;0.46692596000000003;12608.855439189607
0.4773770399999999;12851.677936382745;0.48240952;12966.1924520486
0.49228836000000004;13203.879582573882;0.49698087999999996;13285.382476674844
0.5062842399999999;13344.510347349187;0.5105134;13343.465531703816
0.518992;13344.577222036514;0.5232630399999999;13344.666457194146
0.53378528;13344.15385185819;0.53880876;13344.68873757258
0.5488392000000001;13344.710982552602;0.55385876;13344.800187905645
0.56446284;13344.822483186726;0.56977956;13344.309727038388
0.57963272;13344.77788516986;0.5841516800000001;13343.641473468997
0.59334;13344.66640689285;0.59835196;13344.287362850062
0.60788728;13343.930898988352;0.61188064;13343.374119973058
0.62064524;13343.552439283547;0.62534784;13344.644117197902
0.6353926;13343.864182367615;0.64060744;13344.153769902412
0.6503946400000001;13344.487981281085;0.6552059199999999;13342.550319389862
0.6642720400000001;13344.064458401963;0.66831136;13344.398874663208
0.67721208;13343.686030324912;0.68149592;13343.619051631247
0.6903232;13343.886111063664;0.69492812;13344.109054599958
0.70388876;13344.465704632335;0.7082271200000001;13344.243217144489
0.7192930799999999;13342.772247647612;0.7245174000000002;13343.66321038492
0.7353380800000001;13344.354351109145;0.7404981599999999;13341.41555854592
0.7500464000000001;13342.930443007637;0.753291238095238;13342.525850425585
