t;vds;corrente;vg
0.02495;0.184027;0.189698;0.343686
0.0499;0.180752;0.191449;0.349903
0.07485;0.178173;0.191449;0.342745
0.0998;0.175137;0.191449;0.335766
0.12475;0.1723;0.191449;0.330076
0.1497;0.169299;0.191449;0.326689
0.17465;0.166492;0.191449;0.319325
0.1996;0.163333;0.191449;0.313221
0.22455;0.160709;0.191449;0.307823
0.2495;0.15774;0.191449;0.301559
0.27445;0.154987;0.191449;0.295009
0.2994;0.1522;0.191449;0.289913
0.32435;0.149208;0.191449;0.285502
0.3493;0.14632;0.191449;0.279029
0.37425;0.143208;0.191449;0.272895
0.3992;0.140452;0.191449;0.266392
0.42415;0.137193;0.191481;0.262846
0.4491;0.13454;0.191449;0.256391
0.47405;0.131764;0.191449;0.253659
0.499;0.128755;0.191585;0.247205
0.52395;0.125632;0.191449;0.240815
0.5489;0.122621;0.191449;0.236725
0.57385;0.11978;0.191481;0.230925
0.5988;0.116829;0.191457;0.223751
0.62375;0.114027;0.191449;0.217489
0.6487;0.110888;0.191449;0.212664
0.67365;0.108068;0.191449;0.206593
0.6986;0.105052;0.191449;0.199451
0.72355;0.102528;0.191449;0.192406
0.7485;0.0992399;0.191449;0.188348
0.77345;0.0966763;0.191449;0.182948
0.7984;0.093692;0.191449;0.176094
0.82335;0.0909799;0.191449;0.170695
0.8483;0.0882759;0.191449;0.166509
0.87325;0.085048;0.191449;0.159751
0.8982;0.0818446;0.191449;0.153887
0.92315;0.0791036;0.191449;0.149462
0.9481;0.0766001;0.191449;0.143503
0.97305;0.0735637;0.191449;0.137238
0.998;0.0707798;0.191449;0.132254
1.02295;0.0683684;0.191449;0.125975
1.0479;0.0652717;0.191449;0.119585
1.07285;0.0626122;0.191449;0.113002
1.0978;0.0595002;0.191449;0.108944
1.12275;0.0567958;0.191449;0.10364
1.1477;0.0541523;0.191449;0.0976169
1.17265;0.0509877;0.191449;0.0938146
1.1976;0.0484962;0.191449;0.0871845
1.22255;0.045276;0.191449;0.080091
1.2475;0.0424799;0.191449;0.0741479
1.27245;0.039472;0.191449;0.0707289
1.2974;0.0365961;0.191449;0.0637144
1.32235;0.0332839;0.191449;0.0562853
1.3473;0.0305799;0.191449;0.0500067
1.37225;0.027656;0.191449;0.0447026
1.3972;0.0248961;0.191449;0.0398618
1.42215;0.0220401;0.191449;0.033391
1.4471;0.018996;0.191449;0.0283425
1.47205;0.0159919;0.191449;0.0234217
1.497;0.012952;0.191449;0.016312
1.52195;0.00979598;0.191449;0.0104647
1.5469;0.00696403;0.191449;0.00642257
1.57185;0.00440798;0.191449;0
1.5968;0.00149599;0.191449;-0.00448943
1.62175;-0.001268;0.191449;-0.00869125
1.6467;-0.004356;0.191449;-0.0158647
1.67165;-0.00698797;0.191449;-0.021169
1.6966;-0.010008;0.191449;-0.0262015
1.72155;-0.012796;0.191449;-0.0322566
1.7465;-0.0154119;0.191449;-0.0393825
1.77145;-0.0187921;0.191449;-0.044335
1.7964;-0.02158;0.191449;-0.0512847
1.82135;-0.024764;0.191449;-0.0572918
1.8463;-0.0277599;0.191449;-0.0637783
1.87125;-0.0307199;0.191449;-0.0685401
1.8962;-0.0332602;0.191449;-0.0737803
1.92115;-0.036424;0.191449;-0.0797235
1.9461;-0.0392842;0.191449;-0.086178
1.97105;-0.042252;0.191449;-0.0910667
1.996;-0.0451517;0.191449;-0.0959714
2.02095;-0.048272;0.191449;-0.103097
2.0459;-0.0512361;0.191449;-0.108816
2.07085;-0.054492;0.191449;-0.114472
2.0958;-0.0570042;0.191449;-0.120192
2.12075;-0.059724;0.191449;-0.127237
2.1457;-0.0628757;0.191449;-0.133532
2.17065;-0.0655;0.191449;-0.139173
2.1956;-0.068604;0.191449;-0.143503
2.22055;-0.070984;0.191449;-0.149781
2.2455;-0.0739199;0.191449;-0.154063
2.27045;-0.0768237;0.191449;-0.159511
2.2954;-0.0791603;0.191449;-0.165438
2.32035;-0.082464;0.191449;-0.171557
2.3453;-0.0851918;0.191449;-0.176318
2.37025;-0.0881719;0.191449;-0.183364
2.3952;-0.0908915;0.191449;-0.187342
2.42015;-0.0939163;0.191449;-0.194179
2.4451;-0.096592;0.191449;-0.200138
2.47005;-0.0994478;0.191449;-0.207056
2.495;-0.102372;0.191449;-0.214821
2.51995;-0.105;0.191449;-0.21939
2.5449;-0.108072;0.191449;-0.224023
2.56985;-0.11092;0.191449;-0.231004
2.5948;-0.114044;0.191449;-0.236661
2.61975;-0.116936;0.191449;-0.242636
2.6447;-0.119884;0.191449;-0.247141
2.66965;-0.12262;0.191449;-0.252845
2.6946;-0.125368;0.191449;-0.256439
2.71955;-0.128556;0.191449;-0.262862
2.7445;-0.131396;0.191449;-0.268565
2.76945;-0.134517;0.191449;-0.273182
2.7944;-0.13704;0.191449;-0.279205
