t;vds;corrente;vg
0.000499;-0.0360566;-0.0250808;-0.21662
0.000998;-0.0364721;-0.0253438;-0.21417
0.001497;-0.0369134;-0.0256419;-0.216366
0.001996;-0.0373456;-0.0263209;-0.211623
0.002495;-0.0378233;-0.0268426;-0.211655
0.002994;-0.038368;-0.0268426;-0.214997
0.003493;-0.0388683;-0.0266645;-0.211687
0.003992;-0.0393134;-0.0269005;-0.210064
0.004491;-0.0397998;-0.0271613;-0.208886
0.00499;-0.0402471;-0.0275297;-0.208663
0.005489;-0.0407817;-0.028548;-0.212165
0.005988;-0.0413363;-0.0288751;-0.214042
0.006487;-0.0417787;-0.0284404;-0.20965
0.006986;-0.0422533;-0.0285439;-0.209077
0.007485;-0.0428494;-0.0288958;-0.210541
0.007984;-0.0433221;-0.0288999;-0.211783
0.008483;-0.0437612;-0.0291607;-0.213183
0.008982;-0.044217;-0.0296575;-0.213183
0.009481;-0.0447934;-0.0294216;-0.210605
0.00998;-0.0452546;-0.030382;-0.213947
0.010479;-0.0457174;-0.0304979;-0.210223
0.010978;-0.0462143;-0.0304773;-0.212897
0.011477;-0.0466815;-0.030883;-0.21261
0.011976;-0.0471316;-0.0309658;-0.213151
0.012475;-0.0477619;-0.0311231;-0.217671
0.012974;-0.0482465;-0.0309865;-0.213788
0.013473;-0.0486978;-0.0310072;-0.210414
0.013972;-0.0488222;-0.0310279;-0.206817
0.014471;-0.0484528;-0.0311438;-0.208504
0.01497;-0.0478714;-0.0310237;-0.211114
0.015469;-0.0473862;-0.0309327;-0.210287
0.015968;-0.0469301;-0.0308705;-0.213024
0.016467;-0.0464334;-0.0306842;-0.209777
0.016966;-0.0459454;-0.0304317;-0.2093
0.017465;-0.0454194;-0.0301461;-0.207422
0.017964;-0.0450086;-0.0295291;-0.207804
0.018463;-0.0444805;-0.0290862;-0.207836
0.018962;-0.0440524;-0.0291234;-0.207327
0.019461;-0.0436151;-0.0289413;-0.207581
0.01996;-0.0431562;-0.0288544;-0.207772
0.020459;-0.0425287;-0.028904;-0.209045
0.020958;-0.0420096;-0.0288254;-0.207518
0.021457;-0.0414369;-0.0287509;-0.208536
0.021956;-0.0409149;-0.0273559;-0.208727
0.022455;-0.0404041;-0.0275049;-0.213342
0.022954;-0.0400455;-0.0269088;-0.211624
0.023453;-0.0395876;-0.0269999;-0.213088
0.023952;-0.0390084;-0.0268177;-0.213151
0.024451;-0.0386354;-0.026884;-0.21783
0.02495;-0.0381391;-0.0261594;-0.217512
0.025449;-0.0375884;-0.0250706;-0.21035
0.025948;-0.0372212;-0.025025;-0.217066
0.026447;-0.0367454;-0.0253934;-0.216302
0.026946;-0.0361622;-0.0250995;-0.218562
0.027445;-0.0356865;-0.024789;-0.216748
0.027944;-0.0351496;-0.0247145;-0.214297
0.028443;-0.0346751;-0.0247021;-0.213851
0.028942;-0.0342289;-0.0247559;-0.217098
0.029441;-0.0338085;-0.0247559;-0.216811
0.02994;-0.0332755;-0.0244082;-0.212769
0.030439;-0.0327821;-0.0241184;-0.210891
0.030938;-0.0323382;-0.0234271;-0.211496
0.031437;-0.0318199;-0.0235141;-0.214838
0.031936;-0.0312674;-0.0235679;-0.215666
0.032435;-0.0308321;-0.0234727;-0.211496
0.032934;-0.0303919;-0.022947;-0.210414
0.033433;-0.0298049;-0.0227234;-0.209905
0.033932;-0.0293201;-0.0227234;-0.209077
0.034431;-0.0288071;-0.0226323;-0.208632
0.03493;-0.0282691;-0.0222101;-0.212451
0.035429;-0.0277176;-0.0217091;-0.207836
0.035928;-0.0273348;-0.0215062;-0.208472
0.036427;-0.0268559;-0.0208024;-0.207613
0.036926;-0.0263932;-0.0207238;-0.212992
0.037425;-0.0258878;-0.0205664;-0.211592
0.037924;-0.0254497;-0.020376;-0.213883
