t;vds;corrente;vg
0.000499;-0.0398057;-0.0266332;-0.137767
0.000998;-0.0401998;-0.0269792;-0.135269
0.001497;-0.0406198;-0.0279271;-0.136638
0.001996;-0.041135;-0.0286639;-0.138707
0.002495;-0.0416514;-0.0289206;-0.140171
0.002994;-0.0421971;-0.0289868;-0.137338
0.003493;-0.0426578;-0.0290944;-0.137465
0.003992;-0.0432076;-0.0289868;-0.139311
0.004491;-0.0435935;-0.0294216;-0.140139
0.00499;-0.0440896;-0.0301461;-0.138293
0.005489;-0.0446582;-0.0306512;-0.136415
0.005988;-0.0450887;-0.0307505;-0.134569
0.006487;-0.045606;-0.0306222;-0.133327
0.006986;-0.0460791;-0.0309368;-0.132022
0.007485;-0.0465788;-0.0309865;-0.13581
0.007984;-0.047029;-0.0309534;-0.137497
0.008483;-0.0475606;-0.0310734;-0.137943
0.008982;-0.0480798;-0.0314543;-0.136351
0.009481;-0.048527;-0.0314418;-0.136765
0.00998;-0.0489196;-0.0317026;-0.136733
0.010479;-0.0487087;-0.0315288;-0.138102
0.010978;-0.0482287;-0.0312431;-0.139757
0.011477;-0.0476507;-0.0311272;-0.141444
0.011976;-0.0471966;-0.0311728;-0.140044
0.012475;-0.0466705;-0.0310072;-0.137147
0.012974;-0.0461869;-0.0309409;-0.13702
0.013473;-0.0457905;-0.0309658;-0.13616
0.013972;-0.045371;-0.0309699;-0.140044
0.014471;-0.0448407;-0.0305145;-0.137243
0.01497;-0.0443148;-0.0297528;-0.138579
0.015469;-0.0438263;-0.0299224;-0.137624
0.015968;-0.0433447;-0.0291359;-0.136797
0.016467;-0.0427685;-0.0289537;-0.138388
0.016966;-0.0422148;-0.0282004;-0.136415
0.017465;-0.0417095;-0.0287716;-0.14103
0.017964;-0.0412503;-0.0281051;-0.135524
0.018463;-0.0406951;-0.0276581;-0.136733
0.018962;-0.0403201;-0.0276994;-0.141571
0.019461;-0.0398432;-0.0270909;-0.138834
0.01996;-0.0393291;-0.0270702;-0.140871
0.020459;-0.0388771;-0.0268384;-0.14173
0.020958;-0.0383364;-0.0267598;-0.142845
0.021457;-0.0378688;-0.0268426;-0.142303
0.021956;-0.0374235;-0.0267515;-0.142049
0.022455;-0.0369834;-0.0266397;-0.140807
0.022954;-0.0364207;-0.0261925;-0.140043
0.023453;-0.0359028;-0.0260145;-0.140394
0.023952;-0.0354624;-0.0251699;-0.139757
0.024451;-0.0349769;-0.0249836;-0.140139
0.02495;-0.0344777;-0.0250043;-0.138707
0.025449;-0.0339989;-0.0248553;-0.140457
0.025948;-0.0334938;-0.024491;-0.133359
0.026447;-0.0329686;-0.0240563;-0.13476
0.026946;-0.0325108;-0.0236341;-0.134887
0.027445;-0.0320945;-0.0241018;-0.134633
0.027944;-0.0314607;-0.023808;-0.133455
0.028443;-0.0310118;-0.0235347;-0.135747
0.028942;-0.0305133;-0.0228559;-0.132118
0.029441;-0.030019;-0.0228352;-0.131068
0.02994;-0.0295602;-0.0227317;-0.135587
0.030439;-0.0291563;-0.0225619;-0.135205
0.030938;-0.028582;-0.0222638;-0.133869
0.031437;-0.0280421;-0.0221272;-0.137083
0.031936;-0.0275538;-0.0215683;-0.13877
0.032435;-0.0271779;-0.0218002;-0.138038
0.032934;-0.0266842;-0.0217173;-0.137211
0.033433;-0.0261455;-0.0210342;-0.137593
0.033932;-0.0257151;-0.0207652;-0.136192
0.034431;-0.0252642;-0.0207569;-0.141285
0.03493;-0.0247143;-0.0207113;-0.142335
0.035429;-0.0241815;-0.0204505;-0.141349
0.035928;-0.0238224;-0.0201401;-0.141476
0.036427;-0.0232409;-0.0191714;-0.142526
0.036926;-0.0227516;-0.0190596;-0.14294
0.037425;-0.0223419;-0.0187864;-0.141635
0.037924;-0.021887;-0.0186291;-0.139471
0.038423;-0.0213157;-0.0185007;-0.141539
0.038922;-0.0209918;-0.0181075;-0.140617
0.039421;-0.0204147;-0.0182027;-0.141508
0.03992;-0.0198294;-0.017056;-0.140426
0.040419;-0.0194426;-0.017263;-0.14224
0.040918;-0.0189797;-0.0171098;-0.142303
0.041417;-0.0185148;-0.0167123;-0.140203
0.041916;-0.0180599;-0.0165799;-0.141762
0.042415;-0.0176039;-0.016584;-0.140457
0.042914;-0.0170908;-0.0165426;-0.142431
0.043413;-0.0166359;-0.016526;-0.141985
0.043912;-0.0161759;-0.016348;-0.14138
0.044411;-0.0156834;-0.0161121;-0.142176
0.04491;-0.0151082;-0.0151558;-0.141571
0.045409;-0.0147687;-0.0149529;-0.142303
0.045908;-0.0143522;-0.0148412;-0.14068
0.046407;-0.013764;-0.0144065;-0.135619
0.046906;-0.013386;-0.0145555;-0.140585
0.047405;-0.0128797;-0.0142285;-0.13371
0.047904;-0.0123073;-0.0141871;-0.133582
0.048403;-0.0117656;-0.0129699;-0.1339
0.048902;-0.0112751;-0.0137689;-0.134951
0.049401;-0.0107629;-0.0132597;-0.135206
0.0499;-0.0102003;-0.0129078;-0.138834
0.050399;-0.00974747;-0.0125642;-0.139375
0.050898;-0.00925989;-0.012378;-0.136956
0.051397;-0.00877137;-0.0121751;-0.133232
