t;vds;corrente;vg
0.000499;0.0214577;0.0042705;-0.0152291
0.000998;0.0217606;0.00415635;-0.014991
0.001497;0.022346;0.00428883;-0.0135905
0.001996;0.0228768;0.00448754;-0.0147363
0.002495;0.0232439;0.00521614;-0.0143544
0.002994;0.0237187;0.00551834;-0.0151819
0.003493;0.0242435;0.00591576;-0.0153411
0.003992;0.0246216;0.00616;-0.0152138
0.004491;0.025129;0.00610204;-0.014609
0.00499;0.0256728;0.00608962;-0.0151501
0.005489;0.0261809;0.00619726;-0.013495
0.005988;0.0266833;0.00635457;-0.0137178
0.006487;0.0271206;0.00619726;-0.0157867
0.006986;0.0276603;0.00645392;-0.0142589
0.007485;0.0281932;0.00692587;-0.0143862
0.007984;0.0286708;0.0071287;-0.0136542
0.008483;0.0291692;0.0073771;-0.0118082
0.008982;0.0295888;0.00806016;-0.0135905
0.009481;0.030085;0.00808087;-0.0154684
0.00998;0.0306545;0.00822162;-0.0158821
0.010479;0.0311805;0.00826302;-0.0158185
0.010978;0.0315495;0.00832926;-0.0139725
0.011477;0.0320303;0.00829614;-0.0154684
0.011976;0.0326173;0.00877635;-0.0144181
0.012475;0.033012;0.0087888;-0.0156912
0.012974;0.0334751;0.00902474;-0.0149591
0.013473;0.0340068;0.00933526;-0.0158821
0.013972;0.0346218;0.010188;-0.0151501
0.014471;0.0350677;0.0101094;-0.0156593
0.01497;0.0355314;0.0103784;-0.0158821
0.015469;0.0360487;0.0104861;-0.0155957
0.015968;0.0365106;0.0108297;-0.0152774
0.016467;0.0369825;0.0109456;-0.0155002
0.016966;0.0374433;0.0113678;-0.0158821
0.017465;0.037919;0.0120716;-0.0150864
0.017964;0.0384144;0.0121503;-0.0151501
0.018463;0.0389431;0.0123986;-0.0154366
0.018962;0.0394101;0.0124276;-0.0157867
0.019461;0.039939;0.0124028;-0.015532
0.01996;0.0403882;0.0125146;-0.0152138
0.020459;0.0409524;0.0126843;-0.015532
0.020958;0.0413935;0.0136737;-0.0152456
0.021457;0.0418321;0.0140753;-0.0156593
0.021956;0.0424062;0.0143775;-0.0156912
0.022455;0.0427497;0.0145886;-0.0158185
0.022954;0.0433201;0.0151806;-0.0150228
0.023453;0.0438224;0.0146838;-0.0156593
0.023952;0.0443108;0.0149198;-0.0158503
0.024451;0.0447727;0.016021;-0.0147363
0.02495;0.0452032;0.0163232;-0.0144499
0.025449;0.0457441;0.0165219;-0.0133677
0.025948;0.0461097;0.0164846;-0.0144499
0.026447;0.0465738;0.0166171;-0.0147682
0.026946;0.0471217;0.0171719;-0.0148955
0.027445;0.0476089;0.0174865;-0.0154047
0.027944;0.0480906;0.0182606;-0.0140998
0.028443;0.0482287;0.0178384;-0.0132086
0.028942;0.0477934;0.017561;-0.0130813
0.029441;0.0472341;0.0170932;-0.0140361
0.02994;0.0467051;0.0167786;-0.0152456
0.030439;0.0463131;0.0166544;-0.0149273
0.030938;0.0458062;0.0164846;-0.0152774
0.031437;0.0453374;0.0164805;-0.0157867
0.031936;0.0448891;0.0157436;-0.0150228
0.032435;0.0444519;0.0153959;-0.0149591
0.032934;0.0439744;0.0150689;-0.0152774
0.033433;0.0435805;0.0149115;-0.0154684
0.033932;0.0430181;0.0144644;-0.0144499
0.034431;0.0425268;0.0143816;-0.0158821
0.03493;0.0419761;0.0143775;-0.0147045
0.035429;0.0415653;0.0139635;-0.0158821
0.035928;0.0410067;0.0140919;-0.0158185
0.036427;0.0405432;0.0136654;-0.0156912
0.036926;0.0400505;0.0128747;-0.0155957
0.037425;0.0395866;0.0125601;-0.0154047
0.037924;0.0390321;0.0123862;-0.0157548
0.038423;0.0386413;0.0124235;-0.0158821
0.038922;0.0382535;0.0122869;-0.0157548
0.039421;0.0376684;0.0120426;-0.0152138
0.03992;0.0371443;0.01078;-0.0158821
0.040419;0.0367375;0.0107924;-0.0157867
0.040918;0.0361691;0.0105564;-0.0151183
0.041417;0.0356855;0.0105564;-0.0152138
0.041916;0.0352986;0.0104322;-0.0153092
0.042415;0.0347313;0.0102377;-0.0158821
0.042914;0.0342003;0.0103163;-0.0150228
0.043413;0.0336547;0.010097;-0.0143544
0.043912;0.0332153;0.00995206;-0.0157867
0.044411;0.0326806;0.00867702;-0.0146409
0.04491;0.0322918;0.00860664;-0.0149591
0.045409;0.0318733;0.00826302;-0.0153411
0.045908;0.0312772;0.00826302;-0.015532
0.046407;0.0308271;0.00826302;-0.0155639
0.046906;0.0303466;0.0082506;-0.0147682
0.047405;0.0298286;0.00784903;-0.0141953
0.047904;0.0292372;0.00739778;-0.0158821
0.048403;0.0287903;0.00745989;-0.0158821
0.048902;0.0282532;0.00674784;-0.0158821
0.049401;0.0277294;0.00680166;-0.0158821
0.0499;0.0272282;0.00637112;-0.0158821
0.050399;0.0268076;0.00619726;-0.0158821
0.050898;0.0263655;0.00621795;-0.0154684
0.051397;0.0257743;0.00603166;-0.015532
0.051896;0.0254655;0.0061393;-0.0146727
0.052395;0.0249463;0.00535691;-0.0138452
0.052894;0.0243739;0.00433851;-0.015532
0.053393;0.0239556;0.00453308;-0.0157867
0.053892;0.0234926;0.00464073;-0.0145772
0.054391;0.0229844;0.00476905;-0.0153729
0.05489;0.0224732;0.00451238;-0.0154047
0.055389;0.0220785;0.0043385;-0.0155639
0.055888;0.0214618;0.00405286;-0.0158821
0.056387;0.0209691;0.0039535;-0.015723
0.056886;0.0204995;0.00302205;-0.0143226
0.057385;0.020008;0.00247974;-0.0146727
0.057884;0.0195294;0.0025584;-0.0146409
0.058383;0.0190646;0.00237211;-0.0155002
0.058882;0.0186638;0.00212371;-0.0141316
0.059381;0.0181536;0.00187532;-0.0153729
0.05988;0.0177026;0.00202436;-0.0114581
0.060379;0.0172556;0.00153586;-0.0124129
0.060878;0.0168037;0.00137855;-0.0128903
0.061377;0.0162736;0.00122538;-0.0118082
0.061876;0.0158176;0.00114258;-0.0119355
0.062375;0.0153144;0.000438819;-0.0131768
0.062874;0.014822;0.000393281;-0.00916645
0.063373;0.0143897;0.000173872;-0.0127948
0.063872;0.0139052;-2.48388e-05;-0.0142271
0.064371;0.0133919;-1.24194e-05;-0.0154366
0.06487;0.0130041;-0.0004264;-0.0153729
0.065369;0.0125639;-0.00043054;-0.0148318
0.065868;0.0120814;-0.000554734;-0.0152456
0.066367;0.0115061;-0.00130817;-0.0156912
0.066866;0.0110027;-0.00127092;-0.0154684
0.067365;0.0104806;-0.00167247;-0.0152138
0.067864;0.00998525;-0.00194984;-0.0152456
0.068363;0.0095254;-0.00201608;-0.0150864
0.068862;0.00896478;-0.00215269;-0.0156912
0.069361;0.00844081;-0.0020699;-0.0158821
0.06986;0.00791475;-0.00274054;-0.0157867
0.070359;0.00753389;-0.00367613;-0.0158821
0.070858;0.00698515;-0.00400317;-0.0158821
0.071357;0.00653806;-0.00402802;-0.0157548
0.071856;0.00615422;-0.00413151;-0.0158821
0.072355;0.00555712;-0.00424742;-0.0158821
0.072854;0.00508144;-0.00413151;-0.0158185
0.073353;0.00455543;-0.00437576;-0.0158821
0.073852;0.00406396;-0.00504226;-0.0158821
0.074351;0.003536;-0.00589505;-0.0158821
0.07485;0.00298927;-0.00580812;-0.0158821
0.075349;0.00253924;-0.00615586;-0.0158821
0.075848;0.00201619;-0.00619312;-0.0158821
0.076347;0.00149809;-0.00615586;-0.0151819
0.076846;0.00113293;-0.00619726;-0.0153411
0.077345;0.000695748;-0.00619726;-0.0158821
0.077844;0.000255601;-0.00640839;-0.0158503
0.078343;-0.000293102;-0.00621381;-0.0158821
0.078842;-0.000654299;-0.00666091;-0.0158821
0.079341;-0.00129775;-0.00680165;-0.0158821
0.07984;-0.00172407;-0.00712872;-0.0158821
0.080339;-0.00216916;-0.0080229;-0.0158821
0.080838;-0.00275636;-0.00779521;-0.0158503
0.081337;-0.00324881;-0.00824646;-0.0158821
0.081836;-0.00371165;-0.00832098;-0.0158821
0.082335;-0.00421001;-0.00838722;-0.0158821
0.082834;-0.00474196;-0.00840792;-0.0158503
0.083333;-0.00524626;-0.00876807;-0.0158821
0.083832;-0.00567161;-0.00969538;-0.0158821
0.084331;-0.00622128;-0.00988167;-0.0148318
0.08483;-0.00666244;-0.0101508;-0.0158185
0.085329;-0.00715394;-0.0103619;-0.0147682
0.085828;-0.0077223;-0.0103702;-0.0145772
0.086327;-0.00824441;-0.010424;-0.0153411
0.086826;-0.00868747;-0.0107138;-0.0158821
0.087325;-0.00914938;-0.0109373;-0.0158185
0.087824;-0.00970498;-0.0115541;-0.0158503
0.088323;-0.0100948;-0.0120095;-0.0158821
0.088822;-0.0105784;-0.012349;-0.0145135
0.089321;-0.011139;-0.0125435;-0.015532
0.08982;-0.0116877;-0.0132887;-0.0148
0.090319;-0.0121514;-0.0135661;-0.0151819
0.090818;-0.0126123;-0.0132018;-0.0157548
0.091317;-0.0131788;-0.0133384;-0.0157867
0.091816;-0.0136377;-0.0137979;-0.0144499
0.092315;-0.0140937;-0.0139469;-0.0154684
0.092814;-0.0145714;-0.0141705;-0.0157867
0.093313;-0.0150587;-0.014332;-0.0150228
