t;vds;corrente;vg
0.000499;-0.038816;-0.0264162;0.688074
0.000998;-0.0392452;-0.0268923;0.699326
0.001497;-0.0397771;-0.0269668;0.698816
0.001996;-0.0402422;-0.0273145;0.698816
0.002495;-0.0406603;-0.0276249;0.698816
0.002994;-0.0411754;-0.0280762;0.699167
0.003493;-0.0416365;-0.0278857;0.698816
0.003992;-0.042138;-0.0287053;0.698816
0.004491;-0.0426864;-0.0288047;0.698816
0.00499;-0.0432826;-0.0289247;0.698816
0.005489;-0.0436981;-0.0292808;0.698816
0.005988;-0.0442387;-0.0296741;0.698944
0.006487;-0.044746;-0.0300426;0.698816
0.006986;-0.045145;-0.0303944;0.698816
0.007485;-0.0456474;-0.0307464;0.699326
0.007984;-0.0461907;-0.0306429;0.698816
0.008483;-0.0466173;-0.0306552;0.699326
0.008982;-0.0470033;-0.0309244;0.699421
0.009481;-0.0475487;-0.0309865;0.698816
0.00998;-0.048061;-0.0309865;0.698848
0.010479;-0.048533;-0.0309948;0.699516
0.010978;-0.0488419;-0.031624;0.699675
0.011477;-0.0485842;-0.031239;0.698976
0.011976;-0.0480214;-0.0309989;0.699135
0.012475;-0.0475372;-0.0309865;0.698816
0.012974;-0.0470979;-0.0309865;0.699167
0.013473;-0.046546;-0.030825;0.698816
0.013972;-0.0461485;-0.0307381;0.698975
0.014471;-0.0456265;-0.0299017;0.698816
0.01497;-0.0451735;-0.0301419;0.698944
0.015469;-0.0446462;-0.0302992;0.698816
0.015968;-0.04416;-0.0295374;0.698944
0.016467;-0.0437177;-0.0295705;0.698816
0.016966;-0.0432134;-0.0289868;0.698816
0.017465;-0.042728;-0.0289868;0.698816
0.017964;-0.0422227;-0.0287798;0.698816
0.018463;-0.0416383;-0.0288461;0.698816
0.018962;-0.0411625;-0.0288709;0.698816
0.019461;-0.0408025;-0.0284239;0.698816
0.01996;-0.040246;-0.0280554;0.698816
0.020459;-0.0398639;-0.0282252;0.698816
0.020958;-0.0393391;-0.0274345;0.698816
0.021457;-0.0388268;-0.0269916;0.698816
0.021956;-0.0382387;-0.0269088;0.698816
0.022455;-0.0377364;-0.0271158;0.698816
0.022954;-0.0373199;-0.027004;0.698816
0.023453;-0.0368274;-0.0264079;0.698816
0.023952;-0.0362352;-0.0256005;0.698816
0.024451;-0.0358573;-0.0250457;0.698816
0.02495;-0.0353095;-0.0249836;0.698816
0.025449;-0.034825;-0.0249588;0.698816
0.025948;-0.0344274;-0.0249381;0.698816
0.026447;-0.0339801;-0.0247559;0.698816
0.026946;-0.0333891;-0.0246731;0.698816
0.027445;-0.032863;-0.0240605;0.698816
0.027944;-0.0324635;-0.0239694;0.698816
0.028443;-0.0319256;-0.0237873;0.698816
0.028942;-0.031297;-0.0229263;0.698816
0.029441;-0.0308884;-0.0228269;0.698816
0.02994;-0.0304462;-0.0228559;0.698816
0.030439;-0.0299716;-0.0228228;0.698816
0.030938;-0.029496;-0.0228311;0.698816
0.031437;-0.0290675;-0.0226779;0.698816
0.031936;-0.0285337;-0.0227234;0.698816
0.032435;-0.028049;-0.0223839;0.698816
0.032934;-0.0276307;-0.0215145;0.698816
0.033433;-0.0270811;-0.0209887;0.698816
0.033932;-0.0265668;-0.020761;0.698816
0.034431;-0.0260754;-0.0206699;0.698816
0.03493;-0.0255612;-0.0204878;0.698816
0.035429;-0.0249967;-0.0204174;0.698816
0.035928;-0.0245052;-0.0200035;0.698816
0.036427;-0.0241124;-0.0198958;0.698816
0.036926;-0.0236299;-0.0188112;0.69923
0.037425;-0.0231649;-0.0186498;0.699803
0.037924;-0.0226914;-0.0184469;0.698816
0.038423;-0.0222995;-0.0186084;0.698816
0.038922;-0.021741;-0.0185007;0.698816
0.039421;-0.021293;-0.0177308;0.698912
0.03992;-0.0208359;-0.0169028;0.699421
0.040419;-0.0203506;-0.0173871;0.698816
0.040918;-0.0198057;-0.0168904;0.698816
0.041417;-0.0192817;-0.016526;0.699198
0.041916;-0.0188267;-0.016555;0.69888
