t;vds;corrente;vg
0.000499;-0.0382555;-0.0270151;-0.211626
0.000998;-0.0386699;-0.0269502;-0.209586
0.001497;-0.0391336;-0.0274966;-0.211146
0.001996;-0.0395808;-0.0277946;-0.212515
0.002495;-0.0401415;-0.0283825;-0.217798
0.002994;-0.0406346;-0.0285025;-0.21592
0.003493;-0.0410284;-0.0287757;-0.214583
0.003992;-0.041676;-0.0288999;-0.217989
0.004491;-0.0421488;-0.028697;-0.213151
0.00499;-0.0427161;-0.0289247;-0.212387
0.005489;-0.0432776;-0.0290448;-0.214042
0.005988;-0.0437602;-0.0292393;-0.209682
0.006487;-0.0441755;-0.0296824;-0.210255
0.006986;-0.0446385;-0.0306636;-0.210764
0.007485;-0.0451766;-0.0307215;-0.212228
0.007984;-0.0456405;-0.0304484;-0.211496
0.008483;-0.0460624;-0.0309699;-0.21627
0.008982;-0.0465333;-0.0308913;-0.213469
0.009481;-0.0470902;-0.0309865;-0.207931
0.00998;-0.0475793;-0.0311976;-0.210096
0.010479;-0.0480758;-0.0323773;-0.215061
0.010978;-0.0486268;-0.032456;-0.210223
0.011477;-0.048972;-0.0322573;-0.213151
0.011976;-0.0486227;-0.0321455;-0.216207
0.012475;-0.0481042;-0.031388;-0.213756
0.012974;-0.0476408;-0.0310196;-0.21853
0.013473;-0.0470535;-0.0310569;-0.217671
0.013972;-0.0465579;-0.0309865;-0.215315
0.014471;-0.0460923;-0.0309451;-0.21226
0.01497;-0.0455822;-0.0308996;-0.213883
0.015469;-0.0451399;-0.0303655;-0.215729
0.015968;-0.0447193;-0.0302661;-0.211751
0.016467;-0.0441867;-0.0300674;-0.208791
0.016966;-0.0437059;-0.0295127;-0.209682
0.017465;-0.0432895;-0.0292104;-0.210032
0.017964;-0.0427517;-0.0291234;-0.209586
0.018463;-0.0421753;-0.0287757;-0.207868
0.018962;-0.0416591;-0.0288544;-0.209077
0.019461;-0.0412178;-0.0287467;-0.211114
0.01996;-0.0406606;-0.0286267;-0.211305
0.020459;-0.0401561;-0.0282459;-0.208854
0.020958;-0.0397119;-0.0278857;-0.213883
0.021457;-0.0392494;-0.0274842;-0.214329
0.021956;-0.038739;-0.0270744;-0.210605
0.022455;-0.0383048;-0.0270289;-0.212069
0.022954;-0.0377355;-0.0267887;-0.21191
0.023453;-0.0372242;-0.0267349;-0.213406
0.023952;-0.0368333;-0.0265321;-0.216844
0.024451;-0.0363358;-0.0262547;-0.213883
0.02495;-0.0359067;-0.02647;-0.216525
0.025449;-0.0353124;-0.0261967;-0.21818
0.025948;-0.0348576;-0.0259069;-0.213947
0.026447;-0.0344077;-0.0251326;-0.218912
0.026946;-0.0338341;-0.0248553;-0.217353
0.027445;-0.0334632;-0.025261;-0.21939
0.027944;-0.0329765;-0.0248014;-0.220185
0.028443;-0.0324053;-0.024789;-0.221013
0.028942;-0.0318782;-0.0243833;-0.215093
0.029441;-0.0314528;-0.0240398;-0.213151
0.02994;-0.0309387;-0.0236797;-0.214647
0.030439;-0.030458;-0.0232699;-0.215156
0.030938;-0.0300486;-0.0230629;-0.217925
0.031437;-0.029573;-0.0228724;-0.217544
0.031936;-0.0290537;-0.0226655;-0.21382
0.032435;-0.0285988;-0.0227234;-0.216111
0.032934;-0.0280678;-0.0222887;-0.214743
0.033433;-0.0275568;-0.0224667;-0.219262
0.033932;-0.0270248;-0.0217256;-0.21382
0.034431;-0.0265392;-0.0209473;-0.212737
0.03493;-0.0260438;-0.0210219;-0.213979
0.035429;-0.0255572;-0.0209473;-0.216239
0.035928;-0.02513;-0.0206203;-0.219135
0.036427;-0.024664;-0.0205333;-0.215793
0.036926;-0.0241835;-0.0206078;-0.217798
0.037425;-0.0237316;-0.0201318;-0.21331
0.037924;-0.0232902;-0.0197385;-0.218117
0.038423;-0.0228325;-0.0198834;-0.217225
0.038922;-0.0222541;-0.0192211;-0.217034
0.039421;-0.0217814;-0.0189603;-0.216143
0.03992;-0.0212811;-0.0187905;-0.212992
0.040419;-0.020752;-0.0186374;-0.214615
0.040918;-0.0203673;-0.018538;-0.216525
0.041417;-0.0198412;-0.0184718;-0.21417
0.041916;-0.0192955;-0.0185256;-0.214711
0.042415;-0.0188327;-0.018153;-0.216398
0.042914;-0.0184625;-0.0180329;-0.218307
0.043413;-0.0179187;-0.0177721;-0.216939
0.043912;-0.0174757;-0.0170725;-0.213024
0.044411;-0.0170583;-0.0166378;-0.216016
0.04491;-0.0165747;-0.0165385;-0.217735
0.045409;-0.0160298;-0.0165302;-0.216334
0.045908;-0.0155788;-0.01617;-0.212324
0.046407;-0.015049;-0.0163687;-0.216366
0.046906;-0.0145476;-0.0158306;-0.213374
0.047405;-0.0141667;-0.0158761;-0.215857
0.047904;-0.0137058;-0.0150895;-0.216048
0.048403;-0.0131501;-0.0147418;-0.214138
0.048902;-0.0126231;-0.0143568;-0.21261
0.049401;-0.0121969;-0.014216;-0.216812
0.0499;-0.011737;-0.0141539;-0.218053
0.050399;-0.0112189;-0.0133591;-0.218148
0.050898;-0.0107599;-0.0130859;-0.215506
0.051397;-0.0102359;-0.0125684;-0.21783
0.051896;-0.00959054;-0.0124193;-0.214361
0.052395;-0.00917797;-0.0124276;-0.219103
0.052894;-0.00865494;-0.0123945;-0.219231
0.053393;-0.00816445;-0.0121875;-0.215602
0.053892;-0.00768387;-0.0111526;-0.216334
0.054391;-0.00728616;-0.0112064;-0.218944
0.05489;-0.00676605;-0.0107593;-0.22149
0.055389;-0.0062085;-0.0104736;-0.217798
0.055888;-0.00573377;-0.0103577;-0.221649
0.056387;-0.00517222;-0.0098237;-0.218148
0.056886;-0.00473703;-0.0102046;-0.221681
0.057385;-0.00428205;-0.00993137;-0.221904
0.057884;-0.00375803;-0.00959188;-0.221554
0.058383;-0.00318862;-0.00956291;-0.221681
0.058882;-0.00270996;-0.00877637;-0.219803
0.059381;-0.00229647;-0.00871428;-0.218276
0.05988;-0.00178823;-0.0082713;-0.213883
0.060379;-0.0013086;-0.0082506;-0.216939
0.060878;-0.000854635;-0.0080643;-0.215061
0.061377;-0.000340472;-0.00741435;-0.220185
0.061876;0.000187507;-0.00682234;-0.219421
0.062375;0.000604955;-0.00629247;-0.215252
0.062874;0.00101155;-0.00628005;-0.214552
0.063373;0.00153065;-0.00629661;-0.215889
0.063872;0.00200534;-0.0064415;-0.217448
0.064371;0.00247115;-0.00617242;-0.21643
0.06487;0.00305933;-0.00577916;-0.215125
0.065369;0.00357645;-0.00608962;-0.219421
0.065868;0.00402151;-0.00568394;-0.217798
0.066367;0.00460674;-0.00526996;-0.211846
0.066866;0.00511501;-0.00532379;-0.214074
0.067365;0.00553345;-0.00473594;-0.214106
0.067864;0.00598641;-0.00411081;-0.213629
0.068363;0.00648874;-0.00415635;-0.214965
0.068862;0.00698023;-0.00417291;-0.214838
0.069361;0.00741545;-0.0039949;-0.213151
0.06986;0.00787528;-0.00316281;-0.21296
0.070359;0.00839343;-0.00257082;-0.212801
0.070858;0.00883254;-0.00252114;-0.211401
0.071357;0.00945527;-0.00229345;-0.21051
0.071856;0.0100247;-0.00229759;-0.210605
0.072355;0.0105458;-0.00213199;-0.211496
0.072854;0.0109564;-0.00205334;-0.213724
0.073353;0.0114745;-0.00191672;-0.214074
0.073852;0.0119639;-0.00152344;-0.216748
0.074351;0.0123843;-0.000306345;-0.209013
0.07485;0.0128709;-0.000434679;-0.212037
0.075349;0.0134344;-0.000149033;-0.215379
0.075848;0.0138282;-0.000591992;-0.217862
0.076347;0.0143167;-0.000285646;-0.218658
0.076846;0.0147737;-8.2796e-06;-0.22079
0.077345;0.0152137;-8.2796e-06;-0.218976
0.077844;0.0157219;0.000343604;-0.2107
0.078343;0.0162579;0.000542314;-0.213661
0.078842;0.0167968;0.000678927;-0.215061
0.079341;0.0172379;0.00196226;-0.213183
0.07984;0.0176246;0.00179253;-0.217575
0.080339;0.0181112;0.0020078;-0.217671
0.080838;0.018584;0.00206576;-0.21783
0.081337;0.0189886;0.00207403;-0.218658
0.081836;0.0195037;0.00261636;-0.217321
0.082335;0.019943;0.0028399;-0.218467
0.082834;0.0203633;0.00332425;-0.214965
0.083333;0.0209219;0.00311727;-0.217257
0.083832;0.0214656;0.00293098;-0.218467
0.084331;0.0219471;0.00350641;-0.211019
0.08483;0.0224319;0.00368028;-0.212578
0.085329;0.0229577;0.00396592;-0.217862
0.085828;0.0234493;0.00413151;-0.216493
0.086327;0.0239259;0.00420189;-0.212546
0.086826;0.0243067;0.00413151;-0.214711
0.087325;0.0248003;0.00502984;-0.217289
0.087824;0.0252513;0.00512919;-0.219039
0.088323;0.0257814;0.00608134;-0.219708
0.088822;0.026251;0.00579157;-0.220758
0.089321;0.0267238;0.00594474;-0.21904
0.08982;0.02731;0.00616414;-0.222095
0.090319;0.0277806;0.00637941;-0.221077
0.090818;0.0282229;0.00644564;-0.219135
0.091317;0.0287369;0.00659882;-0.219358
0.091816;0.0293105;0.00722806;-0.219199
0.092315;0.0297407;0.00708729;-0.220058
0.092814;0.0302172;0.00758409;-0.219994
0.093313;0.0307137;0.00770828;-0.220822
0.093812;0.031216;0.00809742;-0.220058
0.094311;0.0317006;0.00826302;-0.220695
0.09481;0.03227;0.00826302;-0.221299
0.095309;0.0327149;0.0085197;-0.217512
0.095808;0.0331749;0.00904544;-0.214138
0.096307;0.0336092;0.00976989;-0.214074
0.096806;0.0341341;0.00942217;-0.218308
0.097305;0.034677;0.0100141;-0.21904
0.097804;0.035193;0.0102046;-0.217894
0.098303;0.0357674;0.0100059;-0.21869
0.098802;0.0362303;0.0102128;-0.220504
0.099301;0.0365906;0.0101756;-0.219358
0.0998;0.0370822;0.0103495;-0.221809
0.100299;0.0376366;0.0105813;-0.221809
0.100798;0.0380355;0.0106972;-0.221618
0.101297;0.0384903;0.0119226;-0.217989
0.101796;0.0390321;0.0118853;-0.222318
0.102295;0.0394486;0.01155;-0.221936
0.102794;0.0399469;0.0123821;-0.220058
0.103293;0.0405084;0.0124193;-0.220854
0.103792;0.0409712;0.0123945;-0.222095
0.104291;0.0414261;0.0125932;-0.222127
0.10479;0.041913;0.0130859;-0.221968
