t;vds;corrente;vg
0.000499;0.00598403;0.00771281;-0.202211
0.000998;0.00598803;0.00903174;-0.203059
0.001497;0.00598803;0.00930323;-0.202931
0.001996;0.00598803;0.0104978;-0.202955
0.002495;0.00598803;0.0105491;-0.202931
0.002994;0.00599203;0.0116441;-0.203258
0.003493;0.00681998;0.0120453;-0.203035
0.003992;0.00768796;0.0129442;-0.203131
0.004491;0.00795196;0.0135475;-0.202931
0.00499;0.00798395;0.0137134;-0.203019
0.005489;0.00798395;0.0147572;-0.203394
0.005988;0.00798395;0.0150528;-0.20333
0.006487;0.00798395;0.0156772;-0.203091
0.006986;0.00831997;0.0165278;-0.20325
0.007485;0.00954403;0.0166727;-0.203083
0.007984;0.00997604;0.017798;-0.202971
0.008483;0.00998004;0.0180635;-0.202931
0.008982;0.00998004;0.0185551;-0.203147
0.009481;0.00998004;0.0195355;-0.203154
0.00998;0.010064;0.0195958;-0.203489
0.010479;0.010992;0.0207784;-0.203258
0.010978;0.0118921;0.021074;-0.203099
0.011477;0.0119761;0.0216141;-0.203059
0.011976;0.0119761;0.0225553;-0.203035
0.012475;0.0119761;0.0225794;-0.203362
0.012974;0.012048;0.0234601;-0.203338
0.013473;0.012672;0.0240845;-0.203139
0.013972;0.013668;0.0242052;-0.20321
0.014471;0.013972;0.0254391;-0.203338
0.01497;0.013972;0.0255899;-0.203035
0.015469;0.013972;0.0258221;-0.203163
0.015968;0.013976;0.0269049;-0.203067
0.016467;0.0143279;0.027104;-0.202931
0.016966;0.0151479;0.0279217;-0.203115
0.017465;0.0159039;0.0286005;-0.20329
0.017964;0.0159679;0.0291253;-0.203067
0.018463;0.0159679;0.0301055;-0.203091
0.018962;0.0159679;0.030178;-0.202955
0.019461;0.0159679;0.0314361;-0.202931
0.01996;0.0163999;0.031611;-0.203067
0.020459;0.01722;0.0317045;-0.202963
0.020958;0.01782;0.0328415;-0.203434
0.021457;0.017964;0.0331311;-0.203011
0.021956;0.017964;0.0339608;-0.203019
0.022455;0.017964;0.0346215;-0.203401
0.022954;0.0181561;0.0348116;-0.203107
0.023453;0.01866;0.0361059;-0.203035
0.023952;0.0198321;0.036127;-0.203776
0.024451;0.0199561;0.036685;-0.203832
0.02495;0.0199601;0.0376261;-0.203186
0.025449;0.0199601;0.0377226;-0.203282
0.025948;0.0200601;0.0390227;-0.203147
0.026447;0.0204281;0.0391373;-0.203067
0.026946;0.021584;0.0397798;-0.203442
0.027445;0.021956;0.0406395;-0.203274
0.027944;0.021956;0.0406878;-0.203362
0.028443;0.021956;0.0419459;-0.203449
0.028942;0.021956;0.042148;-0.203601
