t;vds;corrente;vg
0.000499;0.00600003;0.00897836;-0.00544358
0.000998;0.00598803;0.00903174;-0.00397901
0.001497;0.00598803;0.0100815;-0.00397901
0.001996;0.00598803;0.010537;-0.00397901
0.002495;0.00603602;0.0109533;-0.00392319
0.002994;0.00618801;0.0120362;-0.00397901
0.003493;0.00663201;0.0122594;-0.00397901
0.003992;0.00796395;0.0134811;-0.00397901
0.004491;0.00798395;0.0135475;-0.00397901
0.00499;0.00798395;0.014187;-0.00397901
0.005489;0.00798395;0.0150196;-0.00397901
0.005988;0.00798395;0.0151644;-0.00397901
0.006487;0.00803996;0.0164313;-0.00397901
0.006986;0.00867999;0.0165701;-0.00397901
0.007485;0.00982803;0.0173244;-0.00397901
0.007984;0.00998004;0.0180635;-0.00397901
0.008483;0.00998004;0.0181509;-0.00397901
0.008982;0.00998004;0.0193303;-0.00397901
0.009481;0.010008;0.0195686;-0.00397901
0.00998;0.010168;0.0201811;-0.00397901
0.010479;0.011156;0.0210408;-0.00397901
0.010978;0.0119201;0.0211947;-0.00397901
0.011477;0.0119761;0.0222777;-0.00397901
0.011976;0.0119761;0.0225794;-0.00397901
0.012475;0.0119761;0.0232368;-0.00397901
0.012974;0.0121;0.0240845;-0.00397901
0.013473;0.013004;0.0240905;-0.00397901
0.013972;0.013808;0.0248116;-0.00397901
0.014471;0.013972;0.0255899;-0.00397901
0.01497;0.013972;0.025614;-0.00397901
0.015469;0.013972;0.0265822;-0.00397901
0.015968;0.014012;0.027095;-0.00397103
0.016467;0.0144639;0.0274691;-0.00397901
0.016966;0.0153319;0.0285311;-0.00397901
0.017465;0.0159039;0.0287453;-0.00397901
0.017964;0.0159679;0.0300271;-0.00397901
0.018463;0.0159679;0.0301055;-0.00397901
0.018962;0.0159679;0.0307724;-0.00397901
0.019461;0.0159759;0.031611;-0.00397901
0.01996;0.0161959;0.031611;-0.00397901
0.020459;0.017616;0.0322141;-0.00397901
0.020958;0.017964;0.033116;-0.00397901
0.021457;0.017964;0.0333876;-0.00397901
0.021956;0.017964;0.0345642;-0.00397901
0.022455;0.017992;0.0346969;-0.00397901
0.022954;0.018296;0.0358313;-0.00397901
0.023453;0.0194481;0.036127;-0.00392319
0.023952;0.0199081;0.0362808;-0.00397901
0.024451;0.0199601;0.0374239;-0.00397901
0.02495;0.0199601;0.0376683;-0.00397901
0.025449;0.0199601;0.0384766;-0.00397901
0.025948;0.0199921;0.0391554;-0.00397901
0.026447;0.0208841;0.0394782;-0.00397901
0.026946;0.021912;0.040549;-0.00397901
0.027445;0.021924;0.0406576;-0.00397901
0.027944;0.021956;0.0414602;-0.00397901
0.028443;0.021956;0.042148;-0.00397901
0.028942;0.021956;0.0423562;-0.00396306
0.029441;0.022052;0.0435537;-0.00397901
0.02994;0.0225961;0.0436532;-0.00397901
0.030439;0.0236801;0.0442296;-0.00397901
0.030938;0.0239521;0.0451316;-0.00397901
0.031437;0.0239521;0.0451588;-0.00397901
0.031936;0.0239521;0.046163;-0.00397901
0.032435;0.0239521;0.0466637;-0.00397901
0.032934;0.0239601;0.046887;-0.00397901
0.033433;0.0246801;0.0480242;-0.00394711
0.033932;0.025688;0.048169;-0.00397901
0.034431;0.025948;0.0491134;-0.00397901
0.03493;0.025948;0.0496745;-0.00395509
0.035429;0.025948;0.0502809;-0.00396306
0.035928;0.025948;0.0511316;-0.00397901
0.036427;0.025964;0.0511979;-0.00397901
0.036926;0.02668;0.0521899;-0.00397901
0.037425;0.0277759;0.0526847;-0.00393117
0.037924;0.0279439;0.0528446;-0.00397901
0.038423;0.0279439;0.0539939;-0.00396306
0.038922;0.0279439;0.0541899;-0.00394711
0.039421;0.0279439;0.0545641;-0.00397901
0.03992;0.0279959;0.0555959;-0.00397901
0.040419;0.0286399;0.0558494;-0.00397901
0.040918;0.0296439;0.0570985;-0.00397901
0.041417;0.0299199;0.0572011;-0.00397901
0.041916;0.0299399;0.0572795;-0.00397901
0.042415;0.0299399;0.0586129;-0.00397901
0.042914;0.0299399;0.0587094;-0.00401888
0.043413;0.0301239;0.0593846;-0.00397901
0.043912;0.0309799;0.0602111;-0.00397901
0.044411;0.0319118;0.0604827;-0.00397901
0.04491;0.0319358;0.0616561;-0.00397901
0.045409;0.0319358;0.0617165;-0.00397901
