t;vds;corrente;vg
0.000499;0.00598403;0.00832529;0.192116
0.000998;0.00598803;0.00903174;0.195491
0.001497;0.00598803;0.00976174;0.196631
0.001996;0.00598803;0.010537;0.196902
0.002495;0.00598803;0.0107572;0.195953
0.002994;0.00603602;0.0119125;0.195938
0.003493;0.00634801;0.0121599;0.195236
0.003992;0.00771596;0.0131101;0.195395
0.004491;0.00797595;0.0135475;0.195627
0.00499;0.00798395;0.0136229;0.195084
0.005489;0.00798395;0.0149351;0.195076
0.005988;0.00798395;0.0150528;0.195435
0.006487;0.00798795;0.0159909;0.196631
0.006986;0.00839597;0.016558;0.195435
0.007485;0.00935601;0.0171343;0.196137
0.007984;0.00996004;0.0179971;0.196033
0.008483;0.00998004;0.0180725;0.195188
0.008982;0.00998004;0.0191162;0.19573
0.009481;0.00998004;0.0195686;0.195005
0.00998;0.00999604;0.0199005;0.195818
0.010479;0.010572;0.0209141;0.195172
0.010978;0.0116161;0.021074;0.195483
0.011477;0.0119521;0.0215598;0.195188
0.011976;0.0119761;0.0225794;0.195738
0.012475;0.0119761;0.0226005;0.197061
0.012974;0.0120121;0.0237466;0.196184
0.013473;0.012564;0.0240845;0.19518
0.013972;0.013496;0.0243138;0.195587
0.014471;0.013956;0.025427;0.195483
0.01497;0.013972;0.0255929;0.195084
0.015469;0.013972;0.025798;0.19518
0.015968;0.013972;0.0270527;0.195045
0.016467;0.014088;0.0272036;0.195212
0.016966;0.0151559;0.0284014;0.19526
0.017465;0.0158999;0.0286005;0.195052
0.017964;0.0159679;0.0294872;0.19557
0.018463;0.0159679;0.0301055;0.195459
0.018962;0.0159679;0.0302926;0.195706
0.019461;0.0159679;0.0314632;0.195443
0.01996;0.0160919;0.031611;0.195451
0.020459;0.017064;0.0318312;0.195124
0.020958;0.017952;0.0330165;0.195108
0.021457;0.017964;0.0332669;0.195244
0.021956;0.017964;0.0342323;0.194989
0.022455;0.017964;0.0346215;0.194973
0.022954;0.01804;0.0354904;0.194973
0.023453;0.018796;0.0360938;0.194981
0.023952;0.0195841;0.036127;0.194973
0.024451;0.0199601;0.0371313;0.195124
0.02495;0.0199601;0.0376321;0.194973
0.025449;0.0199601;0.0381177;0.195052
0.025948;0.0199841;0.0391282;0.195092
0.026447;0.0202081;0.0392519;0.195682
0.026946;0.021496;0.0402352;0.195555
0.027445;0.021956;0.0406425;0.19644
0.027944;0.021956;0.0410197;0.19585
0.028443;0.021956;0.0420304;0.196711
0.028942;0.021956;0.0421752;0.19667
0.029441;0.021956;0.0432792;0.196041
0.02994;0.02204;0.0436532;0.19628
0.030439;0.0230081;0.0438795;0.195579
0.030938;0.0239321;0.0448269;0.195642
0.031437;0.0239441;0.0451588;0.195307
0.031936;0.0239521;0.0455296;0.195188
0.032435;0.0239521;0.0466637;0.195563
0.032934;0.0239521;0.0466637;0.195555
0.033433;0.0242241;0.0476351;0.196185
0.033932;0.0249841;0.048169;0.19683
0.034431;0.025852;0.0485944;0.196447
0.03493;0.025948;0.0496745;0.196392
0.035429;0.025948;0.0497952;0.195818
0.035928;0.025948;0.0509053;0.195531
0.036427;0.02598;0.0511798;0.195603
0.036926;0.026284;0.0514722;0.195459
0.037425;0.0271359;0.0526545;0.195659
0.037924;0.0278919;0.0527209;0.19506
0.038423;0.0279439;0.0535987;0.195132
0.038922;0.0279439;0.0541899;0.194997
0.039421;0.0279439;0.0543408;0.195244
0.03992;0.0279439;0.0553606;0.194989
0.040419;0.0281279;0.0556955;0.195076
0.040918;0.0289239;0.0562809;0.195037
0.041417;0.0298919;0.0571588;0.194973
0.041916;0.0299399;0.0572071;0.195324
0.042415;0.0299399;0.0581574;0.195037
0.042914;0.0299399;0.0587064;0.19518
0.043413;0.0299919;0.0588812;0.194973
0.043912;0.0303039;0.0601357;0.194973
0.044411;0.0314558;0.0602171;0.195029
0.04491;0.0319038;0.0611252;0.195029
0.045409;0.0319358;0.0617165;0.195651
0.045908;0.0319358;0.061816;0.195443
0.046407;0.0319358;0.0628932;0.195244
0.046906;0.0319398;0.063222;0.195132
0.047405;0.032456;0.0638798;0.195578
0.047904;0.0335482;0.0647184;0.195555
0.048403;0.0339322;0.064854;0.195387
0.048902;0.0339322;0.0660721;0.195395
0.049401;0.0339322;0.066232;0.195052
0.0499;0.0339322;0.0665459;0.195587
0.050399;0.0339482;0.0677136;0.195316
0.050898;0.0342601;0.0677377;0.195284
0.051397;0.035604;0.0685854;0.195475
0.051896;0.035904;0.069243;0.195491
0.052395;0.035928;0.0695175;0.195905
0.052894;0.035928;0.0706639;0.195586
0.053393;0.035928;0.0707665;0.195531
0.053892;0.03616;0.0717622;0.19573
0.054391;0.036764;0.0722539;0.196384
0.05489;0.0378401;0.0724348;0.196591
0.055389;0.0379241;0.0737133;0.196328
0.055888;0.0379241;0.0737585;0.195483
0.056387;0.0379241;0.0739035;0.195953
0.056886;0.0379881;0.0751556;0.19526
0.057385;0.0388561;0.0752642;0.1964
0.057884;0.0397361;0.0760243;0.196288
0.058383;0.0399202;0.0767695;0.195826
0.058882;0.0399202;0.0770198;0.195554
0.059381;0.0399202;0.078178;0.195579
0.05988;0.0399202;0.0783199;0.195929
0.060379;0.0400401;0.0793551;0.196607
0.060878;0.0413719;0.0797805;0.196703
0.061377;0.0418279;0.0800005;0.195778
0.061876;0.0419159;0.0811583;0.196192
0.062375;0.0419159;0.081285;0.195961
0.062874;0.0419159;0.0822841;0.195651
0.063373;0.0419159;0.0827909;0.195332
0.063872;0.0421279;0.0829928;0.195252
0.064371;0.042752;0.0841784;0.195714
0.06487;0.0435961;0.0842961;0.195029
0.065369;0.0439121;0.0847664;0.196041
0.065868;0.0439121;0.0857497;0.19522
0.066367;0.0439121;0.0860003;0.195419
0.066866;0.0439121;0.0871948;0.195347
0.067365;0.044048;0.0873064;0.195236
0.067864;0.0453597;0.0882443;0.195906
0.068363;0.0459077;0.0888114;0.195252
0.068862;0.0459077;0.0889503;0.195164
0.069361;0.0459077;0.0901245;0.195562
0.06986;0.0459077;0.0903929;0.196375
0.070359;0.0459677;0.0913701;0.196065
0.070858;0.0462158;0.0918196;0.195276
0.071357;0.0474281;0.0918377;0.195762
0.071856;0.0478562;0.0929595;0.195865
0.072355;0.0479042;0.0933275;0.195029
0.072854;0.0479042;0.0934905;0.195348
0.073353;0.0479482;0.0947969;0.195698
0.073852;0.0480601;0.094833;0.196567
0.074351;0.0492719;0.0953757;0.195443
0.07485;0.0498118;0.0963379;0.195364
0.075349;0.0498998;0.0963379;0.19526
0.075848;0.0498998;0.097321;0.195634
0.076347;0.0498998;0.0978429;0.195284
0.076846;0.0498998;0.0981871;0.19514
0.077345;0.0499038;0.0992917;0.195124
0.077844;0.0506159;0.0993761;0.196192
0.078343;0.051596;0.100238;0.196073
0.078842;0.051872;0.100853;0.195555
0.079341;0.051896;0.100962;0.195993
0.07984;0.051896;0.102236;0.195658
0.080339;0.051896;0.10236;0.195395
0.080838;0.051896;0.102755;0.195228
0.081337;0.0522321;0.103852;0.195395
0.081836;0.0534243;0.103997;0.19616
0.082335;0.0538283;0.105143;0.195108
0.082834;0.0538923;0.105369;0.1951
0.083333;0.0538923;0.10588;0.19581
0.083832;0.0538923;0.106876;0.19589
0.084331;0.0539603;0.10705;0.195116
0.08483;0.054616;0.108256;0.195116
0.085329;0.0557759;0.108383;0.196192
0.085828;0.0558879;0.109144;0.197117
0.086327;0.0558879;0.109886;0.195443
0.086826;0.0558879;0.109889;0.195284
0.087325;0.0558879;0.110857;0.195212
0.087824;0.0558999;0.111391;0.195124
0.088323;0.056456;0.111596;0.195013
0.088822;0.0573802;0.112811;0.195507
0.089321;0.0578082;0.112899;0.195443
0.08982;0.0578842;0.114067;0.195331
0.090319;0.0578842;0.114402;0.195387
0.090818;0.0578842;0.114685;0.195762
0.091317;0.0578842;0.115867;0.195307
0.091816;0.0579561;0.115906;0.196232
0.092315;0.05874;0.116468;0.1962
0.092814;0.0598359;0.117413;0.196352
0.093313;0.0598479;0.117431;0.196009
0.093812;0.0598798;0.11851;0.195762
0.094311;0.0598798;0.118918;0.195156
0.09481;0.0598839;0.119129;0.195315
0.095309;0.060564;0.120277;0.195108
0.095808;0.0615481;0.120422;0.195196
0.096307;0.0617042;0.120999;0.195092
0.096806;0.0618762;0.121925;0.195013
0.097305;0.0618762;0.121928;0.195092
0.097804;0.0618762;0.122893;0.195069
0.098303;0.0618762;0.123415;0.194997
0.098802;0.0620961;0.12382;0.194997
0.099301;0.0633997;0.124918;0.195029
0.0998;0.0638556;0.124979;0.195826
0.100299;0.0638716;0.126254;0.195356
0.100798;0.0638716;0.126444;0.195929
0.101297;0.0638716;0.126818;0.195076
0.101796;0.0639317;0.127915;0.195005
0.102295;0.0646199;0.127949;0.194973
0.102794;0.0655;0.128701;0.19534
0.103293;0.065868;0.129455;0.195005
0.103792;0.065868;0.129961;0.195651
0.104291;0.065868;0.130908;0.195818
0.10479;0.065868;0.130978;0.195013
0.105289;0.065876;0.131822;0.195092
0.105788;0.0663082;0.132464;0.195084
0.106287;0.0676644;0.132476;0.195419
0.106786;0.0677724;0.133744;0.195659
0.107285;0.0678644;0.133971;0.195005
0.107784;0.0678644;0.134411;0.195061
0.108283;0.0678644;0.13543;0.195244
0.108782;0.0679163;0.135617;0.195571
0.109281;0.0683521;0.136643;0.195531
0.10978;0.0695198;0.136981;0.195331
0.110279;0.0698398;0.137602;0.195674
0.110778;0.0698598;0.138465;0.195419
0.111277;0.0698598;0.138622;0.195108
0.111776;0.0698598;0.139599;0.195706
0.112275;0.0698598;0.139991;0.195092
0.112774;0.0699318;0.140112;0.195252
0.113273;0.0706799;0.141373;0.1951
0.113772;0.0716;0.141497;0.195052
0.114271;0.071856;0.142133;0.195507
0.11477;0.071856;0.142938;0.195627
0.115269;0.071856;0.143047;0.195196
0.115768;0.071856;0.143775;0.195371
0.116267;0.071912;0.144496;0.195459
0.116766;0.0723521;0.144644;0.195116
0.117265;0.0732519;0.145817;0.195156
0.117764;0.073852;0.146013;0.195674
0.118263;0.0738119;0.146013;0.195491
0.118762;0.0729439;0.145437;0.195092
0.119261;0.071988;0.144514;0.1951
0.11976;0.071864;0.144487;0.195188
0.120259;0.071856;0.143372;0.19573
0.120758;0.071856;0.143001;0.195029
0.121257;0.071856;0.142844;0.195132
0.121756;0.071856;0.141626;0.194973
0.122255;0.0714279;0.141497;0.195204
0.122754;0.0703799;0.140857;0.195053
0.123253;0.0699438;0.139991;0.19569
0.123752;0.0698598;0.139979;0.195124
0.124251;0.0698598;0.139062;0.195499
0.12475;0.0698598;0.138489;0.195674
0.125249;0.0698598;0.138254;0.195698
0.125748;0.0697878;0.137029;0.195603
0.126247;0.0690201;0.136981;0.195547
0.126746;0.0683084;0.136447;0.195754
0.127245;0.0678804;0.135506;0.196783
0.127744;0.0678644;0.135412;0.195961
0.128243;0.0678644;0.134305;0.196743
0.128742;0.0678644;0.133874;0.196439
0.129241;0.0678404;0.13298;0.196846
0.12974;0.0671522;0.132476;0.196344
0.130239;0.0661121;0.132371;0.196153
0.130738;0.065896;0.13114;0.196846
0.131237;0.065868;0.130914;0.195475
0.131736;0.065868;0.130417;0.196137
0.132235;0.065868;0.129455;0.195794
0.132734;0.065832;0.129419;0.196902
0.133233;0.0653958;0.12854;0.196886
0.133732;0.0641597;0.127949;0.197547
0.134231;0.0638756;0.127909;0.197571
0.13473;0.0638716;0.12655;0.197149
0.135229;0.0638716;0.126444;0.196153
0.135728;0.0638716;0.12566;0.195682
0.136227;0.0638037;0.124939;0.196344
0.136726;0.0630879;0.124544;0.196225
0.137225;0.0621522;0.12346;0.196543
0.137724;0.0618762;0.123385;0.196089
0.138223;0.0618762;0.122387;0.19632
0.138722;0.0618762;0.121928;0.196742
0.139221;0.0618762;0.121922;0.19652
0.13972;0.0618202;0.120817;0.197157
0.140219;0.061204;0.120422;0.197595
0.140718;0.0601479;0.120184;0.197484
0.141217;0.0598798;0.11909;0.197572
0.141716;0.0598798;0.118918;0.197149
0.142215;0.0598798;0.117914;0.197292
0.142714;0.0598798;0.117413;0.1975
0.143213;0.0596079;0.117087;0.196695
0.143712;0.0583082;0.115918;0.196623
0.144211;0.0579281;0.115906;0.196384
0.14471;0.0578842;0.11515;0.19577
0.145209;0.0578842;0.114402;0.195874
0.145708;0.0578842;0.114381;0.195475
0.146207;0.0578481;0.113107;0.195602
0.146706;0.0578161;0.11286;0.195882
0.147205;0.056908;0.112573;0.196176
0.147704;0.0559159;0.111406;0.195244
