t;vds;corrente;vg
0.00998;0.0190003;0.0812234;0.0127889
0.01996;0.0188846;0.0762542;0.0383524
0.02994;0.0190426;0.0807409;0.0565522
0.03992;0.0188511;0.081235;0.075504
0.0499;0.0189412;0.079545;0.0955771
0.05988;0.0191032;0.0731017;0.113937
0.06986;0.0189891;0.0802172;0.135786
0.07984;0.0190082;0.0784283;0.154673
0.08982;0.0189317;0.0758688;0.173433
0.0998;0.0188383;0.0736254;0.192851
0.10978;0.0191734;0.0729436;0.213772
0.11976;0.0189939;0.0784283;0.232724
0.12974;0.0190218;0.0722221;0.25302
0.13972;0.0191152;0.0710955;0.2717
0.1497;0.019108;0.0752857;0.291084
0.15968;0.0190003;0.0725977;0.311364
0.16966;0.0189859;0.0719751;0.329659
0.17964;0.0190569;0.068447;0.350357
0.18962;0.0189939;0.0661146;0.369357
0.1996;0.019226;0.0629917;0.390712
0.20958;0.0192524;0.0622308;0.410448
0.21956;0.0191582;0.0575168;0.428887
0.22954;0.019309;0.0610449;0.448382
0.23952;0.0191973;0.0592166;0.4702
0.2495;0.0192213;0.0529016;0.489969
0.25948;0.0192268;0.0497392;0.510489
0.26946;0.0194024;0.0501641;0.529919
0.27944;0.0191383;0.0474662;0.550986
0.28942;0.019376;0.041754;0.57167
0.2994;0.0194271;0.0376824;0.590267
0.30938;0.0192939;0.0375144;0.609668
0.31936;0.0196082;0.0351228;0.628839
0.32934;0.0194741;0.0313476;0.649684
0.33932;0.0194694;0.0287782;0.669775
0.3493;0.0196457;0.0201704;0.68837
0.35928;0.0194414;0.0186781;0.708508
0.36926;0.0195324;0.0251512;0.728399
0.37924;0.0195603;0.0255466;0.748701
0.38922;0.019325;0.0249832;0.767016
0.3992;0.0196042;0.0273353;0.785069
0.40918;0.0194734;0.0289165;0.771565
0.41916;0.0195747;0.0241827;0.753554
0.42914;0.0195763;0.0244298;0.734165
0.43912;0.0194901;0.0232538;0.713835
0.4491;0.0195085;0.0224533;0.69471
0.45908;0.0195515;0.0256553;0.674684
0.46906;0.0195388;0.0201506;0.655433
0.47904;0.0195524;0.0218603;0.635469
0.48902;0.0195611;0.0154663;0.616274
0.499;0.0194813;0.0216034;0.596287
0.50898;0.0194606;0.0208128;0.57639
0.51896;0.0195898;0.0200913;0.556636
0.52894;0.0195292;0.0187671;0.535715
0.53892;0.0195587;0.0191525;0.514972
0.5489;0.0195691;0.0245978;0.49533
0.55888;0.0195188;0.025339;0.474889
0.56886;0.0195412;0.0247461;0.454195
0.57884;0.0194686;0.0250129;0.434505
0.58882;0.0195603;0.0284125;0.416145
0.5988;0.019589;0.0275725;0.395896
0.60878;0.0193441;0.030478;0.374909
0.61876;0.019376;0.029885;0.356086
0.62874;0.0196353;0.0293118;0.336047
0.63872;0.0190721;0.0332253;0.316903
0.6487;0.0196584;0.030389;0.296622
0.65868;0.0193537;0.0383841;0.277383
0.66866;0.0192723;0.0336009;0.25771
0.67864;0.0197653;0.0370301;0.239639
0.68862;0.0191104;0.0398467;0.219246
0.6986;0.0194374;0.0430091;0.198261
0.70858;0.0194558;0.0417738;0.178091
0.71856;0.0191335;0.0486718;0.159972
0.72854;0.0194215;0.0450844;0.140332
0.73852;0.0193305;0.0534451;0.119347
0.7485;0.0191678;0.0539195;0.100027
0.75848;0.0193856;0.0525458;0.0807061
0.76846;0.0191854;0.0552932;0.062779
0.77844;0.0190186;0.0633673;0.042786
0.78842;0.0188016;0.0632783;0.0232418
0.7984;0.0190465;0.0696625;0.00270515
0.80838;0.0193353;0.0689906;-0.016439
0.81836;0.0191431;0.0651956;-0.0362234
0.82834;0.0188998;0.0694747;-0.0582329
0.83832;0.0190043;0.0724098;-0.0772327
0.8483;0.0192668;0.074337;-0.0963294
0.85828;0.0188583;0.0753054;-0.115393
0.86826;0.0188679;0.0815315;-0.136138
0.87824;0.018887;0.0872239;-0.155666
0.88822;0.0190522;0.083686;-0.176138
0.8982;0.018836;0.0861961;-0.193059
0.90818;0.0188655;0.0878168;-0.183725
0.91816;0.0187961;0.0854154;-0.166262
0.92814;0.0189915;0.0888742;-0.145326
0.93812;0.0188974;0.0905939;-0.124934
0.9481;0.0188878;0.087303;-0.105229
0.95808;0.0189819;0.0893882;-0.0876528
0.96806;0.0188743;0.0842097;-0.0659164
0.97804;0.0188998;0.0857711;-0.0464194
0.98802;0.0188495;0.0884098;-0.0260591
0.998;0.0189381;0.0865913;-0.00651479
1.00798;0.0190721;0.082411;0.0134777
1.01796;0.0188734;0.0839824;0.0334062
1.02794;0.0190729;0.0834585;0.053639
1.03792;0.0190346;0.0837452;0.072847
1.0479;0.0189006;0.0772621;0.0913673
1.05788;0.0189787;0.0782604;0.110543
1.06786;0.019037;0.077697;0.130568
1.07784;0.0190912;0.0741294;0.1508
1.08782;0.0191869;0.0745841;0.170168
1.0978;0.0190848;0.076017;0.189618
1.10778;0.0190585;0.0737737;0.209194
1.11776;0.0191391;0.0783197;0.229346
1.12774;0.0190849;0.0730918;0.248891
1.13772;0.0190529;0.070127;0.267858
1.1477;0.0190577;0.0707891;0.287467
1.15768;0.0191479;0.06146;0.307203
1.16766;0.0190777;0.0672808;0.326922
1.17764;0.0191439;0.0624976;0.346242
1.18762;0.0191343;0.0695439;0.366011
1.1976;0.0190809;0.0626557;0.386388
1.20758;0.0191534;0.0649979;0.405997
1.21756;0.0192707;0.058505;0.424918
1.22754;0.0193928;0.0622011;0.444573
1.23752;0.019029;0.0519529;0.465364
1.2475;0.0196074;0.0578923;0.486191
