t;vds;corrente;vg
0.000499;0.0699758;0.00909344;-0.204606
0.000998;0.0698598;0.00903174;-0.206103
0.001497;0.0698598;0.00903174;-0.205514
0.001996;0.070964;0.00903174;-0.205577
0.002495;0.071836;0.00903174;-0.205968
0.002994;0.071856;0.00903174;-0.206047
0.003493;0.0720201;0.00909811;-0.20663
0.003992;0.073232;0.0092791;-0.206598
0.004491;0.073844;0.00926704;-0.20635
0.00499;0.073852;0.00964711;-0.206773
0.005489;0.074052;0.0101479;-0.206829
0.005988;0.0755162;0.0102987;-0.206837
0.006487;0.0758482;0.0104827;-0.206526
0.006986;0.0758882;0.0105159;-0.206653
0.007485;0.0768837;0.010534;-0.206845
0.007984;0.0778115;0.010537;-0.205753
0.008483;0.0778435;0.010537;-0.206175
0.008982;0.0780276;0.010537;-0.205322
0.009481;0.0796483;0.010537;-0.206199
0.00998;0.0798403;0.010537;-0.206526
0.010479;0.0798403;0.010537;-0.205968
0.010978;0.0800723;0.010537;-0.205378
0.011477;0.0816124;0.0105521;-0.205394
0.011976;0.0818364;0.010727;-0.204756
0.012475;0.0819123;0.0108507;-0.205521
0.012974;0.0834477;0.0111343;-0.206063
0.013473;0.0838317;0.0114751;-0.205944
0.013972;0.0839517;0.0117165;-0.206279
0.014471;0.0854198;0.0120241;-0.205889
0.01497;0.0858279;0.0119608;-0.206478
0.015469;0.0858279;0.0120151;-0.205968
0.015968;0.0865043;0.0120422;-0.205881
0.016467;0.0878241;0.0120422;-0.206255
0.016966;0.0878241;0.0120422;-0.205506
0.017465;0.0880401;0.0120422;-0.206406
0.017964;0.0896681;0.0120422;-0.205394
0.018463;0.0898201;0.0120422;-0.20514
0.018962;0.0898281;0.0120422;-0.204255
0.019461;0.0909556;0.0121207;-0.204772
0.01996;0.0917634;0.0123017;-0.205577
0.020459;0.0918154;0.0125098;-0.205107
0.020958;0.0920156;0.0127511;-0.204167
0.021457;0.0932724;0.0130377;-0.204797
0.021956;0.0938125;0.0133755;-0.205481
0.022455;0.0938125;0.0135384;-0.205203
0.022954;0.0945764;0.0135475;-0.204525
0.023453;0.0958084;0.0135475;-0.204605
0.023952;0.0958084;0.0135475;-0.206127
0.024451;0.0958564;0.0135475;-0.206382
0.02495;0.0970958;0.0135475;-0.205721
0.025449;0.0978037;0.0135475;-0.206646
0.025948;0.0978037;0.0135475;-0.206486
0.026447;0.0981875;0.0135475;-0.20596
0.026946;0.0995836;0.0135475;-0.205928
0.027445;0.0997996;0.0135475;-0.204996
0.027944;0.0998277;0.0135475;-0.205561
0.028443;0.100952;0.0135475;-0.206526
0.028942;0.10176;0.0135475;-0.205976
0.029441;0.101796;0.0135746;-0.205426
0.02994;0.102768;0.0137496;-0.204374
0.030439;0.103728;0.0140543;-0.20596
0.030938;0.103796;0.0144102;-0.205617
0.031437;0.103904;0.0146697;-0.205545
0.031936;0.105296;0.0150407;-0.206
0.032435;0.105788;0.0150015;-0.206502
0.032934;0.105788;0.0150528;-0.206191
0.033433;0.106284;0.0150528;-0.206032
0.033932;0.107709;0.0150528;-0.205657
0.034431;0.107785;0.0150528;-0.205339
0.03493;0.10808;0.0150528;-0.205769
0.035429;0.109496;0.0150528;-0.205506
0.035928;0.10978;0.0150528;-0.20659
0.036427;0.109912;0.0150528;-0.205537
0.036926;0.110956;0.0150528;-0.206701
0.037425;0.111776;0.0150528;-0.206359
0.037924;0.111796;0.0151885;-0.206622
0.038423;0.112815;0.0152881;-0.20498
0.038922;0.113755;0.0156802;-0.206032
0.039421;0.113771;0.0159185;-0.206095
0.03992;0.11386;0.0164343;-0.206199
0.040419;0.114836;0.0165097;-0.205896
0.040918;0.115764;0.016558;-0.20639
0.041417;0.115772;0.016558;-0.206327
0.041916;0.11604;0.016558;-0.206685
0.042415;0.117508;0.016558;-0.206072
0.042914;0.117764;0.016558;-0.205776
0.043413;0.11806;0.016558;-0.206805
0.043912;0.119416;0.016558;-0.206693
0.044411;0.11976;0.016558;-0.206176
0.04491;0.119828;0.016558;-0.206709
0.045409;0.120292;0.0166153;-0.206781
0.045908;0.121745;0.0165942;-0.206908
0.046407;0.121757;0.0166184;-0.206741
0.046906;0.121841;0.0167481;-0.206685
0.047405;0.123376;0.0170226;-0.206781
0.047904;0.123752;0.0173847;-0.206797
0.048403;0.12382;0.0176984;-0.206757
0.048902;0.124944;0.0178342;-0.206311
0.049401;0.125748;0.0180635;-0.2069
0.0499;0.125748;0.0180635;-0.206773
0.050399;0.126471;0.0180635;-0.206606
0.050898;0.127743;0.0180635;-0.206438
0.051397;0.127743;0.0180635;-0.206637
0.051896;0.128244;0.0180635;-0.206781
0.052395;0.129628;0.0180635;-0.206877
0.052894;0.12974;0.0180635;-0.206765
0.053393;0.129748;0.0180635;-0.206908
0.053892;0.131012;0.0180635;-0.206645
0.054391;0.131736;0.0180665;-0.206422
0.05489;0.131736;0.0180997;-0.206669
0.055389;0.132508;0.0182173;-0.206725
0.055888;0.1337;0.0184134;-0.206574
0.056387;0.133732;0.0187331;-0.205816
0.056886;0.13386;0.0193515;-0.206151
0.057385;0.135033;0.0194601;-0.205474
0.057884;0.135729;0.0195204;-0.206566
0.058383;0.135729;0.0195505;-0.206279
0.058882;0.136129;0.0195686;-0.205816
0.059381;0.137516;0.0195686;-0.205243
0.05988;0.137724;0.0195686;-0.205147
0.060379;0.137884;0.0195686;-0.206175
0.060878;0.139356;0.0195686;-0.205928
0.061377;0.13972;0.0195686;-0.205657
0.061876;0.139887;0.0195686;-0.205609
0.062375;0.141307;0.0195686;-0.204222
