t;vds;corrente;vg
0.000499;0.0700318;0.00909344;-0.00542398
0.000998;0.071504;0.00904984;-0.00397901
0.001497;0.071856;0.00905889;-0.00397901
0.001996;0.071856;0.00912224;-0.00397901
0.002495;0.072524;0.00958074;-0.00398698
0.002994;0.073652;0.00979795;-0.00397901
0.003493;0.073852;0.0101479;-0.00397901
0.003992;0.073968;0.0104586;-0.00397901
0.004491;0.0748881;0.0104767;-0.00397901
0.00499;0.0757842;0.010537;-0.00397901
0.005489;0.0758482;0.010537;-0.00397901
0.005988;0.0760961;0.010537;-0.00397901
0.006487;0.0774276;0.010537;-0.00397901
0.006986;0.0778435;0.010537;-0.00397901
0.007485;0.0778435;0.010537;-0.00397901
0.007984;0.0784399;0.010537;-0.00397901
0.008483;0.0797843;0.010537;-0.00397901
0.008982;0.0798403;0.0105491;-0.00397901
0.009481;0.0798403;0.0105581;-0.00397901
0.00998;0.0805122;0.0106094;-0.00397901
0.010479;0.0818364;0.0105913;-0.00397901
0.010978;0.0818364;0.0108025;-0.00397901
0.011477;0.0821962;0.0112821;-0.00397901
0.011976;0.0837477;0.0115867;-0.00400293
0.012475;0.0838317;0.0119608;-0.00397901
0.012974;0.0840876;0.0119397;-0.00397901
0.013473;0.0857319;0.0120181;-0.00397901
0.013972;0.0858279;0.0120422;-0.00399496
0.014471;0.085916;0.0120422;-0.00397901
0.01497;0.0871722;0.0120422;-0.00397901
0.015469;0.0878241;0.0120422;-0.00405078
0.015968;0.0878241;0.0120422;-0.00405875
0.016467;0.088552;0.0120422;-0.00413849
0.016966;0.0897001;0.0121207;-0.00397901
0.017465;0.0898201;0.0120815;-0.00397901
0.017964;0.090012;0.0122715;-0.00397901
0.018463;0.0912995;0.0124404;-0.00399496
0.018962;0.0917834;0.0128265;-0.00397901
0.019461;0.0918154;0.0129924;-0.00397901
0.01996;0.0921318;0.0133363;-0.00402685
0.020459;0.0937125;0.0133454;-0.00397901
0.020958;0.0938125;0.0135083;-0.00397901
0.021457;0.0939764;0.0134721;-0.00397901
0.021956;0.0953524;0.0135475;-0.00397901
0.022455;0.0958084;0.0135475;-0.00397901
0.022954;0.0958084;0.0135475;-0.00397901
0.023453;0.0961442;0.0135475;-0.00397901
0.023952;0.0976237;0.0135475;-0.00397901
0.024451;0.0978037;0.0135475;-0.00413052
0.02495;0.0978037;0.0135475;-0.00400293
0.025449;0.0983235;0.0135475;-0.0042581
0.025948;0.0997156;0.0135475;-0.00431393
0.026447;0.0997996;0.0135475;-0.00405078
0.026946;0.0999598;0.0135686;-0.00405078
0.027445;0.101432;0.0138039;-0.00417837
0.027944;0.101796;0.0137164;-0.00465681
0.028443;0.10188;0.0140814;-0.00496781
0.028942;0.102996;0.0143469;-0.00471264
0.029441;0.103792;0.0145611;-0.00505552
0.02994;0.103792;0.014905;-0.00397901
0.030439;0.104456;0.0149562;-0.00441758
0.030938;0.105668;0.0150528;-0.00448935
0.031437;0.105788;0.0150528;-0.00416241
0.031936;0.105836;0.0150528;-0.00468073
0.032435;0.107065;0.0150528;-0.00397901
0.032934;0.107781;0.0150528;-0.00414646
0.033433;0.107785;0.0150528;-0.00397901
0.033932;0.108352;0.0150528;-0.00397901
0.034431;0.109736;0.0150528;-0.00397901
0.03493;0.10978;0.0150528;-0.00411457
0.035429;0.110052;0.0150709;-0.00408267
0.035928;0.111588;0.015098;-0.00408267
0.036427;0.111776;0.0153001;-0.0040747
0.036926;0.111944;0.0156048;-0.00420229
0.037425;0.113171;0.0157948;-0.00397901
0.037924;0.113771;0.0159788;-0.00397901
0.038423;0.113771;0.0162895;-0.00413849
0.038922;0.114312;0.0165007;-0.00401888
0.039421;0.1155;0.0165218;-0.00434582
0.03992;0.115768;0.016558;-0.00397901
0.040419;0.115772;0.016558;-0.0040747
0.040918;0.116948;0.016558;-0.00397901
0.041417;0.117764;0.016558;-0.00401091
0.041916;0.117764;0.016558;-0.00397901
0.042415;0.118324;0.016558;-0.00397901
0.042914;0.119692;0.016558;-0.00397901
0.043413;0.11976;0.016558;-0.00397901
0.043912;0.119876;0.0165701;-0.00397901
0.044411;0.121201;0.0165791;-0.00397901
0.04491;0.121757;0.0168205;-0.00405078
0.045409;0.121757;0.0171886;-0.00400293
0.045908;0.122316;0.0175144;-0.00397901
0.046407;0.123588;0.0175446;-0.00397901
0.046906;0.123752;0.0178644;-0.00397901
0.047405;0.124152;0.0179519;-0.00397901
0.047904;0.12542;0.0180182;-0.00397901
0.048403;0.125768;0.0180635;-0.0040747
0.048902;0.125828;0.0180635;-0.00397901
0.049401;0.127211;0.0180635;-0.00397901
0.0499;0.127743;0.0180635;-0.0040109
0.050399;0.127743;0.0180635;-0.00397901
0.050898;0.128884;0.0180635;-0.00399496
0.051397;0.12974;0.0180635;-0.00397901
0.051896;0.12974;0.0180635;-0.00397901
0.052395;0.13018;0.0180635;-0.00397901
0.052894;0.131484;0.0180635;-0.00397901
0.053393;0.131736;0.0180635;-0.00397901
0.053892;0.131772;0.0181811;-0.00397901
0.054391;0.133308;0.0184466;-0.00401888
0.05489;0.133732;0.0185582;-0.00397901
0.055389;0.133732;0.0190106;-0.00397901
0.055888;0.133888;0.0192731;-0.00397901
0.056387;0.135309;0.0194691;-0.00397901
0.056886;0.135721;0.0195536;-0.00397901
0.057385;0.135729;0.0195505;-0.00405078
0.057884;0.136404;0.0195686;-0.00397901
0.058383;0.137652;0.0195686;-0.00397901
0.058882;0.137732;0.0195686;-0.00397901
0.059381;0.138104;0.0195686;-0.00397901
0.05988;0.139448;0.0195686;-0.00397901
0.060379;0.13972;0.0195686;-0.0041066
0.060878;0.139907;0.0195686;-0.00397901
0.061377;0.141651;0.0195686;-0.00397901
0.061876;0.141715;0.0195686;-0.00397901
0.062375;0.141787;0.0195686;-0.00397901
0.062874;0.143128;0.0195686;-0.00397901
0.063373;0.143712;0.0196018;-0.00397901
0.063872;0.143724;0.019626;-0.00397901
0.064371;0.143872;0.0199668;-0.00397901
0.06487;0.145264;0.0205099;-0.00397901
0.065369;0.145708;0.0206245;-0.00397901
0.065868;0.145712;0.0209413;-0.00413849
0.066367;0.145708;0.0209473;-0.00397901
0.066866;0.145708;0.0203952;-0.00400293
0.067365;0.145084;0.0202655;-0.0041066
0.067864;0.143768;0.0199789;-0.00398698
0.068363;0.143712;0.0198009;-0.00397901
0.068862;0.143648;0.0196863;-0.00397901
0.069361;0.142475;0.0195686;-0.00397901
0.06986;0.141715;0.0196048;-0.00397901
0.070359;0.141715;0.0195686;-0.00401888
0.070858;0.140907;0.0195686;-0.00397901
0.071357;0.13972;0.0195686;-0.00399496
0.071856;0.13972;0.0195686;-0.00397901
0.072355;0.139116;0.0195686;-0.00397901
0.072854;0.137872;0.0195686;-0.00397901
0.073353;0.137724;0.0195686;-0.00397901
0.073852;0.137597;0.0195686;-0.00397901
0.074351;0.136321;0.0195686;-0.00397901
0.07485;0.135729;0.0195536;-0.00397901
0.075349;0.135729;0.0194058;-0.00397901
0.075848;0.135128;0.0193183;-0.00397901
0.076347;0.133804;0.0187633;-0.00397901
0.076846;0.133732;0.0188297;-0.00397901
0.077345;0.133724;0.0185039;-0.00397901
0.077844;0.132612;0.0182143;-0.00397901
0.078343;0.131744;0.0181449;-0.00401091
0.078842;0.131736;0.0180665;-0.00411457
0.079341;0.131288;0.0180846;-0.00418634
0.07984;0.12994;0.0180635;-0.00425811
0.080339;0.12974;0.0180635;-0.00420229
0.080838;0.129696;0.0180635;-0.00440962
0.081337;0.128555;0.0180635;-0.00421824
0.081836;0.127751;0.0180635;-0.00440164
0.082335;0.127723;0.0180635;-0.00402685
0.082834;0.127044;0.0180424;-0.0040428
0.083333;0.125756;0.0180635;-0.00397901
0.083832;0.125732;0.0180484;-0.00417039
0.084331;0.125092;0.0180152;-0.00428203
0.08483;0.12384;0.0179971;-0.00468075
0.085329;0.123752;0.0177075;-0.00405875
0.085828;0.123496;0.0173213;-0.00413052
0.086327;0.122017;0.0169894;-0.00397901
0.086826;0.121757;0.0166998;-0.00406672
0.087325;0.121757;0.016558;-0.00409065
0.087824;0.121112;0.0165972;-0.00397901
0.088323;0.119804;0.016558;-0.00402685
0.088822;0.11976;0.016558;-0.0040109
0.089321;0.119456;0.016558;-0.00397901
0.08982;0.117952;0.016558;-0.00408268
0.090319;0.117764;0.016558;-0.00397901
0.090818;0.11764;0.016558;-0.0040747
0.091317;0.11634;0.016558;-0.0040109
0.091816;0.115768;0.016549;-0.00463291
0.092315;0.115724;0.0165399;-0.0043857
0.092814;0.115036;0.0164766;-0.00477643
0.093313;0.113815;0.0163076;-0.00406672
0.093812;0.113771;0.0160241;-0.00468074
0.094311;0.113771;0.0156289;-0.00417836
0.09481;0.112652;0.015454;-0.00528677
0.095309;0.111776;0.0152036;-0.00408268
0.095808;0.111776;0.015086;-0.00448934
0.096307;0.111008;0.0150528;-0.00613997
0.096806;0.109836;0.0150528;-0.00606025
0.097305;0.10978;0.0150528;-0.00559776
0.097804;0.109401;0.0150528;-0.00507943
0.098303;0.107941;0.0150528;-0.00453719
0.098802;0.107785;0.0150528;-0.00441759
0.099301;0.107717;0.0150528;-0.00409862
0.0998;0.106456;0.0150528;-0.00433785
0.100299;0.105788;0.0150467;-0.0040428
0.100798;0.105788;0.0150226;-0.00403483
0.101297;0.105464;0.0149653;-0.00408267
0.101796;0.103824;0.0146123;-0.00420229
0.102295;0.103792;0.0144585;-0.00425013
0.102794;0.103736;0.0140995;-0.00397901
0.103293;0.102616;0.0138793;-0.00421027
0.103792;0.10186;0.0136893;-0.00441759
0.104291;0.101796;0.0135927;-0.00419432
0.10479;0.10114;0.0135475;-0.00416242
0.105289;0.100004;0.0135475;-0.00401888
0.105788;0.0997996;0.0135475;-0.00464885
0.106287;0.0997277;0.0135475;-0.00436177
0.106786;0.0985518;0.0135475;-0.00411457
0.107285;0.0978037;0.0135475;-0.00428203
0.107784;0.0978037;0.0135475;-0.00471264
0.108283;0.0974558;0.0135475;-0.00403483
0.108782;0.0962044;0.0135475;-0.00409065
0.109281;0.0958084;0.0135475;-0.00398698
0.10978;0.0957724;0.0135475;-0.00403483
0.110279;0.0949366;0.0135475;-0.00441759
0.110778;0.0938285;0.0135113;-0.00456113
0.111277;0.0938125;0.0133967;-0.00401091
0.111776;0.0931278;0.0131403;-0.00445747
0.112275;0.0918874;0.0129261;-0.00403483
0.112774;0.0918154;0.0127089;-0.00405078
0.113273;0.0918154;0.0123047;-0.00436177
0.113772;0.090728;0.0120784;-0.00429001
0.114271;0.0898201;0.0120453;-0.00424216
0.11477;0.0898201;0.0120422;-0.00397901
0.115269;0.0896042;0.0120422;-0.00397901
0.115768;0.0883042;0.0120422;-0.00400293
0.116267;0.0878241;0.0120422;-0.00408267
0.116766;0.0877961;0.0120422;-0.00397901
0.117265;0.0867599;0.0120422;-0.00399496
0.117764;0.0858799;0.0120422;-0.00397901
0.118263;0.0858279;0.0120422;-0.00397901
0.118762;0.0853679;0.0120121;-0.00397901
0.119261;0.0840878;0.0118854;-0.00402685
0.11976;0.0838317;0.0116561;-0.00397901
0.120259;0.0834999;0.0113454;-0.00397901
0.120758;0.0819763;0.0109412;-0.00397901
0.121257;0.0818364;0.0106758;-0.00397901
0.121756;0.0817524;0.0105702;-0.00405875
0.122255;0.0805483;0.0105521;-0.00397901
0.122754;0.0798403;0.0105581;-0.00397901
0.123253;0.0798403;0.010537;-0.00397901
0.123752;0.0796641;0.010537;-0.00397901
0.124251;0.0784276;0.010537;-0.00397901
0.12475;0.0778475;0.010537;-0.00397901
0.125249;0.0778435;0.010537;-0.00397901
0.125748;0.0771878;0.010537;-0.00397901
0.126247;0.0758842;0.010537;-0.00397901
0.126746;0.0758482;0.010528;-0.00397901
0.127245;0.0757842;0.0104797;-0.00397901
0.127744;0.074364;0.0103922;-0.00397901
0.128243;0.07386;0.0101961;-0.00397901
0.128742;0.073852;0.00953552;-0.00397901
0.129241;0.0733238;0.0092218;-0.00397901
0.12974;0.071916;0.00908001;-0.00397901
0.130239;0.071856;0.00904683;-0.00397901
0.130738;0.071836;0.00903174;-0.00397901
0.131237;0.0706758;0.00903174;-0.00397901
0.131736;0.0698598;0.00903174;-0.00397901
0.132235;0.0698598;0.00903174;-0.00397901
0.132734;0.0698158;0.00903174;-0.00397901
0.133233;0.0682404;0.00903174;-0.00397901
0.133732;0.0678844;0.00903174;-0.00397901
0.134231;0.0678644;0.00903174;-0.00397901
0.13473;0.0672202;0.00903174;-0.00401888
0.135229;0.066144;0.00903174;-0.00397901
0.135728;0.065868;0.00902571;-0.00397901
0.136227;0.065844;0.00893219;-0.00401888
0.136726;0.0644916;0.00886281;-0.00397901
0.137225;0.0638716;0.0086818;-0.00402685
