t;vds;corrente;vg
0.000499;0.0693879;0.00988945;0.191393
0.000998;0.0698598;0.00903174;0.194973
0.001497;0.0698598;0.00903174;0.194973
0.001996;0.0699798;0.00903174;0.194989
0.002495;0.071396;0.00903174;0.194973
0.002994;0.071856;0.00910414;0.194973
0.003493;0.071856;0.00904683;0.194973
0.003992;0.0723442;0.0093334;0.194973
0.004491;0.073852;0.00967729;0.194973
0.00499;0.073852;0.00980096;0.194973
0.005489;0.0739039;0.0102142;0.194973
0.005988;0.0753201;0.0103952;0.194973
0.006487;0.0758442;0.0105219;0.194973
0.006986;0.0758482;0.0105219;0.194973
0.007485;0.0763879;0.010537;0.194973
0.007984;0.0776875;0.010537;0.194973
0.008483;0.0778435;0.010537;0.194973
0.008982;0.0779476;0.010537;0.194973
0.009481;0.0792083;0.010537;0.194973
0.00998;0.0798403;0.010537;0.194973
0.010479;0.0798403;0.0105521;0.194781
0.010978;0.0799043;0.010537;0.194973
0.011477;0.0809763;0.0105792;0.194973
0.011976;0.0817684;0.0105943;0.194973
0.012475;0.0818364;0.0109865;0.194917
0.012974;0.082728;0.0111946;0.194973
0.013473;0.0838277;0.0115083;0.194957
0.013972;0.0838317;0.0115958;0.194973
0.014471;0.0846517;0.0119548;0.194973
0.01497;0.0857759;0.0120392;0.194973
0.015469;0.0858279;0.0120422;0.194973
0.015968;0.0859279;0.0120422;0.194973
0.016467;0.0873802;0.0120422;0.194973
0.016966;0.0878241;0.0120422;0.194973
0.017465;0.0879361;0.0120422;0.194965
0.017964;0.0890961;0.0120422;0.194973
0.018463;0.0898201;0.0120422;0.194973
0.018962;0.0898201;0.0120453;0.194973
0.019461;0.0903478;0.0121508;0.194973
0.01996;0.0917914;0.0124072;0.194973
0.020459;0.0918154;0.0125007;0.194973
0.020958;0.0918154;0.0127994;0.194973
0.021457;0.0925442;0.013282;0.194973
0.021956;0.0937565;0.0134268;0.194941
0.022455;0.0938125;0.0135113;0.194973
0.022954;0.0941163;0.0135475;0.194973
0.023453;0.0958084;0.0135475;0.194973
0.023952;0.0958084;0.0135475;0.194973
0.024451;0.0958524;0.0135475;0.194933
0.02495;0.0970559;0.0135475;0.194973
0.025449;0.0978037;0.0135475;0.194973
0.025948;0.0978037;0.0135475;0.194973
0.026447;0.0980036;0.0135475;0.194973
0.026946;0.0993995;0.0135475;0.194973
0.027445;0.0997996;0.0135475;0.194973
0.027944;0.0998277;0.0135475;0.194973
0.028443;0.100284;0.0135746;0.194973
0.028942;0.101792;0.0135716;0.194973
0.029441;0.101796;0.0135867;0.194973
0.02994;0.102348;0.0135927;0.194973
0.030439;0.103672;0.0139034;0.194989
0.030938;0.103792;0.0142745;0.194973
0.031437;0.103916;0.0145309;0.194973
0.031936;0.104824;0.0148627;0.194973
0.032435;0.105772;0.0149623;0.194973
0.032934;0.105788;0.0150528;0.194973
0.033433;0.105884;0.0150528;0.194973
0.033932;0.107101;0.0150528;0.194973
0.034431;0.107785;0.0150528;0.194973
