t;vds;corrente;vg
0.02495;0.0671401;0.191042;0.115653
0.0499;0.0645916;0.191425;0.117572
0.07485;0.0622682;0.191449;0.111612
0.0998;0.059832;0.191449;0.108513
0.12475;0.0572839;0.191401;0.10364
0.1497;0.0550563;0.191345;0.098224
0.17465;0.052568;0.191449;0.0956678
0.1996;0.0503478;0.191361;0.088223
0.22455;0.0479841;0.191361;0.0858745
0.2495;0.045452;0.191449;0.0797235
0.27445;0.0429679;0.191449;0.073381
0.2994;0.0407482;0.191337;0.0709685
0.32435;0.03832;0.191433;0.0637783
0.3493;0.0353881;0.191153;0.0611582
0.37425;0.0330198;0.191449;0.0555344
0.3992;0.0307319;0.191449;0.0487606
0.42415;0.0283399;0.191449;0.0434565
0.4491;0.025876;0.191449;0.0398618
0.47405;0.0233241;0.191449;0.036171
0.499;0.0210681;0.191449;0.0318891
0.52395;0.01874;0.191449;0.0254347
0.5489;0.0161479;0.191449;0.0221276
0.57385;0.0135;0.191449;0.0159446
0.5988;0.0109281;0.191449;0.0106405
0.62375;0.00839595;0.191449;0.00797229
0.6487;0.00628003;0.191449;0.00166156
0.67365;0.00398398;0.191417;0
0.6986;0.00167199;0.191425;-0.00639062
0.72355;-0.000812001;0.191449;-0.00840366
0.7485;-0.00310799;0.191449;-0.015657
0.77345;-0.00551202;0.191337;-0.0195553
0.7984;-0.00763196;0.191313;-0.0239968
0.82335;-0.010456;0.191449;-0.0294447
0.8483;-0.01276;0.191225;-0.0332792
0.87325;-0.0148679;0.191401;-0.0398618
0.8982;-0.017488;0.191289;-0.0443989
0.92315;-0.020456;0.191337;-0.0482173
0.9481;-0.022704;0.191289;-0.0553427
0.97305;-0.025048;0.191313;-0.0597841
0.998;-0.0276119;0.191161;-0.0637783
1.02295;-0.0301199;0.191449;-0.0684761
1.0479;-0.032476;0.191305;-0.0724543
1.07285;-0.034952;0.191417;-0.0792921
1.0978;-0.037176;0.191417;-0.0824714
1.12275;-0.0396241;0.191209;-0.0876957
1.1477;-0.042212;0.191425;-0.0926004
1.17265;-0.0447118;0.191449;-0.0961151
1.1976;-0.0472402;0.191137;-0.102953
1.22255;-0.0496039;0.191449;-0.105653
1.2475;-0.0523562;0.191449;-0.111612
1.27245;-0.0547719;0.191449;-0.116677
1.2974;-0.0571202;0.191449;-0.120463
1.32235;-0.0593359;0.191449;-0.127269
1.3473;-0.0617961;0.191449;-0.133596
1.37225;-0.0642998;0.191449;-0.135769
1.3972;-0.0664802;0.191417;-0.143375
1.42215;-0.0688879;0.191449;-0.145324
1.4471;-0.07106;0.191449;-0.151475
1.47205;-0.0733279;0.191321;-0.154398
1.497;-0.0757841;0.191425;-0.159447
1.52195;-0.0780118;0.191417;-0.163233
1.5469;-0.0805002;0.190802;-0.167707
1.57185;-0.0827959;0.190674;-0.175264
1.5968;-0.0852038;0.191313;-0.178155
1.62175;-0.0874721;0.191449;-0.183364
1.6467;-0.0899879;0.191449;-0.187533
1.67165;-0.0925603;0.191449;-0.191975
1.6966;-0.0947002;0.191409;-0.199004
1.72155;-0.0943925;0.191329;-0.198365
1.7465;-0.0921234;0.191449;-0.191416
1.77145;-0.0894563;0.191449;-0.186223
1.7964;-0.0870715;0.191345;-0.183364
1.82135;-0.08488;0.191441;-0.177964
1.8463;-0.0825124;0.191425;-0.173394
1.87125;-0.079896;0.191449;-0.167419
1.8962;-0.0774717;0.191409;-0.162035
1.92115;-0.0752883;0.191449;-0.159447
1.9461;-0.07292;0.191449;-0.153648
1.97105;-0.0707998;0.191377;-0.151475
1.996;-0.0686324;0.191449;-0.144254
2.02095;-0.066168;0.191449;-0.142656
2.0459;-0.0637798;0.191425;-0.135545
2.07085;-0.061372;0.191441;-0.131711
2.0958;-0.0588923;0.191433;-0.127461
2.12075;-0.0567558;0.191449;-0.120799
2.1457;-0.0545203;0.191433;-0.116453
2.17065;-0.0517839;0.191449;-0.111612
2.1956;-0.0492481;0.191441;-0.105365
