t;vds;corrente;vg
0.02495;0.0160813;0.196977;0.568262
0.0499;0.0159537;0.199201;0.575941
0.07485;0.0159337;0.198682;0.570689
0.0998;0.0159377;0.199001;0.567103
0.12475;0.0159576;0.198953;0.560113
0.1497;0.0160135;0.199224;0.557792
0.17465;0.0159975;0.19865;0.550952
0.1996;0.0160813;0.198929;0.544024
0.22455;0.0160095;0.199216;0.54143
0.2495;0.0160933;0.198761;0.535153
0.27445;0.0161332;0.198841;0.528962
0.2994;0.0160175;0.198817;0.524702
0.32435;0.0162649;0.199224;0.519179
0.3493;0.016229;0.199129;0.513596
0.37425;0.0161651;0.198538;0.511019
0.3992;0.0163607;0.199137;0.5045
0.42415;0.0163926;0.199224;0.501717
0.4491;0.0164245;0.198123;0.495012
0.47405;0.0164365;0.198857;0.488318
0.499;0.0167437;0.199145;0.485518
0.52395;0.0168993;0.198889;0.479246
0.5489;0.016636;0.199041;0.474792
0.57385;0.0171228;0.199121;0.470967
0.5988;0.017051;0.199216;0.463591
0.62375;0.0172505;0.199224;0.457713
0.6487;0.0172864;0.199137;0.454193
0.67365;0.0172984;0.199224;0.447296
0.6986;0.0176734;0.199177;0.44454
0.72355;0.0175936;0.198817;0.439305
0.7485;0.0176296;0.199057;0.433722
0.77345;0.0177572;0.199049;0.427653
0.7984;0.0178969;0.198793;0.423331
0.82335;0.0176934;0.198937;0.42098
0.8483;0.0177413;0.199161;0.415347
0.87325;0.0177812;0.199049;0.409581
0.8982;0.0179089;0.199153;0.406349
0.92315;0.017837;0.199169;0.399532
0.9481;0.0179089;0.199224;0.395239
0.97305;0.0177533;0.199216;0.391382
0.998;0.0177094;0.199033;0.384486
1.02295;0.0179328;0.198833;0.380513
1.0479;0.0179049;0.199033;0.374927
1.07285;0.0179208;0.199224;0.368186
1.0978;0.0179129;0.198961;0.365419
1.12275;0.0180006;0.19877;0.359433
1.1477;0.0180286;0.199185;0.355253
1.17265;0.0179727;0.199089;0.351444
1.1976;0.0183518;0.199224;0.343939
1.22255;0.018679;0.199216;0.339743
1.2475;0.0184077;0.199224;0.335469
1.27245;0.0185473;0.199105;0.329805
1.2974;0.0187588;0.199129;0.327436
1.32235;0.0189942;0.198961;0.320695
1.3473;0.0189384;0.199001;0.315991
1.37225;0.0192376;0.199105;0.311429
1.3972;0.0195888;0.199224;0.305329
1.42215;0.0195848;0.199224;0.302801
1.4471;0.0196247;0.199224;0.295663
1.47205;0.0197324;0.198961;0.290332
1.497;0.0198881;0.199177;0.287419
1.52195;0.0198202;0.199033;0.280521
1.5469;0.0198841;0.199201;0.27671
1.57185;0.0197604;0.199224;0.271572
1.5968;0.0198522;0.199224;0.26541
1.62175;0.0198601;0.199224;0.263281
1.6467;0.019912;0.199049;0.256478
