t;vds;corrente;vg
0.00998;-0.00184945;-0.0147056;-0.202766
0.01996;-0.0019226;-0.011645;-0.203693
0.02994;-0.00172194;-0.0139513;-0.203693
0.03992;-0.00178026;-0.0100953;-0.203693
0.0499;-0.00169624;-0.0119403;-0.203693
0.05988;-0.00150645;-0.0110744;-0.203693
0.06986;-0.00077497;0.00403002;-0.203693
0.07984;-0.000301487;-0.00544215;-0.203693
0.08982;-0.000491276;0.00277974;-0.203677
0.0998;-0.000381554;0.00103583;-0.203549
0.10978;0.00252755;0.0144571;-0.203693
0.11976;0.00253941;0.0234477;-0.203693
0.12974;0.00608411;0.0333042;-0.203725
0.13972;0.00752038;0.0498653;-0.203693
0.1497;0.00811939;0.0643628;-0.203789
0.15968;0.0122176;0.0736692;-0.203637
0.16966;0.0123352;0.0844685;-0.203693
0.17964;0.014497;0.0959799;-0.203693
0.18962;0.0173152;0.106662;-0.203605
0.1996;0.0177333;0.116332;-0.203717
0.20958;0.0206306;0.133812;-0.203693
0.21956;0.0223752;0.141342;-0.203693
0.22954;0.0232224;0.158429;-0.203693
0.23952;0.0263173;0.163847;-0.203693
0.2495;0.0275104;0.177669;-0.203693
0.25948;0.0293045;0.19001;-0.203693
0.26946;0.0317055;0.199996;-0.203693
0.27944;0.0327869;0.210386;-0.203693
0.28942;0.0353392;0.218624;-0.203693
0.2994;0.0371284;0.224329;-0.203693
0.30938;0.0386535;0.233288;-0.203693
0.31936;0.0410822;0.237949;-0.203693
0.32934;0.0425008;0.241093;-0.203693
0.33932;0.0443965;0.246692;-0.203693
0.3493;0.0454571;0.248307;-0.203693
0.35928;0.0436287;0.245972;-0.203693
0.36926;0.0418294;0.239928;-0.203693
0.37924;0.0399306;0.233454;-0.203693
0.38922;0.0380011;0.229351;-0.203693
0.3992;0.0362011;0.225009;-0.203693
0.40918;0.0344455;0.21302;-0.203693
0.41916;0.0324112;0.204394;-0.203693
0.42914;0.0307615;0.192619;-0.203693
0.43912;0.0287707;0.185101;-0.203693
0.4491;0.0269529;0.17094;-0.203693
0.45908;0.0251894;0.160464;-0.203693
0.46906;0.0229861;0.155212;-0.203693
0.47904;0.02145;0.136373;-0.203693
0.48902;0.0196954;0.12769;-0.203693
0.499;0.0177037;0.112165;-0.203693
0.50898;0.01596;0.106128;-0.203693
0.51896;0.0139198;0.0875759;-0.203693
0.52894;0.0119725;0.0796252;-0.203693
0.53892;0.0103563;0.0656212;-0.203693
0.5489;0.00818562;0.0554046;-0.203693
0.55888;0.00645875;0.0433712;-0.203693
0.56886;0.00489892;0.0351776;-0.203693
0.57884;0.00248208;0.0141819;-0.203693
0.58882;0.00129788;0.0089785;-0.203693
0.5988;-0.00100924;0.000586699;-0.203693
0.60878;-0.0028834;-0.0179692;-0.203693
0.61876;-0.00452033;-0.0283517;-0.203693
0.62874;-0.00691246;-0.0386331;-0.203693
0.63872;-0.00826372;-0.0522324;-0.203693
0.6487;-0.0100726;-0.0677779;-0.203693
0.65868;-0.0122147;-0.0743489;-0.203693
0.66866;-0.0138239;-0.0907845;-0.203693
0.67864;-0.0157227;-0.10035;-0.203701
0.68862;-0.0177906;-0.109547;-0.203693
0.6986;-0.0194789;-0.123126;-0.203693
0.70858;-0.0215725;-0.130429;-0.203693
0.71856;-0.0232678;-0.140253;-0.203693
0.72854;-0.025227;-0.150017;-0.203693
0.73852;-0.0272;-0.165093;-0.203693
0.7485;-0.0288142;-0.177406;-0.203693
0.75848;-0.0306707;-0.190382;-0.203693
0.76846;-0.0326782;-0.196601;-0.203693
0.77844;-0.0344802;-0.202128;-0.203693
0.78842;-0.0364709;-0.214671;-0.203693
0.7984;-0.0383036;-0.21909;-0.203717
0.80838;-0.040066;-0.230043;-0.203693
0.81836;-0.0420658;-0.233101;-0.203709
0.82834;-0.0437531;-0.238026;-0.203998
0.83832;-0.0455057;-0.242893;-0.204654
0.8483;-0.0466771;-0.244119;-0.203701
0.85828;-0.045398;-0.239919;-0.203693
0.86826;-0.0432708;-0.240061;-0.203701
0.87824;-0.0413758;-0.233903;-0.203693
0.88822;-0.0397588;-0.227093;-0.203693
0.8982;-0.0379487;-0.2207;-0.203693
0.90818;-0.0358789;-0.213405;-0.203693
0.91816;-0.0340699;-0.206061;-0.203693
0.92814;-0.0322175;-0.198409;-0.203693
0.93812;-0.0304224;-0.182884;-0.203693
0.9481;-0.0285404;-0.171356;-0.203693
0.95808;-0.0265723;-0.16339;-0.203693
0.96806;-0.0247436;-0.150915;-0.203693
0.97804;-0.0228922;-0.14207;-0.203693
0.98802;-0.0210408;-0.128649;-0.203693
0.998;-0.0191547;-0.117376;-0.203693
1.00798;-0.0170898;-0.113504;-0.203693
1.01796;-0.0156002;-0.0894979;-0.203693
1.02794;-0.0135184;-0.0881626;-0.203693
1.03792;-0.0115751;-0.0700114;-0.203693
1.0479;-0.00988382;-0.0594711;-0.203693
1.05788;-0.00806799;-0.0442937;-0.203693
1.06786;-0.00604951;-0.0384591;-0.203693
1.07784;-0.00410616;-0.021283;-0.203693
1.08782;-0.00230712;-0.0115317;-0.203693
1.0978;-0.000524884;0.00103583;-0.203797
1.10778;0.00139277;0.00922129;-0.203757
1.11776;0.00338753;0.0215703;-0.203693
1.12774;0.00489299;0.0339435;-0.203693
1.13772;0.00671476;0.0471099;-0.203693
1.1477;0.00872928;0.0554814;-0.203693
1.15768;0.0106706;0.0671912;-0.203693
1.16766;0.0123866;0.084869;-0.203693
1.17764;0.0144278;0.0934996;-0.203693
1.18762;0.0161943;0.104991;-0.203693
1.1976;0.0180249;0.119501;-0.203693
1.20758;0.0199861;0.127937;-0.203637
1.21756;0.0219521;0.138833;-0.203693
1.22754;0.0236563;0.150903;-0.203693
1.23752;0.0255136;0.165963;-0.203693
1.2475;0.027452;0.169973;-0.203693
1.25748;0.0291622;0.190074;-0.203693
1.26746;0.0307398;0.195763;-0.203693
1.27744;0.0329135;0.202804;-0.203693
1.28742;0.0345968;0.216273;-0.203693
1.2974;0.0366646;0.224702;-0.203693
1.30738;0.0386061;0.229565;-0.203693
1.31736;0.0403072;0.236707;-0.203693
1.32734;0.0423188;0.243448;-0.203693
1.33732;0.0441384;0.246709;-0.203693
1.3473;0.0454284;0.247283;-0.203693
1.35728;0.0439865;0.245689;-0.203693
1.36726;0.0424108;0.240558;-0.203693
1.37724;0.0404417;0.232972;-0.203693
1.38722;0.0383342;0.226725;-0.203693
1.3972;0.0367932;0.22072;-0.203693
1.40718;0.0347322;0.215242;-0.203693
1.41716;0.0329361;0.204519;-0.203693
1.42714;0.0310115;0.199032;-0.203677
1.43712;0.0288448;0.189273;-0.203693
1.4471;0.0271841;0.171729;-0.203581
1.45708;0.0254949;0.160885;-0.203693
1.46706;0.0235594;0.151749;-0.203693
1.47704;0.0217317;0.135394;-0.203693
1.48702;0.0199722;0.127472;-0.203693
1.497;0.0182048;0.112051;-0.203693
1.50698;0.016128;0.10826;-0.203693
1.51696;0.0143883;0.089781;-0.203693
1.52694;0.0125685;0.0777922;-0.203693
1.53692;0.0106044;0.0699466;-0.203693
1.5469;0.00869864;0.0545144;-0.203693
1.55688;0.00702614;0.0499422;-0.203693
1.56686;0.00514011;0.0287806;-0.203693
1.57684;0.00309;0.0223472;-0.203693
1.58682;0.00142144;0.00694732;-0.203693
1.5968;-0.000494241;0.00125432;-0.203693
1.60678;-0.00202441;-0.0121143;-0.203693
1.61676;-0.00402807;-0.0233668;-0.203693
