t;vds;corrente;vg
0.00998;-0.00193644;-0.0094139;-0.00627461
0.01996;-0.00179014;-0.0141698;-0.0038419
0.02994;-0.00194039;-0.00722246;-0.00384991
0.03992;-0.00182177;-0.00747737;-0.00399398
0.0499;-0.00169129;-0.0129438;-0.00399398
0.05988;-0.00187515;-0.00913226;-0.00397797
0.06986;-0.0017595;-0.0100022;-0.00396196
0.07984;-0.00192458;-0.0145542;-0.00386592
0.08982;-0.00151139;-0.00682593;-0.00388993
0.0998;-0.000493253;-0.00520746;-0.00396196
0.10978;-0.000572331;-0.00781725;-0.00399398
0.11976;-0.000436908;-0.00335025;-0.00398597
0.12974;0.00110908;0.00770395;-0.00390593
0.13972;0.00323036;0.0189726;-0.00397797
0.1497;0.00502347;0.0253535;-0.00386592
0.15968;0.00699253;0.0324141;-0.00388192
0.16966;0.00876191;0.0422989;-0.00397797
0.17964;0.0108031;0.0453255;-0.00397797
0.18962;0.012698;0.0512451;-0.00379388
0.1996;0.0145148;0.0646016;-0.00353775
0.20958;0.0164799;0.0711039;-0.00355376
0.21956;0.0182968;0.0853828;-0.00333765
0.22954;0.02025;0.0902828;-0.00350574
0.23952;0.0221845;0.0990186;-0.00364981
0.2495;0.0239083;0.108131;-0.00371384
0.25948;0.0259407;0.119958;-0.00368983
0.26946;0.0276141;0.128382;-0.00380989
0.27944;0.0294567;0.137737;-0.00380188
0.28942;0.0316037;0.14784;-0.00380188
0.2994;0.0332229;0.158328;-0.00376186
0.30938;0.035181;0.15904;-0.00319358
0.31936;0.03724;0.171207;-0.00291345
0.32934;0.0391121;0.180404;-0.0028174
0.33932;0.0412196;0.187517;-0.00288943
0.3493;0.042809;0.197786;-0.00378588
0.35928;0.044801;0.199283;-0.00296947
0.36926;0.0461553;0.212498;-0.00379388
0.37924;0.0450301;0.207582;-0.00341769
0.38922;0.0431087;0.196447;-0.00392194
0.3992;0.0412552;0.188023;-0.00396997
0.40918;0.0391133;0.178838;-0.00384991
0.41916;0.0374564;0.177482;-0.00399398
0.42914;0.0355626;0.161051;-0.00399398
0.43912;0.0335431;0.156353;-0.00392995
0.4491;0.0316986;0.147387;-0.00345771
0.45908;0.0300449;0.133755;-0.00352975
0.46906;0.0275322;0.120759;-0.00372184
0.47904;0.0264438;0.121018;-0.00386592
0.48902;0.0240636;0.109862;-0.00354576
0.499;0.0221479;0.0987273;-0.00399398
0.50898;0.0208836;0.10054;-0.00384991
0.51896;0.0185211;0.085917;-0.00388192
0.52894;0.0167003;0.0775859;-0.00373785
0.53892;0.0150466;0.0704605;-0.00378588
0.5489;0.0127909;0.0621334;-0.00370584
0.55888;0.0109672;0.0495052;-0.0036258
0.56886;0.00907425;0.047385;-0.00356977
0.57884;0.00704986;0.0300106;-0.00360178
0.58882;0.00534176;0.0251471;-0.00388192
0.5988;0.00333613;0.0191264;-0.00395396
0.60878;0.00133742;0.00823401;-0.00399398
0.61876;-0.000105767;-0.00339881;-0.00375386
0.62874;-0.00218554;-0.0116247;-0.00387392
0.63872;-0.00411407;-0.021113;-0.0038339
0.6487;-0.00595067;-0.0269881;-0.00264131
0.65868;-0.00806305;-0.0402435;-0.00352175
0.66866;-0.00969007;-0.0458515;-0.00379388
0.67864;-0.0116927;-0.0517064;-0.00398597
0.68862;-0.0138466;-0.062182;-0.00389793
0.6986;-0.0153422;-0.067179;-0.00366582
0.70858;-0.0174298;-0.0814257;-0.00330564
0.71856;-0.0191656;-0.0837279;-0.00325761
0.72854;-0.0212809;-0.0933701;-0.00390593
0.73852;-0.0231047;-0.10105;-0.00395396
0.7485;-0.0249918;-0.110129;-0.00397797
0.75848;-0.0267899;-0.119343;-0.00380989
0.76846;-0.0290732;-0.128714;-0.00368182
0.77844;-0.0305243;-0.138429;-0.00361779
0.78842;-0.0326347;-0.144449;-0.00350574
0.7984;-0.0345435;-0.14977;-0.00388993
0.80838;-0.0364175;-0.154354;-0.00387392
0.81836;-0.0383125;-0.167217;-0.00389793
0.82834;-0.0402419;-0.172121;-0.0036338
0.83832;-0.0422487;-0.175953;-0.00379388
0.8483;-0.0441938;-0.186619;-0.0038419
0.85828;-0.0458537;-0.193765;-0.00398597
0.86826;-0.0474846;-0.199462;-0.00390593
0.87824;-0.0465892;-0.194141;-0.00388192
0.88822;-0.044787;-0.186866;-0.00399398
0.8982;-0.0427084;-0.180169;-0.00379388
0.90818;-0.0408637;-0.172817;-0.00395396
0.91816;-0.0390115;-0.16846;-0.0036338
0.92814;-0.0372746;-0.157211;-0.00389793
0.93812;-0.0353036;-0.151749;-0.00388192
0.9481;-0.0332397;-0.144109;-0.0038259
0.95808;-0.0314574;-0.139679;-0.00398597
0.96806;-0.0295398;-0.129636;-0.00396196
0.97804;-0.0275431;-0.125861;-0.00385791
0.98802;-0.0257647;-0.115195;-0.00354576
0.998;-0.0238204;-0.108693;-0.00388192
1.00798;-0.021796;-0.0979706;-0.00394595
1.01796;-0.020083;-0.0869204;-0.0038339
1.02794;-0.0181149;-0.084776;-0.00392995
1.03792;-0.0161517;-0.0800743;-0.00352175
1.0479;-0.0142756;-0.062971;-0.00341769
1.05788;-0.0124578;-0.0586699;-0.00354576
1.06786;-0.01038;-0.0503913;-0.00367382
1.07784;-0.00859485;-0.0395961;-0.00318558
1.08782;-0.00659318;-0.0339112;-0.00283341
1.0978;-0.00465279;-0.0218252;-0.00375386
1.10778;-0.00281718;-0.0172085;-0.00336967
1.11776;-0.000951908;-0.00712131;-0.0030175
1.12774;0.00101913;-0.0023994;-0.00347372
1.13772;0.00294469;0.00923746;-0.00359378
1.1477;0.00475757;0.016116;-0.00384991
1.15768;0.0065744;0.0297112;-0.00345771
1.16766;0.00824592;0.0448035;-0.00380188
1.17764;0.0103415;0.045718;-0.00371384
1.18762;0.0121899;0.0570109;-0.00232916
1.1976;0.0142637;0.0592768;-0.00320959
1.20758;0.016045;0.0705091;-0.00368983
1.21756;0.0177708;0.0825667;-0.00375386
1.22754;0.019818;0.0889354;-0.00268133
1.23752;0.0217336;0.0984522;-0.00376987
1.2475;0.0235199;0.104825;-0.00394595
1.25748;0.0252814;0.114139;-0.00392194
1.26746;0.0274125;0.133561;-0.00390593
1.27744;0.0289417;0.138768;-0.00399398
1.28742;0.0310195;0.138918;-0.00381789
1.2974;0.0331368;0.154318;-0.00256928
1.30738;0.0347906;0.164729;-0.00227313
1.31736;0.0367695;0.170907;-0.00296947
1.32734;0.0385003;0.179522;-0.00391394
1.33732;0.0405533;0.185312;-0.00344971
1.3473;0.042384;0.195181;-0.00378588
1.35728;0.0443007;0.206174;-0.00359378
1.36726;0.0459882;0.210815;-0.00376186
1.37724;0.0453989;0.208262;-0.00360979
1.38722;0.0433915;0.201517;-0.00396997
1.3972;0.0416732;0.189524;-0.00393795
1.40718;0.0397122;0.185304;-0.00340169
1.41716;0.0379229;0.172316;-0.00239319
1.42714;0.03604;0.16818;-0.00276137
1.43712;0.0339493;0.158753;-0.00333765
1.4471;0.0320772;0.147096;-0.00387392
1.45708;0.0301664;0.139958;-0.00393795
1.46706;0.0282864;0.129118;-0.0036418
1.47704;0.026519;0.122179;-0.00395396
1.48702;0.0246813;0.115017;-0.00399398
1.497;0.0224583;0.108547;-0.00391394
1.50698;0.0209123;0.0944504;-0.00380989
1.51696;0.0188809;0.0902262;-0.00389793
1.52694;0.0165511;0.0783749;-0.00392995
1.53692;0.0155824;0.0677495;-0.00359378
1.5469;0.0130835;0.0605919;-0.00313756
1.55688;0.0111589;0.0519168;-0.0032176
1.56686;0.00968018;0.0478179;-0.00377787
1.57684;0.0074838;0.0290234;-0.00325761
1.58682;0.00582513;0.0250581;-0.00289744
1.5968;0.00330548;0.0198506;-0.00377787
1.60678;0.00290713;0.00345545;-0.00204902
1.61676;-0.000616813;0.00193813;-0.00279339
1.62674;-0.00189986;-0.00729529;-0.00328963
1.63672;-0.00260663;-0.016557;-0.00212906
1.6467;-0.00723372;-0.0265794;-0.00315356
1.65668;-0.0067118;-0.0354245;-0.00267333
1.66666;-0.00914146;-0.0392279;-0.00293746
1.67664;-0.0125665;-0.0525035;-0.0038339
1.68662;-0.0120931;-0.0564364;-0.00202501
1.6966;-0.0156368;-0.0703068;-0.00292945
1.70658;-0.0174081;-0.0776061;-0.00320959
1.71656;-0.0181732;-0.0861112;-0.00316157
1.72654;-0.0216556;-0.0977319;-0.00386592
1.73652;-0.0225413;-0.100673;-0.00319358
1.7465;-0.0245261;-0.107508;-0.00304151
1.75648;-0.0271318;-0.116939;-0.00396997
1.76646;-0.0279927;-0.126897;-0.00334566
1.77644;-0.0302841;-0.138121;-0.00393795
1.78642;-0.0325102;-0.142661;-0.00391394
1.7964;-0.033899;-0.149985;-0.00381789
1.80638;-0.0363246;-0.160513;-0.00394595
1.81636;-0.0377748;-0.166056;-0.00347372
1.82634;-0.0397695;-0.170948;-0.00344971
1.83632;-0.0419858;-0.176916;-0.00392995
1.8463;-0.0435277;-0.180513;-0.00399398
1.85628;-0.0455799;-0.190264;-0.00399398
