t;vds;corrente;vg
0.00998;-0.00165571;-0.0126536;0.179169
0.01996;-0.00228834;-0.00392481;0.182963
0.02994;-0.00100924;-0.012353;0.183377
0.03992;-0.00271141;-0.0102126;0.181354
0.0499;-0.00203528;-0.00755425;0.180587
0.05988;-0.000746302;-0.0104716;0.183561
0.06986;-0.00324321;-0.0115317;0.182228
0.07984;-0.0014758;-0.007971;0.181982
0.08982;-9.88481e-05;-0.00859007;0.183193
0.0998;-0.00189887;-0.00810049;0.182473
0.10978;0.000954873;-0.00265431;0.183209
0.11976;0.00204616;-0.00274332;0.182688
0.12974;0.00322542;0.00145663;0.181952
0.13972;0.00656649;0.00970278;0.183009
0.1497;0.00684228;0.0172044;0.18117
0.15968;0.00939352;0.0265633;0.182534
0.16966;0.0119369;0.0270529;0.183132
0.17964;0.0128206;0.0374111;0.183178
0.18962;0.015869;0.035388;0.183592
0.1996;0.0172707;0.0460214;0.183393
0.20958;0.0188483;0.0522931;0.183592
0.21956;0.021448;0.0568572;0.183239
0.22954;0.0229801;0.0621617;0.183423
0.23952;0.024963;0.0671103;0.182933
0.2495;0.0271704;0.0802361;0.182565
0.25948;0.028657;0.0823887;0.183239
0.26946;0.0305154;0.0866575;0.183592
0.27944;0.0325784;0.0915251;0.182519
0.28942;0.0343071;0.0999978;0.18281
0.2994;0.0364096;0.107325;0.18212
0.30938;0.0382888;0.110389;0.181032
0.31936;0.0403576;0.11912;0.182902
0.32934;0.0422487;0.122604;0.183454
0.33932;0.0441958;0.134888;0.183285
0.3493;0.0457697;0.137988;0.183592
0.35928;0.0468947;0.145093;0.182335
0.36926;0.0450163;0.137886;0.183439
0.37924;0.0431355;0.132242;0.183531
0.38922;0.0415023;0.124048;0.18304
0.3992;0.0393535;0.123053;0.183485
0.40918;0.0376511;0.112958;0.183592
0.41916;0.0355072;0.103215;0.183469
0.42914;0.0336796;0.0943816;0.183377
0.43912;0.0317609;0.0910031;0.182779
0.4491;0.0296939;0.0870378;0.181691
0.45908;0.0277762;0.083554;0.181537
0.46906;0.0260099;0.0754252;0.181859
0.47904;0.0244174;0.0696674;0.18304
0.48902;0.0221301;0.0600294;0.183393
0.499;0.0204408;0.053163;0.182979
0.50898;0.0181287;0.0464867;0.182856
0.51896;0.0164265;0.0461509;0.183163
0.52894;0.0144407;0.0400938;0.183423
0.53892;0.0126664;0.0334701;0.182994
0.5489;0.0105797;0.0325274;0.183117
0.55888;0.00858002;0.0195553;0.18301
0.56886;0.0066861;0.0142183;0.183239
0.57884;0.00492561;0.00417568;0.183086
0.58882;0.00290614;0.00966232;0.182488
0.5988;0.00106756;-0.000105201;0.182534
0.60878;-0.000784855;-0.00678952;0.183025
0.61876;-0.00275984;-0.0154403;0.183086
0.62874;-0.00476844;-0.0171923;0.183025
0.63872;-0.00665644;-0.0236622;0.183362
0.6487;-0.00865515;-0.0287442;0.183439
0.65868;-0.0104067;-0.0373221;0.183531
0.66866;-0.0126308;-0.0357765;0.183301
0.67864;-0.0141481;-0.0454833;0.183561
0.68862;-0.0161686;-0.0508324;0.183147
0.6986;-0.0183817;-0.0575086;0.182979
0.70858;-0.020335;-0.0634403;0.183531
0.71856;-0.0221577;-0.0632825;0.182703
0.72854;-0.0241139;-0.0690484;0.182749
0.73852;-0.0259624;-0.0764286;0.182841
0.7485;-0.0278494;-0.0800419;0.181783
0.75848;-0.0300874;-0.0851036;0.183224
0.76846;-0.0318903;-0.0890852;0.183377
0.77844;-0.0336963;-0.0952435;0.183316
0.78842;-0.0355309;-0.102296;0.183408
0.7984;-0.0377303;-0.100196;0.183347
0.80838;-0.039632;-0.105464;0.183285
0.81836;-0.0414284;-0.117295;0.182979
0.82834;-0.0432994;-0.115365;0.183055
0.83832;-0.0453871;-0.121471;0.183469
0.8483;-0.0471357;-0.131145;0.183071
0.85828;-0.0484453;-0.126031;0.182642
0.86826;-0.0468255;-0.122074;0.183285
0.87824;-0.0449778;-0.123939;0.183592
0.88822;-0.0430426;-0.120803;0.183592
0.8982;-0.0411237;-0.104635;0.182933
0.90818;-0.0391182;-0.108183;0.183224
0.91816;-0.0369672;-0.106605;0.183454
0.92814;-0.0352591;-0.095644;0.183515
0.93812;-0.0332416;-0.0958544;0.1835
0.9481;-0.0314792;-0.0933701;0.183025
0.95808;-0.0294528;-0.0858036;0.183301
0.96806;-0.0276141;-0.0802402;0.183592
0.97804;-0.0255789;-0.070942;0.182963
0.98802;-0.0236128;-0.0696756;0.18304
0.998;-0.0215894;-0.0669322;0.183592
1.00798;-0.0198783;-0.0587751;0.182504
1.01796;-0.0173379;-0.0559791;0.183193
1.02794;-0.0158315;-0.043792;0.183362
1.03792;-0.0140483;-0.0450625;0.183423
1.0479;-0.0116532;-0.0394342;0.181399
1.05788;-0.0103088;-0.0353071;0.182166
1.06786;-0.00806898;-0.0292135;0.183224
1.07784;-0.00622843;-0.0228812;0.182642
1.08782;-0.00461127;-0.0139108;0.182688
1.0978;-0.00228241;-0.0143761;0.182626
1.10778;-0.000432955;-0.0108964;0.18235
1.11776;0.00151238;-0.000315604;0.183209
1.12774;0.00347551;0.00572133;0.183301
1.13772;0.00523303;0.0125877;0.183224
1.1477;0.00736519;0.0185963;0.183454
1.15768;0.00921364;0.0250662;0.183485
1.16766;0.0109919;0.0316372;0.182764
1.17764;0.0131132;0.0377914;0.18166
1.18762;0.0150397;0.0495902;0.183178
1.1976;0.0168229;0.0462642;0.182856
1.20758;0.0189274;0.0528069;0.18281
1.21756;0.0206919;0.0584149;0.183285
1.22754;0.0225947;0.0667582;0.183561
1.23752;0.0242415;0.0746241;0.182825
1.2475;0.0264418;0.0790425;0.182442
1.25748;0.0281727;0.0874384;0.18327
1.26746;0.0302593;0.0909787;0.182994
1.27744;0.0321779;0.0997671;0.183592
1.28742;0.0340165;0.110562;0.183377
1.2974;0.0359273;0.113848;0.183393
1.30738;0.0379202;0.123802;0.183531
1.31736;0.0398643;0.127945;0.183423
1.32734;0.0418138;0.13543;0.183592
1.33732;0.04375;0.142835;0.18324
1.3473;0.0456166;0.14799;0.183515
1.35728;0.046869;0.149641;0.182887
1.36726;0.0454532;0.154007;0.182841
1.37724;0.0433598;0.141123;0.183362
1.38722;0.0416179;0.128111;0.18327
1.3972;0.0394671;0.12981;0.183408
1.40718;0.0377144;0.121337;0.18324
1.41716;0.0359016;0.109069;0.183255
1.42714;0.033804;0.106961;0.182166
1.43712;0.0317341;0.102745;0.18189
1.4471;0.0301832;0.097485;0.181169
1.45708;0.028311;0.0898743;0.183071
1.46706;0.0264903;0.0828136;0.183147
1.47704;0.0243779;0.0778245;0.183362
1.48702;0.0225077;0.0673571;0.183285
1.497;0.0207511;0.0640109;0.183193
1.50698;0.0187179;0.0569664;0.183163
1.51696;0.0167033;0.047118;0.183377
1.52694;0.0149468;0.039418;0.183362
1.53692;0.0130163;0.0389487;0.183178
1.5469;0.0110057;0.0250136;0.182872
1.55688;0.00896948;0.0299985;0.183147
1.56686;0.00718429;0.018916;0.182734
1.57684;0.00527652;0.0146351;0.183301
1.58682;0.00342806;0.0106213;0.182902
1.5968;0.00132259;-0.00207975;0.183163
1.60678;-0.000371669;-0.00639703;0.183224
1.61676;-0.00228933;-0.0170507;0.183561
1.62674;-0.00424455;-0.0196767;0.183331
1.63672;-0.0064716;-0.02505;0.183316
1.6467;-0.00815498;-0.0334418;0.182933
1.65668;-0.0101122;-0.0379897;0.182795
1.66666;-0.0118796;-0.0452648;0.182335
1.67664;-0.0142727;-0.0453093;0.183071
1.68662;-0.0159323;-0.0516619;0.183163
1.6966;-0.0177808;-0.0595358;0.182611
1.70658;-0.0198269;-0.0700883;0.183469
1.71656;-0.0215805;-0.0742073;0.18327
1.72654;-0.0236424;-0.0735316;0.182841
1.73652;-0.0255897;-0.0763436;0.183577
1.7465;-0.0271842;-0.0870661;0.183009
1.75648;-0.0294982;-0.0915047;0.183224
1.76646;-0.031314;-0.0935158;0.18186
1.77644;-0.0331981;-0.101398;0.183132
1.78642;-0.0352848;-0.0993544;0.182626
1.7964;-0.0371739;-0.105266;0.182979
1.80638;-0.0391053;-0.108547;0.183439
1.81636;-0.0410418;-0.120334;0.18304
1.82634;-0.0428576;-0.121766;0.183592
1.83632;-0.0449076;-0.133804;0.183592
1.8463;-0.0467641;-0.134832;0.183347
1.85628;-0.0482012;-0.140537;0.18327
1.86626;-0.0471922;-0.136057;0.182396
1.87624;-0.0451251;-0.133974;0.182396
1.88622;-0.0431611;-0.126294;0.182043
1.8962;-0.0413767;-0.117542;0.18235
1.90618;-0.0393031;-0.114406;0.183117
1.91616;-0.037576;-0.111469;0.182642
1.92614;-0.0356298;-0.104671;0.18278
1.93612;-0.0336172;-0.104724;0.18235
1.9461;-0.0316521;-0.0988649;0.18258
1.95608;-0.0299964;-0.0910516;0.182764
1.96606;-0.0280877;-0.0868112;0.182672
1.97604;-0.0260079;-0.0813974;0.182534
1.98602;-0.0240458;-0.075146;0.182994
1.996;-0.0219957;-0.0690686;0.182918
2.00598;-0.0202371;-0.0640271;0.181998
2.01596;-0.0183679;-0.0567884;0.183592
2.02594;-0.0162427;-0.0561167;0.182795
2.03592;-0.0142766;-0.0450423;0.18281
2.0459;-0.0124371;-0.0420036;0.182718
2.05588;-0.0104433;-0.0373261;0.182534
2.06586;-0.00845251;-0.03381;0.182182
2.07584;-0.00647654;-0.0244309;0.183239
2.08582;-0.00480205;-0.0184183;0.183285
2.0958;-0.00263628;-0.0118877;0.183147
2.10578;-0.000524884;-0.00321268;0.183531
2.11576;0.000864923;-0.00345141;0.183224
2.12574;0.00324914;0.00767564;0.183439
2.13572;0.00493945;0.0096259;0.183546
2.1457;0.00654277;0.0192032;0.183408
2.15568;0.00897541;0.024791;0.183561
2.16566;0.0105817;0.0294158;0.183362
2.17564;0.0126525;0.0365493;0.183592
2.18562;0.0146246;0.043614;0.183592
2.1956;0.0163761;0.050452;0.183454
2.20558;0.0183304;0.0536768;0.182519
2.21556;0.0201946;0.0616519;0.183546
2.22554;0.0221103;0.0712454;0.183423
2.23552;0.0242474;0.0792447;0.183592
2.2455;0.0259713;0.0808148;0.183515
2.25548;0.0275608;0.0878632;0.183347
2.26546;0.0297789;0.0927996;0.183531
2.27544;0.0316323;0.103324;0.183592
2.28542;0.0335609;0.110672;0.183408
2.2954;0.035347;0.117206;0.183592
2.30538;0.0375;0.123142;0.183485
2.31536;0.0393889;0.134722;0.183546
2.32534;0.0413749;0.141144;0.183209
2.33532;0.0430908;0.146497;0.183592
2.3453;0.0451409;0.15064;0.183561
2.35528;0.0470162;0.163831;0.1835
2.36526;0.0456331;0.161917;0.183592
2.37524;0.0437571;0.147856;0.183577
2.38522;0.0419539;0.140901;0.183255
2.3952;0.040153;0.138809;0.18324
2.40518;0.0381741;0.124554;0.181584
2.41516;0.0359243;0.125954;0.180572
2.42514;0.0341421;0.113957;0.181568
2.43512;0.0325793;0.109555;0.182963
2.4451;0.0304917;0.102871;0.183331
2.45508;0.0284376;0.0947297;0.183469
2.46506;0.026514;0.0859777;0.183301
2.47504;0.0246339;0.0836187;0.183485
2.48502;0.0230948;0.0748182;0.183592
2.495;0.0210249;0.0659207;0.183071
2.50498;0.0189986;0.0620323;0.18281
2.51496;0.0171284;0.0524549;0.183377
2.52494;0.0153481;0.0453458;0.183117
2.53492;0.0133316;0.0371158;0.183531
2.5449;0.011324;0.0360111;0.183316
2.55488;0.00956454;0.0270407;0.183163
2.56486;0.00764097;0.0170709;0.183147
2.57484;0.00582117;0.0134091;0.183255
2.58482;0.00366332;0.00952474;0.183515
2.5948;0.00170315;0.00596005;0.182319
2.60478;-1.48275e-05;0.00173582;0.183224
2.61476;-0.00192458;-0.0107386;0.183592
2.62474;-0.00393713;-0.0120455;0.183469
2.63472;-0.00574803;-0.0261182;0.18281
2.6447;-0.00789106;-0.0262032;0.183439
2.65468;-0.00980671;-0.0378117;0.183025
2.66466;-0.0116305;-0.0359383;0.181998
2.67464;-0.0136104;-0.0542635;0.182994
2.68462;-0.0154252;-0.0412793;0.183439
2.6946;-0.0173765;-0.0668836;0.182871
2.70458;-0.0195245;-0.0610612;0.183255
2.71456;-0.0214747;-0.0717876;0.181093
2.72454;-0.0226471;-0.077873;0.183147
2.73452;-0.0259951;-0.0834326;0.182366
2.7445;-0.0262431;-0.0901372;0.182687
2.75448;-0.0290574;-0.0943938;0.18327
2.76446;-0.0317342;-0.102595;0.181093
2.77444;-0.0316837;-0.102514;0.183515
2.78442;-0.0350713;-0.108543;0.182504
2.7944;-0.0370997;-0.113532;0.181093
2.80438;-0.0378519;-0.121006;0.183439
2.81436;-0.0412334;-0.121277;0.183423
2.82434;-0.0421537;-0.12748;0.183117
2.83432;-0.0441949;-0.131902;0.183561
2.8443;-0.0469548;-0.141722;0.182335
2.85428;-0.0475161;-0.142131;0.182963
2.86426;-0.0473729;-0.140577;0.182841
2.87424;-0.0456787;-0.134726;0.182457
2.88422;-0.0430376;-0.134063;0.183408
2.8942;-0.0418561;-0.1275;0.183102
2.90418;-0.0397794;-0.125036;0.183178
2.91416;-0.0376531;-0.120468;0.18327
2.92414;-0.036123;-0.111845;0.183316
2.93412;-0.0337764;-0.105399;0.182825
2.9441;-0.0319259;-0.0973232;0.183408
2.95408;-0.0301358;-0.0950655;0.183561
2.96406;-0.0281727;-0.0911972;0.183592
2.97404;-0.026255;-0.0856621;0.183362
2.98402;-0.0243986;-0.0759877;0.182626
2.994;-0.0223021;-0.0728356;0.183224
3.00398;-0.0205357;-0.0717836;0.182549
3.01396;-0.0185854;-0.0597259;0.183362
3.02394;-0.016386;-0.0552711;0.183423
3.03392;-0.0149122;-0.0506503;0.18304
3.0439;-0.012785;-0.0451475;0.183193
3.05388;-0.0107112;-0.0405631;0.183362
3.06386;-0.00894477;-0.0317667;0.183592
3.07384;-0.00695299;-0.0230026;0.183592
3.08382;-0.00499678;-0.0220922;0.183515
3.0938;-0.00313448;-0.0159056;0.183592
3.10378;-0.00105174;-0.00614213;0.183408
3.11376;0.000764096;-0.00241963;0.183561
3.12374;0.00273315;0.00676119;0.183224
3.13372;0.00468442;0.0116045;0.183592
3.1437;0.00642712;0.0177628;0.183439
3.15368;0.00824394;0.0213518;0.183515
3.16366;0.0102555;0.0374071;0.183592
3.17364;0.0120436;0.0375528;0.182964
3.18362;0.0145069;0.0444151;0.183408
3.1936;0.0158602;0.0545427;0.183362
3.20358;0.0176552;0.0619311;0.183423
3.21356;0.0202015;0.0708409;0.183561
3.22354;0.0215172;0.0731714;0.183178
3.23352;0.023768;0.0783869;0.183331
3.2435;0.0256312;0.0860949;0.183454
3.25348;0.0271852;0.0966354;0.183393
3.26346;0.0293598;0.099925;0.183362
3.27344;0.0312153;0.107329;0.183592
3.28342;0.0331616;0.109086;0.183561
3.2934;0.0351929;0.121074;0.183592
3.30338;0.036903;0.12561;0.183009
3.31336;0.0390727;0.136377;0.183592
3.32334;0.040759;0.142095;0.183301
3.33332;0.0427716;0.148734;0.183239
3.3433;0.0446289;0.156895;0.183561
3.35328;0.0467117;0.160751;0.183592
3.36326;0.0463153;0.161722;0.183592
3.37324;0.0442048;0.158647;0.183469
