t;vds;corrente;vg
0.00998;0.0185544;0.115269;0.00672947
0.01996;0.0188798;0.117178;0.0325098
0.02994;0.0187873;0.104143;0.0525345
0.03992;0.0187721;0.103283;0.0716945
0.0499;0.0185807;0.0951497;0.0912393
0.05988;0.0186078;0.099923;0.109887
0.06986;0.0188256;0.0971855;0.129895
0.07984;0.0189652;0.0961775;0.15032
0.08982;0.018946;0.0810572;0.168711
0.0998;0.019009;0.0931436;0.188193
0.10978;0.0188288;0.0814624;0.208842
0.11976;0.0189811;0.0753153;0.228482
0.12974;0.0189811;0.0754834;0.248074
0.13972;0.019009;0.0715995;0.266722
0.1497;0.019199;0.0657095;0.286987
0.15968;0.0192827;0.0570622;0.306387
0.16966;0.0190083;0.0605112;0.326378
0.17964;0.0193712;0.0476441;0.345201
0.18962;0.0195723;0.0467249;0.364425
0.1996;0.0195659;0.0309326;0.384947
0.20958;0.0191582;0.0404396;0.405693
0.21956;0.019045;0.0325731;0.423237
0.22954;0.019652;0.0266139;0.444062
0.23952;0.0195755;0.0332253;0.463956
0.2495;0.0193505;0.0296676;0.484526
0.25948;0.0197222;0.0337788;0.505624
0.26946;0.0194973;0.0396095;0.525087
0.27944;0.0191239;0.0293019;0.545782
0.28942;0.0196808;0.03873;0.566448
0.2994;0.0192269;0.0369906;0.586746
0.30938;0.0194582;0.0498281;0.606532
0.31936;0.0195316;0.0497787;0.625112
0.32934;0.019108;0.0399949;0.645393
0.33932;0.0195483;0.0446496;0.665208
0.3493;0.0192229;0.0534155;0.684865
0.35928;0.0192947;0.052358;0.703885
0.36926;0.0193497;0.0527929;0.724094
0.37924;0.019088;0.059602;0.74379
0.38922;0.0193362;0.0636835;0.763178
0.3992;0.019514;0.0566669;0.78169
0.40918;0.0190234;0.0569139;0.775328
0.41916;0.0193074;0.0654327;0.757924
0.42914;0.0190457;0.0554216;0.737415
0.43912;0.0192237;0.0562716;0.718259
0.4491;0.0191279;0.0616477;0.697847
0.45908;0.019309;0.0493438;0.678539
0.46906;0.0191136;0.0484248;0.659353
0.47904;0.0192963;0.0416354;0.639183
0.48902;0.0192915;0.0479405;0.619062
0.499;0.0193449;0.0330573;0.599407
0.50898;0.0194151;0.0394514;0.581686
0.51896;0.0194119;0.0343816;0.560897
0.52894;0.0195476;0.0302507;0.540548
0.53892;0.0195811;0.0299245;0.519788
0.5489;0.0193729;0.0231253;0.499877
0.55888;0.0196042;0.0300728;0.478747
0.56886;0.0196281;0.0354687;0.457443
0.57884;0.0194702;0.0329387;0.438988
0.58882;0.0194303;0.0315057;0.41922
0.5988;0.0193281;0.0350141;0.400123
0.60878;0.019408;0.0444223;0.379632
0.61876;0.0192412;0.049166;0.360199
0.62874;0.019305;0.0535539;0.340448
0.63872;0.0190641;0.0678342;0.320665
0.6487;0.0192779;0.0579121;0.301217
0.65868;0.0191327;0.0690596;0.281048
0.66866;0.019112;0.0752067;0.262208
0.67864;0.0190099;0.08671;0.242504
0.68862;0.0189468;0.0750979;0.222992
0.6986;0.0190481;0.081492;0.203368
0.70858;0.018871;0.0854055;0.182989
0.71856;0.018816;0.0838638;0.163525
0.72854;0.0188838;0.0994091;0.144638
0.73852;0.0187881;0.0927186;0.123717
0.7485;0.0188152;0.10435;0.105069
0.75848;0.0186516;0.0996562;0.0861802
0.76846;0.0186309;0.109825;0.0661565
0.77844;0.0187115;0.10774;0.0473959
0.78842;0.0185942;0.113146;0.0268595
0.7984;0.0188017;0.114174;0.00707503
0.80838;0.0186716;0.117307;-0.0123252
0.81836;0.0185121;0.121309;-0.0327819
0.82834;0.0184091;0.111565;-0.0528386
0.83832;0.0185655;0.117801;-0.0730071
0.8483;0.0186317;0.118384;-0.0922157
0.85828;0.0186676;0.126675;-0.111376
0.86826;0.0184642;0.125865;-0.1318
0.87824;0.0185735;0.127664;-0.151696
0.88822;0.0186397;0.121151;-0.171176
0.8982;0.0186166;0.133801;-0.189281
0.90818;0.0184203;0.137912;-0.188047
0.91816;0.0188136;0.127812;-0.169719
0.92814;0.0185663;0.126952;-0.1504
0.93812;0.0186596;0.117455;-0.128967
0.9481;0.0185822;0.121131;-0.109759
0.95808;0.018323;0.122693;-0.0901017
0.96806;0.0184227;0.120143;-0.0710863
0.97804;0.018524;0.117672;-0.0508696
0.98802;0.0187227;0.113097;-0.0303491
0.998;0.0185009;0.110201;-0.00979613
1.00798;0.0185376;0.113373;0.0087717
1.01796;0.0186102;0.108867;0.0291004
1.02794;0.0185958;0.105704;0.0491411
1.03792;0.0186373;0.105349;0.0686052
1.0479;0.0188399;0.101297;0.0865973
1.05788;0.0189341;0.100279;0.106462
1.06786;0.0187618;0.100467;0.126022
1.07784;0.0188407;0.0893783;0.14635
1.08782;0.0191;0.083844;0.16583
1.0978;0.0188591;0.0860084;0.184912
1.10778;0.0192093;0.0786754;0.20468
1.11776;0.0191192;0.0813734;0.225329
1.12774;0.0188934;0.0713129;0.245113
1.13772;0.0192196;0.0642962;0.263392
1.1477;0.0191551;0.0587423;0.282921
1.15768;0.0191726;0.0646125;0.303042
1.16766;0.0193098;0.0539393;0.321497
1.17764;0.0191383;0.0492648;0.34192
1.18762;0.0191351;0.0404792;0.360103
1.1976;0.0191742;0.037801;0.381955
1.20758;0.0195316;0.0358837;0.401754
1.21756;0.0194829;0.0340653;0.421924
1.22754;0.0195475;0.0362988;0.439932
1.23752;0.0192907;0.0315255;0.460436
1.2475;0.0195028;0.0334427;0.481131
1.25748;0.0194311;0.0338677;0.502085
1.26746;0.0196273;0.0378009;0.521118
1.27744;0.019471;0.0427621;0.542007
1.28742;0.0193226;0.0380876;0.562238
1.2974;0.0194558;0.0402815;0.582568
1.30738;0.019404;0.0386608;0.601696
1.31736;0.0193473;0.0457565;0.621545
1.32734;0.019364;0.0472883;0.640737
1.33732;0.0190753;0.0524173;0.660773
1.3473;0.0191846;0.0555502;0.679503
1.35728;0.0194239;0.0532277;0.700313
1.36726;0.0191008;0.0502135;0.719295
1.37724;0.0194901;0.0571413;0.740302
1.38722;0.0191;0.0609164;0.758872
1.3972;0.019037;0.0602444;0.776715
1.40718;0.0193832;0.0610449;0.780142
1.41716;0.0190091;0.0604322;0.761123
1.42714;0.0193425;0.0573982;0.742057
1.43712;0.0191271;0.0552043;0.721683
1.4471;0.0190154;0.0540381;0.701752
1.45708;0.0191383;0.052447;0.682064
1.46706;0.0191694;0.0541962;0.662441
1.47704;0.019187;0.051686;0.642128
1.48702;0.0194095;0.045292;0.622603
1.497;0.0191782;0.041586;0.603952
1.50698;0.0196034;0.0380382;0.583958
1.51696;0.0194271;0.0324644;0.563986
1.52694;0.019368;0.0332451;0.543382
1.53692;0.0195124;0.032415;0.522572
1.5469;0.019463;0.0255861;0.503718
1.55688;0.0194877;0.0296676;0.482799
1.56686;0.0195476;0.0308634;0.462164
1.57684;0.0195149;0.0302111;0.441676
1.58682;0.0194893;0.0380382;0.422725
1.5968;0.0194981;0.0418331;0.403341
1.60678;0.019392;0.045885;0.383267
1.61676;0.019183;0.052279;0.362329
