t;vds;corrente;vg
0.00998;0.0190737;0.0495313;0.680343
0.01996;0.0193545;0.0477824;0.677787
0.02994;0.0193106;0.0499467;0.65705
0.03992;0.0191479;0.0518541;0.637887
0.0499;0.0195611;0.0503025;0.617637
0.05988;0.0192373;0.0400246;0.598447
0.06986;0.0192332;0.0397182;0.579159
0.07984;0.0193569;0.0397083;0.558543
0.08982;0.0191327;0.0404693;0.537587
0.0998;0.019376;0.042683;0.516813
0.10978;0.0193976;0.0372871;0.497139
0.11976;0.0193856;0.0361803;0.47769
0.12974;0.0195236;0.0398566;0.456243
0.13972;0.0193138;0.0355477;0.436363
0.1497;0.0195077;0.0371981;0.41733
0.15968;0.0195236;0.0341839;0.398153
0.16966;0.0194789;0.0314959;0.377262
0.17964;0.0194326;0.0401432;0.35719
0.18962;0.0193082;0.0380184;0.337631
0.1996;0.0194151;0.0383642;0.318984
0.20958;0.0194502;0.0335317;0.299279
0.21956;0.019455;0.0364965;0.279832
0.22954;0.0194056;0.0322173;0.260287
0.23952;0.0195021;0.0302408;0.241208
0.2495;0.019605;0.0291833;0.221631
0.25948;0.0195029;0.035024;0.200518
0.26946;0.019451;0.0338973;0.180844
0.27944;0.0193928;0.0370499;0.161412
0.28942;0.0194406;0.0415465;0.142781
0.2994;0.0194797;0.0356071;0.122549
0.30938;0.0195699;0.0364372;0.10318
0.31936;0.0194303;0.035696;0.0832991
0.32934;0.0193481;0.0405681;0.065068
0.33932;0.0194829;0.037297;0.045379
0.3493;0.0194335;0.0359628;0.0251467
0.35928;0.019451;0.0400641;0.00467398
0.36926;0.0194734;0.0333439;-0.0145662
0.37924;0.0194183;0.0431574;-0.0340305
0.38922;0.0195101;0.0344903;-0.0548395
0.3992;0.0193449;0.0400147;-0.0746557
0.40918;0.0194079;0.0421394;-0.0941525
0.41916;0.0192356;0.0436317;-0.11312
0.42914;0.0194917;0.0422679;-0.134569
0.43912;0.0193585;0.0426039;-0.153313
0.4491;0.019329;0.0403309;-0.173881
0.45908;0.0193936;0.0420406;-0.191827
0.46906;0.0192899;0.0422679;-0.185518
0.47904;0.019309;0.0434933;-0.16719
0.48902;0.0193681;0.0490177;-0.148175
0.499;0.0193952;0.0469226;-0.127287
0.50898;0.0193561;0.0469128;-0.107454
0.51896;0.0194255;0.0467546;-0.088245
0.52894;0.0192771;0.0469325;-0.0688615
0.53892;0.0195173;0.0478022;-0.0481162
0.5489;0.0191822;0.0459245;-0.0287644
0.55888;0.0193537;0.0453711;-0.00761927
0.56886;0.019459;0.0425743;0.0110447
0.57884;0.0193696;0.0459936;0.0316615
0.58882;0.0193425;0.0493538;0.0506937
0.5988;0.0194311;0.0500356;0.07059
0.60878;0.0192404;0.0559849;0.0884221
0.61876;0.0192277;0.0534649;0.10835
0.62874;0.0192723;0.0495613;0.128807
0.63872;0.0192995;0.0479899;0.148815
0.6487;0.0192341;0.0505198;0.167623
0.65868;0.0192109;0.0524371;0.186977
0.66866;0.0192627;0.0475946;0.207177
0.67864;0.0192173;0.0511326;0.226945
0.68862;0.0192939;0.04967;0.247242
0.6986;0.0193441;0.0503717;0.265953
0.70858;0.0193154;0.0488794;0.285114
0.71856;0.0191941;0.0523086;0.305283
0.72854;0.0193553;0.053455;0.325418
0.73852;0.0193202;0.051439;0.343745
0.7485;0.0192348;0.050174;0.363833
0.75848;0.0192205;0.055313;0.383587
0.76846;0.01925;0.0560245;0.404044
0.77844;0.0192923;0.0546311;0.423189
0.78842;0.0192141;0.0543247;0.442365
0.7984;0.0192037;0.0541962;0.463492
0.80838;0.0192165;0.0507769;0.483244
0.81836;0.0191973;0.0538108;0.504103
0.82834;0.019254;0.0556688;0.523278
0.83832;0.0191686;0.0596613;0.544342
0.8483;0.0195324;0.0535341;0.56523
0.85828;0.0192986;0.0530894;0.585242
0.86826;0.0191965;0.0546113;0.604178
0.87824;0.019041;0.0568942;0.621593
0.88822;0.0193561;0.0517058;0.643297
0.8982;0.0193218;0.0563704;0.66319
0.90818;0.0192564;0.049581;0.682738
0.91816;0.0192476;0.0513994;0.700825
0.92814;0.0192244;0.0565285;0.722095
0.93812;0.0193042;0.050085;0.741758
0.9481;0.0191566;0.0582382;0.761018
0.95808;0.0191183;0.0573587;0.780522
0.96806;0.0191894;0.0493241;0.778687
0.97804;0.0192484;0.0494032;0.759956
0.98802;0.0195188;0.0495217;0.740392
0.998;0.0192013;0.0407954;0.719668
1.00798;0.0191367;0.0367534;0.700504
1.01796;0.0195069;0.0424359;0.68059
1.02794;0.0189468;0.040242;0.661945
1.03792;0.019526;0.0379097;0.641984
1.0479;0.0193377;0.0408646;0.621098
1.05788;0.0192771;0.0362395;0.602239
1.06786;0.0195954;0.0375243;0.584102
1.07784;0.0192971;0.0324446;0.562706
1.08782;0.0195108;0.0375243;0.542261
1.0978;0.019526;0.0350042;0.520972
1.10778;0.0192013;0.0370993;0.50263
1.11776;0.0194103;0.0467448;0.481869
1.12774;0.0194048;0.0405582;0.460707
1.13772;0.019313;0.040914;0.441372
1.1477;0.019668;0.036872;0.421445
1.15768;0.0192636;0.0374748;0.402172
1.16766;0.0194614;0.0297269;0.382434
1.17764;0.0195244;0.0329684;0.361705
1.18762;0.0192668;0.0306262;0.34224
1.1976;0.0194989;0.0381172;0.322361
1.20758;0.0193234;0.0380381;0.303874
1.21756;0.019309;0.0431079;0.283353
1.22754;0.0193138;0.0468139;0.263809
1.23752;0.0192197;0.0543247;0.246234
1.2475;0.0192907;0.0583568;0.224689
1.25748;0.0192332;0.0655711;0.205288
1.26746;0.0190075;0.0703642;0.184925
1.27744;0.0189676;0.070295;0.166198
1.28742;0.0189508;0.0758688;0.146911
1.2974;0.0188575;0.0792091;0.127078
1.30738;0.0187945;0.0843876;0.106942
1.31736;0.0188846;0.0898131;0.0875087
1.32734;0.0188056;0.0905049;0.0679972
1.33732;0.0188942;0.0994486;0.0490768
1.3473;0.018725;0.0974129;0.0295647
1.35728;0.0187801;0.0973239;0.00830754
1.36726;0.0187681;0.103589;-0.0101163
1.37724;0.0186237;0.102759;-0.0310212
1.38722;0.0185639;0.104835;-0.0511579
1.3972;0.0186732;0.107414;-0.0714224
1.40718;0.0187251;0.109292;-0.0910152
1.41716;0.0186923;0.113255;-0.109727
1.42714;0.0184562;0.116417;-0.129351
1.43712;0.018481;0.117554;-0.150624
1.4471;0.0184961;0.119599;-0.168935
1.45708;0.0184873;0.117277;-0.187841
1.46706;0.0184195;0.123177;-0.190464
1.47704;0.0186708;0.118987;-0.171432
1.48702;0.0186253;0.113561;-0.15152
1.497;0.0185791;0.118749;-0.132136
1.50698;0.0185344;0.115409;-0.111568
1.51696;0.0186285;0.111239;-0.0925667
1.52694;0.0186915;0.109084;-0.072751
1.53692;0.0186102;0.109005;-0.0527426
1.5469;0.018595;0.107078;-0.032558
1.55688;0.0187777;0.106515;-0.0125492
1.56686;0.0187187;0.103422;0.0066268
1.57684;0.0187522;0.0981046;0.0268115
1.58682;0.0189085;0.0942998;0.0467881
1.5968;0.018737;0.0870756;0.065852
1.60678;0.0187785;0.0869669;0.0859409
1.61676;0.0189963;0.083004;0.104557
1.62674;0.0189716;0.0810571;0.124053
1.63672;0.0190346;0.0736748;0.144125
1.6467;0.0191088;0.0680714;0.163957
1.65668;0.0191989;0.0688423;0.183375
1.66666;0.019108;0.0552932;0.203479
1.67664;0.0193657;0.0467942;0.223712
1.68662;0.0192564;0.0488201;0.243544
1.6966;0.0192109;0.0431968;0.262256
1.70658;0.0194518;0.0385323;0.28108
1.71656;0.0193505;0.0392142;0.301729
1.72654;0.0194861;0.0331759;0.320857
1.73652;0.0192755;0.0399257;0.340064
1.7465;0.0191582;0.0338381;0.359815
1.75648;0.0193689;0.0384236;0.380002
1.76646;0.0192667;0.038305;0.400234
1.77644;0.0194247;0.0407065;0.418977
1.78642;0.0193944;0.0437404;0.438635
1.7964;0.0192755;0.045124;0.45906
1.80638;0.0195076;0.0405483;0.478763
1.81636;0.0192851;0.0475947;0.5001
1.82634;0.0191303;0.0502531;0.5191
1.83632;0.0191239;0.0466657;0.54007
1.8463;0.0193521;0.0527731;0.560461
1.85628;0.0194343;0.054809;0.581319
1.86626;0.0192771;0.0542654;0.600302
1.87624;0.0191327;0.0598787;0.61932
1.88622;0.0191519;0.055817;0.639122
1.8962;0.0192643;0.0634562;0.659445
1.90618;0.019258;0.0609263;0.678463
1.91616;0.0192795;0.065245;0.697861
1.92614;0.0191351;0.0626162;0.718687
1.93612;0.0190553;0.0708187;0.738637
1.9461;0.019096;0.0686841;0.757974
1.95608;0.019021;0.071471;0.775755
1.96606;0.0191686;0.0711844;0.782254
1.97604;0.0190825;0.0669744;0.764034
1.98602;0.0190473;0.0694352;0.743771
1.996;0.0192277;0.0648596;0.724723
2.00598;0.0191327;0.0677255;0.704233
2.01596;0.019175;0.062468;0.685108
2.02594;0.0192596;0.0598392;0.665849
2.03592;0.0191949;0.0591474;0.646495
2.0459;0.019171;0.0481876;0.625196
2.05588;0.0194414;0.0494624;0.607362
2.06586;0.0191814;0.04798;0.587466
2.07584;0.0192691;0.0424952;0.567218
2.08582;0.0195587;0.0462605;0.546505
2.0958;0.0190681;0.0388979;0.525999
2.10578;0.0196983;0.0407756;0.505782
2.11576;0.0195643;0.0337788;0.485712
2.12574;0.0191742;0.0293513;0.46471
2.13572;0.0198244;0.0320691;0.445484
2.1457;0.0192675;0.0323359;0.425077
2.15568;0.0200812;0.0292031;0.407087
2.16566;0.0188;0.0349153;0.386437
2.17564;0.020303;0.0328004;0.365835
2.18562;0.0192835;0.038305;0.346547
2.1956;0.0186134;0.0458355;0.326842
2.20558;0.0206596;0.0480097;0.307444
2.21556;0.0182289;0.0504903;0.287611
2.22554;0.0191279;0.058594;0.267058
2.23552;0.0203493;0.0606199;0.249163
2.2455;0.0178826;0.0704333;0.229219
2.25548;0.0198467;0.0681406;0.209626
2.26546;0.0192723;0.0749497;0.188351
2.27544;0.0181818;0.0813635;0.168711
2.28542;0.0198052;0.0892202;0.15128
2.2954;0.0186166;0.0868187;0.130728
2.30538;0.0184745;0.0920565;0.110832
2.31536;0.0193944;0.0971756;0.0916864
2.32534;0.0182209;0.0945173;0.0719987
2.33532;0.0189245;0.0964543;0.053463
2.3453;0.0189804;0.101583;0.0332623
2.35528;0.0183876;0.104143;0.0131415
2.36526;0.0190482;0.105497;-0.00611458
2.37524;0.018591;0.107365;-0.0265073
2.38522;0.0184195;0.109904;-0.0462759
2.3952;0.0189029;0.112879;-0.0666044
2.40518;0.0184785;0.118186;-0.0869172
2.41516;0.0187147;0.11616;-0.105309
2.42514;0.0188766;0.115083;-0.124885
2.43512;0.0184785;0.117119;-0.145694
2.4451;0.0186078;0.12038;-0.165654
2.45508;0.018698;0.121941;-0.183487
2.46506;0.0186605;0.12462;-0.19285
2.47504;0.0186788;0.124313;-0.175178
2.48502;0.0185264;0.120528;-0.154673
2.495;0.0184945;0.117751;-0.135978
2.50498;0.0187482;0.118492;-0.114913
2.51496;0.0185886;0.114006;-0.0959763
2.52494;0.0186971;0.114787;-0.0768006
2.53492;0.0187314;0.108916;-0.0562482
2.5449;0.0185607;0.11029;-0.0354551
2.55488;0.0187259;0.106594;-0.0159268
2.56486;0.0185551;0.101801;0.00262512
2.57484;0.0187474;0.106762;0.0238982
2.58482;0.0188304;0.0958416;0.044147
2.5948;0.0188136;0.0927285;0.0623786
2.60478;0.0188128;0.0927383;0.0814583
2.61476;0.0189245;0.0892696;0.102268
2.62474;0.0191231;0.0853166;0.120195
2.63472;0.0189748;0.0768867;0.14086
2.6447;0.0189771;0.0713722;0.15994
2.65468;0.0190928;0.0726768;0.178924
2.66466;0.0191184;0.0648596;0.19927
2.67464;0.0192364;0.060867;0.219518
2.68462;0.0192037;0.0584062;0.240279
