t;vds;corrente;vg
0.000499;-0.000403031;0.00943774;-0.201955
0.000998;-0.00020351;0.0102283;-0.203693
0.001497;9.57696e-05;0.0104586;-0.203693
0.001996;0.000941736;0.0113142;-0.203693
0.002495;0.00169193;0.0119424;-0.203693
0.002994;0.00243016;0.0119873;-0.203693
0.003493;0.00347565;0.0132438;-0.203693
0.003992;0.00395051;0.0134352;-0.203693
0.004491;0.00422983;0.0145212;-0.203693
0.00499;0.00453709;0.014928;-0.203693
0.005489;0.00523939;0.01494;-0.203693
0.005988;0.00570226;0.015655;-0.203693
0.006487;0.00591774;0.0164208;-0.203693
0.006986;0.00596562;0.0170042;-0.203693
0.007485;0.00598957;0.0179137;-0.203693
0.007984;0.00564241;0.0179137;-0.203693
0.008483;0.00448122;0.0186317;-0.203693
0.008982;0.00413406;0.0193916;-0.203693
0.009481;0.00311252;0.0196787;-0.203693
0.00998;0.00235035;0.0208065;-0.203693
0.010479;0.00176376;0.0209022;-0.203693
0.010978;0.000798082;0.0220482;-0.203685
0.011477;3.9904e-05;0.0223922;-0.203693
0.011976;-0.000897842;0.0223952;-0.203693
0.012475;-0.00182761;0.0235498;-0.203693
0.012974;-0.00201516;0.0238849;-0.203693
0.013473;-0.00214285;0.024606;-0.203693
0.013972;-0.0021229;0.0253779;-0.203693
0.014471;-0.00202713;0.0253779;-0.203693
0.01497;-0.00235833;0.0262692;-0.203693
0.015469;-0.00218275;0.0268705;-0.203693
0.015968;-0.002079;0.0275288;-0.203693
0.016467;-0.00188347;0.0283634;-0.203693
0.016966;-0.000722264;0.0287851;-0.203693
0.017465;-0.000275338;0.0298171;-0.203693
0.017964;0.000191539;0.0299129;-0.203661
0.018463;0.000758177;0.0312713;-0.203693
0.018962;0.00145251;0.0313491;-0.203645
0.019461;0.00199121;0.0318695;-0.203693
0.01996;0.0031205;0.0328088;-0.203677
0.020459;0.00387868;0.0328417;-0.203573
0.020958;0.00409416;0.0333354;-0.203693
0.021457;0.00452512;0.0343317;-0.203693
0.021956;0.00551472;0.0344365;-0.203693
0.022455;0.00531919;0.0355642;-0.203693
0.022954;0.00589779;0.0358574;-0.203693
0.023453;0.00596961;0.0368537;-0.203693
0.023952;0.00596961;0.0373205;-0.203693
0.024451;0.00588583;0.0373354;-0.203693
0.02495;0.00500397;0.0385528;-0.203693
0.025449;0.00415402;0.0390134;-0.203693
0.025948;0.003328;0.0402189;-0.203693
0.026447;0.00300877;0.0403056;-0.203693
0.026946;0.002079;0.0409817;-0.203693
0.027445;0.0011253;0.0417985;-0.203693
0.027944;0.000155626;0.0422655;-0.203693
0.028443;-0.000415002;0.0432885;-0.203693
0.028942;-0.00143655;0.0432975;-0.203693
0.029441;-0.00196727;0.0440783;-0.203693
0.02994;-0.00200718;0.0447545;-0.203693
0.030439;-0.00222266;0.0448113;-0.203693
0.030938;-0.00213886;0.0460227;-0.203693
0.031437;-0.00213487;0.0463009;-0.203693
0.031936;-0.00255386;0.0472552;-0.203693
0.032435;-0.00214684;0.0477697;-0.203693
0.032934;-0.0017039;0.0478476;-0.203693
0.033433;-0.00130486;0.0491552;-0.203693
0.033932;-0.00039904;0.0492748;-0.203693
0.034431;-0.000123702;0.0502262;-0.203693
0.03493;0.000510772;0.0507557;-0.203693
0.035429;0.00100159;0.0507557;-0.203693
0.035928;0.00182362;0.0517995;-0.203693
0.036427;0.00242617;0.0522482;-0.203693
0.036926;0.00334396;0.0523619;-0.203693
0.037425;0.00400238;0.0536722;-0.203693
0.037924;0.00438147;0.053741;-0.203693
0.038423;0.00488824;0.0540884;-0.203693
0.038922;0.00536309;0.0551356;-0.203693
0.039421;0.00563842;0.0552343;-0.203693
0.03992;0.00594168;0.05632;-0.203693
0.040419;0.00602149;0.0568165;-0.203693
0.040918;0.00598957;0.0579533;-0.203693
0.041417;0.00516359;0.0582196;-0.203573
0.041916;0.0042019;0.0592185;-0.203693
0.042415;0.00349161;0.0597121;-0.203693
0.042914;0.00317238;0.0598377;-0.203685
0.043413;0.00248602;0.0610702;-0.203693
0.043912;0.00153232;0.0612767;-0.203597
0.044411;0.000542695;0.062411;-0.203509
0.04491;-0.000159616;0.0626982;-0.203413
0.045409;-0.00110534;0.0627012;-0.203549
0.045908;-0.00189145;0.063434;-0.203685
0.046407;-0.00211492;0.0641909;-0.203541
0.046906;-0.00215083;0.0650583;-0.203581
0.047405;-0.00206703;0.0656834;-0.203685
0.047904;-0.00217477;0.0656834;-0.203581
0.048403;-0.0025818;0.0666316;-0.203501
0.048902;-0.00239824;0.0671821;-0.203693
