t;vds;corrente;vg
0.000499;0.0039944;0.00961514;-0.0049464
0.000998;0.00471665;0.0104317;-0.00367382
0.001497;0.00545885;0.0104526;-0.00187293
0.001996;0.00563043;0.0114817;-0.00312955
0.002495;0.00595764;0.0119424;-0.00243321
0.002994;0.00599356;0.0122984;-0.00224912
0.003493;0.00584592;0.0134233;-0.00165682
0.003992;0.00580602;0.0136297;-0.00175287
0.004491;0.00462887;0.0148203;-0.00286542
0.00499;0.00380685;0.014928;-0.00268933
0.005489;0.00350358;0.014943;-0.00288143
0.005988;0.00239425;0.0158076;-0.00248123
0.006487;0.00171189;0.0164208;-0.00252125
0.006986;0.000837986;0.017462;-0.00220109
0.007485;1.59616e-05;0.0179137;-0.0032176
0.007984;-0.000746206;0.0179257;-0.00149675
0.008483;-0.00197126;0.0188291;-0.00308153
0.008982;-0.00211093;0.0194065;-0.00152876
0.009481;-0.00220271;0.0197774;-0.00188894
0.00998;-0.00216679;0.0208813;-0.00124862
0.010479;-0.00217078;0.0211746;-0.00105653
0.010978;-0.00250997;0.0223802;-0.00188094
0.011477;-0.00215083;0.0223922;-0.000544272
0.011976;-0.00219872;0.0225597;-0.000992497
0.012475;-0.00160015;0.023831;-0.000488244
0.012974;-0.000550676;0.0239477;-0.000960481
0.013473;-0.00029928;0.024968;-0.00110455
0.013972;0.000131683;0.0253779;-0.0022171
0.014471;0.000434954;0.0255543;-0.00141671
0.01497;0.00110933;0.0267478;-0.000312156
0.015469;0.0019952;0.0268735;-0.00122461
0.015968;0.00289305;0.0280134;-0.00118459
0.016467;0.00394652;0.0283634;-0.000544272
0.016966;0.00407022;0.0291022;-0.000824413
0.017465;0.00465281;0.029856;-0.00202501
0.017964;0.00541097;0.0300865;-0.00192096
0.018463;0.00549477;0.0313252;-0.00203301
0.018962;0.0059337;0.0313491;-0.00260929
0.019461;0.00598158;0.0319981;-0.0016088
0.01996;0.00582197;0.0328417;-0.00290544
0.020459;0.0057741;0.0328507;-0.00293746
0.020958;0.00472065;0.0336346;-0.00260129
0.021457;0.00415003;0.0343347;-0.00252125
0.021956;0.0035355;0.0346638;-0.00191295
0.022455;0.00262968;0.0357916;-0.00210505
0.022954;0.00196328;0.035983;-0.00264131
0.023453;0.0012889;0.037123;-0.0028254
0.023952;0.000187549;0.0373205;-0.00191295
0.024451;-0.000279328;0.0374581;-0.00246522
0.02495;-0.00146847;0.0387173;-0.00294546
0.025449;-0.00195929;0.039139;-0.00257728
0.025948;-0.00239026;0.0402996;-0.00273736
0.026447;-0.00226256;0.0403086;-0.00240119
0.026946;-0.00215482;0.0413767;-0.00207303
0.027445;-0.0023304;0.0417985;-0.0018169
0.027944;-0.0021229;0.0426274;-0.00309754
0.028443;-0.00230646;0.0432915;-0.00298548
0.028942;-0.00201117;0.0433424;-0.00172086
0.029441;-0.00153232;0.0446019;-0.00186493
0.02994;-0.000534714;0.0447844;-0.00187293
0.030439;-0.00019553;0.0449459;-0.000704353
0.030938;0.000267357;0.0460974;-0.00240119
0.031437;0.000929765;0.0464594;-0.00137669
0.031936;0.0016241;0.0476321;-0.00230514
0.032435;0.00220271;0.0477697;-0.00237718
0.032934;0.00367916;0.0482337;-0.00127264
0.033433;0.00398243;0.049218;-0.00207303
0.033932;0.00428969;0.0493018;-0.00290544
0.034431;0.00476853;0.0504266;-0.00286542
0.03493;0.00494011;0.0507557;-0.00252125
0.035429;0.00582995;0.0509023;-0.00247323
0.035928;0.00591375;0.0520448;-0.00344171
0.036427;0.00597759;0.0522482;-0.00378588
0.036926;0.00589779;0.0524635;-0.0036258
0.037425;0.00560251;0.0536572;-0.00271335
0.037924;0.00424978;0.053741;-0.00325761
0.038423;0.00369911;0.0541332;-0.00312155
0.038922;0.00303271;0.0552134;-0.00375386
0.039421;0.00223463;0.0553569;-0.00353775
0.03992;0.00150438;0.0565324;-0.0024092
0.040419;0.000626494;0.0569661;-0.00309754
0.040918;-6.78368e-05;0.0581927;-0.00252926
0.041417;-0.00088188;0.0583332;-0.00309754
0.041916;-0.00193934;0.059389;-0.00340169
0.042415;-0.00202314;0.0597121;-0.00371384
0.042914;-0.00222266;0.060065;-0.00336167
0.043413;-0.00235035;0.061151;-0.00357777
0.043912;-0.00217477;0.0616719;-0.00328163
0.044411;-0.0021628;0.0626982;-0.00256127
0.04491;-0.0021229;0.0626982;-0.00288943
0.045409;-0.00205506;0.0627012;-0.00203301
0.045908;-0.00167597;0.0636614;-0.00214507
0.046407;-0.000925775;0.0641969;-0.00123262
0.046906;-5.9856e-05;0.0655009;-0.00189694
0.047405;0.000175578;0.0656834;-0.00196097
0.047904;0.00068635;0.065791;-0.00230514
0.048403;0.00147246;0.066853;-0.00258528
0.048902;0.0019952;0.0671761;-0.00266532
0.049401;0.00296886;0.0680801;-0.00195297
0.0499;0.0038707;0.0686694;-0.00289744
0.050399;0.00419392;0.0695937;-0.00232115
0.050898;0.00478848;0.0701621;-0.00250524
0.051397;0.00569428;0.0701981;-0.00197698
0.051896;0.00565039;0.0711554;-0.00293746
0.052395;0.00592971;0.0716549;-0.00219309
0.052894;0.00597759;0.0724087;-0.00336167
0.053393;0.00599755;0.0731477;-0.00284141
0.053892;0.00546684;0.0731477;-0.00326562
0.054391;0.004577;0.0739827;-0.00304151
0.05489;0.00357541;0.074641;-0.00257728
0.055389;0.00328012;0.0750537;-0.00205702
0.055888;0.00258978;0.0761334;-0.00228914
0.056387;0.0018316;0.0761992;-0.00205702
0.056886;0.00127294;0.0773898;-0.00177688
0.057385;4.38944e-05;0.0776261;-0.00186493
0.057884;-0.000347165;0.0781136;-0.00192896
0.058383;-0.00187549;0.0790797;-0.00279339
0.058882;-0.00213088;0.0791186;-0.00277738
0.059381;-0.00205905;0.0801595;-0.00163281
0.05988;-0.00215881;0.0806112;-0.00292145
0.060379;-0.00221069;0.0806561;-0.00108854
0.060878;-0.00233439;0.0815869;-0.00253726
0.061377;-0.00243415;0.0821044;-0.00208904
0.061876;-0.00222266;0.0826218;-0.00198499
0.062375;-0.00171189;0.0835911;-0.00233716
0.062874;-0.000734235;0.0839595;-0.00197698
0.063373;-0.000211491;0.0850096;-0.00256928
0.063872;6.78368e-05;0.0850904;-0.00156078
0.064371;0.000450916;0.0854822;-0.00179289
0.06487;0.00142857;0.0865711;-0.00227313
0.065369;0.00193136;0.0869809;-0.00225712
0.065868;0.0026217;0.0880642;-0.00330564
0.066367;0.00377094;0.0880971;-0.00306552
0.066866;0.00399041;0.0889914;-0.00309754
0.067365;0.00425776;0.0895688;-0.00368182
0.067864;0.00515958;0.0900264;-0.00287343
0.068363;0.00545885;0.0910224;-0.00371384
0.068862;0.00591375;0.0910613;-0.00216107
0.069361;0.00591375;0.0915577;-0.00243321
0.06986;0.00590976;0.0925539;-0.00278538
0.070359;0.00581799;0.0925539;-0.00187293
0.070858;0.00517156;0.0931849;-0.00246522
0.071357;0.00419791;0.0940433;-0.00191295
0.071856;0.00345569;0.094163;-0.00345771
0.072355;0.00286511;0.0954945;-0.00290544
0.072854;0.00211891;0.0955394;-0.00311354
