t;vds;corrente;vg
0.000499;0.00458896;0.0096622;0.191994
0.000998;0.00525535;0.0102791;0.195922
0.001497;0.00582596;0.0104496;0.19577
0.001996;0.00591774;0.0110001;0.19577
0.002495;0.0059736;0.0119424;0.195738
0.002994;0.0057302;0.0119424;0.19573
0.003493;0.00529126;0.0130912;0.195714
0.003992;0.00455705;0.0134562;0.19577
0.004491;0.00373901;0.0144703;0.19593
0.00499;0.00317637;0.014928;0.195818
0.005489;0.0024142;0.014928;0.195794
0.005988;0.00177573;0.0154306;0.19585
0.006487;0.00058659;0.0164119;0.195946
0.006986;6.38464e-05;0.016714;0.196066
0.007485;-0.000802072;0.0178958;0.197235
0.007984;-0.0018715;0.0179137;0.196459
0.008483;-0.00215083;0.0183654;0.195962
0.008982;-0.00225059;0.0194005;0.195754
0.009481;-0.0021628;0.0194634;0.196291
0.00998;-0.00237828;0.0205851;0.196266
0.010479;-0.00244213;0.0209022;0.197116
0.010978;-0.00248204;0.0218328;0.197043
0.011477;-0.00196328;0.0223922;0.197283
0.011976;-0.00197525;0.0224042;0.195906
0.012475;-0.00097765;0.0235767;0.196907
0.012974;-0.000470868;0.0238849;0.19609
0.013473;-3.19232e-05;0.0243008;0.196042
0.013972;0.000267357;0.0253779;0.197163
0.014471;0.0014565;0.0253779;0.196419
0.01497;0.00205506;0.0263141;0.196907
0.015469;0.00276535;0.0268705;0.196547
0.015968;0.00384676;0.027804;0.197259
0.016467;0.00399839;0.0283634;0.197107
0.016966;0.00468473;0.0285429;0.196675
0.017465;0.00487627;0.0297872;0.196603
0.017964;0.00511968;0.029856;0.196258
0.018463;0.00579803;0.0308435;0.196154
0.018962;0.00599356;0.0313431;0.196066
0.019461;0.00591774;0.0315375;0.195922
0.01996;0.00586987;0.0327998;0.196234
0.020459;0.00503589;0.0328417;0.19617
0.020958;0.00402632;0.0331739;0.195786
0.021457;0.0036193;0.0343018;0.195746
0.021956;0.00304069;0.0344036;0.195922
0.022455;0.00204309;0.0355762;0.196058
0.022954;0.0010814;0.0358275;0.195778
0.023453;0.000131683;0.0368298;0.196154
0.023952;-0.000646446;0.0373205;0.196498
0.024451;-0.0016241;0.0373205;0.195818
0.02495;-0.00204309;0.0382835;0.195818
0.025449;-0.00215482;0.038822;0.195834
0.025948;-0.00215482;0.0400454;0.195786
0.026447;-0.00219073;0.0403056;0.195842
0.026946;-0.00241819;0.0411702;0.196187
0.027445;-0.00228251;0.0417985;0.196322
0.027944;-0.0022865;0.0422923;0.196018
0.028443;-0.00198722;0.0432915;0.19577
0.028942;-0.00146847;0.0432915;0.195714
0.029441;-0.000430964;0.0442878;0.196034
0.02994;0.000123702;0.0447844;0.196114
0.030439;0.000179568;0.0447874;0.19593
0.030938;0.00109337;0.0456218;0.196091
0.031437;0.00178371;0.0462769;0.195858
0.031936;0.00224261;0.0470906;0.195706
0.032435;0.0035794;0.0477697;0.196115
0.032934;0.00401435;0.0479045;0.196675
0.033433;0.00440142;0.0491163;0.196659
0.033932;0.00496405;0.0492629;0.196106
0.034431;0.00542295;0.0499449;0.195706
0.03493;0.0057262;0.0507078;0.195978
0.035429;0.00588582;0.0507647;0.195986
0.035928;0.00589779;0.0515064;0.196082
0.036427;0.00589779;0.0522482;0.19589
0.036926;0.0053631;0.0522721;0.195874
0.037425;0.00454906;0.0534747;0.195834
0.037924;0.0036632;0.053741;0.196098
0.038423;0.00302473;0.0538787;0.195882
0.038922;0.00240622;0.0551206;0.196234
0.039421;0.00161612;0.0552343;0.195778
0.03992;0.000861928;0.0563469;0.195778
0.040419;-3.19232e-05;0.0567537;0.195754
0.040918;-0.00122107;0.0579084;0.195706
0.041417;-0.00177972;0.0582196;0.19581
0.041916;-0.00213487;0.0590959;0.19589
0.042415;-0.002079;0.0597121;0.195826
0.042914;-0.00213088;0.05973;0.195706
0.043413;-0.00231444;0.0611001;0.195706
0.043912;-0.00245809;0.0612467;0.195706
0.044411;-0.00231045;0.062426;0.195722
0.04491;-0.00209497;0.0626982;0.19573
0.045409;-0.00150039;0.0626982;0.195762
0.045908;-0.000758177;0.0634759;0.195978
0.046407;6.38464e-05;0.0641909;0.195826
0.046906;0.000227453;0.0648938;0.195842
0.047405;0.000526733;0.0656834;0.195802
0.047904;0.00195131;0.0657073;0.195866
0.048403;0.00208299;0.0663832;0.195754
0.048902;0.00301276;0.0671761;0.195746
0.049401;0.00387469;0.0675503;0.195706
0.0499;0.00406224;0.0686156;0.195762
0.050399;0.00454108;0.0689087;0.195858
0.050898;0.00525136;0.0700813;0.195794
0.051397;0.0053591;0.0701621;0.195762
0.051896;0.00575015;0.0707784;0.195866
0.052395;0.00588981;0.0716549;0.195714
0.052894;0.00585789;0.0721006;0.195714
0.053393;0.00550674;0.0730699;0.195714
0.053892;0.00507579;0.0731477;0.195706
0.054391;0.00389065;0.0733481;0.19577
0.05489;0.00350358;0.0745632;0.195706
0.055389;0.00264564;0.0747606;0.195706
0.055888;0.0019154;0.0758044;0.195746
0.056387;0.00103751;0.0761334;0.195858
0.056886;0.000183558;0.0766987;0.195954
0.057385;-0.000430964;0.0776141;0.195874
0.057884;-0.00173184;0.0777248;0.195786
0.058383;-0.0019952;0.0787746;0.195818
0.058882;-0.00202713;0.0791186;0.195762
0.059381;-0.00209896;0.0794266;0.195978
0.05988;-0.00211891;0.0805514;0.196803
0.060379;-0.00221069;0.0806112;0.195738
0.060878;-0.00231045;0.0811318;0.195714
0.061377;-0.00239026;0.0821044;0.19573
0.061876;-0.00189944;0.0823317;0.19601
0.062375;-0.00126496;0.0834983;0.195754
0.062874;-0.000187549;0.083693;0.195706
0.063373;0.000191539;0.0849797;0.196547
0.063872;0.000315242;0.0850904;0.195906
0.064371;0.00102953;0.0852549;0.196058
0.06487;0.00202713;0.0864125;0.196315
0.065369;0.00290103;0.0867207;0.196243
0.065868;0.0038707;0.0879655;0.196074
0.066367;0.00407421;0.0880762;0.195914
0.066866;0.00448522;0.0884919;0.196018
0.067365;0.00529924;0.0895179;0.195722
0.067864;0.00547481;0.0898081;0.196555
0.068363;0.00583394;0.0909446;0.196619
0.068862;0.00590178;0.0910613;0.197067
0.069361;0.0059736;0.0912945;0.196587
0.06986;0.00565438;0.0924402;0.196331
0.070359;0.00519151;0.0925539;0.196595
0.070858;0.00441339;0.0926944;0.196178
0.071357;0.00375099;0.0940014;0.196667
0.071856;0.00322026;0.0940463;0.196939
0.072355;0.00223064;0.0951505;0.197011
0.072854;0.00134876;0.0955394;0.196475
0.073353;0.000430964;0.0956441;0.195906
0.073852;-8.77888e-05;0.0969721;0.196811
0.074351;-0.00106145;0.097032;0.197531
0.07485;-0.00195131;0.0981249;0.197051
0.075349;-0.00201117;0.0985257;0.195834
0.075848;-0.00219473;0.0986783;0.196051
0.076347;-0.0022865;0.0999196;0.196034
0.076846;-0.00218275;0.100018;0.195954
0.077345;-0.00237828;0.100739;0.196018
0.077844;-0.00218674;0.101511;0.195826
0.078343;-0.00199121;0.101709;0.195954
0.078842;-0.00121308;0.102821;0.196291
0.079341;-0.000335194;0.103004;0.196178
0.07984;0.000191539;0.103764;0.195962
0.080339;0.000207501;0.104496;0.196747
0.080838;0.000778129;0.105107;0.196667
0.081337;0.00189544;0.105989;0.19629
0.081836;0.00207102;0.106127;0.195882
0.082335;0.00337589;0.107305;0.196339
0.082834;0.00392257;0.107482;0.197435
0.083333;0.00438945;0.108017;0.1975
0.083832;0.00535112;0.108876;0.196603
0.084331;0.00540299;0.109415;0.196651
0.08483;0.00587385;0.110415;0.196771
0.085329;0.00596163;0.110469;0.196683
0.085828;0.0059337;0.110666;0.195922
0.086327;0.00598159;0.111919;0.196507
0.086826;0.00512767;0.112161;0.196283
0.087325;0.00435752;0.113328;0.196739
0.087824;0.00386272;0.113454;0.196923
0.088323;0.00334795;0.113872;0.195922
0.088822;0.00290901;0.114944;0.196122
0.089321;0.00207501;0.114997;0.19597
0.08982;0.000778129;0.116161;0.196034
0.090319;1.9952e-05;0.116448;0.196307
0.090818;-0.000578609;0.117453;0.196043
