t;vds;corrente;vg
0.000499;0.0550637;0.1976;-0.0916668
0.000998;0.0548203;0.199224;-0.0878609
0.001497;0.0548004;0.199224;-0.0878769
0.001996;0.0544333;0.199224;-0.088213
0.002495;0.0542816;0.199224;-0.0878609
0.002994;0.0545809;0.199224;-0.087973
0.003493;0.0549121;0.19924;-0.0878609
0.003992;0.0548961;0.199224;-0.0878609
0.004491;0.0546847;0.199224;-0.0878609
0.00499;0.0544532;0.199224;-0.0878609
0.005489;0.0544452;0.199224;-0.0878929
0.005988;0.0547166;0.199224;-0.0878609
0.006487;0.0548762;0.199224;-0.0878609
0.006986;0.054952;0.199224;-0.0878609
0.007485;0.0546727;0.199224;-0.0878609
0.007984;0.0543973;0.199224;-0.0878609
0.008483;0.0543814;0.199224;-0.0878609
0.008982;0.0546248;0.199224;-0.0878609
0.009481;0.0548044;0.199224;-0.0878609
0.00998;0.0546248;0.199224;-0.0878609
0.010479;0.0546168;0.199224;-0.0878609
0.010978;0.0547246;0.199224;-0.0878609
0.011477;0.0552433;0.199224;-0.0878609
0.011976;0.0554588;0.199224;-0.0878609
0.012475;0.0548403;0.199224;-0.0878609
0.012974;0.0547525;0.199224;-0.0878609
0.013473;0.0545689;0.199224;-0.0878609
0.013972;0.0546248;0.199224;-0.0878609
0.014471;0.0550398;0.199224;-0.0878609
0.01497;0.0547525;0.199224;-0.0878609
0.015469;0.0546807;0.199224;-0.0878609
0.015968;0.0549001;0.199224;-0.0878609
0.016467;0.0550757;0.199224;-0.0878609
0.016966;0.0552273;0.199224;-0.0878609
0.017465;0.0552952;0.199224;-0.0878609
0.017964;0.0551555;0.199201;-0.0878609
0.018463;0.0548682;0.19924;-0.0878609
0.018962;0.0548842;0.199224;-0.0878609
0.019461;0.0552633;0.199352;-0.0878609
0.01996;0.0552473;0.199224;-0.0878609
0.020459;0.0552034;0.199224;-0.0878609
0.020958;0.0547405;0.199224;-0.0878609
0.021457;0.0549001;0.199224;-0.0878609
0.021956;0.0549321;0.199224;-0.0878609
0.022455;0.0552952;0.199224;-0.0878609
0.022954;0.0551874;0.199224;-0.0878609
0.023453;0.0547964;0.199224;-0.0878609
0.023952;0.0548123;0.199224;-0.0878609
0.024451;0.0549959;0.199224;-0.0878609
0.02495;0.054956;0.199224;-0.0878609
0.025449;0.0551635;0.199224;-0.0878609
0.025948;0.0549799;0.199224;-0.0878609
0.026447;0.0548762;0.199224;-0.0878609
0.026946;0.0550877;0.199224;-0.0878609
0.027445;0.055351;0.199224;-0.0878609
0.027944;0.0555506;0.199224;-0.0878609
0.028443;0.055359;0.199224;-0.0878609
0.028942;0.0548203;0.199224;-0.0878609
0.029441;0.0552832;0.199224;-0.0878609
0.02994;0.0555785;0.199224;-0.0878609
0.030439;0.0552633;0.199224;-0.0878609
0.030938;0.0554748;0.199224;-0.0878609
0.031437;0.0550957;0.199216;-0.0878609
0.031936;0.0548922;0.199224;-0.0878609
0.032435;0.055379;0.199224;-0.0878609
0.032934;0.055359;0.199296;-0.0878609
0.033433;0.0553271;0.199296;-0.0878609
0.033932;0.0551875;0.199224;-0.0878609
0.034431;0.0552752;0.199224;-0.0878129
0.03493;0.0552513;0.199248;-0.0877488
0.035429;0.0555466;0.199224;-0.0877168
0.035928;0.0555506;0.199224;-0.0878609
0.036427;0.0552832;0.19932;-0.0876528
0.036926;0.0551635;0.199224;-0.0877809
0.037425;0.0552393;0.199224;-0.0877969
0.037924;0.0551914;0.199224;-0.0875408
0.038423;0.0554029;0.199224;-0.0872206
0.038922;0.0552632;0.199224;-0.0866444
0.039421;0.0551635;0.199304;-0.08562
0.03992;0.0552992;0.199224;-0.0871566
0.040419;0.0551994;0.199224;-0.0861802
0.040918;0.0552433;0.199209;-0.0861002
0.041417;0.0552593;0.199224;-0.0848517
0.041916;0.0553191;0.199224;-0.0858121
0.042415;0.0553949;0.199224;-0.0851398
0.042914;0.0552952;0.199224;-0.0848197
0.043413;0.055359;0.199272;-0.0847717
0.043912;0.055395;0.199193;-0.0844036
0.044411;0.0555107;0.199224;-0.0842595
0.04491;0.0552553;0.199224;-0.0844996
0.045409;0.0555146;0.199224;-0.0845475
0.045908;0.0556384;0.199224;-0.082931
0.046407;0.0555785;0.199336;-0.0815224
0.046906;0.0556503;0.199224;-0.0822587
0.047405;0.0555865;0.199256;-0.0829629
0.047904;0.055391;0.199224;-0.0833631
0.048403;0.0552593;0.199224;-0.0841794
0.048902;0.0553271;0.199224;-0.0835552
0.049401;0.0553271;0.199224;-0.0823387
0.0499;0.0552672;0.199344;-0.0816344
0.050399;0.0553311;0.19924;-0.0808981
0.050898;0.0555107;0.199224;-0.0803379
0.051397;0.0556822;0.199216;-0.0799218
0.051896;0.0556144;0.199224;-0.0806741
0.052395;0.0555386;0.199224;-0.0812503
0.052894;0.0556024;0.199185;-0.0800338
0.053393;0.0555386;0.199224;-0.0799538
0.053892;0.0555426;0.199224;-0.0801779
0.054391;0.0557421;0.199065;-0.0798737
0.05489;0.0556942;0.199224;-0.0799218
0.055389;0.0554867;0.199073;-0.0799057
0.055888;0.0552872;0.199224;-0.0798737
0.056387;0.055371;0.199224;-0.0798737
0.056886;0.055355;0.199224;-0.0798737
0.057385;0.0555586;0.199224;-0.0798737
0.057884;0.0554628;0.199224;-0.0798737
0.058383;0.0555027;0.199224;-0.0798737
0.058882;0.0552752;0.199224;-0.0798737
0.059381;0.0556104;0.199224;-0.0798737
0.05988;0.0557022;0.199216;-0.0798737
0.060379;0.0557301;0.199224;-0.0798737
0.060878;0.0555785;0.199224;-0.0798737
0.061377;0.0554588;0.199224;-0.0798737
0.061876;0.0556503;0.199153;-0.0798737
0.062375;0.0557421;0.199224;-0.0798737
0.062874;0.0556384;0.199224;-0.0798737
