t;vds;corrente;vg
0;0.00794042;-0.00413979;-0.399414
2e-05;0.00991516;-0.003109;-0.398615
4e-05;0.0118701;-0.0020285;-0.398615
6e-05;0.0138006;-0.00102667;-0.398615
8e-05;0.0157309;-0.000103495;-0.398615
0.0001;0.0175861;0.00114258;-0.398615
0.00012;0.0194979;0.00206576;-0.398615
0.00014;0.0214527;0.00253769;-0.398615
0.00016;0.0233229;0.0035271;-0.398615
0.00018;0.0253303;0.00491394;-0.398615
0.0002;0.0272684;0.00615172;-0.398615
0.00022;0.0292561;0.00643322;-0.398615
0.00024;0.0312585;0.00787802;-0.398615
0.00026;0.0332174;0.00826302;-0.398615
0.00028;0.0352147;0.00982785;-0.398615
0.0003;0.0371817;0.0109994;-0.398615
0.00032;0.0391121;0.0120716;-0.398615
0.00034;0.0410601;0.0125021;-0.398615
0.00036;0.0430113;0.0140463;-0.398615
0.00038;0.0449329;0.0146093;-0.398615
0.0004;0.0468324;0.0160541;-0.398615
0.00042;0.0476744;0.0164971;-0.398615
0.00044;0.0458633;0.0150109;-0.398615
0.00046;0.0440098;0.0140339;-0.398615
0.00048;0.0420074;0.0126181;-0.398615
0.0005;0.0400445;0.0123945;-0.398615
0.00052;0.038152;0.0108297;-0.398615
0.00054;0.036254;0.0103329;-0.398615
0.00056;0.0342378;0.00953812;-0.398615
0.00058;0.0322316;0.00825474;-0.398615
0.0006;0.0301897;0.00671472;-0.398615
0.00062;0.0282277;0.00619726;-0.398615
0.00064;0.0262904;0.00521616;-0.398615
0.00066;0.0242714;0.00416463;-0.398615
0.00068;0.0223854;0.00390797;-0.398615
0.0007;0.0204461;0.00236383;-0.398615
0.00072;0.0185;0.00115086;-0.398615
0.00074;0.016701;8.2796e-06;-0.398615
0.00076;0.0146552;-0.00099769;-0.398615
0.00078;0.012783;-0.00204506;-0.398615
0.0008;0.0108714;-0.00210715;-0.398615
0.00082;0.00888683;-0.00330355;-0.398615
0.00084;0.00687264;-0.00423087;-0.398615
0.00086;0.00488111;-0.00562183;-0.398615
0.00088;0.00292904;-0.00652844;-0.398615
0.0009;0.000970101;-0.00796495;-0.398615
0.00092;-0.000886216;-0.00829614;-0.398615
0.00094;-0.00284419;-0.0088343;-0.398615
0.00096;-0.00486928;-0.0104944;-0.398615
0.00098;-0.00685292;-0.0112395;-0.398615
0.001;-0.00881282;-0.0118729;-0.398615
0.00102;-0.0107886;-0.0129658;-0.398615
0.00104;-0.0127732;-0.014481;-0.398615
0.00106;-0.0147252;-0.015665;-0.398615
0.00108;-0.0166448;-0.016526;-0.398615
0.0011;-0.0184714;-0.0169856;-0.398615
0.00112;-0.0204462;-0.0180578;-0.398615
0.00114;-0.0223459;-0.0187409;-0.398615
0.00116;-0.0242555;-0.0201773;-0.398615
0.00118;-0.0262323;-0.0211295;-0.398615
0.0012;-0.0281893;-0.0225868;-0.398615
0.00122;-0.0301146;-0.0228766;-0.398615
0.00124;-0.0321091;-0.0246566;-0.398615
0.00126;-0.0340533;-0.024789;-0.398615
0.00128;-0.0359945;-0.0265321;-0.398615
0.0013;-0.0379319;-0.0274801;-0.398615
0.00132;-0.0399192;-0.0288337;-0.398615
0.00134;-0.0419553;-0.0295541;-0.398615
0.00136;-0.0439792;-0.0308871;-0.398615
0.00138;-0.0458582;-0.0309865;-0.398615
0.0014;-0.0478174;-0.0324643;-0.398615
0.00142;-0.0489;-0.0330107;-0.398615
0.00144;-0.0471688;-0.0313011;-0.398615
0.00146;-0.0452217;-0.0309865;-0.398615
0.00148;-0.04326;-0.0294712;-0.398615
0.0015;-0.0411539;-0.0288833;-0.398615
0.00152;-0.0392689;-0.0279644;-0.398615
0.00154;-0.037387;-0.0267432;-0.398615
0.00156;-0.0353391;-0.0254473;-0.398615
0.00158;-0.0334295;-0.0247766;-0.398615
0.0016;-0.0314281;-0.0236962;-0.398615
0.00162;-0.0294821;-0.0227276;-0.398615
