t;vds;corrente;vg
0;0.0074539;-0.00409839;-0.00798826
2e-05;0.00942569;-0.00332426;-0.00797229
4e-05;0.0113856;-0.00212371;-0.00797229
6e-05;0.0132963;-0.00165178;-0.00797229
8e-05;0.0152147;-0.000277367;-0.00797229
0.0001;0.0171431;0.000558873;-0.00797229
0.00012;0.0189609;0.00179253;-0.00797229
0.00014;0.0209238;0.0027364;-0.00797229
0.00016;0.0228611;0.00395764;-0.00797229
0.00018;0.0248338;0.0042971;-0.00797229
0.0002;0.0267751;0.00612274;-0.00797229
0.00022;0.0287646;0.00636699;-0.00797229
0.00024;0.0307276;0.00719909;-0.00797229
0.00026;0.0326607;0.0083127;-0.00797229
0.00028;0.0346404;0.00875566;-0.00797229
0.0003;0.0366095;0.00998102;-0.00797229
0.00032;0.038577;0.0112892;-0.00797229
0.00034;0.0405193;0.0123614;-0.00797229
0.00036;0.0424487;0.0127133;-0.00797229
0.00038;0.0443554;0.0140091;-0.00797229
0.0004;0.0462451;0.0145514;-0.00797229
0.00042;0.0477659;0.0159547;-0.00797229
0.00044;0.0463607;0.0149778;-0.00797229
0.00046;0.0445311;0.0143858;-0.00797229
0.00048;0.042575;0.0126553;-0.00797229
0.0005;0.0405845;0.0121958;-0.00797229
0.00052;0.0387074;0.0111815;-0.00797229
0.00054;0.0367325;0.010246;-0.00797229
0.00056;0.0348192;0.00895439;-0.00797229
0.00058;0.0328513;0.00825474;-0.00797229
0.0006;0.0308025;0.00651601;-0.00797229
0.00062;0.0287477;0.00619726;-0.00797229
0.00064;0.0268452;0.00578331;-0.00797229
0.00066;0.024895;0.00428055;-0.00797229
0.00068;0.0229557;0.00411495;-0.00797229
0.0007;0.020988;0.00256669;-0.00797229
0.00072;0.0190497;0.00169731;-0.00797229
0.00074;0.0172448;0.000538174;-0.00797229
0.00076;0.0153825;-0.000223549;-0.00797229
0.00078;0.0134413;-0.00161866;-0.00797229
0.0008;0.0114755;-0.00208232;-0.00797229
0.00082;0.00947504;-0.00350226;-0.00797229
0.00084;0.00743023;-0.00437163;-0.00797229
0.00086;0.0055798;-0.00591161;-0.00797229
0.00088;0.00356856;-0.00616;-0.00797229
0.0009;0.0015198;-0.00732329;-0.00797229
0.00092;-0.000296064;-0.00824232;-0.00797229
0.00094;-0.00222344;-0.00960016;-0.00797229
0.00096;-0.00426035;-0.0104819;-0.00797229
0.00098;-0.0061986;-0.0107427;-0.00797229
0.001;-0.00824537;-0.012142;-0.00797229
0.00102;-0.0102152;-0.0134005;-0.00797229
0.00104;-0.0122264;-0.0144396;-0.00797229
0.00106;-0.0142012;-0.015607;-0.00797229
0.00108;-0.0161148;-0.016526;-0.00797229
0.0011;-0.0180372;-0.0173374;-0.00797229
0.00112;-0.019861;-0.0185918;-0.00797229
0.00114;-0.0217074;-0.0186167;-0.00797229
0.00116;-0.0236741;-0.0197675;-0.00797229
0.00118;-0.0255811;-0.0213366;-0.00797229
0.0012;-0.0275694;-0.0227193;-0.00797229
0.00122;-0.0295304;-0.0229676;-0.00797229
