t;vds;corrente;vg
0;0.00727233;-0.00422673;0.383438
2e-05;0.0092283;-0.00387899;0.382671
4e-05;0.0112278;-0.00213199;0.382671
6e-05;0.0131926;-0.00153586;0.382671
8e-05;0.0150933;4.96776e-05;0.382671
0.0001;0.0170198;0.000608551;0.382671
0.00012;0.0188158;0.00189602;0.382671
0.00014;0.0207708;0.00291027;0.382671
0.00016;0.0227614;0.00416463;0.382671
0.00018;0.0246305;0.00421017;0.382671
0.0002;0.0266034;0.00567565;0.382671
0.00022;0.0285494;0.00635043;0.382671
0.00024;0.0305192;0.00750543;0.382671
0.00026;0.0324732;0.00822162;0.382671
0.00028;0.0344776;0.00911995;0.382671
0.0003;0.0364605;0.010722;0.382671
0.00032;0.0384527;0.0121006;0.382671
0.00034;0.0403831;0.0123945;0.382671
0.00036;0.0423223;0.0128996;0.382671
0.00038;0.0442862;0.0145224;0.382671
0.0004;0.0460566;0.0156443;0.382671
0.00042;0.0477451;0.016526;0.382671
0.00044;0.0466934;0.015963;0.382671
0.00046;0.0448071;0.014659;0.382671
0.00048;0.0428347;0.014038;0.382671
0.0005;0.0409112;0.0126802;0.382671
0.00052;0.038965;0.0112643;0.382671
0.00054;0.0370741;0.0103784;0.382671
0.00056;0.0350196;0.00904547;0.382671
0.00058;0.0330378;0.00834168;0.382671
0.0006;0.0311183;0.00815538;0.382671
0.00062;0.0291011;0.00661951;0.382671
0.00064;0.0271462;0.00619726;0.382671
0.00066;0.0251802;0.00535279;0.382671
0.00068;0.0232775;0.00413151;0.382671
0.0007;0.0213501;0.00383345;0.382671
0.00072;0.0194071;0.00210301;0.382671
0.00074;0.0175428;0.00178011;0.382671
0.00076;0.0155562;-1.65592e-05;0.382671
0.00078;0.0135804;-0.00109704;0.382671
0.0008;0.011737;-0.00206162;0.382671
0.00082;0.00980667;-0.00305102;0.382671
0.00084;0.00776775;-0.00412737;0.382671
0.00086;0.00579789;-0.00551834;0.382671
0.00088;0.00377482;-0.00600269;0.382671
0.0009;0.00178527;-0.00648704;0.382671
0.00092;1.87508e-05;-0.00751371;0.382671
0.00094;-0.00194711;-0.00850727;0.382671
0.00096;-0.00391395;-0.00998517;0.382671
0.00098;-0.00597062;-0.0103412;0.382671
0.001;-0.00795226;-0.0115914;0.382671
0.00102;-0.00981846;-0.0123945;0.382671
0.00104;-0.0119017;-0.0133053;0.382671
0.00106;-0.0138884;-0.0145886;0.382671
0.00108;-0.0158088;-0.0163894;0.382671
0.0011;-0.0176907;-0.0166254;0.382671
0.00112;-0.0195127;-0.0173871;0.382671
0.00114;-0.0214695;-0.0185628;0.382671
0.00116;-0.0234423;-0.0196143;0.382671
0.00118;-0.0252464;-0.0209018;0.382671
0.0012;-0.0272141;-0.0223757;0.382671
0.00122;-0.0292403;-0.02274;0.382671
0.00124;-0.0311599;-0.0238327;0.382671
0.00126;-0.0332184;-0.0246897;0.382671
0.00128;-0.0351426;-0.0251244;0.382671
0.0013;-0.0369991;-0.0264369;0.382671
0.00132;-0.0389591;-0.0275628;0.382671
0.00134;-0.0409781;-0.0288833;0.382687
0.00136;-0.04304;-0.0300013;0.382671
0.00138;-0.0450208;-0.0309865;0.382671
0.0014;-0.0468699;-0.0311769;0.382671
0.00142;-0.0486946;-0.0321248;0.382671
0.00144;-0.0477099;-0.0311024;0.382671
0.00146;-0.0458376;-0.0309161;0.382783
0.00148;-0.0439308;-0.0300176;0.382671
0.0015;-0.041882;-0.0288833;0.382671
0.00152;-0.0399035;-0.0280886;0.382671
0.00154;-0.0379674;-0.0268012;0.382735
0.00156;-0.0359955;-0.0255508;0.382687
0.00158;-0.0341104;-0.024789;0.382671
0.0016;-0.032123;-0.0236631;0.382671
0.00162;-0.0300625;-0.0227234;0.382671
0.00164;-0.0281685;-0.0215724;0.382671
0.00166;-0.0262055;-0.0206617;0.382671
