t;vds;corrente;vg
0;0.00668611;0.0024666;-0.003987
2e-05;0.00707099;0.00267379;-0.00394714
4e-05;0.00748055;0.00293032;-0.00394714
6e-05;0.00781609;0.00316712;-0.00394714
8e-05;0.00829966;0.00340391;-0.00394714
0.0001;0.0086056;0.00347298;-0.00394714
0.00012;0.00902007;0.00390216;-0.00394714
0.00014;0.00940003;0.0039071;-0.00394714
0.00016;0.00977998;0.00428695;-0.00394714
0.00018;0.0100662;0.00439548;-0.00394714
0.0002;0.0105991;0.00443495;-0.00394714
0.00022;0.0109445;0.00475561;-0.00394714
0.00024;0.0112356;0.00489374;-0.00394714
0.00026;0.0117636;0.00523413;-0.00394714
0.00028;0.0121732;0.00537226;-0.00394714
0.0003;0.0125235;0.00578664;-0.00394714
0.00032;0.0128196;0.00586064;-0.00394714
0.00034;0.0132143;0.00594451;-0.00394714
0.00036;0.0136091;0.0061961;-0.003987
0.00038;0.0139792;0.00634903;-0.00394714
0.0004;0.0143986;0.00640823;-0.00394714
0.00042;0.0147242;0.00681769;-0.00394714
0.00044;0.0151733;0.00686702;-0.00394714
0.00046;0.0156075;0.0072962;-0.00394714
0.00048;0.0160467;0.0073258;-0.00394714
0.0005;0.0162786;0.00752314;-0.00394714
0.00052;0.0166487;0.0077698;-0.00394714
0.00054;0.0169595;0.0078142;-0.00394714
0.00056;0.0172556;0.00821377;-0.00394714
0.00058;0.0177786;0.00830257;-0.00394714
0.0006;0.0180747;0.00830257;-0.00394714
0.00062;0.018425;0.00867257;-0.00394714
0.00064;0.0189037;0.00879097;-0.00430597
0.00066;0.0191751;0.00891923;-0.00394714
0.00068;0.0194958;0.00927441;-0.003987
0.0007;0.0199843;0.00927934;-0.00394714
0.00072;0.0203791;0.00963454;-0.00394714
0.00074;0.02069;0.00976774;-0.00394714
0.00076;0.0211143;0.00989107;-0.00394714
0.00078;0.0214942;0.0102364;-0.00394714
0.0008;0.0218939;0.0102561;-0.00394714
0.00082;0.0223874;0.0105225;-0.00394714
0.00084;0.0228561;0.0107445;-0.00394714
0.00086;0.0230289;0.0110356;-0.00394714
0.00088;0.0234483;0.0112329;-0.00394714
0.0009;0.0238923;0.0112773;-0.00394714
0.00092;0.02407;0.011598;-0.00394714
0.00094;0.0245437;0.0117213;-0.00394714
0.00096;0.0249237;0.0117953;-0.00394714
0.00098;0.025274;0.0121307;-0.00394714
0.001;0.0255355;0.0122343;-0.00394714
0.00102;0.0259796;0.0126093;-0.00394714
0.00104;0.0263694;0.0127079;-0.00394714
0.00106;0.0268925;0.012925;-0.00394714
0.00108;0.0273316;0.0131864;-0.00394714
0.0011;0.0276425;0.0132062;-0.00394714
0.00112;0.0279386;0.0135466;-0.00394714
0.00114;0.0284567;0.0136748;-0.00394714
0.00116;0.0287873;0.0137932;-0.00394714
0.00118;0.0291179;0.0141238;-0.00394714
0.0012;0.029562;0.0142076;-0.00394714
0.00122;0.0298729;0.0144691;-0.00394714
0.00124;0.0303071;0.0146516;-0.00426609
0.00126;0.0307462;0.0147059;-0.00422622
0.00128;0.0311904;0.0150413;-0.003987
0.0013;0.0315604;0.01514;-0.00394714
0.00132;0.0318811;0.0153423;-0.00394714
0.00134;0.0323203;0.0155741;-0.00394714
