t,vds,corrente
0,0.00099504,-0.00049332
0.02,-0.0139306,0.00147996
0.04,0.0208958,0.00443988
0.06,-0.0119405,-0.00197328
0.08,-0.0099504,-0.00197328
0.1,0.0417917,0.0177595
0.12,0.0268661,0.0157862
0.14,0.0527371,0.0226927
0.16,0.0338314,0.0212128
0.18,0.0706478,0.0291059
0.2,0.0467669,0.0276259
0.22,0.0766181,0.0350257
0.24,0.0606974,0.0330524
0.26,0.0905486,0.0409456
0.28,0.0716429,0.038479
0.3,0.103484,0.0468654
0.32,0.111444,0.049332
0.34,0.0786082,0.0443988
0.36,0.101494,0.0458788
0.38,0.0686578,0.038479
0.4,0.0885586,0.0399589
0.42,0.0577123,0.0325591
0.44,0.0776131,0.0340391
0.46,0.0467669,0.026146
0.48,0.0646776,0.0286126
0.5,0.0348264,0.0212128
0.52,0.0537322,0.0226927
0.54,0.024876,0.0147996
0.56,0.0427867,0.0167729
0.58,0.00796032,0.00838644
0.6,0.0288562,0.010853
0.62,0,0.00345324
0.64,0.0218909,0.00542652
0.66,-0.0129355,-0.00295992
0.68,0.00796032,-0.00147996
0.7,-0.0268661,-0.00887976
0.72,-0.0049752,-0.00591984
0.74,-0.0338314,-0.0143063
0.76,-0.0179107,-0.0128263
0.78,-0.048757,-0.0207194
0.8,-0.0278611,-0.0187462
0.82,-0.0606974,-0.026146
0.84,-0.0587074,-0.0256526
0.86,-0.024876,-0.0177595
0.88,-0.0457718,-0.0202261
0.9,-0.0179107,-0.012333
0.92,-0.0348264,-0.0143063
0.94,-0.00298512,-0.00591984
0.96,-0.023881,-0.00838644
0.98,0.00895536,-0.00098664
1,-0.0109454,-0.00197328
1.02,0.0189058,0.00591984
1.04,-0.00099504,0.00345324
1.06,0.0328363,0.0113464
1.08,0.0139306,0.00937308
1.1,0.0457718,0.0167729
1.12,0.024876,0.0152929
1.14,0.0567173,0.0236794
1.16,0.0328363,0.0212128
1.18,0.0656726,0.0286126
1.2,0.0457718,0.0266393
1.22,0.0805982,0.0345324
1.24,0.0567173,0.0325591
1.26,0.0905486,0.0404522
1.28,0.0716429,0.0389723
1.3,0.104479,0.0463721
1.32,0.110449,0.0498253
1.34,0.0805982,0.0443988
1.36,0.103484,0.0463721
1.38,0.0726379,0.0379856
1.4,0.0925387,0.0414389
1.42,0.0577123,0.0325591
1.44,0.0766181,0.0345324
1.46,0.0467669,0.0271326
1.48,0.0646776,0.0286126
1.5,0.0338314,0.0207194
1.52,0.0537322,0.0226927
1.54,0.0218909,0.0147996
1.56,0.0457718,0.0172662
1.58,0.0129355,0.00937308
1.6,0.0328363,0.0113464
1.62,0,0.00345324
1.64,0.0208958,0.0049332
1.66,-0.0149256,-0.00295992
1.68,0.00597024,-0.00098664
1.7,-0.025871,-0.00838644
1.72,-0.00398016,-0.00641316
1.74,-0.0338314,-0.0147996
1.76,-0.0149256,-0.0128263
1.78,-0.049752,-0.0207194
1.8,-0.0268661,-0.0177595
1.82,-0.0606974,-0.0266393
1.84,-0.0587074,-0.0256526
1.86,-0.0288562,-0.0182528
1.88,-0.0467669,-0.0197328
1.9,-0.0149256,-0.0118397
1.92,-0.0358214,-0.013813
1.94,0,-0.00542652
1.96,-0.0199008,-0.00789312
1.98,0.0109454,-0.00049332
2,-0.0119405,-0.00197328
2.02,0.0189058,0.00591984
2.04,0,0.00295992
2.06,0.0328363,0.0113464
2.08,0.0109454,0.00937308
2.1,0.0477619,0.0172662
2.12,0.023881,0.0157862
2.14,0.0527371,0.0241727
2.16,0.0388066,0.0217061
2.18,0.0706478,0.0291059
2.2,0.0457718,0.0271326
2.22,0.0835834,0.0350257
2.24,0.0577123,0.0330524
2.26,0.0865685,0.0409456
2.28,0.0716429,0.0389723
2.3,0.101494,0.0468654
2.32,0.0805982,0.049332
2.34,0.108459,0.0443988
2.36,0.102489,0.0458788
2.38,0.0696528,0.0389723
2.4,0.0925387,0.0399589
2.42,0.0567173,0.0325591
2.44,0.0796032,0.0345324
2.46,0.048757,0.026146
2.48,0.0706478,0.0286126
2.5,0.0338314,0.0212128
2.52,0.0527371,0.0221994
2.54,0.0228859,0.0147996
2.56,0.0417917,0.0162796
2.58,0.0099504,0.00887976
2.6,0.0338314,0.010853
2.62,-0.00099504,0.0024666
2.64,0.0189058,0.00542652
2.66,-0.0139306,-0.0024666
2.68,0.0049752,-0.00098664
2.7,-0.024876,-0.00838644
2.72,-0.0049752,-0.00690648
2.74,-0.0358214,-0.0147996
2.76,-0.0159206,-0.0128263
2.78,-0.0477619,-0.0202261
2.8,-0.0298512,-0.0187462
2.82,-0.0616925,-0.0256526
2.84,-0.0577123,-0.0256526
2.86,-0.0288562,-0.0167729
2.88,-0.0477619,-0.0202261
2.9,-0.0129355,-0.012333
2.92,-0.0368165,-0.013813
2.94,-0.0049752,-0.00591984
2.96,-0.0218909,-0.00789312
2.98,0.00696528,0
3,-0.0109454,-0.0024666
3.02,0.0208958,0.00542652
